"survey","country","year","variable","status","records"
"AO71FL","AGO",2012,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",17376
"AO71FL","AGO",2015,"pcv3_pct","observed",6882
"AO71FL","AGO",2016,"pcv3_pct","observed",66
"AO71FL","AGO",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",1041
"AO71FL","AGO",2013,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",18186
"AO71FL","AGO",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",16337
"AO71FL","AGO",2014,"rotavirus_pct","observed",18509
"AO71FL","AGO",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17376
"AO71FL","AGO",2015,"rotavirus_pct","observed",6882
"AO71FL","AGO",2016,"rotavirus_pct","observed",66
"AO71FL","AGO",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1041
"AO81FL","AGO",2023,"hib3_pct","observed",3877
"AO81FL","AGO",2021,"hib3_pct","observed",14884
"AO81FL","AGO",2022,"hib3_pct","observed",13956
"AO81FL","AGO",2020,"hib3_pct","observed",14867
"AO81FL","AGO",2019,"hib3_pct","observed",14261
"AO81FL","AGO",2018,"hib3_pct","observed",2859
"AO81FL","AGO",2023,"pcv3_pct","observed",3877
"AO81FL","AGO",2021,"pcv3_pct","observed",14884
"AO81FL","AGO",2022,"pcv3_pct","observed",13956
"AO81FL","AGO",2020,"pcv3_pct","observed",14867
"AO81FL","AGO",2019,"pcv3_pct","observed",14261
"AO81FL","AGO",2018,"pcv3_pct","observed",2859
"AO81FL","AGO",2023,"rotavirus_pct","observed",3877
"AO81FL","AGO",2021,"rotavirus_pct","observed",14884
"AO81FL","AGO",2022,"rotavirus_pct","observed",13956
"AO81FL","AGO",2020,"rotavirus_pct","observed",14867
"AO81FL","AGO",2019,"rotavirus_pct","observed",14261
"AO81FL","AGO",2018,"rotavirus_pct","observed",2859
"BU61FL","BDI",2009,"hib3_pct","observed",8985
"BU61FL","BDI",2006,"hib3_pct","observed",8121
"BU61FL","BDI",2008,"hib3_pct","observed",9126
"BU61FL","BDI",2005,"hib3_pct","observed",1479
"BU61FL","BDI",2010,"hib3_pct","observed",2187
"BU61FL","BDI",2007,"hib3_pct","observed",8699
"BU61FL","BDI",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",8985
"BU61FL","BDI",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",8121
"BU61FL","BDI",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",9126
"BU61FL","BDI",2005,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",1479
"BU61FL","BDI",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",2187
"BU61FL","BDI",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",8699
"BU61FL","BDI",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",8985
"BU61FL","BDI",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",8121
"BU61FL","BDI",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",9126
"BU61FL","BDI",2005,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1479
"BU61FL","BDI",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",2187
"BU61FL","BDI",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",8699
"BU71FL","BDI",2014,"hib3_pct","observed",17018
"BU71FL","BDI",2012,"hib3_pct","observed",17194
"BU71FL","BDI",2016,"hib3_pct","observed",6043
"BU71FL","BDI",2013,"hib3_pct","observed",17143
"BU71FL","BDI",2015,"hib3_pct","observed",17158
"BU71FL","BDI",2011,"hib3_pct","observed",1429
"BU71FL","BDI",2017,"hib3_pct","observed",37
"BU71FL","BDI",2014,"pcv3_pct","observed",17018
"BU71FL","BDI",2012,"pcv3_pct","observed",17194
"BU71FL","BDI",2016,"pcv3_pct","observed",6043
"BU71FL","BDI",2013,"pcv3_pct","observed",17143
"BU71FL","BDI",2015,"pcv3_pct","observed",17158
"BU71FL","BDI",2011,"pcv3_pct","observed",1429
"BU71FL","BDI",2017,"pcv3_pct","observed",37
"BU71FL","BDI",2014,"rotavirus_pct","observed",17018
"BU71FL","BDI",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17194
"BU71FL","BDI",2016,"rotavirus_pct","observed",6043
"BU71FL","BDI",2013,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17143
"BU71FL","BDI",2015,"rotavirus_pct","observed",17158
"BU71FL","BDI",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1429
"BU71FL","BDI",2017,"rotavirus_pct","observed",37
"BJ51FL","BEN",2004,"hib3_pct","not_observed:pre_series_assumed_not_introduced",20344
"BJ51FL","BEN",2002,"hib3_pct","not_observed:pre_series_assumed_not_introduced",19651
"BJ51FL","BEN",2003,"hib3_pct","not_observed:pre_series_assumed_not_introduced",20451
"BJ51FL","BEN",2006,"hib3_pct","observed",4740
"BJ51FL","BEN",2005,"hib3_pct","observed",18533
"BJ51FL","BEN",2004,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",20344
"BJ51FL","BEN",2002,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",19651
"BJ51FL","BEN",2003,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",20451
"BJ51FL","BEN",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",4740
"BJ51FL","BEN",2005,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",18533
"BJ51FL","BEN",2004,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",20344
"BJ51FL","BEN",2002,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",19651
"BJ51FL","BEN",2003,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",20451
"BJ51FL","BEN",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",4740
"BJ51FL","BEN",2005,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",18533
"BJ61FL","BEN",2011,"hib3_pct","observed",7591
"BJ61FL","BEN",2009,"hib3_pct","observed",17987
"BJ61FL","BEN",2007,"hib3_pct","observed",16615
"BJ61FL","BEN",2008,"hib3_pct","observed",18381
"BJ61FL","BEN",2010,"hib3_pct","observed",17469
"BJ61FL","BEN",2012,"hib3_pct","observed",128
"BJ61FL","BEN",2011,"pcv3_pct","observed",7591
"BJ61FL","BEN",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",17987
"BJ61FL","BEN",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",16615
"BJ61FL","BEN",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",18381
"BJ61FL","BEN",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",17469
"BJ61FL","BEN",2012,"pcv3_pct","observed",128
"BJ61FL","BEN",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",7591
"BJ61FL","BEN",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17987
"BJ61FL","BEN",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",16615
"BJ61FL","BEN",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",18381
"BJ61FL","BEN",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17469
"BJ61FL","BEN",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",128
"BJ71FL","BEN",2013,"hib3_pct","observed",16249
"BJ71FL","BEN",2016,"hib3_pct","observed",17296
"BJ71FL","BEN",2014,"hib3_pct","observed",17005
"BJ71FL","BEN",2015,"hib3_pct","observed",16880
"BJ71FL","BEN",2017,"hib3_pct","observed",6517
"BJ71FL","BEN",2018,"hib3_pct","observed",47
"BJ71FL","BEN",2012,"hib3_pct","observed",819
"BJ71FL","BEN",2013,"pcv3_pct","observed",16249
"BJ71FL","BEN",2016,"pcv3_pct","observed",17296
"BJ71FL","BEN",2014,"pcv3_pct","observed",17005
"BJ71FL","BEN",2015,"pcv3_pct","observed",16880
"BJ71FL","BEN",2017,"pcv3_pct","observed",6517
"BJ71FL","BEN",2018,"pcv3_pct","observed",47
"BJ71FL","BEN",2012,"pcv3_pct","observed",819
"BJ71FL","BEN",2013,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",16249
"BJ71FL","BEN",2016,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17296
"BJ71FL","BEN",2014,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17005
"BJ71FL","BEN",2015,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",16880
"BJ71FL","BEN",2017,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",6517
"BJ71FL","BEN",2018,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",47
"BJ71FL","BEN",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",819
"BF43FL","BFA",2003,"hib3_pct","not_observed:pre_series_assumed_not_introduced",2697
"BF43FL","BFA",2000,"hib3_pct","not_observed:pre_series_assumed_not_introduced",13804
"BF43FL","BFA",2002,"hib3_pct","not_observed:pre_series_assumed_not_introduced",11392
"BF43FL","BFA",2003,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",2697
"BF43FL","BFA",2000,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",13804
"BF43FL","BFA",2002,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",11392
"BF43FL","BFA",2003,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",2697
"BF43FL","BFA",2000,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",13804
"BF43FL","BFA",2002,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",11392
"BF62FL","BFA",2009,"hib3_pct","observed",17371
"BF62FL","BFA",2006,"hib3_pct","observed",18913
"BF62FL","BFA",2010,"hib3_pct","observed",4227
"BF62FL","BFA",2007,"hib3_pct","observed",19815
"BF62FL","BFA",2005,"hib3_pct","not_observed:pre_series_assumed_not_introduced",4713
"BF62FL","BFA",2008,"hib3_pct","observed",19655
"BF62FL","BFA",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",17371
"BF62FL","BFA",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",18913
"BF62FL","BFA",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",4227
"BF62FL","BFA",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",19815
"BF62FL","BFA",2005,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",4713
"BF62FL","BFA",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",19655
"BF62FL","BFA",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",17371
"BF62FL","BFA",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",18913
"BF62FL","BFA",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",4227
"BF62FL","BFA",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",19815
"BF62FL","BFA",2005,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",4713
"BF62FL","BFA",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",19655
"BF81FL","BFA",2019,"hib3_pct","observed",16641
"BF81FL","BFA",2017,"hib3_pct","observed",17344
"BF81FL","BFA",2021,"hib3_pct","observed",2916
"BF81FL","BFA",2018,"hib3_pct","observed",17883
"BF81FL","BFA",2016,"hib3_pct","observed",4615
"BF81FL","BFA",2020,"hib3_pct","observed",14728
"BF81FL","BFA",2019,"pcv3_pct","observed",16641
"BF81FL","BFA",2017,"pcv3_pct","observed",17344
"BF81FL","BFA",2021,"pcv3_pct","observed",2916
"BF81FL","BFA",2018,"pcv3_pct","observed",17883
"BF81FL","BFA",2016,"pcv3_pct","observed",4615
"BF81FL","BFA",2020,"pcv3_pct","observed",14728
"BF81FL","BFA",2019,"rotavirus_pct","observed",16641
"BF81FL","BFA",2017,"rotavirus_pct","observed",17344
"BF81FL","BFA",2021,"rotavirus_pct","observed",2916
"BF81FL","BFA",2018,"rotavirus_pct","observed",17883
"BF81FL","BFA",2016,"rotavirus_pct","observed",4615
"BF81FL","BFA",2020,"rotavirus_pct","observed",14728
"CI62FL","CIV",2012,"hib3_pct","observed",199
"CI62FL","CIV",2008,"hib3_pct","not_observed:pre_series_assumed_not_introduced",8870
"CI62FL","CIV",2010,"hib3_pct","observed",9111
"CI62FL","CIV",2011,"hib3_pct","observed",4896
"CI62FL","CIV",2009,"hib3_pct","observed",9259
"CI62FL","CIV",2007,"hib3_pct","not_observed:pre_series_assumed_not_introduced",7425
"CI62FL","CIV",2012,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",199
"CI62FL","CIV",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",8870
"CI62FL","CIV",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",9111
"CI62FL","CIV",2011,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",4896
"CI62FL","CIV",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",9259
"CI62FL","CIV",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",7425
"CI62FL","CIV",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",199
"CI62FL","CIV",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",8870
"CI62FL","CIV",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",9111
"CI62FL","CIV",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",4896
"CI62FL","CIV",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",9259
"CI62FL","CIV",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",7425
"CI81FL","CIV",2018,"hib3_pct","observed",14330
"CI81FL","CIV",2020,"hib3_pct","observed",13269
"CI81FL","CIV",2016,"hib3_pct","observed",1924
"CI81FL","CIV",2019,"hib3_pct","observed",13935
"CI81FL","CIV",2017,"hib3_pct","observed",13916
"CI81FL","CIV",2021,"hib3_pct","observed",3791
"CI81FL","CIV",2018,"pcv3_pct","observed",14330
"CI81FL","CIV",2020,"pcv3_pct","observed",13269
"CI81FL","CIV",2016,"pcv3_pct","observed",1924
"CI81FL","CIV",2019,"pcv3_pct","observed",13935
"CI81FL","CIV",2017,"pcv3_pct","observed",13916
"CI81FL","CIV",2021,"pcv3_pct","observed",3791
"CI81FL","CIV",2018,"rotavirus_pct","observed",14330
"CI81FL","CIV",2020,"rotavirus_pct","observed",13269
"CI81FL","CIV",2016,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1924
"CI81FL","CIV",2019,"rotavirus_pct","observed",13935
"CI81FL","CIV",2017,"rotavirus_pct","observed",13916
"CI81FL","CIV",2021,"rotavirus_pct","observed",3791
"CM44FL","CMR",2000,"hib3_pct","not_observed:pre_series_assumed_not_introduced",10146
"CM44FL","CMR",2002,"hib3_pct","not_observed:pre_series_assumed_not_introduced",10411
"CM44FL","CMR",2004,"hib3_pct","not_observed:pre_series_assumed_not_introduced",805
"CM44FL","CMR",2003,"hib3_pct","not_observed:pre_series_assumed_not_introduced",7487
"CM44FL","CMR",2000,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10146
"CM44FL","CMR",2002,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10411
"CM44FL","CMR",2004,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",805
"CM44FL","CMR",2003,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",7487
"CM44FL","CMR",2000,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10146
"CM44FL","CMR",2002,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10411
"CM44FL","CMR",2004,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",805
"CM44FL","CMR",2003,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",7487
"CM61FL","CMR",2009,"hib3_pct","observed",14608
"CM61FL","CMR",2008,"hib3_pct","not_observed:pre_series_assumed_not_introduced",14637
"CM61FL","CMR",2006,"hib3_pct","not_observed:pre_series_assumed_not_introduced",9910
"CM61FL","CMR",2010,"hib3_pct","observed",10190
"CM61FL","CMR",2007,"hib3_pct","not_observed:pre_series_assumed_not_introduced",14382
"CM61FL","CMR",2011,"hib3_pct","observed",892
"CM61FL","CMR",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",14608
"CM61FL","CMR",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",14637
"CM61FL","CMR",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",9910
"CM61FL","CMR",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10190
"CM61FL","CMR",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",14382
"CM61FL","CMR",2011,"pcv3_pct","observed",892
"CM61FL","CMR",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",14608
"CM61FL","CMR",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",14637
"CM61FL","CMR",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",9910
"CM61FL","CMR",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10190
"CM61FL","CMR",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",14382
"CM61FL","CMR",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",892
"CM71FL","CMR",2016,"hib3_pct","observed",10558
"CM71FL","CMR",2015,"hib3_pct","observed",10596
"CM71FL","CMR",2014,"hib3_pct","observed",10509
"CM71FL","CMR",2018,"hib3_pct","observed",1933
"CM71FL","CMR",2017,"hib3_pct","observed",9365
"CM71FL","CMR",2013,"hib3_pct","observed",3013
"CM71FL","CMR",2016,"pcv3_pct","observed",10558
"CM71FL","CMR",2015,"pcv3_pct","observed",10596
"CM71FL","CMR",2014,"pcv3_pct","observed",10509
"CM71FL","CMR",2018,"pcv3_pct","observed",1933
"CM71FL","CMR",2017,"pcv3_pct","observed",9365
"CM71FL","CMR",2013,"pcv3_pct","observed",3013
"CM71FL","CMR",2016,"rotavirus_pct","observed",10558
"CM71FL","CMR",2015,"rotavirus_pct","observed",10596
"CM71FL","CMR",2014,"rotavirus_pct","observed",10509
"CM71FL","CMR",2018,"rotavirus_pct","observed",1933
"CM71FL","CMR",2017,"rotavirus_pct","observed",9365
"CM71FL","CMR",2013,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",3013
"CD51FL","COD",2003,"hib3_pct","not_observed:pre_series_assumed_not_introduced",10491
"CD51FL","COD",2005,"hib3_pct","not_observed:pre_series_assumed_not_introduced",11002
"CD51FL","COD",2006,"hib3_pct","not_observed:pre_series_assumed_not_introduced",8728
"CD51FL","COD",2004,"hib3_pct","not_observed:pre_series_assumed_not_introduced",10839
"CD51FL","COD",2002,"hib3_pct","not_observed:pre_series_assumed_not_introduced",5349
"CD51FL","COD",2007,"hib3_pct","not_observed:pre_series_assumed_not_introduced",969
"CD51FL","COD",2003,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10491
"CD51FL","COD",2005,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",11002
"CD51FL","COD",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",8728
"CD51FL","COD",2004,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10839
"CD51FL","COD",2002,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",5349
"CD51FL","COD",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",969
"CD51FL","COD",2003,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10491
"CD51FL","COD",2005,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",11002
"CD51FL","COD",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",8728
"CD51FL","COD",2004,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10839
"CD51FL","COD",2002,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",5349
"CD51FL","COD",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",969
"CD61FL","COD",2013,"hib3_pct","observed",8120
"CD61FL","COD",2011,"hib3_pct","observed",23920
"CD61FL","COD",2012,"hib3_pct","observed",23389
"CD61FL","COD",2009,"hib3_pct","observed",21840
"CD61FL","COD",2010,"hib3_pct","observed",23239
"CD61FL","COD",2008,"hib3_pct","not_observed:pre_series_assumed_not_introduced",1615
"CD61FL","COD",2014,"hib3_pct","observed",2
"CD61FL","COD",2013,"pcv3_pct","observed",8120
"CD61FL","COD",2011,"pcv3_pct","observed",23920
"CD61FL","COD",2012,"pcv3_pct","observed",23389
"CD61FL","COD",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",21840
"CD61FL","COD",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",23239
"CD61FL","COD",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",1615
"CD61FL","COD",2014,"pcv3_pct","observed",2
"CD61FL","COD",2013,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",8120
"CD61FL","COD",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",23920
"CD61FL","COD",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",23389
"CD61FL","COD",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",21840
"CD61FL","COD",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",23239
"CD61FL","COD",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1615
"CD61FL","COD",2014,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",2
"CD81FL","COD",2023,"hib3_pct","observed",10168
"CD81FL","COD",2022,"hib3_pct","observed",30593
"CD81FL","COD",2019,"hib3_pct","observed",30896
"CD81FL","COD",2020,"hib3_pct","observed",31866
"CD81FL","COD",2018,"hib3_pct","observed",2333
"CD81FL","COD",2021,"hib3_pct","observed",31765
"CD81FL","COD",2023,"pcv3_pct","observed",10168
"CD81FL","COD",2022,"pcv3_pct","observed",30593
"CD81FL","COD",2019,"pcv3_pct","observed",30896
"CD81FL","COD",2020,"pcv3_pct","observed",31866
"CD81FL","COD",2018,"pcv3_pct","observed",2333
"CD81FL","COD",2021,"pcv3_pct","observed",31765
"CD81FL","COD",2023,"rotavirus_pct","observed",10168
"CD81FL","COD",2022,"rotavirus_pct","observed",30593
"CD81FL","COD",2019,"rotavirus_pct","observed",30896
"CD81FL","COD",2020,"rotavirus_pct","observed",31866
"CD81FL","COD",2018,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",2333
"CD81FL","COD",2021,"rotavirus_pct","observed",31765
"CG51FL","COG",2004,"hib3_pct","not_observed:pre_series_assumed_not_introduced",5358
"CG51FL","COG",2005,"hib3_pct","not_observed:pre_series_assumed_not_introduced",1271
"CG51FL","COG",2003,"hib3_pct","not_observed:pre_series_assumed_not_introduced",6203
"CG51FL","COG",2000,"hib3_pct","not_observed:pre_series_assumed_not_introduced",1820
"CG51FL","COG",2002,"hib3_pct","not_observed:pre_series_assumed_not_introduced",5612
"CG51FL","COG",2004,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",5358
"CG51FL","COG",2005,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",1271
"CG51FL","COG",2003,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",6203
"CG51FL","COG",2000,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",1820
"CG51FL","COG",2002,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",5612
"CG51FL","COG",2004,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",5358
"CG51FL","COG",2005,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1271
"CG51FL","COG",2003,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",6203
"CG51FL","COG",2000,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1820
"CG51FL","COG",2002,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",5612
"CG61FL","COG",2007,"hib3_pct","not_observed:pre_series_assumed_not_introduced",10684
"CG61FL","COG",2011,"hib3_pct","observed",3805
"CG61FL","COG",2010,"hib3_pct","observed",11641
"CG61FL","COG",2008,"hib3_pct","not_observed:pre_series_assumed_not_introduced",11575
"CG61FL","COG",2009,"hib3_pct","observed",11833
"CG61FL","COG",2006,"hib3_pct","not_observed:pre_series_assumed_not_introduced",1477
"CG61FL","COG",2012,"hib3_pct","observed",1
"CG61FL","COG",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10684
"CG61FL","COG",2011,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",3805
"CG61FL","COG",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",11641
"CG61FL","COG",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",11575
"CG61FL","COG",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",11833
"CG61FL","COG",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",1477
"CG61FL","COG",2012,"pcv3_pct","observed",1
"CG61FL","COG",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10684
"CG61FL","COG",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",3805
"CG61FL","COG",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",11641
"CG61FL","COG",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",11575
"CG61FL","COG",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",11833
"CG61FL","COG",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1477
"CG61FL","COG",2012,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",1
