"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,1448,95,4856,1448,95,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,1199,31,3937,1199,31,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,1347,37,4573,1347,37,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,1523,85,5118,1523,85,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,1245,25,4197,1245,25,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,1305,28,4369,1305,28,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,995,22,3410,995,22,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,1303,31,4378,1303,31,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,1222,59,4071,1222,59,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:karusi",4704,1368,42,4704,1368,42,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,1323,44,4381,1323,44,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,941,27,3141,941,27,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:rutana",3981,1187,43,3981,1187,43,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:gitega",4542,1386,73,4542,1386,73,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,1274,60,4253,1274,60,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,1401,65,4745,1401,65,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,1157,44,3862,1157,44,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,1034,24,3504,1034,24,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,1448,95,4856,1448,95,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,1199,31,3937,1199,31,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,1347,37,4573,1347,37,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,1523,85,5118,1523,85,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,1245,25,4197,1245,25,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,1305,28,4369,1305,28,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,995,22,3410,995,22,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,1303,31,4378,1303,31,"regional_baseline"
"BJ41FL","BEN","BEN:BJ41FL:atlantique",1588,1053,38,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7372,2293,162,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8252,2609,202,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",8992,2829,157,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:borgou",8942,2764,152,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:collines",5772,1815,112,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7166,2287,121,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:donga",4333,1408,119,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5193,1601,60,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:mono",5383,1691,57,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:oueme",9601,3008,212,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4168,1333,76,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:zou",8545,2715,161,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7822,2349,177,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8947,2727,222,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",9449,2890,164,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:borgou",9388,2809,162,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:collines",6110,1870,124,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7620,2357,131,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:donga",4641,1450,125,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5500,1636,63,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:mono",5754,1748,64,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:oueme",10201,3075,224,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4413,1359,80,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:zou",8989,2757,172,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7373,2294,162,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8260,2611,202,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",9017,2836,157,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:borgou",8942,2764,152,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:collines",5772,1815,112,0,0,0,"regional_baseline"
