"label","n_hh","w_hh","matched","numeric_code","group_rule_improved","svkey","v113_class"
"piped into yard/plot",226,196.945778,TRUE,FALSE,NA,"BF43FL","character"
"pond, lake",557,640.575167999998,FALSE,FALSE,NA,"BF43FL","character"
"protected public well",1828,1745.561276,TRUE,FALSE,NA,"BF43FL","character"
"protected well in dwelling",767,885.868795999998,TRUE,FALSE,NA,"BF43FL","character"
"protected well in yard/plot",36,25.77913,TRUE,FALSE,NA,"BF43FL","character"
"public tap",935,872.213660000003,TRUE,FALSE,NA,"BF43FL","character"
"rainwater",2,2.211507,TRUE,FALSE,NA,"BF43FL","character"
"river, stream",249,200.920336,FALSE,FALSE,NA,"BF43FL","character"
"spring",77,74.950915,FALSE,FALSE,NA,"BF43FL","character"
"bottled water",5,6.786986,TRUE,FALSE,NA,"BF62FL","character"
"cart with small tank",5,5.463045,FALSE,FALSE,NA,"BF62FL","character"
"not a dejure resident",58,54.736634,FALSE,FALSE,NA,"BF62FL","character"
"piped into dwelling",213,236.966111,TRUE,FALSE,NA,"BF62FL","character"
"piped to yard/plot",436,484.483153000001,TRUE,FALSE,NA,"BF62FL","character"
"protected spring",16,17.308027,TRUE,FALSE,NA,"BF62FL","character"
"protected well",1042,1063.158617,TRUE,FALSE,NA,"BF62FL","character"
"public tap/standpipe",1789,1548.83028499999,TRUE,FALSE,NA,"BF62FL","character"
"rainwater",3,2.748548,TRUE,FALSE,NA,"BF62FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",598,666.913420999998,FALSE,FALSE,NA,"BF62FL","character"
"tanker truck",1,1.514459,FALSE,FALSE,NA,"BF62FL","character"
"tube well or borehole",4638,4591.55358300003,TRUE,FALSE,NA,"BF62FL","character"
"unprotected spring",83,87.9962409999999,FALSE,FALSE,NA,"BF62FL","character"
"unprotected well",1555,1676.037328,FALSE,FALSE,NA,"BF62FL","character"
"autonomous water station",108,78.002426,FALSE,FALSE,NA,"BF81FL","character"
"borehole",3687,3528.14705300001,TRUE,FALSE,NA,"BF81FL","character"
"bottled water",6,9.84601,TRUE,FALSE,NA,"BF81FL","character"
"cart with small tank",15,20.312071,FALSE,FALSE,NA,"BF81FL","character"
"not a dejure resident",62,65.867101,FALSE,FALSE,NA,"BF81FL","character"
"other",3,2.385573,FALSE,FALSE,NA,"BF81FL","character"
"piped into dwelling",253,294.197083,TRUE,FALSE,NA,"BF81FL","character"
"piped to neighbor",34,37.461288,TRUE,FALSE,NA,"BF81FL","character"
"piped to yard/plot",1100,1198.967922,TRUE,FALSE,NA,"BF81FL","character"
"protected spring",12,8.435434,TRUE,FALSE,NA,"BF81FL","character"
"protected well",383,331.641788,TRUE,FALSE,NA,"BF81FL","character"
"public tap/standpipe",557,536.631873000001,TRUE,FALSE,NA,"BF81FL","character"
"rainwater",3,3.11023,TRUE,FALSE,NA,"BF81FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",73,71.508182,FALSE,FALSE,NA,"BF81FL","character"
"sachet water",54,64.917892,TRUE,FALSE,NA,"BF81FL","character"
"standpipe",1072,1018.322206,TRUE,FALSE,NA,"BF81FL","character"
"tanker truck",2,2.455545,FALSE,FALSE,NA,"BF81FL","character"
"tube well",992,1098.212155,TRUE,FALSE,NA,"BF81FL","character"
"unprotected spring",63,73.733176,FALSE,FALSE,NA,"BF81FL","character"
"unprotected well",1456,1483.86772399999,FALSE,FALSE,NA,"BF81FL","character"
"bottled water",7,8.772682,TRUE,FALSE,NA,"CI62FL","character"
"cart with small tank",3,4.376438,FALSE,FALSE,NA,"CI62FL","character"
"not a dejure resident",88,73.545701,FALSE,FALSE,NA,"CI62FL","character"
"other",33,29.603565,FALSE,FALSE,NA,"CI62FL","character"
"piped into dwelling",570,695.674319,TRUE,FALSE,NA,"CI62FL","character"
"piped to yard/plot",1103,1159.212379,TRUE,FALSE,NA,"CI62FL","character"
"protected spring",28,32.050511,TRUE,FALSE,NA,"CI62FL","character"
"protected well",1020,1016.217986,TRUE,FALSE,NA,"CI62FL","character"
"public tap/standpipe",953,914.983044000004,TRUE,FALSE,NA,"CI62FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",288,298.580997000001,FALSE,FALSE,NA,"CI62FL","character"
"tanker truck",2,1.995851,FALSE,FALSE,NA,"CI62FL","character"
"tube well or borehole",873,705.939048999999,TRUE,FALSE,NA,"CI62FL","character"
"unprotected spring",155,165.163661,FALSE,FALSE,NA,"CI62FL","character"
"unprotected well",743,764.768684999999,FALSE,FALSE,NA,"CI62FL","character"
"bottled water",34,28.428396,TRUE,FALSE,NA,"CI81FL","character"
"not a dejure resident",122,123.273028,FALSE,FALSE,NA,"CI81FL","character"
"other",6,10.293365,FALSE,FALSE,NA,"CI81FL","character"
"piped into dwelling",1450,2017.64029200001,TRUE,FALSE,NA,"CI81FL","character"
"piped to neighbor",351,390.399456,TRUE,FALSE,NA,"CI81FL","character"
"piped to yard/plot",1126,1067.32854099999,TRUE,FALSE,NA,"CI81FL","character"
"protected spring",125,113.79374,TRUE,FALSE,NA,"CI81FL","character"
"protected well",2188,1946.22915200001,TRUE,FALSE,NA,"CI81FL","character"
"public tap/standpipe",604,566.520137000001,TRUE,FALSE,NA,"CI81FL","character"
"rainwater",5,4.056691,TRUE,FALSE,NA,"CI81FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",359,296.55319,FALSE,FALSE,NA,"CI81FL","character"
"tanker truck",5,11.355331,FALSE,FALSE,NA,"CI81FL","character"
"tube well or borehole",1441,1163.732362,TRUE,FALSE,NA,"CI81FL","character"
"unprotected spring",168,154.125254,FALSE,FALSE,NA,"CI81FL","character"
"unprotected well",1067,971.063231999999,FALSE,FALSE,NA,"CI81FL","character"
"water bag",63,52.06326,FALSE,FALSE,NA,"CI81FL","character"
"along the road",1222,1237.80851,FALSE,FALSE,NA,"CM44FL","character"
"in the courtyard",217,234.03464,FALSE,FALSE,NA,"CM44FL","character"
"in the house",427,483.562479999999,FALSE,FALSE,NA,"CM44FL","character"
"non protected well",668,710.883259999998,TRUE,FALSE,NA,"CM44FL","character"
"not dejure resident",250,222.51824,FALSE,FALSE,NA,"CM44FL","character"
"of a neighbor",336,370.06361,FALSE,FALSE,NA,"CM44FL","character"
"other",67,77.04573,FALSE,FALSE,NA,"CM44FL","character"
"protected source",415,354.665999999999,TRUE,FALSE,NA,"CM44FL","character"
"protected without pump",379,415.036069999999,TRUE,FALSE,NA,"CM44FL","character"
"rainwater",4,3.89485,TRUE,FALSE,NA,"CM44FL","character"
"river/stream not protected",1381,1194.67469000001,TRUE,FALSE,NA,"CM44FL","character"
"well with pump",668,696.78121,FALSE,FALSE,NA,"CM44FL","character"
"bottled water",28,32.473845,TRUE,FALSE,NA,"CM61FL","character"
"cart with small tank",31,40.70968,FALSE,FALSE,NA,"CM61FL","character"
"not a dejure resident",186,167.948374,FALSE,FALSE,NA,"CM61FL","character"
"other",73,85.741168,FALSE,FALSE,NA,"CM61FL","character"
"piped into dwelling",566,602.220707000001,TRUE,FALSE,NA,"CM61FL","character"
"piped to yard/plot",525,543.423091,TRUE,FALSE,NA,"CM61FL","character"
"protected spring",502,474.316386,TRUE,FALSE,NA,"CM61FL","character"
