"svkey","regkey","recomputed","corrected","share_numeric_codes"
"ET51FL","diredawa",90.5845393269602,91.8621300482903,0
"ET51FL","gambela",56.7562160970857,57.0971308479617,0
"ET51FL","harari",79.0847562718412,80.0708520481304,0
"ET51FL","oromiya",60.0320906620846,60.3130296178593,0
"ET51FL","snnp",55.7212058774648,56.0166858350283,0
"ET51FL","somali",30.6920214231477,30.6920214231477,0
"ET51FL","tigray",69.3678261278619,69.583012483361,0
"ET61FL","addisababa",99.0336571267969,99.8540823439909,0
"ET61FL","affar",41.430637441264,41.6515223448511,0
"ET61FL","amhara",54.279048610461,54.9984272370947,0
"ET61FL","benishangulgumuz",54.548049530867,55.2910030913893,0
"ET61FL","diredawa",83.1672962246793,84.3429644117385,0
"ET61FL","gambela",66.5401271500654,67.1137956021645,0
"ET61FL","harari",79.0557135188293,80.1323569413751,0
"ET61FL","oromiya",44.0281211900952,44.7942490844253,0
"ET61FL","snnp",44.1434477352504,44.4096314065232,0
"ET61FL","somali",46.5779113396106,47.2016014741317,0
"ET61FL","tigray",65.1291240351889,65.9163867686278,0
"ET71FL","addisababa",97.6299758675365,99.2783596469018,0
"ET71FL","affar",54.1509176168126,54.2986169449457,0
"ET71FL","amhara",59.2446705379618,60.3617131372389,0
"ET71FL","benishangulgumuz",81.1942956287669,81.3435480421368,0
"ET71FL","diredawa",84.8843048480578,86.2601174443651,0
"ET71FL","gambela",81.9842655075426,82.2497702162194,0
"ET71FL","harari",78.9199916048342,79.2033154345519,0
"ET71FL","oromiya",60.6220302627126,61.0426619029153,0
"ET71FL","snnp",57.7865018692398,58.095687889621,0
"ET71FL","somali",40.1341477472873,40.2126282401249,0
"ET71FL","tigray",76.3365643681758,76.944210821721,0
"ET81FL","addisababa",95.9863604644509,96.5022653609535,0
"ET81FL","afar",49.8214286635632,49.8214286635632,0
"ET81FL","amhara",66.9723644668622,67.5508735979945,0
"ET81FL","benishangulgumuz",83.2428996041672,84.0922735528524,0
"ET81FL","diredawa",85.1793141291851,85.9813550582053,0
"ET81FL","gambela",67.4947623854443,67.4947623854443,0
"ET81FL","harari",86.8042999426908,86.9836931935784,0
"ET81FL","oromia",66.0668131762733,66.2984303695633,0
"ET81FL","snnpr",72.1901104268047,72.4372239818734,0
"ET81FL","somali",39.479560681084,39.5547058688671,0
"ET81FL","tigray",76.7342220638167,77.1130160107481,0
"ET8AFL","addisababa",83.2250632305244,84.4230931766693,0
"ET8AFL","afar",38.8249634446211,39.1178393064772,0
"ET8AFL","amhara",83.4948569842955,84.4408865586612,0
"ET8AFL","benishangulgumuz",84.0696008406521,84.5147816204141,0
"ET8AFL","centralethiopia",77.5999181624104,79.2546445450921,0
"ET8AFL","diredawa",75.1789946633337,76.1236703954524,0
"ET8AFL","gambella",65.7429519651609,65.964790245976,0
"ET8AFL","harari",70.1063962908206,70.823964500208,0
"ET8AFL","oromia",68.1888046492568,68.6791660640265,0
"ET8AFL","sidama",67.4921548737063,68.084693472397,0
"ET8AFL","somali",36.4173160502882,36.5910837056187,0
"ET8AFL","southethiopia",62.4452084361632,63.429053986846,0
"ET8AFL","southwestethiopia",47.0264756978482,47.4918166098246,0
"ET8AFL","tigray",75.1965711906032,75.5487666578677,0
"GA41FL","east",72.1321867536293,72.1321867536293,0
"GA41FL","librevilleportgentil",99.6966632962588,99.6966632962588,0
"GA41FL","north",43.8590110989659,43.8590110989659,0
"GA41FL","south",65.1583872370439,65.1583872370439,0
"GA41FL","west",67.0770528785794,67.0770528785794,0
"GA61FL","estuaire",84.8109842112515,91.7609375332473,3.58537454558064
"GA61FL","hautogooue",88.6814182361857,92.3344355205371,2.79980369647881
"GA61FL","libervilleportgentil",97.5328044231047,99.1326620505313,0.0990498335962838
"GA61FL","moyenogooue",82.5025957804965,86.7799127207713,3.2022716560003
"GA61FL","ngounie",75.9984282069486,78.4195741284291,0.56924306695588
"GA61FL","nyanga",81.4619849968289,84.4650977816333,1.32552174687531
"GA61FL","ogooueivindo",71.5061670626792,84.8215618610681,12.477382468213
"GA61FL","ogoouelolo",72.51113536052,77.7072335491793,2.55207566630404
"GA61FL","ogoouemaritime",86.6414615967883,91.8419872642087,3.31168886516183
"GA61FL","woleuntem",78.6064998373719,83.367552320445,3.25143925294733
"GA71FL","estuaire",94.0399355823764,95.3685738791298,0
"GA71FL","hautogooue",93.5774809299813,94.3982487946866,0
"GA71FL","liberville",97.0336153705355,98.4830003302597,0
"GA71FL","moyenogooue",84.0277968734829,84.7243219711024,0
"GA71FL","ngounie",85.8652540480126,87.3734494418672,0
"GA71FL","nyanga",84.4896196980089,86.0414704115978,0
"GA71FL","ogooueivindo",58.2424413681719,60.7970959842769,0
"GA71FL","ogoouelolo",71.5558087977124,73.1429531434662,0
"GA71FL","ogoouemaritime",80.1099696708189,80.8140752726118,0
"GA71FL","portgentil",98.1244449808034,100,0
"GA71FL","woleuntem",79.8511608071366,81.4236254909121,0
"GH4BFL","ashanti",70.9174478080789,71.1555703567961,0
"GH4BFL","brongahafo",65.3469687455938,65.3469687455938,0
"GH4BFL","central",56.5411587382639,56.5411587382639,0
"GH4BFL","eastern",60.5663648632007,60.7457012658416,0
"GH4BFL","greateraccra",81.642979742628,82.5251950791107,0
"GH4BFL","northern",41.229761023407,41.5939933160995,0
"GH4BFL","uppereast",65.2897368180135,65.8696169858242,0
"GH4BFL","upperwest",69.0345693355106,69.5502664061318,0
"GH4BFL","volta",59.4515199589759,60.0457285749606,0
"GH4BFL","western",70.4858187626222,71.4457033782432,0
"GH5AFL","ashanti",94.3526600634328,95.3299676211357,0
"GH5AFL","brongahafo",78.3929798126545,78.3929798126545,0
"GH5AFL","central",84.9149394578159,86.4994542720378,0
"GH5AFL","eastern",85.6756607908993,86.5249686362371,0
"GH5AFL","greateraccra",97.6528192034991,97.8996872481173,0
"GH5AFL","northern",72.942642247243,72.942642247243,0
"GH5AFL","uppereast",95.848897631138,95.848897631138,0
"GH5AFL","upperwest",97.180217302647,97.5533302205327,0
"GH5AFL","volta",70.4477058979761,71.4148691687542,0
"GH5AFL","western",73.2449169735351,73.2449169735351,0
"GH72FL","ashanti",93.2589060911024,95.200230355536,0
