"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"MW61FL",79.9592148439582,80.0919785262297,0,79.8,2010,0.159214843958182,0.291978526229713,0
"MW7AFL",87.442079763812,87.4593732783867,0,87.2,2015,0.242079763812029,0.259373278386747,0
"MW81FL",88.7222427714433,88.7274457302237,0,88.5,2024,0.222242771443263,0.227445730223678,0
"MZ41FL",14.8491193676938,43.1109525127488,0,42,2003,-27.1508806323062,1.11095251274877,0
"MZ62FL",45.9545843031218,52.5121231787768,0,51.2,2011,-5.24541569687819,1.31212317877684,0
"MZ81FL",61.3774031764044,62.1550819645072,0,61.6,2022,-0.222596823595573,0.555081964507174,0
"NG4BFL",40.9622178339432,44.2289756672313,0,49.3,2003,-8.33778216605676,-5.07102433276869,0
"NG53FL",56.4816285566031,58.2037684060834,0,60.4,2008,-3.91837144339691,-2.1962315939166,0
"NG61FL",56.2222307807643,58.1285613440393,0,59.8,2010,-3.57776921923568,-1.67143865596066,0
"NG6AFL",64.1122037347938,65.9709986907915,0,68.3,2013,-4.18779626520619,-2.32900130920854,0
"NG7BFL",70.7929367879141,73.6404627730732,0,75.4,2018,-4.60706321208589,-1.75953722692685,0
"NG8BFL",74.4015577452085,76.1549834779704,0,78.3,2024,-3.89844225479155,-2.14501652202964,0
"NI51FL",40.6591552427701,40.6591552427701,0,41.4,2006,-0.74084475722988,-0.74084475722988,0
"NI61FL",66.7488524249216,66.7667540947307,0,67.1,2012,-0.3511475750784,-0.333245905269322,0
"NM41FL",79.7678066292912,79.9155532238994,0,79.6,2000,0.167806629291249,0.315553223899357,0
"NM51FL",88.3299600331581,89.0205714310153,0,89.2,2006,-0.870039966841915,-0.179428568984719,0
"NM61FL",86.5214760226627,87.1683260506565,0,87.5,2013,-0.978523977337261,-0.331673949343454,0
"RW41FL",40.0151705379492,40.172798626203,0,40.5,2000,-0.484829462050769,-0.327201373797024,0
"RW53FL",33.457184026424,33.469600598089,0,33.9,2005,-0.442815973575989,-0.430399401910947,0
"RW5AFL",41.6784169720068,41.7129811045879,0,41.6,2008,0.0784169720068064,0.112981104587853,0
"RW61FL",72.9100557307213,72.9223352001611,0,73.8,2010,-0.889944269278743,-0.877664799838911,0
"RW70FL",71.7444004278977,71.7984548173318,0,73,2015,-1.25559957210227,-1.20154518266818,0
"RW81FL",79.689739476701,79.8351115542082,0,80.4,2019,-0.710260523299056,-0.564888445791766,0
"SL51FL",50.5333548086767,50.8592002551869,0,51.4,2008,-0.866645191323272,-0.540799744813086,0
"SL61FL",59.5080656613554,59.7321291797039,0,60.9,2013,-1.39193433864464,-1.16787082029613,0
"SL7AFL",66.0572329815678,66.2333778969138,0,67,2019,-0.942767018432178,-0.76662210308622,0
"SN4AFL",68.0982632208001,68.0982632208001,0,70.6,2005,-2.50173677919985,-2.50173677919985,1.35163888371106
"SN5AFL",73.5767950426932,74.0063148911687,0,74.3,2008,-0.723204957306777,-0.293685108831312,0
"SN61FL",78.1755040128728,78.9652805929477,0,79.7,2010,-1.52449598712718,-0.734719407052296,0
"SN6DFL",74.741405352595,77.5316439919902,0,78.8,2012,-4.05859464740504,-1.2683560080098,0
"SN71FL",80.9143588450237,82.8634526210714,0,83.7,2014,-2.78564115497629,-0.836547378928628,0
"SN7AFL",74.0429915901446,77.2309928940143,0,78.6,2015,-4.55700840985544,-1.36900710598569,0
"SN7IFL",80.682210997301,84.7426869322887,0,85.6,2016,-4.91778900269901,-0.857313067711317,0
"SN7ZFL",79.8087175925382,83.7994063655666,0,85.1,2017,-5.29128240746181,-1.30059363443344,0
"SN81FL",80.3377792583351,85.2059901624884,0,85.6,2018,-5.26222074166485,-0.394009837511589,0
"SN8BFL",79.8981052795807,85.3537395632987,0,86.2,2019,-6.30189472041931,-0.846260436701343,0
"SN8SFL",87.3796402528727,90.4493727437937,0,90.9,2023,-3.52035974712726,-0.450627256206289,0
"ST51FL",94.4644907803112,94.4644907803112,0,94.2,2008,0.264490780311149,0.264490780311149,0
"SZ51FL",68.2438467334352,69.6888089660974,0,71.4,2006,-3.15615326656476,-1.71119103390262,0
"TD41FL",45.101897224762,39.3073569672612,0,40.4,2004,4.70189722476204,-1.09264303273881,0
"TD71FL",55.9611769939324,56.5263868929662,0,55.8,2014,0.161176993932415,0.726386892966232,0
"TG61FL",64.4477912215355,66.7739204074926,0,67.7,2013,-3.25220877846448,-0.92607959250742,0
"TZ4IFL",47.9020643129396,48.967235028583,0,51.3,2004,-3.39793568706038,-2.332764971417,0
"TZ63FL",49.2291763229151,51.2571983095067,0,51.8,2010,-2.57082367708492,-0.542801690493249,0
"TZ7BFL",61.4140997225169,63.6687155133197,0,64,2015,-2.58590027748308,-0.331284486680303,0
"TZ82FL",71.9760169297328,72.7370620914769,0,73.5,2022,-1.52398307026721,-0.762937908523114,0
"UG41FL",52.3015704195182,52.8889794085159,0,52.6,2000,-0.298429580481837,0.288979408515893,0
"UG52FL",67.2506092570503,68.3806557765705,0,68,2006,-0.749390742949686,0.380655776570549,0
"UG5AFL",71.0157676797133,71.0157676797133,0,70.3,2009,0.715767679713323,0.715767679713323,0
"UG61FL",70.7640893933433,71.9521347734867,0,71.4,2011,-0.635910606656708,0.552134773486699,0
"UG7BFL",78.2648231052375,78.8607597808439,0,79.2,2016,-0.935176894762478,-0.33924021915611,0
"ZA71FL",92.0261797317615,94.8232755697347,0,95.3,2016,-3.27382026823848,-0.476724430265264,0
"ZM42FL",52.8546120439336,52.880021385026,0,51.3,2002,1.55461204393363,1.58002138502597,0
"ZM51FL",42.1777455720918,42.2260774122742,0,41.1,2007,1.07774557209178,1.12607741227421,0
"ZM61FL",64.92693817194,65.0913871775266,0,64.7,2013,0.226938171940034,0.391387177526553,0
"ZM71FL",72.1119488700004,72.1283320571577,0,72.3,2018,-0.188051129999565,-0.171667942842291,0
"ZM81FL",70.2797958454372,70.8953529782162,0,71.4,2024,-1.12020415456276,-0.504647021783768,0
"ZW52FL",76.3902340792347,76.7176645149195,0,78.5,2005,-2.10976592076531,-1.78233548508047,0
"ZW62FL",77.6433933298969,77.8823617094786,0,79,2010,-1.35660667010313,-1.11763829052137,0
"ZW72FL",77.5091696140159,77.7962817338156,0,78.4,2015,-0.890830385984074,-0.60371826618443,0
