"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"CM44FL",7.764643842778,34.872020789698,0,35.4,2004,-27.635356157222,-0.527979210301964,0
"CM61FL",59.1059146195741,59.1059146195741,0,59.2,2011,-0.0940853804259092,-0.0940853804259092,0
"CM71FL",58.9848493504577,58.9848493504577,0,61.3,2018,-2.31515064954232,-2.31515064954232,0
"ET41FL",0.532992840140351,0.532992840140351,0,0.6,2000,-0.067007159859649,-0.067007159859649,0
"ET51FL",11.6205295390328,11.6205295390328,0,12.9,2005,-1.27947046096723,-1.27947046096723,0
"ET61FL",15.7816808324651,15.7816808324651,0,17.8,2011,-2.01831916753489,-2.01831916753489,0
"ET71FL",12.7362606277057,12.7362606277057,0,14.8,2016,-2.06373937229428,-2.06373937229428,0
"ET81FL",18.2102507453746,18.2102507453746,0,19.5,2019,-1.28974925462537,-1.28974925462537,0
"ET8AFL",46.1822058296824,46.1822058296824,0,47,2024,-0.81779417031759,-0.81779417031759,0
"GA41FL",50.0180617881191,50.0180617881191,0,45.1,2000,4.91806178811915,4.91806178811915,0
"GA61FL",66.1000217146803,66.1000217146803,0,64.6,2012,1.50002171468033,1.50002171468033,0
"GA71FL",76.0373520769294,76.0373520769294,0,73.2,2019,2.83735207692941,2.83735207692941,0
"GH4BFL",33.4929801795554,33.4929801795554,0,36.7,2003,-3.20701982044456,-3.20701982044456,0
"GH5AFL",66.552583325398,66.552583325398,0,71.3,2008,-4.74741667460202,-4.74741667460202,0
"GH72FL",72.2876360232258,72.2876360232258,0,74.5,2014,-2.21236397677424,-2.21236397677424,0
"GH8CFL",65.4789254279853,65.4789254279853,0,69.1,2022,-3.62107457201468,-3.62107457201468,0
"GM61FL",59.2636987008594,59.2636987008594,0,60.9,2013,-1.63630129914056,-1.63630129914056,0
"GM81FL",69.1606288622135,69.1606288622135,0,71.5,2019,-2.33937113778654,-2.33937113778654,0
"GN52FL",4.1119139678956,26.7112962811128,0,27.6,2005,-23.4880860321044,-0.888703718887189,0
"GN62FL",43.4968736629691,43.4968736629691,0,44.2,2012,-0.703126337030859,-0.703126337030859,0
"GN71FL",50.2104254107935,50.2104254107935,0,51.5,2018,-1.28957458920652,-1.28957458920652,0
"KE42FL",17.9086271877776,17.9086271877776,0,19.4,2003,-1.49137281222241,-1.49137281222241,0
"KE52FL",46.8619747655287,46.8619747655287,0,49,2008,-2.13802523447133,-2.13802523447133,0
"KE72FL",51.6517557294257,51.6517557294257,0,53.2,2014,-1.5482442705743,-1.5482442705743,0
"KE8CFL",70.309881237475,70.309881237475,0,71.8,2022,-1.49011876252504,-1.49011876252504,0
"KM61FL",37.9875302676327,37.9875302676327,0,39.3,2012,-1.3124697323673,-1.3124697323673,0
"LB51FL",27.2202380458028,27.2202380458028,0,28.2,2007,-0.979761954197208,-0.979761954197208,0
"LB5AFL",43.8952879425655,43.8952879425655,0,43.9,2009,-0.00471205743448877,-0.00471205743448877,0
"LB6AFL",41.1070303391864,41.1070303391864,0,41.7,2013,-0.592969660813644,-0.592969660813644,0
"LB7AFL",47.4754094370843,47.4754094370843,0,46.5,2019,0.975409437084309,0.975409437084309,0
"MD42FL",2.56835983625364,2.56835983625364,50.0193865243888,3.1,2004,-0.531640163746362,-0.531640163746362,0
"MD51FL",5.45210212519608,4.03065829729067,1.42144382790542,4.4,2008,1.05210212519608,-0.369341702709335,0
"MD81FL",32.8137140134546,32.8137140134546,0,33.8,2021,-0.986285986545376,-0.986285986545376,0
"ML41FL",17.5585310360513,17.5585310360513,0,15,2001,2.55853103605131,2.55853103605131,0
"ML53FL",21.3400854292146,21.3400854292146,0,21.3,2006,0.0400854292146207,0.0400854292146207,0
"ML6AFL",41.048557682845,41.048557682845,0,41.3,2012,-0.251442317154961,-0.251442317154961,0
"ML7AFL",56.2370404066158,56.2370404066158,0,55.4,2018,0.837040406615813,0.837040406615813,0
"ML8AFL",71.8719814253275,71.8719814253275,0,71.9,2023,-0.0280185746725437,-0.0280185746725437,0
"MR71FL",57.5206701214094,57.5206701214094,0,58.9,2020,-1.37932987859063,-1.37932987859063,0
"MW41FL",3.52957604774655,3.52957604774655,0,3.6,2000,-0.0704239522534542,-0.0704239522534542,0
"MW4EFL",0,0,0,4.5,2004,-4.5,-4.5,99.3528841588576
"MW61FL",13.6886528401094,13.6886528401094,0,13.7,2010,-0.0113471598906081,-0.0113471598906081,0
"MW7AFL",83.3759493606637,83.3759493606637,0,82.9,2015,0.475949360663662,0.475949360663662,0
"MW81FL",48.010773304263,48.010773304263,20.988979280782,69,2024,-20.989226695737,-20.989226695737,0
"MZ41FL",3.85098331020653,3.85098331020653,0,2.3,2003,1.55098331020653,1.55098331020653,0
"MZ62FL",27.0527937616628,27.0527937616628,0,26.1,2011,0.952793761662821,0.952793761662821,0
"MZ81FL",37.1999096938002,37.1999096938002,0,36.1,2022,1.09990969380015,1.09990969380015,0
"NG4BFL",15.9719260521828,15.9719260521828,0,17.9,2003,-1.92807394781722,-1.92807394781722,0
"NG53FL",52.9310534468961,52.9310534468961,0,53.1,2008,-0.168946553103915,-0.168946553103915,0
"NG61FL",41.9412229197588,41.9412229197588,0,42.5,2010,-0.558777080241228,-0.558777080241228,0
"NG6AFL",53.5775122383769,53.5775122383769,0,55,2013,-1.42248776162311,-1.42248776162311,0
"NG7BFL",53.9338779805065,53.9338779805065,0,55.5,2018,-1.56612201949349,-1.56612201949349,0
"NG8BFL",65.0199668727628,65.0199668727628,0,66.6,2024,-1.58003312723717,-1.58003312723717,0
"NI51FL",8.42495230043277,8.42495230043277,0,8.4,2006,0.0249523004327674,0.0249523004327674,0
"NI61FL",18.7434475339142,18.7434475339142,0,18.8,2012,-0.0565524660858046,-0.0565524660858046,0
"NM41FL",39.2417081808907,39.2417081808907,0,38.3,2000,0.941708180890672,0.941708180890672,0
"NM51FL",45.9379188206758,45.9379188206758,0,47.3,2006,-1.36208117932418,-1.36208117932418,2.37038297406421
"NM61FL",48.2141876825387,48.2141876825387,0,49.2,2013,-0.985812317461317,-0.985812317461317,0
"RW41FL",8.5436282394827,8.5436282394827,0,8.5,2000,0.0436282394826968,0.0436282394826968,0
"RW53FL",0.86290219336199,28.2347263071218,0,28.5,2005,-27.637097806638,-0.26527369287815,0
"RW5AFL",56.9252059799052,56.9252059799052,0,56.3,2008,0.625205979905175,0.625205979905175,0
"RW61FL",74.2144440273366,74.2144440273366,0,74.3,2010,-0.0855559726634283,-0.0855559726634283,0
"RW70FL",71.2183401613031,71.2183401613031,0,71.2,2015,0.0183401613030583,0.0183401613030583,0
"RW81FL",71.9899871783738,71.9899871783738,0,72.2,2019,-0.210012821626236,-0.210012821626236,0
"SL51FL",42.9222018925873,42.9222018925873,0,44,2008,-1.0777981074127,-1.0777981074127,0
"SL61FL",48.6066250319471,48.6066250319471,0,49.3,2013,-0.693374968052929,-0.693374968052929,0
"SL7AFL",52.9725290917911,52.9725290917911,0,54.5,2019,-1.52747090820894,-1.52747090820894,0
"SN4AFL",0,0,0,18.7,2005,-18.7,-18.7,98.4134072666499
"SN5AFL",21.7634629717603,21.7634629717603,0,64.8,2008,-43.0365370282397,-43.0365370282397,98.6185477201015
"SN61FL",58.4865304833676,58.4865304833676,0,60.2,2010,-1.71346951663245,-1.71346951663245,0
"SN6DFL",60.1955489835367,60.1955489835367,0,63.8,2012,-3.60445101646328,-3.60445101646328,0
"SN71FL",64.3072251413908,64.3072251413908,0,65.9,2014,-1.59277485860918,-1.59277485860918,0
"SN7AFL",62.0835081210245,62.0835081210245,0,65.1,2015,-3.01649187897552,-3.01649187897552,0
"SN7IFL",65.3835161925318,65.3835161925318,0,68.1,2016,-2.71648380746817,-2.71648380746817,0
"SN7ZFL",70.360906147666,70.360906147666,0,72.7,2017,-2.339093852334,-2.339093852334,0
"SN81FL",76.6296361283757,76.6296361283757,0,77.8,2018,-1.17036387162426,-1.17036387162426,0
"SN8BFL",73.8505714688949,73.8505714688949,0,75.9,2019,-2.04942853110506,-2.04942853110506,0
"SN8SFL",77.8089370017243,77.8089370017243,0,78.7,2023,-0.891062998275743,-0.891062998275743,0
"ST51FL",0,0,0,38.1,2008,-38.1,-38.1,99.4677230638996
"SZ51FL",35.3910116125078,35.3910116125078,0,37.3,2006,-1.90898838749219,-1.90898838749219,0
"TD41FL",3.77047853875424,3.77047853875424,0,3.9,2004,-0.129521461245765,-0.129521461245765,0
"TD71FL",13.3494714049011,13.3494714049011,0,13.9,2014,-0.550528595098923,-0.550528595098923,0
"TG61FL",41.4636034783935,41.4636034783935,0,43.4,2013,-1.93639652160648,-1.93639652160648,0
"TZ4IFL",6.09964991890421,6.09964991890421,0,6.6,2004,-0.500350081095791,-0.500350081095791,0
"TZ63FL",20.2833441815389,20.2833441815389,0,20.6,2010,-0.316655818461072,-0.316655818461072,0
"TZ7BFL",34.8563608995054,34.8563608995054,0,74.9,2015,-40.0436391004946,-40.0436391004946,0
"TZ82FL",74.7609343917282,52.9650427746055,21.7958916171227,74.9,2022,-0.139065608271849,-21.9349572253945,0
"UG41FL",3.76813492104904,3.76813492104904,0,3.9,2000,-0.131865078950956,-0.131865078950956,0
"UG52FL",87.8394350176083,25.0645180580399,0,26.9,2006,60.9394350176083,-1.83548194196007,0
