"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"ET71FL",62.5196033110727,62.5196033110727,0,65.2,2016,-2.68039668892735,-2.68039668892735,0
"ET81FL",68.5278174001134,68.5278174001134,0,68.7,2019,-0.172182599886568,-0.172182599886568,0
"ET8AFL",72.1815197765728,73.2725199080081,0,74.9,2024,-2.71848022342718,-1.62748009199186,0
"GA41FL",83.4846818543891,83.4846818543891,0,78.8,2000,4.68468185438907,4.68468185438907,0
"GA61FL",93.8890238180739,93.8890238180739,0,93.1,2012,0.789023818073886,0.789023818073886,1.47853070919102
"GA71FL",94.1506715337965,94.1506715337965,0,92.5,2019,1.65067153379654,1.65067153379654,0
"GH4BFL",65.7481078838088,66.6072699426173,0,70,2003,-4.25189211619124,-3.39273005738271,0
"GH5AFL",85.9223519475767,85.9223519475767,0,87.5,2008,-1.57764805242327,-1.57764805242327,0
"GH72FL",89.0833567735688,89.0833567735688,0,90.1,2014,-1.01664322643123,-1.01664322643123,0
"GH8CFL",89.2181595026576,89.2181595026576,0,90.5,2022,-1.28184049734244,-1.28184049734244,0
"GM61FL",90.5438949814695,90.5438949814695,0,91,2013,-0.456105018530451,-0.456105018530451,0
"GM81FL",94.1602736429761,94.1602736429761,0,94.9,2019,-0.73972635702394,-0.73972635702394,0
"GN52FL",28.1319152744298,60.9776040381877,0,61.9,2005,-33.7680847255702,-0.922395961812342,0
"GN62FL",75.037868240616,75.037868240616,0,75,2012,0.0378682406160209,0.0378682406160209,0
"GN71FL",78.538253336334,78.538253336334,0,79.3,2018,-0.761746663665946,-0.761746663665946,0
"KE42FL",31.7440160659465,43.7044276364078,0,45.4,2003,-13.6559839340535,-1.69557236359224,0
"KE52FL",62.7060560103353,62.7060560103353,0,64.8,2008,-2.09394398966472,-2.09394398966472,0
"KE72FL",69.4360444608424,69.4360444608424,0,73.1,2014,-3.6639555391576,-3.6639555391576,0
"KE8CFL",76.7943589611204,76.7943589611204,0,80.4,2022,-3.6056410388796,-3.6056410388796,0
"KM61FL",86.8006146002897,86.8006146002897,0,91,2012,-4.19938539971027,-4.19938539971027,0
"LB51FL",66.1888545618362,66.1888545618362,0,67.9,2007,-1.71114543816378,-1.71114543816378,0
"LB5AFL",75.4754582477453,75.4754582477453,0,75.2,2009,0.275458247745306,0.275458247745306,0
"LB6AFL",72.1820899686133,72.1820899686133,0,75.5,2013,-3.31791003138672,-3.31791003138672,0
"LB7AFL",84.4734565600066,84.4734565600066,0,84,2019,0.473456560006554,0.473456560006554,0
"MD42FL",34.4084948568654,34.4084948568654,0,34.8,2004,-0.391505143134566,-0.391505143134566,0
"MD51FL",41.2901593120482,41.2901593120482,0,41.5,2008,-0.209840687951832,-0.209840687951832,0
"MD81FL",46.10496922795,46.10496922795,0,48,2021,-1.89503077205003,-1.89503077205003,0
"ML41FL",44.4219184555554,44.4219184555554,0,41.9,2001,2.52191845555537,2.52191845555537,0
"ML53FL",56.1567830976997,56.1567830976997,0,56,2006,0.156783097699694,0.156783097699694,0
"ML6AFL",66.4137696461328,66.4137696461328,0,66.2,2012,0.213769646132775,0.213769646132775,0
"ML7AFL",68.8006458891728,68.9842138851992,0,69.3,2018,-0.499354110827156,-0.315786114800801,0
"ML8AFL",81.564709935139,82.1554858944144,0,83.1,2023,-1.53529006486103,-0.944514105585583,0
"MR71FL",68.7449101670155,68.7449101670155,0,80.5,2020,-11.7550898329845,-11.7550898329845,0
"MW41FL",64.8413355086412,64.8413355086412,0,65.2,2000,-0.358664491358809,-0.358664491358809,0
"MW4EFL",0,0,0,63.6,2004,-63.6,-63.6,99.3035327811846
"MW61FL",79.9592148439582,79.9592148439582,0,79.8,2010,0.159214843958182,0.159214843958182,0
"MW7AFL",87.442079763812,87.442079763812,0,87.2,2015,0.242079763812029,0.242079763812029,0
"MW81FL",88.7222427714433,88.7222427714433,0,88.5,2024,0.222242771443263,0.222242771443263,0
"MZ41FL",14.8491193676938,43.1109525127488,0,42,2003,-27.1508806323062,1.11095251274877,0
"MZ62FL",45.9545843031218,52.3682833746095,0,51.2,2011,-5.24541569687819,1.16828337460947,0
"MZ81FL",61.3774031764044,61.3774031764044,0,61.6,2022,-0.222596823595573,-0.222596823595573,0
"NG4BFL",40.9622178339432,40.9622178339432,0,49.3,2003,-8.33778216605676,-8.33778216605676,0
"NG53FL",56.4816285566031,56.4816285566031,0,60.4,2008,-3.91837144339691,-3.91837144339691,0
"NG61FL",56.2222307807643,56.2222307807643,0,59.8,2010,-3.57776921923568,-3.57776921923568,0
"NG6AFL",64.1122037347938,64.1122037347938,0,68.3,2013,-4.18779626520619,-4.18779626520619,0
"NG7BFL",70.7929367879141,70.7929367879141,0,75.4,2018,-4.60706321208589,-4.60706321208589,0
"NG8BFL",74.4015577452085,74.4015577452085,0,78.3,2024,-3.89844225479155,-3.89844225479155,0
"NI51FL",40.6591552427701,40.6591552427701,0,41.4,2006,-0.74084475722988,-0.74084475722988,0
"NI61FL",66.7488524249216,66.7488524249216,0,67.1,2012,-0.3511475750784,-0.3511475750784,0
"NM41FL",79.7678066292912,79.7678066292912,0,79.6,2000,0.167806629291249,0.167806629291249,0
"NM51FL",88.3299600331581,88.3299600331581,0,89.2,2006,-0.870039966841915,-0.870039966841915,0
"NM61FL",86.5214760226627,86.5214760226627,0,87.5,2013,-0.978523977337261,-0.978523977337261,0
