"svkey","regkey","imp_water","imp_sanit","imp_water_api","imp_water_api_source","imp_sanit_api","imp_sanit_api_source"
"KE42FL","western",8.40809879705485,8.24050172940587,26.4,"regional",9.8,"regional"
"KE52FL","central",66.7542374049009,57.2214133458096,69.7,"regional",57.1,"regional"
"KE52FL","coast",63.205550532884,53.672170715414,69.8,"regional",62,"regional"
"KE52FL","eastern",50.2681136363536,35.3502304059941,51.7,"regional",37.8,"regional"
"KE52FL","nairobiarea",96.9401835125908,92.7569799510603,64.8,"national",49,"national"
"KE52FL","northeastern",68.4726767243549,27.9312575950451,74.5,"regional",30.5,"regional"
"KE52FL","nyanza",55.5001156747773,32.0945427777967,56.1,"regional",32.3,"regional"
"KE52FL","riftvalley",56.7750160436277,44.0472471327509,58.2,"regional",44.3,"regional"
"KE52FL","western",75.5134614600722,48.8208740350108,75.1,"regional",49.3,"regional"
"KE72FL","central",80.1511927030275,49.8770934767689,81.4,"regional",50.3,"regional"
"KE72FL","coast",69.875936470621,61.5662312957075,81.3,"regional",68,"regional"
"KE72FL","eastern",54.6612304545082,48.2065827499119,58,"regional",49.6,"regional"
"KE72FL","nairobi",94.0451072402554,88.0392540550087,98.2,"regional",88.7,"regional"
"KE72FL","northeastern",52.2136692229063,37.3424063815391,60.9,"regional",35.1,"regional"
"KE72FL","nyanza",62.8652865598108,46.2377467249868,64.7,"regional",47.7,"regional"
"KE72FL","riftvalley",60.4466373559905,47.4932321522302,65.1,"regional",49.5,"regional"
"KE72FL","western",75.2559750421962,22.7602795815315,78,"regional",24.4,"regional"
"KE8CFL","baringo",54.6336182847996,63.2101842536928,58.9,"regional",65.2,"regional"
"KE8CFL","bomet",80.4758058967561,93.812472944645,81.5,"regional",95.5,"regional"
"KE8CFL","bungoma",86.4816386871397,55.9715991697217,88.8,"regional",59.4,"regional"
"KE8CFL","busia",71.668085930266,57.2722794057145,72.1,"regional",58.6,"regional"
"KE8CFL","elgeyomarakwet",68.7358257770608,45.2338881812734,67.1,"regional",43.6,"regional"
"KE8CFL","embu",80.6414174926143,61.8971464921594,83.4,"regional",63,"regional"
"KE8CFL","garissa",60.3014646696832,80.6024182917293,85.5,"regional",80.5,"regional"
"KE8CFL","homabay",63.429200527138,47.9098367272164,67.7,"regional",51.6,"regional"
"KE8CFL","isiolo",85.1820957109607,63.6704861034818,88,"regional",64.6,"regional"
"KE8CFL","kajiado",85.9090703689781,80.9600143003423,92.3,"regional",84.2,"regional"
"KE8CFL","kakamega",86.4586072893628,46.0292282515235,87.5,"regional",46.8,"regional"
"KE8CFL","kericho",67.2059587012141,45.7006868150695,71.4,"regional",49.2,"regional"
"KE8CFL","kiambu",92.7930767972523,90.8875630773187,96.6,"regional",93.1,"regional"
"KE8CFL","kilifi",70.2345908273286,59.9054486950238,81.4,"regional",65,"regional"
"KE8CFL","kirinyaga",74.8015162009915,95.0155881825678,80.9,"regional",95.8,"regional"
"KE8CFL","kisii",66.8561441499519,42.5296988840373,70.3,"regional",46.8,"regional"
"KE8CFL","kisumu",82.5369538820008,69.7982297438723,83.1,"regional",70.4,"regional"
"KE8CFL","kitui",40.5093313535864,65.394992625842,43.1,"regional",66,"regional"
"KE8CFL","kwale",59.9241094195828,52.773512597577,67.5,"regional",57.8,"regional"
"KE8CFL","laikipia",72.1298296789692,53.9518541718894,77,"regional",52.7,"regional"
"KE8CFL","lamu",74.878710663305,57.9391409234858,82.5,"regional",60.7,"regional"
"KE8CFL","machakos",73.8420535250612,84.4781564495927,82.3,"regional",85.2,"regional"
"KE8CFL","makueni",61.4573230132715,66.987893534165,64.7,"regional",69.7,"regional"
"KE8CFL","mandera",37.1273862347759,68.799117527065,73.4,"regional",69.1,"regional"
"KE8CFL","marsabit",74.8193224737139,48.1113483150394,86.3,"regional",50.7,"regional"
"KE8CFL","meru",73.7193189944902,55.7652506873032,82.4,"regional",62.4,"regional"
"KE8CFL","migori",56.2300048719304,36.9030091413149,59,"regional",39.2,"regional"
"KE8CFL","mombasa",48.1626606838388,93.127581214767,58.4,"regional",95.8,"regional"
"KE8CFL","muranga",77.4068725347135,84.6245779716759,83.5,"regional",84.2,"regional"
"KE8CFL","nairobi",97.047512120574,93.3081857064496,100,"regional",93.9,"regional"
"KE8CFL","nakuru",80.4409060556425,79.1373421854693,82.3,"regional",78.4,"regional"
"KE8CFL","nandi",47.0234842057877,57.0344449872865,54.2,"regional",62.7,"regional"
"KE8CFL","narok",59.7063535789386,51.1431305985828,64.4,"regional",52.2,"regional"
"KE8CFL","nyamira",77.1774355417662,35.4915513637283,76.6,"regional",38.7,"regional"
"KE8CFL","nyandarua",91.1620607900335,49.4300501691936,93.1,"regional",50,"regional"
"KE8CFL","nyeri",88.8235023959988,77.7964013168919,91.5,"regional",79.2,"regional"
"KE8CFL","samburu",36.3910732262263,39.0337396873929,46.5,"regional",42.7,"regional"
