"label","n_hh","w_hh","matched","numeric_code","svkey","variable"
"no facility/bush/field",6509,6578.80392000011,FALSE,FALSE,"BF62FL","v116"
"not a dejure resident",58,54.736634,FALSE,FALSE,"BF62FL","v116"
"other",14,11.811635,FALSE,FALSE,"BF62FL","v116"
"pit latrine with slab",3016,2886.88332100002,TRUE,FALSE,"BF62FL","v116"
"pit latrine without slab/open pit",631,679.742442000003,FALSE,FALSE,"BF62FL","v116"
"ventilated improved pit latrine (vip)",50,48.275449,TRUE,FALSE,"BF62FL","v116"
"no",9062,9166.14795699977,FALSE,FALSE,"BF62FL","v119"
"not a dejure resident",58,54.736634,FALSE,FALSE,"BF62FL","v119"
"yes",1318,1220.93314099999,TRUE,FALSE,"BF62FL","v119"
"composting toilet",12,11.188123,TRUE,FALSE,"BF81FL","v116"
"flush to piped sewer system",33,42.926922,TRUE,FALSE,"BF81FL","v116"
"flush to pit latrine",50,69.398736,TRUE,FALSE,"BF81FL","v116"
"flush to septic tank",109,144.106648,TRUE,FALSE,"BF81FL","v116"
"flush to somewhere else",4,3.250836,FALSE,FALSE,"BF81FL","v116"
"flush, don't know where",8,5.948161,TRUE,FALSE,"BF81FL","v116"
"hanging toilet/latrine",3,3.322575,FALSE,FALSE,"BF81FL","v116"
"no facility/bush/field",3341,3351.135986,FALSE,FALSE,"BF81FL","v116"
"not a dejure resident",62,65.867101,FALSE,FALSE,"BF81FL","v116"
"other",24,23.441552,FALSE,FALSE,"BF81FL","v116"
"pit latrine with slab",5536,5402.58820900002,TRUE,FALSE,"BF81FL","v116"
"pit latrine without slab/open pit",331,334.867738,FALSE,FALSE,"BF81FL","v116"
"ventilated improved pit latrine (vip)",422,469.980145000001,TRUE,FALSE,"BF81FL","v116"
"no",7770,7806.24412400006,FALSE,FALSE,"BF81FL","v119"
"not a dejure resident",62,65.867101,FALSE,FALSE,"BF81FL","v119"
"yes",2103,2055.91150699999,TRUE,FALSE,"BF81FL","v119"
"bucket toilet",3,2.719384,FALSE,FALSE,"CI62FL","v116"
"composting toilet",6,9.10791,TRUE,FALSE,"CI62FL","v116"
"flush to piped sewer system",286,393.408512,TRUE,FALSE,"CI62FL","v116"
"flush to pit latrine",169,194.001781,TRUE,FALSE,"CI62FL","v116"
"flush to septic tank",598,689.524520999999,TRUE,FALSE,"CI62FL","v116"
"flush to somewhere else",5,2.592309,FALSE,FALSE,"CI62FL","v116"
"flush, don't know where",3,3.650284,TRUE,FALSE,"CI62FL","v116"
"hanging toilet/latrine",1,0.463233,FALSE,FALSE,"CI62FL","v116"
"no facility/bush/field",2045,1938.16750100001,FALSE,FALSE,"CI62FL","v116"
"not a dejure resident",88,73.545701,FALSE,FALSE,"CI62FL","v116"
"other",4,3.773936,FALSE,FALSE,"CI62FL","v116"
"pit latrine with slab",1522,1435.900349,TRUE,FALSE,"CI62FL","v116"
"pit latrine without slab/open pit",1110,1092.908315,FALSE,FALSE,"CI62FL","v116"
"ventilated improved pit latrine (vip)",19,20.891453,TRUE,FALSE,"CI62FL","v116"
"no",2729,2539.48844600001,FALSE,FALSE,"CI62FL","v119"
"not a dejure resident",88,73.545701,FALSE,FALSE,"CI62FL","v119"
"yes",3049,3259.542201,TRUE,FALSE,"CI62FL","v119"
"bucket toilet",3,3.538517,FALSE,FALSE,"CI81FL","v116"
"composting toilet",65,52.099907,TRUE,FALSE,"CI81FL","v116"
"flush to piped sewer system",414,824.381293999998,TRUE,FALSE,"CI81FL","v116"
"flush to pit latrine",288,381.155356,TRUE,FALSE,"CI81FL","v116"
"flush to septic tank",1403,1740.704463,TRUE,FALSE,"CI81FL","v116"
"flush to somewhere else",46,58.134051,FALSE,FALSE,"CI81FL","v116"
"flush, don't know where",47,70.622156,TRUE,FALSE,"CI81FL","v116"
"hanging toilet/latrine",442,361.027094,FALSE,FALSE,"CI81FL","v116"
"no facility/bush/field",2071,1692.15716199999,FALSE,FALSE,"CI81FL","v116"
"not a dejure resident",122,123.273028,FALSE,FALSE,"CI81FL","v116"
"other",9,6.199045,FALSE,FALSE,"CI81FL","v116"
"pit latrine with slab",2706,2287.576128,TRUE,FALSE,"CI81FL","v116"
"pit latrine without slab/open pit",1357,1183.717959,FALSE,FALSE,"CI81FL","v116"
"ventilated improved pit latrine (vip)",141,132.269267,TRUE,FALSE,"CI81FL","v116"
"no",2799,2439.912972,FALSE,FALSE,"CI81FL","v119"
"not a dejure resident",122,123.273028,FALSE,FALSE,"CI81FL","v119"
"yes",6193,6353.66942699998,TRUE,FALSE,"CI81FL","v119"
"flush toilet",412,448.76633,TRUE,FALSE,"CM44FL","v116"
"improved pit toilet latrine",1595,1566.70136,FALSE,FALSE,"CM44FL","v116"
"no facility",374,420.538539999999,FALSE,FALSE,"CM44FL","v116"
"not dejure resident",250,222.51824,FALSE,FALSE,"CM44FL","v116"
"other",4,3.15472,FALSE,FALSE,"CM44FL","v116"
"rudimentary pit toilet latrine",3399,3340.45160000001,FALSE,FALSE,"CM44FL","v116"
"no",3156,3099.80221000004,FALSE,FALSE,"CM44FL","v119"
"not dejure resident",250,222.51824,FALSE,FALSE,"CM44FL","v119"
"yes",2631,2682.36389999996,TRUE,FALSE,"CM44FL","v119"
"bucket toilet",3,2.570472,FALSE,FALSE,"CM61FL","v116"
"flush to piped sewer system",67,68.517049,TRUE,FALSE,"CM61FL","v116"
"flush to pit latrine",78,80.108387,TRUE,FALSE,"CM61FL","v116"
"flush to septic tank",687,747.407677000001,TRUE,FALSE,"CM61FL","v116"
"flush to somewhere else",1,1.392537,FALSE,FALSE,"CM61FL","v116"
"hanging toilet/latrine",28,28.179161,FALSE,FALSE,"CM61FL","v116"
"no facility/bush/field",525,591.797703,FALSE,FALSE,"CM61FL","v116"
"not a dejure resident",186,167.948374,FALSE,FALSE,"CM61FL","v116"
"other",6,7.789817,FALSE,FALSE,"CM61FL","v116"
"pit latrine with slab",3971,4060.782089,TRUE,FALSE,"CM61FL","v116"
"pit latrine without slab/open pit",3143,2867.626383,FALSE,FALSE,"CM61FL","v116"
"ventilated improved pit latrine (vip)",99,100.949004,TRUE,FALSE,"CM61FL","v116"
"no",4139,4042.090431,FALSE,FALSE,"CM61FL","v119"
"not a dejure resident",186,167.948374,FALSE,FALSE,"CM61FL","v119"
"yes",4473,4521.69309800004,TRUE,FALSE,"CM61FL","v119"
"bucket toilet",1,0.696887,FALSE,FALSE,"CM71FL","v116"
"composting toilet",28,23.298106,TRUE,FALSE,"CM71FL","v116"
"flush to piped sewer system",99,125.591225,TRUE,FALSE,"CM71FL","v116"
"flush to pit latrine",113,110.959429,TRUE,FALSE,"CM71FL","v116"
"flush to septic tank",755,831.658334,TRUE,FALSE,"CM71FL","v116"
"flush to somewhere else",12,13.35563,FALSE,FALSE,"CM71FL","v116"
"flush, don't know where",7,6.749058,TRUE,FALSE,"CM71FL","v116"
"hanging toilet/latrine",132,99.583359,FALSE,FALSE,"CM71FL","v116"
"no facility/bush/field",295,388.776157,FALSE,FALSE,"CM71FL","v116"
"not a dejure resident",253,216.277156,FALSE,FALSE,"CM71FL","v116"
"pit latrine with slab",3150,3130.46094700002,TRUE,FALSE,"CM71FL","v116"
"pit latrine without slab/open pit",2466,2530.75989300001,FALSE,FALSE,"CM71FL","v116"
"ventilated improved pit latrine (vip)",113,133.358531,TRUE,FALSE,"CM71FL","v116"
"no",2721,2951.84885300002,FALSE,FALSE,"CM71FL","v119"
"not a dejure resident",253,216.277156,FALSE,FALSE,"CM71FL","v119"
"yes",4450,4443.39870299997,TRUE,FALSE,"CM71FL","v119"
"11",327,330.326274,FALSE,TRUE,"CD51FL","v116"
"21",3011,3145.00519599999,FALSE,TRUE,"CD51FL","v116"
"22",1966,1912.868067,FALSE,TRUE,"CD51FL","v116"
"23",141,139.098978,FALSE,TRUE,"CD51FL","v116"
"31",759,687.027693999998,FALSE,TRUE,"CD51FL","v116"
"not dejure resident",52,50.899863,FALSE,FALSE,"CD51FL","v116"
"other",11,6.918864,FALSE,FALSE,"CD51FL","v116"
"no",5173,5277.80540100005,FALSE,FALSE,"CD51FL","v119"
"not dejure resident",52,50.899863,FALSE,FALSE,"CD51FL","v119"
"yes",1050,951.160437,TRUE,FALSE,"CD51FL","v119"
"bucket toilet",14,17.028733,FALSE,FALSE,"CD61FL","v116"
"composting toilet",3,1.505788,TRUE,FALSE,"CD61FL","v116"
"flush to piped sewer system",38,31.974453,TRUE,FALSE,"CD61FL","v116"
"flush to pit latrine",51,82.957563,TRUE,FALSE,"CD61FL","v116"
"flush to septic tank",408,509.893293,TRUE,FALSE,"CD61FL","v116"
"flush to somewhere else",4,2.583486,FALSE,FALSE,"CD61FL","v116"
"hanging toilet/latrine",4,1.083411,FALSE,FALSE,"CD61FL","v116"
"no facility/bush/field",2079,1775.76514200001,FALSE,FALSE,"CD61FL","v116"
"not a dejure resident",89,94.864335,FALSE,FALSE,"CD61FL","v116"
"other",9,4.958617,FALSE,FALSE,"CD61FL","v116"
"pit latrine with slab",4153,4182.61863999998,TRUE,FALSE,"CD61FL","v116"
"pit latrine without slab/open pit",5688,5583.5248220001,FALSE,FALSE,"CD61FL","v116"
"ventilated improved pit latrine (vip)",49,40.474077,TRUE,FALSE,"CD61FL","v116"
"no",11125,10522.562726,FALSE,FALSE,"CD61FL","v119"
"not a dejure resident",89,94.864335,FALSE,FALSE,"CD61FL","v119"
"yes",1371,1709.302013,TRUE,FALSE,"CD61FL","v119"
"bucket toilet",17,20.939235,FALSE,FALSE,"CD81FL","v116"
"composting toilet",172,196.606799,TRUE,FALSE,"CD81FL","v116"
"flush to piped sewer system",88,198.338418,TRUE,FALSE,"CD81FL","v116"
"flush to pit latrine",112,211.652747,TRUE,FALSE,"CD81FL","v116"
"flush to septic tank",794,1554.814449,TRUE,FALSE,"CD81FL","v116"
"flush to somewhere else",19,25.42861,FALSE,FALSE,"CD81FL","v116"
"flush, don't know where",15,40.808531,TRUE,FALSE,"CD81FL","v116"
"hanging toilet/latrine",274,233.796008,FALSE,FALSE,"CD81FL","v116"
"no facility/bush/field",3205,2669.07169200001,FALSE,FALSE,"CD81FL","v116"
"not a dejure resident",122,98.157619,FALSE,FALSE,"CD81FL","v116"
"pit latrine with slab",3673,3172.993182,TRUE,FALSE,"CD81FL","v116"
"pit latrine without slab/open pit",9039,8259.3500449998,FALSE,FALSE,"CD81FL","v116"
"ventilated improved pit latrine (vip)",81,138.059693,TRUE,FALSE,"CD81FL","v116"
"no",15426,13106.0078969999,FALSE,FALSE,"CD81FL","v119"
"not a dejure resident",122,98.157619,FALSE,FALSE,"CD81FL","v119"
"yes",2063,3615.85151199999,TRUE,FALSE,"CD81FL","v119"
"flush toilet",213,200.676909,TRUE,FALSE,"CG51FL","v116"
"no facility, bush, field",416,392.198702000001,FALSE,FALSE,"CG51FL","v116"
"not dejure resident",117,126.078921,FALSE,FALSE,"CG51FL","v116"
"other",6,6.91747,FALSE,FALSE,"CG51FL","v116"
"traditional pit toilet",2788,2791.669551,FALSE,FALSE,"CG51FL","v116"
"ventilated improved pit latrine",608,604.244643,TRUE,FALSE,"CG51FL","v116"
"no",2693,2643.52310400001,FALSE,FALSE,"CG51FL","v119"
"not dejure resident",117,126.078921,FALSE,FALSE,"CG51FL","v119"
"yes",1342,1357.665309,TRUE,FALSE,"CG51FL","v119"
"bucket toilet",97,120.388759,FALSE,FALSE,"CG61FL","v116"
"flush to piped sewer system",61,104.171702,TRUE,FALSE,"CG61FL","v116"
"flush to pit latrine",59,120.584061,TRUE,FALSE,"CG61FL","v116"
