"iso3","year","death_difference","pfpr_difference","ihme_difference"
"ERI",2005,0,-5.55111512312578e-17,-3.5527136788005e-14
"ERI",2015,-5.6843418860808e-14,-1.11022302462516e-16,-1.06581410364015e-14
"ERI",2024,1.79056769411545e-12,1.55431223447522e-15,-2.8421709430404e-14
"ETH",2005,1.74622982740402e-10,3.73034936274053e-14,-1.81898940354586e-11
"ETH",2015,-5.45696821063757e-12,2.66453525910038e-15,2.72848410531878e-11
"ETH",2024,-1.09139364212751e-11,-2.22044604925031e-15,-5.45696821063757e-12
"GAB",2005,-1.36424205265939e-12,-3.90798504668055e-14,-3.12638803734444e-13
"GAB",2015,5.11590769747272e-13,-3.19744231092045e-14,-1.13686837721616e-13
"GAB",2024,7.95807864051312e-13,3.90798504668055e-14,1.13686837721616e-13
"GHA",2005,3.27418092638254e-11,2.8421709430404e-14,-1.63709046319127e-11
"GHA",2015,-4.36557456851006e-11,-3.5527136788005e-15,0
"GHA",2024,9.09494701772928e-13,-1.06581410364015e-14,9.09494701772928e-13
"GIN",2005,-3.63797880709171e-12,-2.8421709430404e-14,0
"GIN",2015,-2.00088834390044e-11,1.4210854715202e-14,-3.63797880709171e-12
"GIN",2024,1.45519152283669e-11,1.4210854715202e-14,-3.63797880709171e-12
"GMB",2005,3.41060513164848e-13,-8.88178419700125e-16,-1.13686837721616e-13
"GMB",2015,1.25055521493778e-12,3.5527136788005e-14,2.8421709430404e-13
"GMB",2024,-5.6843418860808e-13,-2.66453525910038e-15,2.41584530158434e-13
"GNB",2005,-6.82121026329696e-13,8.88178419700125e-16,1.13686837721616e-13
"GNB",2015,-5.6843418860808e-14,8.88178419700125e-16,3.12638803734444e-13
"GNB",2024,3.97903932025656e-13,0,-1.98951966012828e-13
"GNQ",2005,4.54747350886464e-13,-3.5527136788005e-14,-3.41060513164848e-13
"GNQ",2015,-1.13686837721616e-13,-2.8421709430404e-14,-3.41060513164848e-13
"GNQ",2024,-6.82121026329696e-13,1.77635683940025e-14,1.13686837721616e-13
"KEN",2005,-1.2732925824821e-11,3.90798504668055e-14,0
"KEN",2015,4.54747350886464e-12,1.77635683940025e-15,-4.54747350886464e-12
"KEN",2024,4.54747350886464e-12,2.66453525910038e-15,3.18323145620525e-12
"LBR",2005,-2.72848410531878e-12,2.8421709430404e-14,-4.54747350886464e-12
"LBR",2015,-1.81898940354586e-12,-2.1316282072803e-14,4.54747350886464e-12
"LBR",2024,7.27595761418343e-12,3.19744231092045e-14,-4.54747350886464e-13
"MDG",2005,1.09139364212751e-11,7.105427357601e-15,9.09494701772928e-13
"MDG",2015,2.72848410531878e-12,3.5527136788005e-15,2.27373675443232e-12
"MDG",2024,1.81898940354586e-12,1.77635683940025e-15,-3.63797880709171e-12
"MLI",2005,2.5465851649642e-11,2.8421709430404e-14,-2.91038304567337e-11
"MLI",2015,3.63797880709171e-12,2.8421709430404e-14,1.81898940354586e-11
"MLI",2024,2.91038304567337e-11,-7.105427357601e-15,2.5465851649642e-11
"MOZ",2005,5.82076609134674e-11,2.1316282072803e-14,-4.72937244921923e-11
"MOZ",2015,4.36557456851006e-11,4.2632564145606e-14,-1.81898940354586e-12
"MOZ",2024,-3.27418092638254e-11,2.1316282072803e-14,3.63797880709171e-12
"MRT",2005,-3.41060513164848e-13,-8.88178419700125e-16,1.13686837721616e-13
"MRT",2015,-5.6843418860808e-13,-1.77635683940025e-15,-3.41060513164848e-13
"MRT",2024,-5.96855898038484e-13,-4.88498130835069e-15,8.5265128291212e-14
"MWI",2005,3.27418092638254e-11,4.9737991503207e-14,-1.81898940354586e-12
"MWI",2015,-9.09494701772928e-12,-7.105427357601e-15,-9.09494701772928e-13
"MWI",2024,-6.3664629124105e-12,-1.06581410364015e-14,4.54747350886464e-12
"NAM",2005,4.54747350886464e-13,8.88178419700125e-16,-1.4210854715202e-14
"NAM",2015,-1.35003119794419e-13,-3.33066907387547e-16,0
"NAM",2024,-2.8421709430404e-14,1.11022302462516e-16,-2.30926389122033e-14
"NER",2005,-1.45519152283669e-11,-1.77635683940025e-14,-2.91038304567337e-11
"NER",2015,1.45519152283669e-11,3.5527136788005e-15,2.91038304567337e-11
"NER",2024,-2.91038304567337e-11,4.2632564145606e-14,4.36557456851006e-11
"NGA",2005,-1.16415321826935e-10,7.105427357601e-15,3.78349795937538e-10
"NGA",2015,8.73114913702011e-11,-7.105427357601e-15,-5.82076609134674e-11
"NGA",2024,5.82076609134674e-11,2.8421709430404e-14,-2.91038304567337e-11
"RWA",2005,-2.27373675443232e-12,-4.44089209850063e-15,2.27373675443232e-12
"RWA",2015,2.04636307898909e-12,-3.10862446895044e-15,1.81898940354586e-12
"RWA",2024,3.41060513164848e-13,4.44089209850063e-15,-4.09272615797818e-12
"SEN",2005,7.27595761418343e-12,8.88178419700125e-16,0
"SEN",2015,3.63797880709171e-12,3.5527136788005e-15,-3.18323145620525e-12
"SEN",2024,2.72848410531878e-12,4.44089209850063e-15,-3.41060513164848e-13
"SLE",2005,-3.09228198602796e-11,0,1.81898940354586e-12
"SLE",2015,3.63797880709171e-11,3.5527136788005e-14,0
"SLE",2024,-1.2732925824821e-11,3.5527136788005e-15,1.81898940354586e-12
"SOM",2005,-2.72848410531878e-11,-3.5527136788005e-15,9.09494701772928e-13
"SOM",2015,-1.00044417195022e-11,-4.88498130835069e-15,-2.27373675443232e-13
"SOM",2024,7.27595761418343e-12,4.88498130835069e-15,-5.0022208597511e-12
"SSD",2005,1.81898940354586e-12,0,-4.54747350886464e-12
"SSD",2015,-1.45519152283669e-11,3.5527136788005e-14,2.72848410531878e-12
"SSD",2024,3.27418092638254e-11,-3.5527136788005e-14,-1.81898940354586e-12
"SWZ",2005,3.41060513164848e-13,-1.77635683940025e-15,-8.88178419700125e-16
"SWZ",2015,9.2370555648813e-14,4.66293670342566e-15,4.44089209850063e-16
"SWZ",2024,-4.2632564145606e-14,0,-3.88578058618805e-16
"TCD",2005,-3.63797880709171e-11,3.19744231092045e-14,9.09494701772928e-13
"TCD",2015,7.27595761418343e-12,5.32907051820075e-15,-5.0022208597511e-12
"TCD",2024,4.72937244921923e-11,3.19744231092045e-14,0
"TGO",2005,9.09494701772928e-13,3.5527136788005e-14,-3.18323145620525e-12
"TGO",2015,-2.72848410531878e-12,1.4210854715202e-14,-1.36424205265939e-12
"TGO",2024,-3.18323145620525e-12,4.9737991503207e-14,-3.86535248253495e-12
"TZA",2005,-7.27595761418343e-12,3.5527136788005e-15,-3.63797880709171e-12
"TZA",2015,-5.27506927028298e-11,-3.37507799486048e-14,0
"TZA",2024,-1.45519152283669e-11,-3.5527136788005e-15,3.63797880709171e-12
"UGA",2005,0,2.1316282072803e-14,-7.27595761418343e-12
"UGA",2015,-1.81898940354586e-11,-4.9737991503207e-14,4.00177668780088e-11
"UGA",2024,3.27418092638254e-11,2.48689957516035e-14,-1.81898940354586e-11
"ZMB",2005,-6.00266503170133e-11,-7.105427357601e-15,3.18323145620525e-12
"ZMB",2015,5.45696821063757e-12,1.06581410364015e-14,1.81898940354586e-12
"ZMB",2024,1.2732925824821e-11,4.44089209850063e-14,-4.54747350886464e-12
"ZWE",2005,9.09494701772928e-13,1.77635683940025e-15,-1.13686837721616e-13
"ZWE",2015,4.54747350886464e-13,8.88178419700125e-16,-4.54747350886464e-13
"ZWE",2024,-1.81898940354586e-12,-2.22044604925031e-15,1.13686837721616e-13
