"age_band","pfpr_from_pct","pfpr_to_pct","hazard_ratio","lower_95","upper_95","percent_change","pfpr_p025","pfpr_p975","contrast_within_central_95pct","draw","estimate","variance"
"36-47",40,20,0.858512391728995,0.787287921010635,0.936180407551665,-14.1487608271005,1.74615801560054,66.4693798324298,TRUE,45,-0.152554164585709,0.00195251651725625
"48-59",40,20,1.07077691776094,0.958211226147831,1.19656624376965,7.07769177609418,1.72053231100745,66.3280806954508,TRUE,45,0.0683844763623765,0.00321139146840543
"<1",40,20,1.0302723407076,1.00152361752803,1.05984629563407,3.02723407076013,1.76782403096607,67.5343293391306,TRUE,61,0.0298231757457715,0.000208488813228494
"1-5",40,20,0.979883275513732,0.944902400435716,1.01615916436318,-2.01167244862679,1.76768905979204,67.3804721618428,TRUE,61,-0.0203218210299167,0.000343985451021358
"6-11",40,20,0.888998540516878,0.84092488432901,0.939820452181943,-11.1001459483122,1.75228032887322,67.0775337306141,TRUE,61,-0.117659685182879,0.000804511138781505
"12-23",40,20,0.884201299251639,0.827991654493208,0.944226832910306,-11.5798700748361,1.74737139843124,66.3280806954508,TRUE,61,-0.123070528181847,0.00112299107326034
"24-35",40,20,0.880818274852327,0.818781796771091,0.947555058470276,-11.9181725147673,1.74574104390516,66.3446960305032,TRUE,61,-0.126903945773093,0.00138846391628653
"36-47",40,20,0.860399275940704,0.788951253759201,0.93831768504323,-13.9600724059296,1.74615801560054,66.4693798324298,TRUE,61,-0.150358723126917,0.00195634792727661
"48-59",40,20,1.07229533174396,0.95958303712118,1.1982467738586,7.22953317439629,1.72053231100745,66.3280806954508,TRUE,61,0.0698015207363637,0.00321060687120658
"<1",40,20,1.03374020524085,1.00493873715192,1.06336712122368,3.37402052408544,1.76782403096607,67.5343293391306,TRUE,125,0.0331834923322589,0.000207843868284112
"1-5",40,20,0.977194908703214,0.942400248293223,1.01327423387771,-2.28050912967862,1.76768905979204,67.3804721618428,TRUE,125,-0.0230691496988886,0.000342175492793263
"6-11",40,20,0.88406965069254,0.836459899909669,0.934389260453532,-11.593034930746,1.75228032887322,67.0775337306141,TRUE,125,-0.123219429072115,0.000797695539421356
"12-23",40,20,0.871225169674895,0.816220958086712,0.929936053166639,-12.8774830325105,1.74737139843124,66.3280806954508,TRUE,125,-0.137854816969314,0.00110710209448281
"24-35",40,20,0.87637880125127,0.815050564109548,0.942321663345764,-12.362119874873,1.74574104390516,66.3446960305032,TRUE,125,-0.131956859993272,0.00137006738690508
"36-47",40,20,0.855279911658023,0.784612368641306,0.932312255735253,-14.4720088341977,1.74615801560054,66.4693798324298,TRUE,125,-0.156326481567021,0.00193595507986178
"48-59",40,20,1.07196667035479,0.959691801333771,1.19737663774403,7.19666703547925,1.72053231100745,66.3280806954508,TRUE,125,0.0694949710783251,0.00318637540341312
"<1",40,20,1.03187510305477,1.00306618333358,1.06151143961973,3.18751030547706,1.76782403096607,67.5343293391306,TRUE,137,0.0313776355636211,0.000208716153713156
"1-5",40,20,0.979738149298235,0.944741747201748,1.01603093547357,-2.02618507017648,1.76768905979204,67.3804721618428,TRUE,137,-0.0204699376139923,0.000344400398088599
"6-11",40,20,0.88951255200557,0.841419672552993,0.940354267894337,-11.048744799443,1.75228032887322,67.0775337306141,TRUE,137,-0.117081660671066,0.000804216290779093
"12-23",40,20,0.880571225604787,0.824639866447298,0.940296140063795,-11.9428774395213,1.74737139843124,66.3280806954508,TRUE,137,-0.127184462091709,0.00112102148048117
"24-35",40,20,0.879036161887429,0.817171353249223,0.945584510315207,-12.0963838112571,1.74574104390516,66.3446960305032,TRUE,137,-0.128929242339506,0.00138631714999527
"36-47",40,20,0.857804946481046,0.78660284070668,0.93545215975356,-14.2195053518954,1.74615801560054,66.4693798324298,TRUE,137,-0.153378540442393,0.00195459931071658
"48-59",40,20,1.07045058929414,0.957928819166823,1.19618957191079,7.04505892941378,1.72053231100745,66.3280806954508,TRUE,137,0.0680796713211045,0.00321081101158449
"<1",40,20,1.03590673097488,1.00705676343943,1.06558318680475,3.59067309748827,1.76782403096607,67.5343293391306,TRUE,146,0.0352771117680036,0.000207670609071325
"1-5",40,20,0.976456918837601,0.941692018058509,1.01250525231337,-2.3543081162399,1.76768905979204,67.3804721618428,TRUE,146,-0.0238246475724724,0.000342105696856859
"6-11",40,20,0.882455878845937,0.834955481858143,0.932658560881285,-11.7544121154062,1.75228032887322,67.0775337306141,TRUE,146,-0.125046487066506,0.000796920905925455
"12-23",40,20,0.868896614954666,0.814042420565228,0.927447155586139,-13.1103385045334,1.74737139843124,66.3280806954508,TRUE,146,-0.140531130926974,0.0011069767451789
"24-35",40,20,0.872585372856155,0.811537201107401,0.938225914823772,-12.7414627143845,1.74574104390516,66.3446960305032,TRUE,146,-0.136294781146676,0.00136938775467367
"36-47",40,20,0.854661742686998,0.784094406457541,0.931580034747167,-14.5338257313002,1.74615801560054,66.4693798324298,TRUE,146,-0.157049510912946,0.00193314278661065
"48-59",40,20,1.06991509145634,0.957901683280804,1.19502692489836,6.99150914563371,1.72053231100745,66.3280806954508,TRUE,146,0.0675792915460129,0.00318357478528268
"<1",40,20,1.03603358378505,1.0071742745366,1.06571982016156,3.60335837850524,1.76782403096607,67.5343293391306,TRUE,153,0.0353995600928173,0.000207755427710439
"1-5",40,20,0.976930225169852,0.942158884629373,1.01298483771753,-2.30697748301483,1.76768905979204,67.3804721618428,TRUE,153,-0.0233400469207633,0.000341897163331226
"6-11",40,20,0.882591785559935,0.835084255174401,0.932801995859919,-11.7408214440065,1.75228032887322,67.0775337306141,TRUE,153,-0.124892489282755,0.000796914623730651
"12-23",40,20,0.870013106310717,0.815074934792496,0.928654253544335,-12.9986893689283,1.74737139843124,66.3280806954508,TRUE,153,-0.139247002722017,0.00110753879596708
"24-35",40,20,0.871621611940394,0.810636167978601,0.937195087527387,-12.8378388059606,1.74574104390516,66.3446960305032,TRUE,153,-0.137399880509588,0.0013696066595122
"36-47",40,20,0.854363061598441,0.783822057818487,0.931252487401799,-14.5636938401559,1.74615801560054,66.4693798324298,TRUE,153,-0.157399044858678,0.00193304713752709
"48-59",40,20,1.06999671741768,0.958003067219869,1.19508278674629,6.99967174176828,1.72053231100745,66.3280806954508,TRUE,153,0.0676555806351676,0.00318187397358409
"<1",40,20,1.03647236995877,1.00760035935125,1.06617168574615,3.64723699587685,1.76782403096607,67.5343293391306,TRUE,158,0.0358229954797987,0.000207762415595722
"1-5",40,20,0.976302761980934,0.941529360405749,1.01236044581853,-2.36972380190661,1.76768905979204,67.3804721618428,TRUE,158,-0.0239825337255937,0.000342386176076369
"6-11",40,20,0.8822594837178,0.834745235188508,0.932478274565077,-11.77405162822,1.75228032887322,67.0775337306141,TRUE,158,-0.125269067016921,0.000797763920468648
"12-23",40,20,0.870557572821689,0.815567845680196,0.929254986708205,-12.9442427178311,1.74737139843124,66.3280806954508,TRUE,158,-0.138621384313919,0.00110825402296279
"24-35",40,20,0.871831412126017,0.810818852784602,0.937435049221243,-12.8168587873983,1.74574104390516,66.3446960305032,TRUE,158,-0.137159208482593,0.00137018592226142
"36-47",40,20,0.853730035144612,0.783211640841742,0.930597727230786,-14.6269964855388,1.74615801560054,66.4693798324298,TRUE,158,-0.15814025326707,0.00193474626725867
"48-59",40,20,1.06848915149966,0.956568489729603,1.19350478207282,6.8489151499656,1.72053231100745,66.3280806954508,TRUE,158,0.0662456427069511,0.00318697870114651
"<1",40,20,1.0292981436932,1.00054747542315,1.05887496059316,2.92981436932,1.76782403096607,67.5343293391306,TRUE,175,0.0288771560834828,0.000208917975447117
"1-5",40,20,0.980788293763812,0.945670502988779,1.01721019545805,-1.92117062361884,1.76768905979204,67.3804721618428,TRUE,175,-0.019398649267205,0.0003460819896315
"6-11",40,20,0.890272645017462,0.841898042943308,0.941426802342336,-10.9727354982538,1.75228032887322,67.0775337306141,TRUE,175,-0.116227520453051,0.000812507124068681
"12-23",40,20,0.896006823463718,0.838550283944046,0.957400221627154,-10.3993176536282,1.74737139843124,66.3280806954508,TRUE,175,-0.109807250563305,0.0011433189699701
"24-35",40,20,0.884556116391304,0.821739714687054,0.952174403963481,-11.5443883608696,1.74574104390516,66.3446960305032,TRUE,175,-0.12266932319886,0.00141246576939501
"36-47",40,20,0.861787799843203,0.789687707236894,0.940470777438348,-13.8212200156797,1.74615801560054,66.4693798324298,TRUE,175,-0.148746210499348,0.00198713569672888
"48-59",40,20,1.06719282357107,0.954255419612717,1.19349652019144,6.71928235710718,1.72053231100745,66.3280806954508,TRUE,175,0.065031671616762,0.00325689053382255
"<1",40,20,1.04549417402446,1.01642062083091,1.07539934306481,4.54941740244628,1.76782403096607,67.5343293391306,TRUE,184,0.0444896674410517,0.000207042837603378
"1-5",40,20,0.973222143147272,0.938763815784282,1.00894530017741,-2.67778568527285,1.76768905979204,67.3804721618428,TRUE,184,-0.0271429154059337,0.000338267979754564
"6-11",40,20,0.870568533850407,0.823889088874004,0.919892716586699,-12.9431466149593,1.75228032887322,67.0775337306141,TRUE,184,-0.138608793578904,0.000790601421931534
"12-23",40,20,0.850756472380848,0.797183265147351,0.907929966598234,-14.9243527619152,1.74737139843124,66.3280806954508,TRUE,184,-0.161629357777169,0.00110120105528036
"24-35",40,20,0.856764604286392,0.796931836874314,0.921089550189204,-14.3235395713608,1.74574104390516,66.3446960305032,TRUE,184,-0.154592072225762,0.00136424910975784
"36-47",40,20,0.848522735527485,0.778715684442181,0.924587557553562,-15.1477264472515,1.74615801560054,66.4693798324298,TRUE,184,-0.164258399702209,0.00191856850021893
"48-59",40,20,1.07273809618393,0.960909543358389,1.19758101161362,7.27380961839296,1.72053231100745,66.3280806954508,TRUE,184,0.0702143482853335,0.00315484825584362
