"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","model_id","hiv_treatment","uncertainty","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"BDI","12-23",5913.73896196694,483573.035489104,1222.92570676228,"direct age match","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.616098018412509,0.0834299573379186,0.540047587442802,0.458581279656778,0.635986268172735,0,1,0.459952412557198,0.364013731827265,0.541418720343222,660.438077558753,562.487629203526,445.161750266033,662.114871230063,3193.70045917675,2720.03850279019,2152.68218859788,3201.80898123199,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","24-35",3428.86029023329,467501.77067143,733.443273446585,"IHME 2-4 rate shared; deaths and person-time divided equally","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.799839752059166,0.0913089544266952,0.449400973928037,0.375760985643032,0.537472603819834,0,1,0.550599026071964,0.462527396180166,0.624239014356968,329.610121407863,403.833152038723,339.237607513107,457.843906103044,1540.93315389401,1887.92713633928,1585.94182190717,2140.42836794297,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","36-47",3428.86029023329,467501.77067143,733.443273446585,"IHME 2-4 rate shared; deaths and person-time divided equally","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.73051537286926,0.0972980111787399,0.481660691259993,0.398034748170782,0.582856201804555,0,1,0.518339308740007,0.417143798195445,0.601965251829218,353.270794088275,380.172479358311,305.951312846409,441.50736480272,1651.54721762771,1777.31307260558,1430.32780494945,2064.05474809749,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","48-59",3428.86029023329,467501.77067143,733.443273446585,"IHME 2-4 rate shared; deaths and person-time divided equally","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.664471545153935,0.112399116365566,0.514545369866378,0.412809205414758,0.641354248350449,0,1,0.485454630133622,0.358645751649551,0.587190794585242,377.38984041158,356.053433035005,263.046314097558,430.671138518301,1764.30418625822,1664.55610397506,1229.74617609202,2013.39519834387,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","<1",10370.6746224564,38905.462973035,26656.0884512394,"0-27 days mapped to model <1 completed month","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.0423921348052503,0.0383666032002619,0.958493848070746,0.889061119234096,1.03334904306794,0,1,0.0415061519292542,-0.0333490430679411,0.110938880765904,25549.6967941426,1106.39165709678,-888.955041783229,2957.19661837743,9940.22782596788,430.446796488537,-345.852074627902,1150.51103540268,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","1-5",4404.79258584387,210479.059457462,2092.74623195191,"direct age match","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.137068446407051,0.0543562345081289,0.87191054494558,0.783797401580652,0.96992921494021,0,1,0.12808945505442,0.0300707850597899,0.216202598419348,1824.687507534,268.058724417911,62.9305221257112,452.457173180302,3840.58510389538,564.20748194849,132.455571081867,952.327602557722,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","6-11",4854.89795617045,248054.163593172,1957.19268963082,"direct age match","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.404190956842123,0.0682492521018279,0.667516642227755,0.583940004802629,0.763055217978465,0,1,0.332483357772245,0.236944782021535,0.416059995197371,1306.45869237508,650.733997255748,463.746595218716,814.30958104813,3240.72518206129,1614.17277410916,1150.3427379616,2019.92882032801,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","12-23",4515.40258182857,485415.642237678,930.213653810863,"direct age match","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.66778295517805,0.0837177438463144,0.51284431716662,0.435236064540956,0.604291130900407,0,1,0.48715568283338,0.395708869099593,0.564763935459044,477.054786107699,453.158867703164,368.093792970497,525.35112394396,2315.69855381027,2199.7040280183,1786.78484918477,2550.13653229543,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","24-35",3282.55442830281,463884.62574155,707.623026534978,"IHME 2-4 rate shared; deaths and person-time divided equally","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.879074000830649,0.090433078512506,0.41516717820104,0.347733263352568,0.49567816490611,0,1,0.58483282179896,0.50432183509389,0.652266736647432,293.781855156606,413.841171378371,356.869743296812,461.558962294549,1362.80885928981,1919.745569013,1655.46387307725,2141.10106481665,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","36-47",3282.55442830281,463884.62574155,707.623026534978,"IHME 2-4 rate shared; deaths and person-time divided equally","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.811404350693944,0.0965651031301504,0.444233767958388,0.367633605141562,0.536794345877378,0,1,0.555766232041612,0.463205654122622,0.632366394858438,314.350043371752,393.272983163226,327.774986878364,447.477022208741,1458.22152221345,1824.33290608936,1520.49777115511,2075.77710975245,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BEN","48-59",3282.55442830281,463884.62574155,707.623026534978,"IHME 2-4 rate shared; deaths and person-time divided equally","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020,-0.651788297569045,0.110537195279583,0.521113037823467,0.419606790521846,0.647174460289064,0,1,0.478886962176533,0.352825539710936,0.580393209478154,368.751584991478,338.8714415435,249.667476249089,410.69959947128,1710.58190995375,1571.97251834906,1158.16903779646,1905.17229992939,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BFA","<1",20394.1005743385,77755.2264757927,26228.5913097915,"0-27 days mapped to model <1 completed month","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.0276756974078403,0.0299813625475688,0.972703766008812,0.917192332047326,1.03157493074081,0,1,0.0272962339911875,-0.0315749307408149,0.0828076679526742,25512.6495441402,715.941765651296,-828.165954035804,2171.92848004761,19837.4184330215,556.682141316954,-643.942313155949,1688.78790855326,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BFA","1-5",8456.34007287264,420639.163537227,2010.35490888719,"direct age match","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.0854808692996453,0.0413440755441035,0.918070706221746,0.846611160424728,0.995561907310142,0,1,0.0819292937782543,0.00443809268985773,0.153388839575272,1845.64795095841,164.706957928774,8.92214142515183,308.366006608658,7763.51810275344,692.821970119207,37.5300210603671,1297.10819083181,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BFA","6-11",6488.56180636557,492588.025067039,1317.23904686528,"direct age match","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.268703340881566,0.0580140531553194,0.764369979340939,0.682216109206928,0.856416987861615,0,1,0.235630020659061,0.143583012138385,0.317783890793072,1006.85798303949,310.381063825787,189.133150055212,418.597349417406,4959.66185388406,1528.89995248151,931.647248604049,2061.96041647818,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BFA","12-23",7753.95745860433,949829.450358984,816.352604741172,"direct age match","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.586318912007653,0.0818543092378283,0.556371572539408,0.473904047083186,0.653189878067528,0,1,0.443628427460592,0.346810121932472,0.526095952916814,454.195382446488,362.157222294684,283.119346390177,429.47980150743,4314.08150464736,3439.87595395696,2689.15093167777,4079.32563806088,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BFA","24-35",3797.02021333418,874324.341469841,434.280510474059,"IHME 2-4 rate shared; deaths and person-time divided equally","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.757475397216818,0.089793715738186,0.468848590591986,0.393187828528031,0.559068681558692,0,1,0.531151409408014,0.440931318441308,0.606812171471969,203.611805257331,230.668705216729,191.487878056691,263.526699588719,1780.22757547101,2016.79263786317,1674.22512881374,2304.07808077628,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BFA","36-47",3797.02021333418,874324.341469841,434.280510474059,"IHME 2-4 rate shared; deaths and person-time divided equally","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.689552419372584,0.0956960181028985,0.501800615045212,0.415982050154797,0.605323852714439,0,1,0.498199384954788,0.394676147285561,0.584017949845203,217.922227258031,216.358283216028,171.400158715108,253.627613384788,1905.34707839019,1891.67313494399,1498.59330896413,2217.52796051223,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
