"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","model_id","hiv_treatment","year","ihme_malaria_deaths","ihme_malaria_lower","ihme_malaria_upper","comparison_status","model_to_ihme_ratio","difference_deaths","age","sex"
"SOM","Somalia",3.00562461766305,"estimated",0.983183349547194,FALSE,77963.2725942301,74132.9430874439,3830.32950678629,0.0491299220688404,"age_band_separate_v1","posterior_median",2024,1200.23039386064,796.626751120287,1572.77151654205,"matched",3.19132853690343,2630.09911292565,"Under 5","Both"
"SSD","South Sudan",23.1223019010464,"estimated",0.998944588913762,FALSE,40850.8188016772,31230.0408942288,9620.77790744836,0.235510038468393,"age_band_separate_v1","posterior_median",2024,4779.0227833698,3731.79647727014,5784.57189050158,"matched",2.0131266042353,4841.75512407856,"Under 5","Both"
"STP","Sao Tome and Principe",,"missing_MAP_no_estimate",,,150.390666476629,,,,"age_band_separate_v1","posterior_median",2024,2.34744035019355,1.66515699094365,3.05354282628093,"missing_model_MAP",,,"Under 5","Both"
"SWZ","Swaziland",2.08854269781645,"estimated",0.0264825648638429,TRUE,1332.35134395888,1298.49081873419,33.8605252246948,0.0254141112088972,"age_band_separate_v1","posterior_median",2024,0.481067001536171,0.402581504537207,0.573480671546236,"matched",70.3862977850683,33.3794582231586,"Under 5","Both"
"TCD","Chad",15.0510808013007,"estimated",0.941951498070144,TRUE,92505.5931263154,75025.3698950937,17480.2232312217,0.188963960345108,"age_band_separate_v1","posterior_median",2024,4884.19831764987,4011.16480230283,5854.3928488474,"matched",3.57893396098475,12596.0249135718,"Under 5","Both"
"TGO","Togo",20.9673047922131,"estimated",1,FALSE,14559.6237615014,11144.0102869199,3415.61347458147,0.23459489960263,"age_band_separate_v1","posterior_median",2024,1863.65613692523,1571.36084293631,2188.7571087139,"matched",1.83274876030337,1551.95733765624,"Under 5","Both"
"TZA","Tanzania",8.82121978993696,"estimated",0.982661834291151,FALSE,89484.4613544148,80913.48684747,8570.97450694477,0.0957817075413608,"age_band_separate_v1","posterior_median",2024,9939.76533484766,8353.57407609596,11741.3902758842,"matched",0.862291434275207,-1368.79082790289,"Under 5","Both"
"UGA","Uganda",21.8964090477387,"estimated",0.972005626882908,FALSE,93423.0026856156,72424.229802315,20998.7728833006,0.224770905233747,"age_band_separate_v1","posterior_median",2024,26093.0901265167,20916.4354932927,33934.1034384634,"matched",0.804763743254807,-5094.31724321608,"Under 5","Both"
"ZMB","Zambia",14.2728881701827,"estimated",0.999994981989078,FALSE,34784.1651348346,28487.4432988994,6296.72183593524,0.181022652449099,"age_band_separate_v1","posterior_median",2024,4717.79275413367,3972.84679337593,5497.37671440154,"matched",1.33467537979877,1578.92908180157,"Under 5","Both"
"ZWE","Zimbabwe",3.38446214555114,"estimated",0.993374399109765,FALSE,24202.7039972532,23174.9547363694,1027.74926088376,0.0424642329634077,"age_band_separate_v1","posterior_median",2024,275.192339219123,230.722303801468,353.370178708902,"matched",3.73465796250022,752.556921664637,"Under 5","Both"
