"baseline","variable","year","records","missing_before","missing_after","missing_after_pct"
"previous_primary","any_vaccine",2008,341736,341736,25923,7.58568017416953
"previous_primary","any_vaccine",2006,269037,269037,7950,2.95498388697465
"previous_primary","any_vaccine",2009,390467,390467,26842,6.87433253002174
"previous_primary","any_vaccine",2007,313228,313228,0,0
"previous_primary","any_vaccine",2010,382179,382179,0,0
"previous_primary","any_vaccine",2011,361765,360398,23225,6.41991347974514
"previous_primary","any_required",2008,341736,341736,69097,20.2194091345366
"previous_primary","any_required",2006,269037,269037,68629,25.5091307143627
"previous_primary","any_required",2009,390467,390467,59691,15.2870793178425
"previous_primary","any_required",2007,313228,313228,59189,18.8964588095573
"previous_primary","any_required",2010,382179,382179,19922,5.21274062677437
"previous_primary","any_required",2011,361765,360398,25877,7.15298605448288
"eligible_MAP","male_pct",2008,358847,0,0,0
"eligible_MAP","male_pct",2006,286423,0,0,0
"eligible_MAP","male_pct",2009,407527,0,0,0
"eligible_MAP","male_pct",2007,327778,0,0,0
"eligible_MAP","male_pct",2010,392507,0,0,0
"eligible_MAP","male_pct",2011,376284,0,0,0
"eligible_MAP","multiple_birth_pct",2008,358847,0,0,0
"eligible_MAP","multiple_birth_pct",2006,286423,0,0,0
"eligible_MAP","multiple_birth_pct",2009,407527,0,0,0
"eligible_MAP","multiple_birth_pct",2007,327778,0,0,0
"eligible_MAP","multiple_birth_pct",2010,392507,0,0,0
"eligible_MAP","multiple_birth_pct",2011,376284,0,0,0
"eligible_MAP","mean_birth_order",2008,358847,0,0,0
"eligible_MAP","mean_birth_order",2006,286423,0,0,0
"eligible_MAP","mean_birth_order",2009,407527,0,0,0
"eligible_MAP","mean_birth_order",2007,327778,0,0,0
"eligible_MAP","mean_birth_order",2010,392507,0,0,0
"eligible_MAP","mean_birth_order",2011,376284,0,0,0
"eligible_MAP","mean_maternal_age_birth",2008,358847,0,0,0
"eligible_MAP","mean_maternal_age_birth",2006,286423,0,0,0
"eligible_MAP","mean_maternal_age_birth",2009,407527,0,0,0
"eligible_MAP","mean_maternal_age_birth",2007,327778,0,0,0
"eligible_MAP","mean_maternal_age_birth",2010,392507,0,0,0
"eligible_MAP","mean_maternal_age_birth",2011,376284,0,0,0
"eligible_MAP","mean_maternal_education_years",2008,358847,0,0,0
"eligible_MAP","mean_maternal_education_years",2006,286423,0,0,0
"eligible_MAP","mean_maternal_education_years",2009,407527,0,0,0
"eligible_MAP","mean_maternal_education_years",2007,327778,0,0,0
"eligible_MAP","mean_maternal_education_years",2010,392507,0,0,0
"eligible_MAP","mean_maternal_education_years",2011,376284,0,0,0
"eligible_MAP","mean_wealth_quintile",2008,358847,0,0,0
"eligible_MAP","mean_wealth_quintile",2006,286423,0,0,0
"eligible_MAP","mean_wealth_quintile",2009,407527,0,0,0
"eligible_MAP","mean_wealth_quintile",2007,327778,0,0,0
"eligible_MAP","mean_wealth_quintile",2010,392507,0,0,0
"eligible_MAP","mean_wealth_quintile",2011,376284,0,0,0
"eligible_MAP","urban_pct",2008,358847,0,0,0
"eligible_MAP","urban_pct",2006,286423,0,0,0
"eligible_MAP","urban_pct",2009,407527,0,0,0
"eligible_MAP","urban_pct",2007,327778,0,0,0
"eligible_MAP","urban_pct",2010,392507,0,0,0
"eligible_MAP","urban_pct",2011,376284,0,0,0
"eligible_MAP","dtp3_pct",2008,358847,0,0,0
"eligible_MAP","dtp3_pct",2006,286423,0,0,0
"eligible_MAP","dtp3_pct",2009,407527,0,0,0
"eligible_MAP","dtp3_pct",2007,327778,0,0,0
"eligible_MAP","dtp3_pct",2010,392507,0,0,0
"eligible_MAP","dtp3_pct",2011,376284,0,0,0
"eligible_MAP","measles_pct",2008,358847,0,0,0
"eligible_MAP","measles_pct",2006,286423,0,0,0
"eligible_MAP","measles_pct",2009,407527,0,0,0
"eligible_MAP","measles_pct",2007,327778,0,0,0
"eligible_MAP","measles_pct",2010,392507,0,0,0
"eligible_MAP","measles_pct",2011,376284,0,0,0
"eligible_MAP","facility_delivery_pct",2008,358847,34248,31683,8.82911101388614
"eligible_MAP","facility_delivery_pct",2006,286423,46280,45367,15.8391609612357
"eligible_MAP","facility_delivery_pct",2009,407527,22626,19083,4.68263452482903
"eligible_MAP","facility_delivery_pct",2007,327778,48627,46952,14.3243292716412
"eligible_MAP","facility_delivery_pct",2010,392507,10580,7398,1.88480714993618
"eligible_MAP","facility_delivery_pct",2011,376284,2469,202,0.0536828565657854
"eligible_MAP","exclusive_breastfeeding_pct",2008,358847,45567,45567,12.6981694148202
"eligible_MAP","exclusive_breastfeeding_pct",2006,286423,69358,69358,24.2152341117857
"eligible_MAP","exclusive_breastfeeding_pct",2009,407527,32955,32955,8.08658076642775
"eligible_MAP","exclusive_breastfeeding_pct",2007,327778,64698,64698,19.7383594994173
"eligible_MAP","exclusive_breastfeeding_pct",2010,392507,19951,19951,5.08296667320583
"eligible_MAP","exclusive_breastfeeding_pct",2011,376284,2652,2652,0.704786809962688
"eligible_MAP","short_birth_interval_pct",2008,358847,6579,0,0
"eligible_MAP","short_birth_interval_pct",2006,286423,4193,0,0
"eligible_MAP","short_birth_interval_pct",2009,407527,6851,0,0
"eligible_MAP","short_birth_interval_pct",2007,327778,5552,0,0
"eligible_MAP","short_birth_interval_pct",2010,392507,4746,0,0
"eligible_MAP","short_birth_interval_pct",2011,376284,2336,0,0
"eligible_MAP","improved_water_pct",2008,358847,6579,0,0
"eligible_MAP","improved_water_pct",2006,286423,4193,0,0
"eligible_MAP","improved_water_pct",2009,407527,6851,0,0
"eligible_MAP","improved_water_pct",2007,327778,5552,0,0
"eligible_MAP","improved_water_pct",2010,392507,4746,0,0
"eligible_MAP","improved_water_pct",2011,376284,2336,0,0
"eligible_MAP","improved_sanitation_pct",2008,358847,6579,0,0
"eligible_MAP","improved_sanitation_pct",2006,286423,4193,0,0
"eligible_MAP","improved_sanitation_pct",2009,407527,6851,0,0
"eligible_MAP","improved_sanitation_pct",2007,327778,5552,0,0
"eligible_MAP","improved_sanitation_pct",2010,392507,4746,0,0
"eligible_MAP","improved_sanitation_pct",2011,376284,2336,0,0
"eligible_MAP","electricity_pct",2008,358847,6579,0,0
"eligible_MAP","electricity_pct",2006,286423,8940,4747,1.65733897068322
"eligible_MAP","electricity_pct",2009,407527,6851,0,0
"eligible_MAP","electricity_pct",2007,327778,5552,0,0
"eligible_MAP","electricity_pct",2010,392507,4746,0,0
"eligible_MAP","electricity_pct",2011,376284,2336,0,0
"eligible_MAP","log_hiv_incidence",2008,358847,10126,10126,2.82181542551561
"eligible_MAP","log_hiv_incidence",2006,286423,11141,11141,3.88970159519312
"eligible_MAP","log_hiv_incidence",2009,407527,10167,10167,2.49480402525477
"eligible_MAP","log_hiv_incidence",2007,327778,7862,7862,2.39857464503414
"eligible_MAP","log_hiv_incidence",2010,392507,10141,10141,2.58364818971381
"eligible_MAP","log_hiv_incidence",2011,376284,9766,9766,2.59538008525475
"eligible_MAP","log_gdp_pc",2008,358847,0,0,0
"eligible_MAP","log_gdp_pc",2006,286423,0,0,0
"eligible_MAP","log_gdp_pc",2009,407527,0,0,0
"eligible_MAP","log_gdp_pc",2007,327778,0,0,0
"eligible_MAP","log_gdp_pc",2010,392507,0,0,0
"eligible_MAP","log_gdp_pc",2011,376284,0,0,0
"eligible_MAP","log_health_expenditure_pc",2008,358847,6752,6752,1.88158184407282
"eligible_MAP","log_health_expenditure_pc",2006,286423,5937,5937,2.07280839876686
"eligible_MAP","log_health_expenditure_pc",2009,407527,6658,6658,1.63375678175925
"eligible_MAP","log_health_expenditure_pc",2007,327778,6439,6439,1.96443934614282
"eligible_MAP","log_health_expenditure_pc",2010,392507,0,0,0
"eligible_MAP","log_health_expenditure_pc",2011,376284,0,0,0
"eligible_MAP","political_stability",2008,358847,0,0,0
"eligible_MAP","political_stability",2006,286423,0,0,0
"eligible_MAP","political_stability",2009,407527,0,0,0
"eligible_MAP","political_stability",2007,327778,0,0,0
"eligible_MAP","political_stability",2010,392507,0,0,0
"eligible_MAP","political_stability",2011,376284,0,0,0
"eligible_MAP","hib3_pct",2008,358847,143880,25954,7.23260888345172
"eligible_MAP","hib3_pct",2006,286423,145072,7950,2.77561508677725
"eligible_MAP","hib3_pct",2009,407527,59709,5242,1.28629514118083
"eligible_MAP","hib3_pct",2007,327778,145379,0,0
"eligible_MAP","hib3_pct",2010,392507,42606,0,0
"eligible_MAP","hib3_pct",2011,376284,39619,0,0
"eligible_MAP","pcv3_pct",2008,358847,358847,0,0
"eligible_MAP","pcv3_pct",2006,286423,286423,0,0
"eligible_MAP","pcv3_pct",2009,407527,407527,21603,5.30099846145163
"eligible_MAP","pcv3_pct",2007,327778,327778,0,0
"eligible_MAP","pcv3_pct",2010,392507,368960,0,0
"eligible_MAP","pcv3_pct",2011,376284,250632,23225,6.17219972148696
"eligible_MAP","rotavirus_pct",2008,358847,358847,0,0
