"region","records","retained_records","children","retained_children","deaths","retained_deaths","vaccine_missing_records","baseline","survey","country"
"AGO:AO71FL:bie",4535,4535,1362,1362,65,65,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:bengo",3306,3306,970,970,13,13,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:cuanzanorte",3666,3666,1059,1059,29,29,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:cunene",4453,4453,1338,1338,44,44,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:uige",4707,4707,1357,1357,44,44,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO81FL:moxico",3147,3147,908,908,15,15,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:uige",3962,3962,1175,1175,36,36,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:cabinda",2790,2790,845,845,21,21,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:bie",4118,4118,1215,1215,36,36,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:cunene",4289,4289,1267,1267,42,42,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:northcuanza",2843,2843,835,835,28,28,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:huambo",4731,4731,1386,1386,72,72,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:northlunda",3905,3905,1140,1140,21,21,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:luanda",3641,3641,1068,1068,22,22,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:benguela",4228,4228,1258,1258,65,65,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:bengo",2907,2907,884,884,6,6,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:malanje",3620,3620,1064,1064,4,4,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:huila",3686,3686,1077,1077,19,19,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:southcuanza",4710,4710,1383,1383,45,45,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:cuandocubango",2954,2954,883,883,36,36,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:zaire",1938,1938,571,571,5,5,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:southlunda",3360,3360,984,984,11,11,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:namibe",3875,3875,1116,1116,14,14,0,"previous_primary","AO81FL","AGO"
"AGO:AO81FL:moxico",3147,3147,908,908,15,15,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:uige",3962,3962,1175,1175,36,36,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:cabinda",2790,2790,845,845,21,21,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:bie",4118,4118,1215,1215,36,36,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:cunene",4289,4289,1267,1267,42,42,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:northcuanza",2843,2843,835,835,28,28,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:huambo",4731,4731,1386,1386,72,72,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:northlunda",3905,3905,1140,1140,21,21,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:luanda",3641,3641,1068,1068,22,22,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:benguela",4228,4228,1258,1258,65,65,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:bengo",2907,2907,884,884,6,6,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:malanje",3620,3620,1064,1064,4,4,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:huila",3686,3686,1077,1077,19,19,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:southcuanza",4710,4710,1383,1383,45,45,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:cuandocubango",2954,2954,883,883,36,36,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:zaire",1938,1938,571,571,5,5,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:southlunda",3360,3360,984,984,11,11,0,"eligible_MAP","AO81FL","AGO"
"AGO:AO81FL:namibe",3875,3875,1116,1116,14,14,0,"eligible_MAP","AO81FL","AGO"
"BDI:BU61FL:west",8079,8079,2375,2375,120,120,0,"previous_primary","BU61FL","BDI"
"BDI:BU61FL:south",9298,9298,2758,2758,112,112,0,"previous_primary","BU61FL","BDI"
"BDI:BU61FL:centraleast",11887,11887,3467,3467,146,146,0,"previous_primary","BU61FL","BDI"
"BDI:BU61FL:north",9333,9333,2778,2778,172,172,0,"previous_primary","BU61FL","BDI"
"BDI:BU61FL:west",8079,8079,2375,2375,120,120,0,"eligible_MAP","BU61FL","BDI"
"BDI:BU61FL:south",9298,9298,2758,2758,112,112,0,"eligible_MAP","BU61FL","BDI"
"BDI:BU61FL:centraleast",11894,11894,3469,3469,146,146,0,"eligible_MAP","BU61FL","BDI"
"BDI:BU61FL:north",9333,9333,2778,2778,172,172,0,"eligible_MAP","BU61FL","BDI"
"BDI:BU71FL:cankuzo",4071,3166,1222,1214,59,51,905,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:karusi",4704,3602,1368,1358,42,28,1102,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:ruyigi",4381,3444,1323,1318,44,38,937,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:bujumburamairie",3141,2457,941,937,27,25,684,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:rutana",3981,3084,1187,1179,43,32,897,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:gitega",4542,3534,1386,1371,73,58,1008,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:ngozi",4253,3293,1274,1262,60,46,960,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:cibitoke",4745,3679,1401,1385,65,45,1066,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:muramvya",3862,2963,1157,1151,44,37,899,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:mwaro",3504,2681,1034,1028,24,18,823,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:kirundo",4856,3785,1448,1436,95,79,1071,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:kayanza",3937,3046,1199,1183,31,23,891,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:bubanza",4573,3535,1347,1341,37,28,1038,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:muyinga",5118,3935,1523,1513,85,68,1183,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:bujumburarural",4197,3231,1245,1241,25,18,966,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:makamba",4369,3414,1305,1301,28,22,955,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:bururi",3410,2628,995,990,22,16,782,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:rumonge",4378,3402,1303,1293,31,24,976,"previous_primary","BU71FL","BDI"
"BDI:BU71FL:cankuzo",4071,3166,1222,1214,59,51,905,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:karusi",4704,3602,1368,1358,42,28,1102,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:ruyigi",4381,3444,1323,1318,44,38,937,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:bujumburamairie",3141,2457,941,937,27,25,684,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:rutana",3981,3084,1187,1179,43,32,897,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:gitega",4542,3534,1386,1371,73,58,1008,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:ngozi",4253,3293,1274,1262,60,46,960,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:cibitoke",4745,3679,1401,1385,65,45,1066,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:muramvya",3862,2963,1157,1151,44,37,899,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:mwaro",3504,2681,1034,1028,24,18,823,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:kirundo",4856,3785,1448,1436,95,79,1071,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:kayanza",3937,3046,1199,1183,31,23,891,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:bubanza",4573,3535,1347,1341,37,28,1038,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:muyinga",5118,3935,1523,1513,85,68,1183,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:bujumburarural",4197,3231,1245,1241,25,18,966,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:makamba",4369,3414,1305,1301,28,22,955,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:bururi",3410,2628,995,990,22,16,782,"eligible_MAP","BU71FL","BDI"
"BDI:BU71FL:rumonge",4378,3402,1303,1293,31,24,976,"eligible_MAP","BU71FL","BDI"
"BEN:BJ41FL:atlantique",1588,0,1053,0,38,0,0,"eligible_MAP","BJ41FL","BEN"
"BEN:BJ51FL:alibori",7372,0,2293,0,162,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:atacora",8252,0,2609,0,202,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:atlantique",8992,0,2829,0,157,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:borgou",8942,0,2764,0,152,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:collines",5772,0,1815,0,112,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:couffo",7166,0,2287,0,121,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:donga",4333,0,1408,0,119,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:littoral",5193,0,1601,0,60,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:mono",5383,0,1691,0,57,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:oueme",9601,0,3008,0,212,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:plateau",4168,0,1333,0,76,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:zou",8545,0,2715,0,161,0,0,"previous_primary","BJ51FL","BEN"
"BEN:BJ51FL:alibori",7822,0,2349,0,177,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:atacora",8947,0,2727,0,222,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:atlantique",9449,0,2890,0,164,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:borgou",9388,0,2809,0,162,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:collines",6110,0,1870,0,124,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:couffo",7620,0,2357,0,131,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:donga",4641,0,1450,0,125,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:littoral",5500,0,1636,0,63,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:mono",5754,0,1748,0,64,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:oueme",10201,0,3075,0,224,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:plateau",4413,0,1359,0,80,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ51FL:zou",8989,0,2757,0,172,0,0,"eligible_MAP","BJ51FL","BEN"
"BEN:BJ61FL:alibori",6249,6249,1871,1871,97,97,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:atacora",8173,8173,2490,2490,86,86,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:atlantique",8750,8750,2630,2630,107,107,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:borgou",6807,6807,2088,2088,57,57,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:collines",5514,5514,1686,1686,68,68,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:couffo",6167,6167,1852,1852,86,86,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:donga",4469,4469,1371,1371,47,47,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:littoral",5979,5979,1792,1792,54,54,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:mono",4927,4927,1460,1460,41,41,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:oueme",8708,8708,2606,2606,74,74,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:plateau",4818,4818,1454,1454,33,33,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:zou",7610,7610,2311,2311,104,104,0,"previous_primary","BJ61FL","BEN"
"BEN:BJ61FL:alibori",6249,6249,1871,1871,97,97,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:atacora",8173,8173,2490,2490,86,86,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:atlantique",8750,8750,2630,2630,107,107,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:borgou",6807,6807,2088,2088,57,57,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:collines",5514,5514,1686,1686,68,68,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:couffo",6167,6167,1852,1852,86,86,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:donga",4469,4469,1371,1371,47,47,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:littoral",5979,5979,1792,1792,54,54,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:mono",4927,4927,1460,1460,41,41,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:oueme",8708,8708,2606,2606,74,74,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:plateau",4818,4818,1454,1454,33,33,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ61FL:zou",7610,7610,2311,2311,104,104,0,"eligible_MAP","BJ61FL","BEN"
"BEN:BJ71FL:alibori",9028,9028,2739,2739,123,123,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:atacora",7214,7214,2154,2154,119,119,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:atlantic",7314,7314,2181,2181,119,119,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:borgou",9664,9664,2895,2895,125,125,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:collines",5781,5781,1736,1736,79,79,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:couffo",4853,4853,1484,1484,65,65,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:donga",5206,5206,1590,1590,114,114,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:littoral",4754,4754,1411,1411,36,36,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:mono",3759,3759,1109,1109,61,61,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:oueme",5764,5764,1694,1694,64,64,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:plateau",4705,4705,1397,1397,90,90,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:zou",6771,6771,2010,2010,90,90,0,"previous_primary","BJ71FL","BEN"
"BEN:BJ71FL:alibori",9028,9028,2739,2739,123,123,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:atacora",7214,7214,2154,2154,119,119,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:atlantic",7314,7314,2181,2181,119,119,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:borgou",9664,9664,2895,2895,125,125,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:collines",5781,5781,1736,1736,79,79,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:couffo",4853,4853,1484,1484,65,65,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:donga",5206,5206,1590,1590,114,114,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:littoral",4754,4754,1411,1411,36,36,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:mono",3759,3759,1109,1109,61,61,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:oueme",5764,5764,1694,1694,64,64,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:plateau",4705,4705,1397,1397,90,90,0,"eligible_MAP","BJ71FL","BEN"
"BEN:BJ71FL:zou",6771,6771,2010,2010,90,90,0,"eligible_MAP","BJ71FL","BEN"
"BFA:BF43FL:est",2154,0,1129,0,52,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:nord",2142,0,1168,0,63,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:centreest",1848,0,1005,0,39,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:centrenord",2436,0,1296,0,73,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:boucledumouhoun",2358,0,1226,0,70,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:hautsbassins",2309,0,1205,0,55,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:centresud",1828,0,984,0,28,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:cascades",1884,0,1004,0,56,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:ouagadougou",704,0,415,0,11,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:sudouest",2637,0,1406,0,69,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:centreouest",2823,0,1528,0,77,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:sahel",2037,0,1064,0,88,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:plateaucentral",2733,0,1428,0,48,0,0,"previous_primary","BF43FL","BFA"
"BFA:BF43FL:est",3086,0,1134,0,72,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:nord",3159,0,1181,0,101,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:centreest",2748,0,1008,0,54,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:centrenord",3528,0,1308,0,114,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:boucledumouhoun",3410,0,1232,0,93,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:hautsbassins",3355,0,1214,0,80,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:centresud",2724,0,988,0,39,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:cascades",2750,0,1012,0,72,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:ouagadougou",1101,0,418,0,19,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:sudouest",3848,0,1418,0,95,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:centreouest",4182,0,1542,0,112,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:sahel",2902,0,1076,0,127,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF43FL:plateaucentral",3985,0,1432,0,67,0,0,"eligible_MAP","BF43FL","BFA"
"BFA:BF62FL:boucledumouhoun",7534,7534,2271,2271,129,129,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:cascades",5275,5275,1634,1634,103,103,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:centre",5174,5174,1530,1530,60,60,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:centreest",6432,6432,1914,1914,70,70,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:centrenord",6227,6227,1889,1889,87,87,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:centreouest",7572,7572,2264,2264,134,134,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:centresud",5493,5493,1654,1654,91,91,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:est",8472,8472,2551,2551,191,191,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:hautsbassins",6872,6872,2048,2048,120,120,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:nord",6742,6742,2048,2048,122,122,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:plateaucentral",5894,5894,1783,1783,103,103,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:sahel",6841,6841,2036,2036,219,219,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:sudouest",6166,6166,1861,1861,181,181,0,"previous_primary","BF62FL","BFA"
"BFA:BF62FL:boucledumouhoun",7549,7549,2276,2276,129,129,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:cascades",5275,5275,1634,1634,103,103,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:centre",5184,5184,1533,1533,60,60,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:centreest",6432,6432,1914,1914,70,70,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:centrenord",6230,6230,1890,1890,87,87,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:centreouest",7572,7572,2264,2264,134,134,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:centresud",5493,5493,1654,1654,91,91,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:est",8472,8472,2551,2551,191,191,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:hautsbassins",6883,6883,2051,2051,120,120,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:nord",6752,6752,2050,2050,122,122,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:plateaucentral",5894,5894,1783,1783,103,103,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:sahel",6841,6841,2036,2036,219,219,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF62FL:sudouest",6166,6166,1861,1861,181,181,0,"eligible_MAP","BF62FL","BFA"
"BFA:BF81FL:boucledumouhoun",6453,6453,1931,1931,44,44,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:cascades",3857,3857,1146,1146,33,33,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:centre",6671,6671,1943,1943,28,28,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:centreest",7162,7162,2104,2104,54,54,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:centrenord",5657,5657,1629,1629,41,41,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:centreouest",6399,6399,1873,1873,32,32,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:centresud",4425,4425,1294,1294,33,33,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:est",4612,4612,1354,1354,34,34,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:hautsbassins",7406,7406,2208,2208,55,55,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:nord",6471,6471,1898,1898,34,34,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:plateaucentral",6175,6175,1863,1863,38,38,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:sahel",2850,2850,864,864,32,32,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:sudouest",5989,5989,1817,1817,85,85,0,"previous_primary","BF81FL","BFA"
"BFA:BF81FL:boucledumouhoun",6453,6453,1931,1931,44,44,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:cascades",3857,3857,1146,1146,33,33,0,"eligible_MAP","BF81FL","BFA"
