"stage","variable","year","records","missing_records","missing_pct","period"
"after","exclusive_breastfeeding_pct",2011,361765,2652,0.733072574737744,"2010–2014"
"after","exclusive_breastfeeding_pct",2012,319085,0,0,"2010–2014"
"after","exclusive_breastfeeding_pct",2013,268926,0,0,"2010–2014"
"after","exclusive_breastfeeding_pct",2014,282296,0,0,"2010–2014"
"after","exclusive_breastfeeding_pct",2015,257762,0,0,"2015–2019"
"after","exclusive_breastfeeding_pct",2016,228167,0,0,"2015–2019"
"after","exclusive_breastfeeding_pct",2017,252178,10987,4.3568431821967,"2015–2019"
"after","exclusive_breastfeeding_pct",2018,214386,15153,7.06809213288181,"2015–2019"
"after","exclusive_breastfeeding_pct",2019,273022,15284,5.59808367091297,"2015–2019"
"after","exclusive_breastfeeding_pct",2020,274490,15249,5.55539363911254,"2020–2023"
"after","exclusive_breastfeeding_pct",2021,222501,9701,4.35998040458245,"2020–2023"
"after","exclusive_breastfeeding_pct",2022,163774,665,0.406047357944484,"2020–2023"
"after","exclusive_breastfeeding_pct",2023,75416,0,0,"2020–2023"
"after","facility_delivery_pct",2000,124558,0,0,"2000–2004"
"after","facility_delivery_pct",2002,214849,2293,1.06726119274467,"2000–2004"
"after","facility_delivery_pct",2003,211264,3402,1.61030748258104,"2000–2004"
"after","facility_delivery_pct",2004,232180,22218,9.56929968128176,"2000–2004"
"after","facility_delivery_pct",2005,211756,27395,12.9370596346739,"2005–2009"
"after","facility_delivery_pct",2006,269037,40277,14.9708032724123,"2005–2009"
"after","facility_delivery_pct",2007,313228,42500,13.568391076149,"2005–2009"
"after","facility_delivery_pct",2008,341736,31143,9.11317508251984,"2005–2009"
"after","facility_delivery_pct",2009,390467,21851,5.59611951842281,"2005–2009"
"after","facility_delivery_pct",2010,382179,10550,2.76048657827876,"2010–2014"
"after","facility_delivery_pct",2011,361765,2465,0.68138155985239,"2010–2014"
"after","facility_delivery_pct",2012,319085,1506,0.471974552235298,"2010–2014"
"after","facility_delivery_pct",2013,268926,226,0.0840379881454378,"2010–2014"
"after","facility_delivery_pct",2014,282296,0,0,"2010–2014"
"after","facility_delivery_pct",2015,257762,0,0,"2015–2019"
"after","facility_delivery_pct",2016,228167,0,0,"2015–2019"
"after","facility_delivery_pct",2017,252178,0,0,"2015–2019"
"after","facility_delivery_pct",2018,214386,0,0,"2015–2019"
"after","facility_delivery_pct",2019,273022,234,0.0857073788925435,"2015–2019"
"after","facility_delivery_pct",2020,274490,253,0.0921709351888958,"2020–2023"
"after","facility_delivery_pct",2021,222501,259,0.116403971218107,"2020–2023"
"after","facility_delivery_pct",2022,163774,290,0.17707328391564,"2020–2023"
"after","facility_delivery_pct",2023,75416,135,0.179007107245147,"2020–2023"
"after","hib3_pct",2000,124558,124558,100,"2000–2004"
"after","hib3_pct",2002,214849,171160,79.6652532709019,"2000–2004"
"after","hib3_pct",2003,211264,168071,79.5549644047258,"2000–2004"
"after","hib3_pct",2004,232180,182261,78.4998707899044,"2000–2004"
"after","hib3_pct",2005,211756,102896,48.591775439657,"2005–2009"
"after","hib3_pct",2006,269037,127807,47.5053617160465,"2005–2009"
"after","hib3_pct",2007,313228,130929,41.7999029460968,"2005–2009"
"after","hib3_pct",2008,341736,142989,41.8419481705176,"2005–2009"
"after","hib3_pct",2009,390467,59593,15.2619811661421,"2005–2009"
"after","hib3_pct",2010,382179,42557,11.1353580390341,"2010–2014"
"after","hib3_pct",2011,361765,39600,10.9463325639573,"2010–2014"
"after","hib3_pct",2012,319085,0,0,"2010–2014"
"after","hib3_pct",2013,268926,0,0,"2010–2014"
"after","hib3_pct",2014,282296,0,0,"2010–2014"
"after","hib3_pct",2015,257762,0,0,"2015–2019"
"after","hib3_pct",2016,228167,0,0,"2015–2019"
"after","hib3_pct",2017,252178,0,0,"2015–2019"
"after","hib3_pct",2018,214386,0,0,"2015–2019"
"after","hib3_pct",2019,273022,0,0,"2015–2019"
"after","hib3_pct",2020,274490,0,0,"2020–2023"
"after","hib3_pct",2021,222501,0,0,"2020–2023"
"after","hib3_pct",2022,163774,0,0,"2020–2023"
"after","hib3_pct",2023,75416,0,0,"2020–2023"
"after","improved_sanitation_pct",2000,124558,0,0,"2000–2004"
"after","improved_sanitation_pct",2002,214849,2293,1.06726119274467,"2000–2004"
"after","improved_sanitation_pct",2003,211264,2277,1.07779839442593,"2000–2004"
"after","improved_sanitation_pct",2004,232180,2474,1.06555258850892,"2000–2004"
"after","improved_sanitation_pct",2005,211756,3008,1.42050284289465,"2005–2009"
"after","improved_sanitation_pct",2006,269037,3591,1.33476064630516,"2005–2009"
"after","improved_sanitation_pct",2007,313228,4928,1.57329485231205,"2005–2009"
"after","improved_sanitation_pct",2008,341736,5867,1.71682234239296,"2005–2009"
"after","improved_sanitation_pct",2009,390467,6182,1.58323238583542,"2005–2009"
"after","improved_sanitation_pct",2010,382179,4745,1.24156481648652,"2010–2014"
"after","improved_sanitation_pct",2011,361765,2332,0.644617362099706,"2010–2014"
"after","improved_sanitation_pct",2012,319085,1506,0.471974552235298,"2010–2014"
"after","improved_sanitation_pct",2013,268926,226,0.0840379881454378,"2010–2014"
"after","improved_sanitation_pct",2014,282296,0,0,"2010–2014"
"after","improved_sanitation_pct",2015,257762,0,0,"2015–2019"
"after","improved_sanitation_pct",2016,228167,0,0,"2015–2019"
"after","improved_sanitation_pct",2017,252178,0,0,"2015–2019"
"after","improved_sanitation_pct",2018,214386,0,0,"2015–2019"
"after","improved_sanitation_pct",2019,273022,234,0.0857073788925435,"2015–2019"
"after","improved_sanitation_pct",2020,274490,253,0.0921709351888958,"2020–2023"
"after","improved_sanitation_pct",2021,222501,259,0.116403971218107,"2020–2023"
"after","improved_sanitation_pct",2022,163774,290,0.17707328391564,"2020–2023"
"after","improved_sanitation_pct",2023,75416,135,0.179007107245147,"2020–2023"
"after","improved_water_pct",2000,124558,0,0,"2000–2004"
"after","improved_water_pct",2002,214849,2293,1.06726119274467,"2000–2004"
"after","improved_water_pct",2003,211264,2277,1.07779839442593,"2000–2004"
"after","improved_water_pct",2004,232180,2474,1.06555258850892,"2000–2004"
"after","improved_water_pct",2005,211756,3008,1.42050284289465,"2005–2009"
"after","improved_water_pct",2006,269037,3591,1.33476064630516,"2005–2009"
"after","improved_water_pct",2007,313228,4928,1.57329485231205,"2005–2009"
"after","improved_water_pct",2008,341736,5867,1.71682234239296,"2005–2009"
"after","improved_water_pct",2009,390467,6182,1.58323238583542,"2005–2009"
"after","improved_water_pct",2010,382179,4745,1.24156481648652,"2010–2014"
"after","improved_water_pct",2011,361765,2332,0.644617362099706,"2010–2014"
"after","improved_water_pct",2012,319085,1506,0.471974552235298,"2010–2014"
"after","improved_water_pct",2013,268926,226,0.0840379881454378,"2010–2014"
"after","improved_water_pct",2014,282296,0,0,"2010–2014"
"after","improved_water_pct",2015,257762,0,0,"2015–2019"
"after","improved_water_pct",2016,228167,0,0,"2015–2019"
"after","improved_water_pct",2017,252178,0,0,"2015–2019"
"after","improved_water_pct",2018,214386,0,0,"2015–2019"
"after","improved_water_pct",2019,273022,234,0.0857073788925435,"2015–2019"
"after","improved_water_pct",2020,274490,253,0.0921709351888958,"2020–2023"
"after","improved_water_pct",2021,222501,259,0.116403971218107,"2020–2023"
"after","improved_water_pct",2022,163774,290,0.17707328391564,"2020–2023"
"after","improved_water_pct",2023,75416,135,0.179007107245147,"2020–2023"
"after","log_gdp_pc",2000,124558,0,0,"2000–2004"
"after","log_gdp_pc",2002,214849,0,0,"2000–2004"
"after","log_gdp_pc",2003,211264,0,0,"2000–2004"
"after","log_gdp_pc",2004,232180,0,0,"2000–2004"
"after","log_gdp_pc",2005,211756,0,0,"2005–2009"
"after","log_gdp_pc",2006,269037,0,0,"2005–2009"
"after","log_gdp_pc",2007,313228,0,0,"2005–2009"
"after","log_gdp_pc",2008,341736,0,0,"2005–2009"
"after","log_gdp_pc",2009,390467,0,0,"2005–2009"
"after","log_gdp_pc",2010,382179,0,0,"2010–2014"
"after","log_gdp_pc",2011,361765,0,0,"2010–2014"
"after","log_gdp_pc",2012,319085,0,0,"2010–2014"
"after","log_gdp_pc",2013,268926,0,0,"2010–2014"
"after","log_gdp_pc",2014,282296,0,0,"2010–2014"
"after","log_gdp_pc",2015,257762,0,0,"2015–2019"
"after","log_gdp_pc",2016,228167,0,0,"2015–2019"
"after","log_gdp_pc",2017,252178,0,0,"2015–2019"
"after","log_gdp_pc",2018,214386,0,0,"2015–2019"
"after","log_gdp_pc",2019,273022,0,0,"2015–2019"
"after","log_gdp_pc",2020,274490,0,0,"2020–2023"
"after","log_gdp_pc",2021,222501,0,0,"2020–2023"
"after","log_gdp_pc",2022,163774,0,0,"2020–2023"
"after","log_gdp_pc",2023,75416,0,0,"2020–2023"
"after","log_health_expenditure_pc",2000,124558,0,0,"2000–2004"
"after","log_health_expenditure_pc",2002,214849,0,0,"2000–2004"
"after","log_health_expenditure_pc",2003,211264,0,0,"2000–2004"
"after","log_health_expenditure_pc",2004,232180,0,0,"2000–2004"
"after","log_health_expenditure_pc",2005,211756,0,0,"2005–2009"
"after","log_health_expenditure_pc",2006,269037,0,0,"2005–2009"
"after","log_health_expenditure_pc",2007,313228,0,0,"2005–2009"
"after","log_health_expenditure_pc",2008,341736,0,0,"2005–2009"
"after","log_health_expenditure_pc",2009,390467,0,0,"2005–2009"
"after","log_health_expenditure_pc",2010,382179,0,0,"2010–2014"
"after","log_health_expenditure_pc",2011,361765,0,0,"2010–2014"
"after","log_health_expenditure_pc",2012,319085,0,0,"2010–2014"
"after","log_health_expenditure_pc",2013,268926,0,0,"2010–2014"
"after","log_health_expenditure_pc",2014,282296,0,0,"2010–2014"
"after","log_health_expenditure_pc",2015,257762,0,0,"2015–2019"
"after","log_health_expenditure_pc",2016,228167,0,0,"2015–2019"
"after","log_health_expenditure_pc",2017,252178,0,0,"2015–2019"
"after","log_health_expenditure_pc",2018,214386,0,0,"2015–2019"
"after","log_health_expenditure_pc",2019,273022,0,0,"2015–2019"
"after","log_health_expenditure_pc",2020,274490,0,0,"2020–2023"
"after","log_health_expenditure_pc",2021,222501,0,0,"2020–2023"
"after","log_health_expenditure_pc",2022,163774,0,0,"2020–2023"
"after","log_health_expenditure_pc",2023,75416,0,0,"2020–2023"
"after","log_hiv_incidence",2000,124558,0,0,"2000–2004"
"after","log_hiv_incidence",2002,214849,0,0,"2000–2004"
"after","log_hiv_incidence",2003,211264,0,0,"2000–2004"
"after","log_hiv_incidence",2004,232180,0,0,"2000–2004"
"after","log_hiv_incidence",2005,211756,0,0,"2005–2009"
"after","log_hiv_incidence",2006,269037,0,0,"2005–2009"
"after","log_hiv_incidence",2007,313228,0,0,"2005–2009"
"after","log_hiv_incidence",2008,341736,0,0,"2005–2009"
"after","log_hiv_incidence",2009,390467,0,0,"2005–2009"
"after","log_hiv_incidence",2010,382179,0,0,"2010–2014"
"after","log_hiv_incidence",2011,361765,0,0,"2010–2014"
"after","log_hiv_incidence",2012,319085,0,0,"2010–2014"
"after","log_hiv_incidence",2013,268926,0,0,"2010–2014"
"after","log_hiv_incidence",2014,282296,0,0,"2010–2014"
"after","log_hiv_incidence",2015,257762,0,0,"2015–2019"
"after","log_hiv_incidence",2016,228167,0,0,"2015–2019"
"after","log_hiv_incidence",2017,252178,0,0,"2015–2019"
"after","log_hiv_incidence",2018,214386,0,0,"2015–2019"
"after","log_hiv_incidence",2019,273022,0,0,"2015–2019"
"after","log_hiv_incidence",2020,274490,0,0,"2020–2023"
"after","log_hiv_incidence",2021,222501,0,0,"2020–2023"
"after","log_hiv_incidence",2022,163774,0,0,"2020–2023"
"after","log_hiv_incidence",2023,75416,0,0,"2020–2023"
"after","male_pct",2000,124558,0,0,"2000–2004"
"after","male_pct",2002,214849,0,0,"2000–2004"
"after","male_pct",2003,211264,0,0,"2000–2004"
"after","male_pct",2004,232180,0,0,"2000–2004"
"after","male_pct",2005,211756,0,0,"2005–2009"
"after","male_pct",2006,269037,0,0,"2005–2009"
"after","male_pct",2007,313228,0,0,"2005–2009"
"after","male_pct",2008,341736,0,0,"2005–2009"
"after","male_pct",2009,390467,0,0,"2005–2009"
"after","male_pct",2010,382179,0,0,"2010–2014"
"after","male_pct",2011,361765,0,0,"2010–2014"
"after","male_pct",2012,319085,0,0,"2010–2014"
"after","male_pct",2013,268926,0,0,"2010–2014"
"after","male_pct",2014,282296,0,0,"2010–2014"
"after","male_pct",2015,257762,0,0,"2015–2019"
"after","male_pct",2016,228167,0,0,"2015–2019"
"after","male_pct",2017,252178,0,0,"2015–2019"
"after","male_pct",2018,214386,0,0,"2015–2019"
"after","male_pct",2019,273022,0,0,"2015–2019"
"after","male_pct",2020,274490,0,0,"2020–2023"
"after","male_pct",2021,222501,0,0,"2020–2023"
"after","male_pct",2022,163774,0,0,"2020–2023"
"after","male_pct",2023,75416,0,0,"2020–2023"
"after","mean_birth_order",2000,124558,0,0,"2000–2004"
"after","mean_birth_order",2002,214849,0,0,"2000–2004"
"after","mean_birth_order",2003,211264,0,0,"2000–2004"
"after","mean_birth_order",2004,232180,0,0,"2000–2004"
"after","mean_birth_order",2005,211756,0,0,"2005–2009"
"after","mean_birth_order",2006,269037,0,0,"2005–2009"
"after","mean_birth_order",2007,313228,0,0,"2005–2009"
"after","mean_birth_order",2008,341736,0,0,"2005–2009"
"after","mean_birth_order",2009,390467,0,0,"2005–2009"
"after","mean_birth_order",2010,382179,0,0,"2010–2014"
"after","mean_birth_order",2011,361765,0,0,"2010–2014"
"after","mean_birth_order",2012,319085,0,0,"2010–2014"
"after","mean_birth_order",2013,268926,0,0,"2010–2014"
"after","mean_birth_order",2014,282296,0,0,"2010–2014"
"after","mean_birth_order",2015,257762,0,0,"2015–2019"
"after","mean_birth_order",2016,228167,0,0,"2015–2019"
"after","mean_birth_order",2017,252178,0,0,"2015–2019"
"after","mean_birth_order",2018,214386,0,0,"2015–2019"
"after","mean_birth_order",2019,273022,0,0,"2015–2019"
"after","mean_birth_order",2020,274490,0,0,"2020–2023"
"after","mean_birth_order",2021,222501,0,0,"2020–2023"
"after","mean_birth_order",2022,163774,0,0,"2020–2023"
"after","mean_birth_order",2023,75416,0,0,"2020–2023"
"after","mean_maternal_age_birth",2000,124558,0,0,"2000–2004"
"after","mean_maternal_age_birth",2002,214849,0,0,"2000–2004"
"after","mean_maternal_age_birth",2003,211264,0,0,"2000–2004"
"after","mean_maternal_age_birth",2004,232180,0,0,"2000–2004"
"after","mean_maternal_age_birth",2005,211756,0,0,"2005–2009"
"after","mean_maternal_age_birth",2006,269037,0,0,"2005–2009"
"after","mean_maternal_age_birth",2007,313228,0,0,"2005–2009"
"after","mean_maternal_age_birth",2008,341736,0,0,"2005–2009"
"after","mean_maternal_age_birth",2009,390467,0,0,"2005–2009"
"after","mean_maternal_age_birth",2010,382179,0,0,"2010–2014"
"after","mean_maternal_age_birth",2011,361765,0,0,"2010–2014"
"after","mean_maternal_age_birth",2012,319085,0,0,"2010–2014"
"after","mean_maternal_age_birth",2013,268926,0,0,"2010–2014"
"after","mean_maternal_age_birth",2014,282296,0,0,"2010–2014"
"after","mean_maternal_age_birth",2015,257762,0,0,"2015–2019"
"after","mean_maternal_age_birth",2016,228167,0,0,"2015–2019"
"after","mean_maternal_age_birth",2017,252178,0,0,"2015–2019"
"after","mean_maternal_age_birth",2018,214386,0,0,"2015–2019"
"after","mean_maternal_age_birth",2019,273022,0,0,"2015–2019"
"after","mean_maternal_age_birth",2020,274490,0,0,"2020–2023"
"after","mean_maternal_age_birth",2021,222501,0,0,"2020–2023"
"after","mean_maternal_age_birth",2022,163774,0,0,"2020–2023"
"after","mean_maternal_age_birth",2023,75416,0,0,"2020–2023"
"after","mean_maternal_education_years",2000,124558,0,0,"2000–2004"
"after","mean_maternal_education_years",2002,214849,0,0,"2000–2004"
"after","mean_maternal_education_years",2003,211264,0,0,"2000–2004"
"after","mean_maternal_education_years",2004,232180,0,0,"2000–2004"
"after","mean_maternal_education_years",2005,211756,0,0,"2005–2009"
"after","mean_maternal_education_years",2006,269037,0,0,"2005–2009"
"after","mean_maternal_education_years",2007,313228,0,0,"2005–2009"
"after","mean_maternal_education_years",2008,341736,0,0,"2005–2009"
"after","mean_maternal_education_years",2009,390467,0,0,"2005–2009"
"after","mean_maternal_education_years",2010,382179,0,0,"2010–2014"
"after","mean_maternal_education_years",2011,361765,0,0,"2010–2014"
"after","mean_maternal_education_years",2012,319085,0,0,"2010–2014"
"after","mean_maternal_education_years",2013,268926,0,0,"2010–2014"
"after","mean_maternal_education_years",2014,282296,0,0,"2010–2014"
"after","mean_maternal_education_years",2015,257762,0,0,"2015–2019"
"after","mean_maternal_education_years",2016,228167,0,0,"2015–2019"
"after","mean_maternal_education_years",2017,252178,0,0,"2015–2019"
"after","mean_maternal_education_years",2018,214386,0,0,"2015–2019"
"after","mean_maternal_education_years",2019,273022,0,0,"2015–2019"
"after","mean_maternal_education_years",2020,274490,0,0,"2020–2023"
"after","mean_maternal_education_years",2021,222501,0,0,"2020–2023"
"after","mean_maternal_education_years",2022,163774,0,0,"2020–2023"
"after","mean_maternal_education_years",2023,75416,0,0,"2020–2023"
"after","mean_wealth_quintile",2000,124558,0,0,"2000–2004"
"after","mean_wealth_quintile",2002,214849,0,0,"2000–2004"
"after","mean_wealth_quintile",2003,211264,0,0,"2000–2004"
"after","mean_wealth_quintile",2004,232180,0,0,"2000–2004"
"after","mean_wealth_quintile",2005,211756,0,0,"2005–2009"
"after","mean_wealth_quintile",2006,269037,0,0,"2005–2009"
"after","mean_wealth_quintile",2007,313228,0,0,"2005–2009"
"after","mean_wealth_quintile",2008,341736,0,0,"2005–2009"
"after","mean_wealth_quintile",2009,390467,0,0,"2005–2009"
"after","mean_wealth_quintile",2010,382179,0,0,"2010–2014"
"after","mean_wealth_quintile",2011,361765,0,0,"2010–2014"
"after","mean_wealth_quintile",2012,319085,0,0,"2010–2014"
"after","mean_wealth_quintile",2013,268926,0,0,"2010–2014"
"after","mean_wealth_quintile",2014,282296,0,0,"2010–2014"
"after","mean_wealth_quintile",2015,257762,0,0,"2015–2019"
"after","mean_wealth_quintile",2016,228167,0,0,"2015–2019"
"after","mean_wealth_quintile",2017,252178,0,0,"2015–2019"
"after","mean_wealth_quintile",2018,214386,0,0,"2015–2019"
"after","mean_wealth_quintile",2019,273022,0,0,"2015–2019"
"after","mean_wealth_quintile",2020,274490,0,0,"2020–2023"
"after","mean_wealth_quintile",2021,222501,0,0,"2020–2023"
"after","mean_wealth_quintile",2022,163774,0,0,"2020–2023"
"after","mean_wealth_quintile",2023,75416,0,0,"2020–2023"
"after","measles_pct",2000,124558,0,0,"2000–2004"
"after","measles_pct",2002,214849,0,0,"2000–2004"
"after","measles_pct",2003,211264,0,0,"2000–2004"
"after","measles_pct",2004,232180,0,0,"2000–2004"
"after","measles_pct",2005,211756,0,0,"2005–2009"
"after","measles_pct",2006,269037,0,0,"2005–2009"
"after","measles_pct",2007,313228,0,0,"2005–2009"
"after","measles_pct",2008,341736,0,0,"2005–2009"
"after","measles_pct",2009,390467,0,0,"2005–2009"
"after","measles_pct",2010,382179,0,0,"2010–2014"
"after","measles_pct",2011,361765,0,0,"2010–2014"
"after","measles_pct",2012,319085,0,0,"2010–2014"
"after","measles_pct",2013,268926,0,0,"2010–2014"
"after","measles_pct",2014,282296,0,0,"2010–2014"
"after","measles_pct",2015,257762,0,0,"2015–2019"
"after","measles_pct",2016,228167,0,0,"2015–2019"
"after","measles_pct",2017,252178,0,0,"2015–2019"
"after","measles_pct",2018,214386,0,0,"2015–2019"
"after","measles_pct",2019,273022,0,0,"2015–2019"
"after","measles_pct",2020,274490,0,0,"2020–2023"
"after","measles_pct",2021,222501,0,0,"2020–2023"
"after","measles_pct",2022,163774,0,0,"2020–2023"
"after","measles_pct",2023,75416,0,0,"2020–2023"
"after","multiple_birth_pct",2000,124558,0,0,"2000–2004"
"after","multiple_birth_pct",2002,214849,0,0,"2000–2004"
"after","multiple_birth_pct",2003,211264,0,0,"2000–2004"
"after","multiple_birth_pct",2004,232180,0,0,"2000–2004"
"after","multiple_birth_pct",2005,211756,0,0,"2005–2009"
"after","multiple_birth_pct",2006,269037,0,0,"2005–2009"
"after","multiple_birth_pct",2007,313228,0,0,"2005–2009"
"after","multiple_birth_pct",2008,341736,0,0,"2005–2009"
"after","multiple_birth_pct",2009,390467,0,0,"2005–2009"
"after","multiple_birth_pct",2010,382179,0,0,"2010–2014"
"after","multiple_birth_pct",2011,361765,0,0,"2010–2014"
"after","multiple_birth_pct",2012,319085,0,0,"2010–2014"
"after","multiple_birth_pct",2013,268926,0,0,"2010–2014"
"after","multiple_birth_pct",2014,282296,0,0,"2010–2014"
"after","multiple_birth_pct",2015,257762,0,0,"2015–2019"
"after","multiple_birth_pct",2016,228167,0,0,"2015–2019"
"after","multiple_birth_pct",2017,252178,0,0,"2015–2019"
"after","multiple_birth_pct",2018,214386,0,0,"2015–2019"
"after","multiple_birth_pct",2019,273022,0,0,"2015–2019"
"after","multiple_birth_pct",2020,274490,0,0,"2020–2023"
"after","multiple_birth_pct",2021,222501,0,0,"2020–2023"
"after","multiple_birth_pct",2022,163774,0,0,"2020–2023"
"after","multiple_birth_pct",2023,75416,0,0,"2020–2023"
"after","pcv3_pct",2000,124558,124558,100,"2000–2004"
"after","pcv3_pct",2002,214849,214849,100,"2000–2004"
"after","pcv3_pct",2003,211264,211264,100,"2000–2004"
"after","pcv3_pct",2004,232180,232180,100,"2000–2004"
"after","pcv3_pct",2005,211756,211756,100,"2005–2009"
"after","pcv3_pct",2006,269037,269037,100,"2005–2009"
"after","pcv3_pct",2007,313228,313228,100,"2005–2009"
"after","pcv3_pct",2008,341736,341736,100,"2005–2009"
"after","pcv3_pct",2009,390467,390467,100,"2005–2009"
"after","pcv3_pct",2010,382179,358644,93.841890841726,"2010–2014"
"after","pcv3_pct",2011,361765,236130,65.2716542506876,"2010–2014"
"after","pcv3_pct",2012,319085,157041,49.2160396132692,"2010–2014"
"after","pcv3_pct",2013,268926,98769,36.7272037660918,"2010–2014"
"after","pcv3_pct",2014,282296,64955,23.0095360897781,"2010–2014"
"after","pcv3_pct",2015,257762,15065,5.84453876056207,"2015–2019"
"after","pcv3_pct",2016,228167,16105,7.05842650339444,"2015–2019"
"after","pcv3_pct",2017,252178,16710,6.62627191904131,"2015–2019"
"after","pcv3_pct",2018,214386,9147,4.26660322968851,"2015–2019"
"after","pcv3_pct",2019,273022,6064,2.22106643420677,"2015–2019"
"after","pcv3_pct",2020,274490,3471,1.26452694087216,"2020–2023"
"after","pcv3_pct",2021,222501,628,0.282245922490236,"2020–2023"
"after","pcv3_pct",2022,163774,0,0,"2020–2023"
