"stage","variable","period","records","missing_records","missing_pct"
"after","mean_wealth_quintile","2005–2009",1526224,0,0
"after","mean_wealth_quintile","2010–2014",1614251,0,0
"after","mean_wealth_quintile","2015–2019",1225515,0,0
"after","mean_wealth_quintile","2020–2023",736181,0,0
"after","measles_pct","2000–2004",782851,0,0
"after","measles_pct","2005–2009",1526224,0,0
"after","measles_pct","2010–2014",1614251,0,0
"after","measles_pct","2015–2019",1225515,0,0
"after","measles_pct","2020–2023",736181,0,0
"after","multiple_birth_pct","2000–2004",782851,0,0
"after","multiple_birth_pct","2005–2009",1526224,0,0
"after","multiple_birth_pct","2010–2014",1614251,0,0
"after","multiple_birth_pct","2015–2019",1225515,0,0
"after","multiple_birth_pct","2020–2023",736181,0,0
"after","pcv3_pct","2000–2004",782851,782851,100
"after","pcv3_pct","2005–2009",1526224,1526224,100
"after","pcv3_pct","2010–2014",1614251,915539,56.7160249552269
"after","pcv3_pct","2015–2019",1225515,63091,5.14812140202282
"after","pcv3_pct","2020–2023",736181,4099,0.556792419255591
"after","political_stability","2000–2004",782851,0,0
"after","political_stability","2005–2009",1526224,0,0
"after","political_stability","2010–2014",1614251,0,0
"after","political_stability","2015–2019",1225515,0,0
"after","political_stability","2020–2023",736181,0,0
"after","rotavirus_pct","2000–2004",782851,782851,100
"after","rotavirus_pct","2005–2009",1526224,1526224,100
"after","rotavirus_pct","2010–2014",1614251,1356735,84.047338363117
"after","rotavirus_pct","2015–2019",1225515,288347,23.528638980347
"after","rotavirus_pct","2020–2023",736181,78440,10.6549883792165
"after","short_birth_interval_pct","2000–2004",782851,7044,0.899788082278748
"after","short_birth_interval_pct","2005–2009",1526224,23576,1.54472737946723
"after","short_birth_interval_pct","2010–2014",1614251,8809,0.545702000494347
"after","short_birth_interval_pct","2015–2019",1225515,234,0.019094013537166
"after","short_birth_interval_pct","2020–2023",736181,937,0.127278481786408
"after","urban_pct","2000–2004",782851,0,0
"after","urban_pct","2005–2009",1526224,0,0
"after","urban_pct","2010–2014",1614251,0,0
"after","urban_pct","2015–2019",1225515,0,0
"after","urban_pct","2020–2023",736181,0,0
"before","any_required","2000–2004",782851,782851,100
"before","any_required","2005–2009",1526224,1526224,100
"before","any_required","2010–2014",1614251,1356936,84.059789958315
"before","any_required","2015–2019",1225515,330731,26.9871033810276
"before","any_required","2020–2023",736181,104992,14.2617100957509
"before","dtp3_pct","2000–2004",782851,27913,3.56555717499243
"before","dtp3_pct","2005–2009",1526224,163166,10.6908291312415
"before","dtp3_pct","2010–2014",1614251,14961,0.926807541082521
"before","dtp3_pct","2015–2019",1225515,960,0.0783344145114503
"before","dtp3_pct","2020–2023",736181,937,0.127278481786408
"before","electricity_pct","2000–2004",782851,67490,8.62105304840896
"before","electricity_pct","2005–2009",1526224,46849,3.06960184088312
"before","electricity_pct","2010–2014",1614251,8809,0.545702000494347
"before","electricity_pct","2015–2019",1225515,234,0.019094013537166
"before","electricity_pct","2020–2023",736181,937,0.127278481786408
"before","exclusive_breastfeeding_pct","2000–2004",782851,561331,71.7034275998881
"before","exclusive_breastfeeding_pct","2005–2009",1526224,269059,17.6290636236883
"before","exclusive_breastfeeding_pct","2010–2014",1614251,22574,1.3984194527369
"before","exclusive_breastfeeding_pct","2015–2019",1225515,41424,3.38012998616908
"before","exclusive_breastfeeding_pct","2020–2023",736181,25615,3.47944323474798
"before","facility_delivery_pct","2000–2004",782851,27913,3.56555717499243
"before","facility_delivery_pct","2005–2009",1526224,163166,10.6908291312415
"before","facility_delivery_pct","2010–2014",1614251,14747,0.913550618831892
"before","facility_delivery_pct","2015–2019",1225515,234,0.019094013537166
"before","facility_delivery_pct","2020–2023",736181,937,0.127278481786408
"before","hib3_pct","2000–2004",782851,646050,82.5252825888962
"before","hib3_pct","2005–2009",1526224,564214,36.9679680046966
"before","hib3_pct","2010–2014",1614251,82157,5.08948112778
"before","hib3_pct","2015–2019",1225515,0,0
"before","hib3_pct","2020–2023",736181,0,0
"before","improved_sanitation_pct","2000–2004",782851,7044,0.899788082278748
"before","improved_sanitation_pct","2005–2009",1526224,23576,1.54472737946723
"before","improved_sanitation_pct","2010–2014",1614251,8809,0.545702000494347
"before","improved_sanitation_pct","2015–2019",1225515,234,0.019094013537166
"before","improved_sanitation_pct","2020–2023",736181,937,0.127278481786408
"before","improved_water_pct","2000–2004",782851,7044,0.899788082278748
"before","improved_water_pct","2005–2009",1526224,23576,1.54472737946723
"before","improved_water_pct","2010–2014",1614251,8809,0.545702000494347
"before","improved_water_pct","2015–2019",1225515,234,0.019094013537166
"before","improved_water_pct","2020–2023",736181,937,0.127278481786408
"before","log_gdp_pc","2000–2004",782851,0,0
"before","log_gdp_pc","2005–2009",1526224,0,0
"before","log_gdp_pc","2010–2014",1614251,0,0
"before","log_gdp_pc","2015–2019",1225515,0,0
"before","log_gdp_pc","2020–2023",736181,0,0
"before","log_health_expenditure_pc","2000–2004",782851,0,0
"before","log_health_expenditure_pc","2005–2009",1526224,0,0
"before","log_health_expenditure_pc","2010–2014",1614251,0,0
"before","log_health_expenditure_pc","2015–2019",1225515,0,0
"before","log_health_expenditure_pc","2020–2023",736181,0,0
"before","log_hiv_incidence","2000–2004",782851,0,0
"before","log_hiv_incidence","2005–2009",1526224,0,0
"before","log_hiv_incidence","2010–2014",1614251,0,0
"before","log_hiv_incidence","2015–2019",1225515,0,0
"before","log_hiv_incidence","2020–2023",736181,0,0
"before","male_pct","2000–2004",782851,0,0
"before","male_pct","2005–2009",1526224,0,0
"before","male_pct","2010–2014",1614251,0,0
"before","male_pct","2015–2019",1225515,0,0
"before","male_pct","2020–2023",736181,0,0
"before","mean_birth_order","2000–2004",782851,0,0
"before","mean_birth_order","2005–2009",1526224,0,0
"before","mean_birth_order","2010–2014",1614251,0,0
"before","mean_birth_order","2015–2019",1225515,0,0
"before","mean_birth_order","2020–2023",736181,0,0
"before","mean_maternal_age_birth","2000–2004",782851,0,0
"before","mean_maternal_age_birth","2005–2009",1526224,0,0
"before","mean_maternal_age_birth","2010–2014",1614251,0,0
"before","mean_maternal_age_birth","2015–2019",1225515,0,0
"before","mean_maternal_age_birth","2020–2023",736181,0,0
"before","mean_maternal_education_years","2000–2004",782851,0,0
"before","mean_maternal_education_years","2005–2009",1526224,0,0
"before","mean_maternal_education_years","2010–2014",1614251,0,0
"before","mean_maternal_education_years","2015–2019",1225515,0,0
"before","mean_maternal_education_years","2020–2023",736181,0,0
"before","mean_wealth_quintile","2000–2004",782851,0,0
"before","mean_wealth_quintile","2005–2009",1526224,0,0
"before","mean_wealth_quintile","2010–2014",1614251,0,0
"before","mean_wealth_quintile","2015–2019",1225515,0,0
"before","mean_wealth_quintile","2020–2023",736181,0,0
"before","measles_pct","2000–2004",782851,27913,3.56555717499243
"before","measles_pct","2005–2009",1526224,163166,10.6908291312415
"before","measles_pct","2010–2014",1614251,14961,0.926807541082521
"before","measles_pct","2015–2019",1225515,960,0.0783344145114503
"before","measles_pct","2020–2023",736181,937,0.127278481786408
"before","multiple_birth_pct","2000–2004",782851,0,0
"before","multiple_birth_pct","2005–2009",1526224,0,0
"before","multiple_birth_pct","2010–2014",1614251,0,0
"before","multiple_birth_pct","2015–2019",1225515,0,0
"before","multiple_birth_pct","2020–2023",736181,0,0
"before","pcv3_pct","2000–2004",782851,782851,100
"before","pcv3_pct","2005–2009",1526224,1526224,100
"before","pcv3_pct","2010–2014",1614251,915539,56.7160249552269
"before","pcv3_pct","2015–2019",1225515,63091,5.14812140202282
"before","pcv3_pct","2020–2023",736181,4099,0.556792419255591
"before","political_stability","2000–2004",782851,0,0
"before","political_stability","2005–2009",1526224,0,0
"before","political_stability","2010–2014",1614251,0,0
"before","political_stability","2015–2019",1225515,0,0
"before","political_stability","2020–2023",736181,0,0
"before","rotavirus_pct","2000–2004",782851,782851,100
"before","rotavirus_pct","2005–2009",1526224,1526224,100
"before","rotavirus_pct","2010–2014",1614251,1356735,84.047338363117
"before","rotavirus_pct","2015–2019",1225515,288347,23.528638980347
"before","rotavirus_pct","2020–2023",736181,78440,10.6549883792165
"before","short_birth_interval_pct","2000–2004",782851,7044,0.899788082278748
"before","short_birth_interval_pct","2005–2009",1526224,23576,1.54472737946723
"before","short_birth_interval_pct","2010–2014",1614251,8809,0.545702000494347
"before","short_birth_interval_pct","2015–2019",1225515,234,0.019094013537166
"before","short_birth_interval_pct","2020–2023",736181,937,0.127278481786408
"before","urban_pct","2000–2004",782851,0,0
"before","urban_pct","2005–2009",1526224,0,0
"before","urban_pct","2010–2014",1614251,0,0
"before","urban_pct","2015–2019",1225515,0,0
"before","urban_pct","2020–2023",736181,0,0
