"iso3","year","political_stability","gdp_pc","health_expenditure_pc","log_gdp_pc","log_health_expenditure_pc","political_stability_source","log_health_expenditure_pc_source"
"ZMB",2002,-0.370585899999999,393.864625518616,23.19246864,5.97600726020307,3.14382759838312,"wgi_observed","ghed_observed"
"ZWE",2002,-1.6078263,524.936478570323,26.8273914418808,6.26327726207197,3.28942343428709,"wgi_observed","gam_within_series_model"
"AGO",2003,-1.25069229999999,1133.66331960414,35.2206955,7.03320954391262,3.56163385017575,"wgi_observed","ghed_observed"
"BDI",2003,-2.4009377,111.406682804391,5.87316799,4.71318731496132,1.77039417991131,"wgi_observed","ghed_observed"
"BEN",2003,0.5773695,676.002878084282,21.06955719,6.51619733355503,3.04782921145857,"wgi_observed","ghed_observed"
"BFA",2003,0.0624282,362.373899996953,16.02656555,5.89267655169931,2.77424769226273,"wgi_observed","ghed_observed"
"CIV",2003,-2.0672136,1111.17135087887,43.81231308,7.01317000896132,3.77991489842337,"wgi_observed","ghed_observed"
"CMR",2003,-0.646501099999999,988.241276791846,38.56394196,6.89592687521332,3.6523176937704,"wgi_observed","ghed_observed"
"COD",2003,-2.0947308,161.491553524396,6.03257608,5.08445284113647,1.79717413012422,"wgi_observed","ghed_observed"
"COG",2003,-1.2440365,1016.82363412143,21.51475716,6.92443896323359,3.0687390792178,"wgi_observed","ghed_observed"
"COM",2003,-0.968114799999999,959.691049354812,63.91786194,6.86661140907682,4.15759885189984,"wgi_observed","ghed_observed"
"ETH",2003,-1.5308526,116.800491132777,5.70984173,4.7604672752892,1.74219130524524,"wgi_observed","ghed_observed"
"GAB",2003,-0.1685302,4710.74862768151,166.59495544,8.45760211868621,5.11556544980252,"wgi_observed","ghed_observed"
"GHA",2003,-0.216514799999999,358.39927142073,18.96423721,5.88164764823244,2.94255495339868,"wgi_observed","ghed_observed"
"GIN",2003,-1.0722605,566.48540588068,25.60194969,6.33945131823097,3.24266850835113,"wgi_observed","ghed_observed"
"GMB",2003,0.0176281,308.719123437587,28.3001461,5.7324318778809,3.34286696718004,"wgi_observed","ghed_observed"
"KEN",2003,-1.2300985,442.898457253405,25.64012337,6.09334052763883,3.24415844366336,"wgi_observed","ghed_observed"
"LBR",2003,-2.06542749999999,239.779556677091,5.76429653,5.47971998740421,1.75168312199098,"wgi_observed","ghed_observed"
"MDG",2003,0.2935597,352.620095849925,17.64075851,5.86539126167472,2.8702120490873,"wgi_observed","ghed_observed"
"MLI",2003,0.0765265,441.910358475171,18.76944542,6.09110705262949,2.93223030407775,"wgi_observed","ghed_observed"
"MOZ",2003,-0.189112399999999,339.488737800648,11.03660774,5.8274407735491,2.40121772370434,"wgi_observed","ghed_observed"
"MRT",2003,-0.2889869,732.017820812675,29.51877594,6.59580485903747,3.3850265334254,"wgi_observed","ghed_observed"
"MWI",2003,-0.216773699999999,383.348596852642,12.3155899,5.94894474977293,2.51086593135911,"wgi_observed","ghed_observed"
"NAM",2003,0.1957486,2569.24739317883,278.70162964,7.85136829188127,5.6301417817618,"wgi_observed","ghed_observed"
"NER",2003,-0.245825799999999,265.225363452469,12.55038452,5.58057989269964,2.52975130415225,"wgi_observed","ghed_observed"
"NGA",2003,-1.8566436,763.388745367223,37.91439438,6.63776739742963,3.63533083892761,"wgi_observed","ghed_observed"
"RWA",2003,-1.22904789999999,249.012274982252,17.25927353,5.51750219236712,2.84834959496647,"wgi_observed","ghed_observed"
"SEN",2003,-0.4774697,817.888034221442,35.14493942,6.70672544975427,3.55948063691035,"wgi_observed","ghed_observed"
"SLE",2003,-1.0119464,413.817607346927,21.7804718,6.02542531478543,3.08101377934549,"wgi_observed","ghed_observed"
"STP",2003,0.1485281,663.696211810494,71.20994568,6.49782453245214,4.26563249517953,"wgi_observed","ghed_observed"
"SWZ",2003,-0.242017799999999,2015.21743065251,131.40959167,7.60848237459037,4.87831909935295,"wgi_observed","ghed_observed"
"TCD",2003,-1.4914337,289.087621122168,18.0202446,5.6667298294344,2.89149582589495,"wgi_observed","ghed_observed"
"TGO",2003,-0.5357911,579.728195854724,17.7094574,6.36255936586344,2.87409881326779,"wgi_observed","ghed_observed"
"TZA",2003,-1.0209242,422.18359375,20.39437675,6.04544027570609,3.01525921334206,"wgi_observed","ghed_observed"
"UGA",2003,-1.69698249999999,250.71543664681,14.23364067,5.52431857744817,2.6556082240734,"wgi_observed","ghed_observed"
"ZAF",2003,-0.253324999999999,4062.21755993786,286.01998901,8.3094843005135,5.6560617000209,"wgi_observed","ghed_observed"
"ZMB",2003,-0.1153273,446.290104839041,26.75762367,6.10096919984348,3.28681942974743,"wgi_observed","ghed_observed"
"ZWE",2003,-1.4557018,468.471932927213,26.2154781649815,6.14947619151082,3.26635000598714,"wgi_observed","gam_within_series_model"
"AGO",2004,-1.1591344,1451.47117870872,50.23310852,7.28033292705585,3.91667434157277,"wgi_observed","ghed_observed"
"BDI",2004,-2.411696,125.194965184533,8.88248062,4.82987224367634,2.18408086709248,"wgi_observed","ghed_observed"
"BEN",2004,0.1768396,758.695803786371,24.52665329,6.63160091153444,3.1997604156156,"wgi_observed","ghed_observed"
"BFA",2004,-0.1499539,403.81283743461,21.12279129,6.00095149694004,3.05035261345753,"wgi_observed","ghed_observed"
"CIV",2004,-2.2064965,1199.82524528546,47.04700851,7.08993119624239,3.85114728292607,"wgi_observed","ghed_observed"
"CMR",2004,-0.5565186,1133.39326749673,42.25278473,7.03297130362323,3.74367026240039,"wgi_observed","ghed_observed"
"COD",2004,-2.2158548,180.664764963633,7.83304834,5.19664318668459,2.0583517496925,"wgi_observed","ghed_observed"
"COG",2004,-1.19743589999999,1306.10136324599,27.50056839,7.17480192033608,3.3142066731862,"wgi_observed","ghed_observed"
"COM",2004,-0.521609299999999,1072.28409029621,70.61806488,6.97754631612658,4.25728598825564,"wgi_observed","ghed_observed"
"ETH",2004,-1.23452989999999,133.169812538096,5.7385993,4.89162509982436,1.74721515616243,"wgi_observed","ghed_observed"
"GAB",2004,-0.0109077,5465.79193590708,183.92318726,8.60626430061662,5.2145182099046,"wgi_observed","ghed_observed"
"GHA",2004,-0.1177496,406.132105329565,23.57214928,6.00667848926143,3.160065899893,"wgi_observed","ghed_observed"
"GIN",2004,-1.20031589999999,584.897740538081,26.41420937,6.37143702945311,3.27390209906858,"wgi_observed","ghed_observed"
"GMB",2004,-0.0950719999999999,593.285346326581,32.15613174,6.38567547436963,3.47060315535992,"wgi_observed","ghed_observed"
"KEN",2004,-0.9416439,463.662781300121,27.65002823,6.13915752356556,3.31962674894431,"wgi_observed","ghed_observed"
"LBR",2004,-1.46519049999999,284.140223992458,16.7787571,5.64946786276085,2.82011362797391,"wgi_observed","ghed_observed"
"MDG",2004,-0.0227541,272.20074858856,14.29298973,5.60653984035524,2.65976918839317,"wgi_observed","ghed_observed"
"MLI",2004,0.3269246,495.006294675661,21.72010231,6.20457047900432,3.0782382054598,"wgi_observed","ghed_observed"
"MOZ",2004,-0.2898214,400.056973161545,14.12452602,5.99160696986924,2.64791272036329,"wgi_observed","ghed_observed"
"MRT",2004,-0.3131249,823.554457141893,31.47280884,6.71362967632246,3.44912396162149,"wgi_observed","ghed_observed"
"MWI",2004,-0.1397246,404.674248445428,15.94395351,6.00308241863767,2.76907966707584,"wgi_observed","ghed_observed"
"NAM",2004,0.4625425,3403.15496192955,373.46408081,8.13245821032266,5.92282183076492,"wgi_observed","ghed_observed"
"NER",2004,-0.4852167,283.468281798296,14.06374931,5.64710023612666,2.64360051584084,"wgi_observed","ghed_observed"
"NGA",2004,-1.7245397,962.48104194733,42.81798172,6.86951436928986,3.75695814800118,"wgi_observed","ghed_observed"
"RWA",2004,-1.258417,269.540446333402,20.23413277,5.59671845824749,3.00737091948996,"wgi_observed","ghed_observed"
"SEN",2004,-0.198026099999999,918.102079522155,41.94406128,6.82230858217503,3.73633685626478,"wgi_observed","ghed_observed"
"SLE",2004,-0.407134499999999,417.749983329227,23.03477859,6.0348831275694,3.13700518644674,"wgi_observed","ghed_observed"
"STP",2004,0.3360332,726.560882130444,71.05591583,6.5883222814681,4.26346711399039,"wgi_observed","ghed_observed"
"SWZ",2004,-0.2902148,2525.5640452625,175.89544678,7.83421970102529,5.16988976613276,"wgi_observed","ghed_observed"
