"iso3","year","age_band","allcause_deaths","age_person_years","pfpr_pct","map_population_coverage","population_weight_year","log_hr_zero_vs_current","attributable_fraction","attributable_deaths","zero_below_observed_support","current_outside_observed_support"
"MDG",2020,"1-5",10298.3096347314,409810.642047719,9.62270330563775,0.965066759112986,2020,-0.0375877007270848,0.0368900514258795,379.905172024872,TRUE,FALSE
"MDG",2021,"1-5",10100.9668841157,411985.510761996,10.0009898756304,0.965066759112986,2020,-0.039054562967055,0.0383017653942952,386.884863850944,TRUE,FALSE
"MDG",2022,"1-5",10261.9083054996,412083.203204253,10.4867041856257,0.965066759112986,2020,-0.0409361556202905,0.0401095884005488,411.600918337764,TRUE,FALSE
"MDG",2023,"1-5",10212.8926913584,412588.336745562,9.46939728730477,0.965066759112986,2020,-0.0369928893328843,0.0363170122463781,370.90174894301,TRUE,FALSE
"MDG",2024,"1-5",9580.51323032559,409895.6812661,9.56229188686996,0.965066759112986,2020,-0.037353334080306,0.036664304123967,351.262850740347,TRUE,FALSE
"MLI",2004,"1-5",11449.8215057016,253253.855887437,40.1703750260736,0.977670801796849,2020,-0.142786534523043,0.133060889284472,1523.52343169713,TRUE,FALSE
"MLI",2005,"1-5",11174.1000660812,262135.552752961,38.5111391906618,0.977670801796849,2020,-0.138539587029243,0.129371215020259,1445.60690230689,TRUE,FALSE
"MLI",2006,"1-5",11027.9316052434,271311.699982274,36.1100020032782,0.977670801796849,2020,-0.131926458577919,0.123594555187787,1362.9923013914,TRUE,FALSE
"MLI",2007,"1-5",10921.0073331277,280659.488087755,33.5678243056163,0.977670801796849,2020,-0.124369878793972,0.116946842167123,1277.17732089328,TRUE,FALSE
"MLI",2008,"1-5",10834.5786645524,290150.00742468,32.118424979296,0.977670801796849,2020,-0.119832030818782,0.112930575470952,1223.5552035732,TRUE,FALSE
"MLI",2009,"1-5",10790.383885451,299881.231437034,31.0622141800431,0.977670801796849,2020,-0.116429585405876,0.109907229708754,1185.9412003439,TRUE,FALSE
"MLI",2010,"1-5",10821.8376258137,309674.886022756,32.2332843298897,0.977670801796849,2020,-0.120197301873624,0.113254537084865,1225.62221071911,TRUE,FALSE
"MLI",2011,"1-5",10835.3195943882,319406.704907106,34.9959129854422,0.977670801796849,2020,-0.12868118784601,0.120745762196433,1308.31892306635,TRUE,FALSE
"MLI",2012,"1-5",10774.9888251323,329258.95055671,39.648412625747,0.977670801796849,2020,-0.14147925768603,0.131926818755374,1421.5099978244,TRUE,FALSE
"MLI",2013,"1-5",10829.3994389779,335748.892310732,41.9446229534379,0.977670801796849,2020,-0.147033985957028,0.136735361957134,1480.76185206702,TRUE,FALSE
"MLI",2014,"1-5",10892.9598532321,343380.038238728,38.3358923612865,0.97767054940682,2020,-0.138075442114873,0.128967023302898,1404.83260722932,TRUE,FALSE
"MLI",2015,"1-5",11324.9456170909,354413.492555002,29.3609132094117,0.97767054940682,2020,-0.110793444747237,0.104876377678849,1187.71927373045,TRUE,FALSE
"MLI",2016,"1-5",11362.0720518533,363865.842424891,20.4070037653551,0.97767054940682,2020,-0.0787508530290025,0.0757298251247494,860.447729541653,TRUE,FALSE
"MLI",2017,"1-5",11538.0747048093,373087.959917697,16.3333465709212,0.97767054940682,2020,-0.0633870751620956,0.0614198976775914,708.667367765794,TRUE,FALSE
"MLI",2018,"1-5",11615.8627526382,382754.227063368,14.5150774691465,0.97767054940682,2020,-0.0564490048059213,0.0548853204272109,637.540349217052,TRUE,FALSE
"MLI",2019,"1-5",11596.8484661626,392508.118850334,15.0514482509131,0.97767054940682,2020,-0.058500254144033,0.0568219993034248,658.956115466215,TRUE,FALSE
"MLI",2020,"1-5",11664.3678407883,402023.10109482,15.3698194097573,0.97767054940682,2020,-0.0597160265873184,0.0579679923512428,676.159985776901,TRUE,FALSE
"MLI",2021,"1-5",11631.2583318085,411660.621897469,14.4487489791066,0.97767054940682,2020,-0.0561950880767592,0.0546453095289891,635.593711753309,TRUE,FALSE
