"iso3","year","pfpr_pct","map_population_coverage","population_weight_year"
"COG",2005,32.8294542135053,0.999999884856155,2020
"GMB",2005,6.80021050223797,0.99989435444155,2020
"SEN",2005,5.44994687087531,0.99558981120801,2020
"BDI",2005,32.7108667147613,0.903118502531811,2020
"GIN",2005,42.9604000479577,0.996935005435981,2020
"NGA",2005,44.911076588637,0.999968748812492,2020
"GNB",2005,5.47134440577292,0.996068689009789,2020
"CIV",2005,62.0559536355424,0.999044906250652,2020
"ETH",2005,10.282958677834,0.827728262514435,2020
"UGA",2005,41.7907617391782,0.972005626882908,2020
"MOZ",2005,44.2928156950409,0.999790945132115,2020
"SLE",2005,40.7926668056115,0.99816935916103,2020
"ZWE",2005,4.09485353977597,0.993374399109765,2020
"BWA",2005,0.0739687942020688,0.500006041684288,2020
"BEN",2005,56.789331963267,1,2020
"BFA",2005,53.1839944402602,1,2020
"SSD",2005,35.4180105817913,0.998944588913762,2020
"TZA",2005,21.5102815877522,0.982661834291151,2020
"ZMB",2005,20.8670520447216,0.999994981989078,2020
"AGO",2005,20.1035553415068,0.998084957706995,2020
"KEN",2005,12.1603957572431,0.822215895130027,2020
"COM",2005,1.49344288730066,0.977875023773357,2020
"MDG",2005,16.612555436176,0.965066759112986,2020
"NER",2005,26.7916282649868,0.952363358910006,2020
"GHA",2006,31.5018733212171,0.999730304961018,2020
"MLI",2006,36.1100020032782,0.977670801796849,2020
"MRT",2006,0.809262603592954,0.840119682930452,2020
"DJI",2006,0.462437138379133,0.900748542924068,2020
"ERI",2006,0.183144290889362,0.951453885431987,2020
"GAB",2006,9.97850008233395,0.999284909726468,2020
"MWI",2006,31.1016170818203,0.999764978481837,2020
"SOM",2006,8.06964654781156,0.983183349547194,2020
"TGO",2006,52.3557960353439,1,2020
"GNQ",2006,34.0175430411328,0.967788791016353,2020
"LBR",2006,39.6761775961446,0.999979141849584,2020
"CMR",2006,48.0540274487812,0.994188327616715,2020
"COD",2006,64.1169993074257,0.967925701459564,2020
"NAM",2006,4.01623071994388,0.611389973186959,2020
"RWA",2006,3.50627461184532,0.814603360177058,2020
"SWZ",2006,1.9452392146941,0.0274046526925583,2020
"TCD",2006,17.4033970513732,0.941951498070144,2020
"CAF",2006,56.7566166347886,1,2020
"COG",2006,31.8441279165364,0.999999884856155,2020
"GMB",2006,8.40044913620373,0.99989435444155,2020
