"iso3","state","key","year","series","exposure_source","pfpr_pct","under5_person_years","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_rate_per100000","ihme_malaria_rate_lower","ihme_malaria_rate_upper","ihme_malaria_deaths","any_current_pfpr_outside_central95","any_zero_below_observed_support","any_negative_attributable_band","model_over_ihme_malaria","attributable_rate_per100000","ihme_malaria_share_of_allcause"
"NGA","Imo","imo",2024,"map_full","MAP",30.0971355588315,1600320.31053538,22304.8903897867,7008.21250844381,15296.6778813429,0.314200714998933,416.40013908824,207.8359413461,609.8811949545,6663.73599892666,FALSE,TRUE,FALSE,1.05169420120674,437.925611660784,0.298756724757453
"NGA","Zamfara","zamfara",2024,"map_full","MAP",34.6814501326872,787829.609010779,20179.4627490544,6493.86656861966,13685.5961804347,0.321805721459258,382.28330943247,59.34800721624,755.66174107797,3011.7411020153,FALSE,TRUE,FALSE,2.1561835325999,824.272976586084,0.149247833773792
"NGA","Ogun","ogun",2024,"map_full","MAP",23.0610670171334,2047073.09638667,29614.4280519417,6222.82764942308,23391.6004025187,0.210128240143914,261.76921631223,105.27982946653,419.32625185371,5358.60720174989,FALSE,TRUE,FALSE,1.1612770660613,303.986587504233,0.18094582790359
"NGA","Benue","benue",2024,"map_full","MAP",29.6189343353326,1582468.45314582,23741.1641181418,5752.12426504503,17989.0398530968,0.242284844855166,275.64314149171,81.56534150852,469.54571504484,4361.96575736641,FALSE,TRUE,FALSE,1.31870000476986,363.490611999896,0.183730070507925
"NGA","Nasarawa","nasarawa",2024,"map_full","MAP",28.7946737320367,1049913.83293037,19142.3193264844,5145.68924807916,13996.6300784052,0.268812214461381,305.04405170737,80.00842293321,572.50438840466,3202.69969540696,FALSE,TRUE,FALSE,1.60667241310781,490.105862660865,0.167309908521684
"NGA","FCT (Abuja)","fct",2024,"map_full","MAP",25.3431153011793,1013477.50040093,17161.3457524102,4436.19261439751,12725.1531380127,0.258499110640812,335.37150807149,95.54701744817,658.4705902348,3398.91477705982,FALSE,TRUE,FALSE,1.30517912491909,437.719891427543,0.198056424367679
"NGA","Yobe","yobe",2024,"map_full","MAP",26.5140228746164,903232.498717039,16061.8273972182,4302.37373419003,11759.4536630282,0.267863277807055,288.92441488142,66.46034694012,593.53860228115,2609.65921193703,FALSE,TRUE,FALSE,1.64863431765735,476.330705582579,0.162475859526981
"NGA","Gombe","gombe",2024,"map_full","MAP",23.2960463398307,678677.282158504,15302.3375764205,4269.27160692412,11033.0659694963,0.278994734340633,357.58517604081,82.19985836729,807.52209705972,2426.84935415547,FALSE,TRUE,FALSE,1.75918278553792,629.057686054539,0.158593374511292
"NGA","Abia","abia",2024,"map_full","MAP",29.3385490348385,691092.403994853,13062.5703933215,4143.47021268577,8919.10018063571,0.317201751869923,514.85316421968,242.27973296835,837.51071395076,3558.11110964936,FALSE,TRUE,FALSE,1.16451400335671,599.553719406331,0.272389813223017
"NGA","Borno","borno",2024,"map_full","MAP",18.9105232538524,852925.462272557,13264.0347742775,2945.39381061489,10318.6409636626,0.222058661692201,285.69200498076,71.01273462892,577.88132389409,2436.73985415788,FALSE,TRUE,FALSE,1.20874364392615,345.328395141013,0.183710303510616
