"country","year","variable","records","missing_records","pre_series_records","no_series_records","countries","surveys","missing_pct"
"CMR",2014,"rotavirus_pct",10509,0,0,0,1,1,0
"CMR",2018,"rotavirus_pct",1933,0,0,0,1,1,0
"CMR",2017,"rotavirus_pct",9365,0,0,0,1,1,0
"CMR",2013,"rotavirus_pct",3013,3013,3013,0,1,1,100
"COD",2003,"hib3_pct",10491,10491,10491,0,1,1,100
"COD",2005,"hib3_pct",11002,11002,11002,0,1,1,100
"COD",2006,"hib3_pct",8728,8728,8728,0,1,1,100
"COD",2004,"hib3_pct",10839,10839,10839,0,1,1,100
"COD",2002,"hib3_pct",5349,5349,5349,0,1,1,100
"COD",2007,"hib3_pct",969,969,969,0,1,1,100
"COD",2003,"pcv3_pct",10491,10491,10491,0,1,1,100
"COD",2005,"pcv3_pct",11002,11002,11002,0,1,1,100
"COD",2006,"pcv3_pct",8728,8728,8728,0,1,1,100
"COD",2004,"pcv3_pct",10839,10839,10839,0,1,1,100
"COD",2002,"pcv3_pct",5349,5349,5349,0,1,1,100
"COD",2007,"pcv3_pct",969,969,969,0,1,1,100
"COD",2003,"rotavirus_pct",10491,10491,10491,0,1,1,100
"COD",2005,"rotavirus_pct",11002,11002,11002,0,1,1,100
"COD",2006,"rotavirus_pct",8728,8728,8728,0,1,1,100
"COD",2004,"rotavirus_pct",10839,10839,10839,0,1,1,100
"COD",2002,"rotavirus_pct",5349,5349,5349,0,1,1,100
"COD",2007,"rotavirus_pct",969,969,969,0,1,1,100
"COD",2013,"hib3_pct",8120,0,0,0,1,1,0
"COD",2011,"hib3_pct",23920,0,0,0,1,1,0
"COD",2012,"hib3_pct",23389,0,0,0,1,1,0
"COD",2009,"hib3_pct",21840,0,0,0,1,1,0
"COD",2010,"hib3_pct",23239,0,0,0,1,1,0
"COD",2008,"hib3_pct",1615,1615,1615,0,1,1,100
"COD",2014,"hib3_pct",2,0,0,0,1,1,0
"COD",2013,"pcv3_pct",8120,0,0,0,1,1,0
"COD",2011,"pcv3_pct",23920,0,0,0,1,1,0
"COD",2012,"pcv3_pct",23389,0,0,0,1,1,0
"COD",2009,"pcv3_pct",21840,21840,21840,0,1,1,100
"COD",2010,"pcv3_pct",23239,23239,23239,0,1,1,100
"COD",2008,"pcv3_pct",1615,1615,1615,0,1,1,100
"COD",2014,"pcv3_pct",2,0,0,0,1,1,0
"COD",2013,"rotavirus_pct",8120,8120,8120,0,1,1,100
