"survey","country","regkey","variable","value","eligible_n","observed_n","missing_n","weighted_n","population","source","small_denominator","low_precision"
"AO71FL","AGO","namibe","mean_maternal_education_years",4.85390077495537,503,503,0,108.990407,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","mean_maternal_education_years",6.58301016389242,422,422,0,191.102279,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","mean_maternal_education_years",2.34254853398242,448,448,0,676.295058999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","mean_maternal_education_years",3.50322503299492,470,470,0,323.899941999999,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","mean_maternal_education_years",3.70759141986623,548,548,0,760.468515999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","mean_maternal_education_years",2.86257952513657,466,466,0,246.616678,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","mean_maternal_education_years",3.95004195545661,540,540,0,649.878518999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","mean_maternal_education_years",2.81962716015442,339,339,0,166.921805,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","mean_maternal_education_years",5.91520943983614,500,500,0,186.11001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","mean_maternal_education_years",2.75592639220167,479,479,0,414.073844000002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","mean_maternal_education_years",4.46578406942991,379,379,0,92.2367869999999,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","mean_maternal_education_years",3.7069493917186,387,387,0,110.315799,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","mean_maternal_education_years",4.06152366446573,533,533,0,321.505378,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","mean_maternal_education_years",3.33454547730998,492,492,0,460.844320000002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","mean_wealth_quintile",2.68237278594093,536,536,0,752.164604999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","mean_wealth_quintile",2.69232169036075,540,540,0,163.165548,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","mean_wealth_quintile",4.17203538589273,896,896,0,2685.644948,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","mean_wealth_quintile",2.37500334536333,452,452,0,164.294561,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","mean_wealth_quintile",2.86244199455095,503,503,0,108.990407,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","mean_wealth_quintile",3.52757832364731,422,422,0,191.102279,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","mean_wealth_quintile",2.03344258352773,448,448,0,676.295058999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","mean_wealth_quintile",2.69393896958464,470,470,0,323.899941999999,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","mean_wealth_quintile",2.01201023817271,548,548,0,760.468515999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","mean_wealth_quintile",2.40776481061836,466,466,0,246.616678,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","mean_wealth_quintile",2.38126067065775,540,540,0,649.878518999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","mean_wealth_quintile",2.19976354197703,339,339,0,166.921805,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","mean_wealth_quintile",2.88095374343379,500,500,0,186.11001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","mean_wealth_quintile",1.94902376156848,479,479,0,414.073844000002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","mean_wealth_quintile",2.74554605853736,379,379,0,92.2367869999999,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","mean_wealth_quintile",2.68421141562869,387,387,0,110.315799,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","mean_wealth_quintile",1.80021820350389,533,533,0,321.505378,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","mean_wealth_quintile",2.1078616071475,492,492,0,460.844320000002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","urban_pct",64.3902656121397,536,536,0,752.164604999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","urban_pct",77.609728617465,540,540,0,163.165548,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","urban_pct",96.3284628865992,896,896,0,2685.644948,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","urban_pct",58.8686030817539,452,452,0,164.294561,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","urban_pct",63.1442802117438,503,503,0,108.990407,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","urban_pct",81.4905776189097,422,422,0,191.102279,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","urban_pct",36.275663371363,448,448,0,676.295058999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","urban_pct",55.1558135197197,470,470,0,323.899941999999,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","urban_pct",32.4835833177347,548,548,0,760.468515999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","urban_pct",72.0796754062187,466,466,0,246.616678,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","urban_pct",46.8884742442149,540,540,0,649.878518999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","urban_pct",50.7813062529489,339,339,0,166.921805,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","urban_pct",72.4921351624237,500,500,0,186.11001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","urban_pct",43.5726942462947,479,479,0,414.073844000002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","urban_pct",41.6254948256166,379,379,0,92.2367869999999,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","urban_pct",61.1975243908629,387,387,0,110.315799,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","urban_pct",28.8010961359408,533,533,0,321.505378,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","urban_pct",35.1137562029623,492,492,0,460.844320000002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","exclusive_breastfeeding_pct",41.4778337241703,89,89,0,120.484583,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","exclusive_breastfeeding_pct",19.172096409786,114,114,0,36.112973,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
