"survey","country","year","type","eligible_rows","pfpr_available_rows","complete_case_rows","regions","status"
"GH72FL","GHA",2014,"DHS",33352,33352,33352,10,"Included in primary analysis"
"GH8CFL","GHA",2022,"DHS",53731,53731,53731,16,"Included in primary analysis"
"GN52FL","GIN",2005,"DHS",35908,35908,27343,8,"Included in primary analysis"
"GN62FL","GIN",2012,"DHS",39920,39920,39920,8,"Included in primary analysis"
"GN71FL","GIN",2018,"DHS",46902,46902,46902,8,"Included in primary analysis"
"GM61FL","GMB",2013,"DHS",44611,44611,44611,8,"Included in primary analysis"
"GM81FL","GMB",2019,"DHS",49125,49125,49125,8,"Included in primary analysis"
"KE42FL","KEN",2003,"DHS",21204,21204,13800,8,"Included in primary analysis"
"KE52FL","KEN",2008,"DHS",34075,34075,34075,8,"Included in primary analysis"
"KE72FL","KEN",2014,"DHS",127018,127018,127018,8,"Included in primary analysis"
"KE8CFL","KEN",2022,"DHS",114518,114518,114518,47,"Included in primary analysis"
"LB51FL","LBR",2007,"DHS",31738,31692,0,,"Excluded: required covariates unavailable"
"LB5AFL","LBR",2009,"MIS",22879,22821,0,,"Excluded: required covariates unavailable"
"LB6AFL","LBR",2013,"DHS",44084,44084,0,,"Excluded: required covariates unavailable"
"LB7AFL","LBR",2019,"DHS",32887,32887,0,,"Excluded: required covariates unavailable"
"LS41FL","LSO",2004,"DHS",,,,,"Excluded: no MAP prevalence for its regions"
"LS61FL","LSO",2009,"DHS",,,,,"Excluded: no MAP prevalence for its regions"
"LS71FL","LSO",2014,"DHS",,,,,"Excluded: no MAP prevalence for its regions"
"LS81FL","LSO",2023,"DHS",,,,,"Excluded: no MAP prevalence for its regions"
"MD42FL","MDG",2004,"DHS",24494,24494,17463,6,"Included in primary analysis"
"MD51FL","MDG",2008,"DHS",73129,73129,0,,"Excluded: required covariates unavailable"
"MD81FL","MDG",2021,"DHS",71503,71503,71503,23,"Included in primary analysis"
"ML41FL","MLI",2001,"DHS",9937,8987,0,,"Excluded: required covariates unavailable"
"ML53FL","MLI",2006,"DHS",77894,77894,71384,9,"Included in primary analysis"
"ML6AFL","MLI",2012,"DHS",58732,58732,58732,6,"Included in primary analysis"
"ML7AFL","MLI",2018,"DHS",56215,56215,56215,9,"Included in primary analysis"
"ML8AFL","MLI",2023,"DHS",88689,88689,88584,9,"Included in primary analysis"
"MZ41FL","MOZ",2003,"DHS",41212,41212,28619,11,"Included in primary analysis"
"MZ62FL","MOZ",2011,"DHS",60470,60470,60470,11,"Included in primary analysis"
"MZ81FL","MOZ",2022,"DHS",52833,52833,52833,11,"Included in primary analysis"
"MR71FL","MRT",2020,"DHS",68083,65366,65366,13,"Included in primary analysis"
"MW41FL","MWI",2000,"DHS",3157,3157,0,,"Excluded: required covariates unavailable"
"MW4EFL","MWI",2004,"DHS",55293,55293,42840,3,"Included in primary analysis"
"MW61FL","MWI",2010,"DHS",114288,114288,114288,3,"Included in primary analysis"
"MW7AFL","MWI",2015,"DHS",102346,102346,102346,3,"Included in primary analysis"
"MW81FL","MWI",2024,"DHS",69348,69348,67742,3,"Included in primary analysis"
"NM41FL","NAM",2000,"DHS",1450,1266,0,,"Excluded: required covariates unavailable"
"NM51FL","NAM",2006,"DHS",29112,26318,26182,11,"Included in primary analysis"
"NM61FL","NAM",2013,"DHS",28225,24195,24195,11,"Included in primary analysis"
"NI51FL","NER",2006,"DHS",52153,52153,43188,8,"Included in primary analysis"
"NI61FL","NER",2012,"DHS",73120,73120,73120,8,"Included in primary analysis"
"NG4BFL","NGA",2003,"DHS",20997,20997,13806,6,"Included in primary analysis"
"NG53FL","NGA",2008,"DHS",157016,157016,157016,6,"Included in primary analysis"
"NG61FL","NGA",2010,"MIS",32266,32266,0,,"Excluded: required covariates unavailable"
"NG6AFL","NGA",2013,"DHS",177779,177779,177779,6,"Included in primary analysis"
"NG7BFL","NGA",2018,"DHS",195272,195272,195272,6,"Included in primary analysis"
"NG8BFL","NGA",2024,"DHS",162398,162020,161445,6,"Included in primary analysis"
"RW41FL","RWA",2000,"DHS",2196,2196,0,,"Excluded: required covariates unavailable"
"RW53FL","RWA",2005,"DHS",46547,46547,36919,5,"Included in primary analysis"
"RW5AFL","RWA",2008,"DHS",30365,30338,0,,"Excluded: required covariates unavailable"
"RW61FL","RWA",2010,"DHS",53077,53077,53077,5,"Included in primary analysis"
"RW70FL","RWA",2015,"DHS",46127,45739,45739,5,"Included in primary analysis"
"RW81FL","RWA",2019,"DHS",47138,47138,47138,5,"Included in primary analysis"
"SN4AFL","SEN",2005,"DHS",59928,59928,46908,11,"Included in primary analysis"
"SN5AFL","SEN",2008,"MIS",87342,87342,0,,"Excluded: required covariates unavailable"
"SN61FL","SEN",2010,"DHS",68736,68736,68736,14,"Included in primary analysis"
"SN6DFL","SEN",2012,"DHS",38506,38506,38506,4,"Included in primary analysis"
"SN71FL","SEN",2014,"DHS",38866,38866,38866,4,"Included in primary analysis"
"SN7AFL","SEN",2015,"DHS",40157,40157,40157,4,"Included in primary analysis"
"SN7IFL","SEN",2016,"DHS",38822,38822,38822,4,"Included in primary analysis"
"SN7ZFL","SEN",2017,"DHS",71323,71323,71323,14,"Included in primary analysis"
"SN81FL","SEN",2018,"DHS",39314,39314,39314,4,"Included in primary analysis"
"SN8BFL","SEN",2019,"DHS",35351,35351,35351,4,"Included in primary analysis"
"SN8SFL","SEN",2023,"DHS",61934,61934,61934,14,"Included in primary analysis"
"SL51FL","SLE",2008,"DHS",31344,31344,31344,4,"Included in primary analysis"
"SL61FL","SLE",2013,"DHS",68076,68076,68076,4,"Included in primary analysis"
"SL7AFL","SLE",2019,"DHS",57080,57080,57080,5,"Included in primary analysis"
"ST51FL","STP",2008,"DHS",10839,10839,0,,"Excluded: required covariates unavailable"
"SZ51FL","SWZ",2006,"DHS",15464,11268,10739,3,"Included in primary analysis"
"TD41FL","TCD",2004,"DHS",29949,29949,0,,"Excluded: required covariates unavailable"
"TD71FL","TCD",2014,"DHS",110083,106120,106120,20,"Included in primary analysis"
"TG61FL","TGO",2013,"DHS",40197,35856,35856,5,"Included in primary analysis"
"TZ4IFL","TZA",2004,"DHS",45594,45594,35214,8,"Included in primary analysis"
"TZ63FL","TZA",2010,"DHS",45187,45125,45125,8,"Included in primary analysis"
"TZ7BFL","TZA",2015,"DHS",56917,56917,56917,9,"Included in primary analysis"
"TZ82FL","TZA",2022,"DHS",61723,61723,61723,9,"Included in primary analysis"
"UG41FL","UGA",2000,"DHS",3417,3417,0,,"Excluded: required covariates unavailable"
"UG52FL","UGA",2006,"DHS",46139,46139,41459,9,"Included in primary analysis"
"UG5AFL","UGA",2009,"MIS",22476,20657,0,,"Excluded: required covariates unavailable"
"UG61FL","UGA",2011,"DHS",44636,44636,44636,10,"Included in primary analysis"
"UG7BFL","UGA",2016,"DHS",89861,75366,75366,13,"Included in primary analysis"
"ZA71FL","ZAF",2016,"DHS",20867,15261,15261,6,"Included in primary analysis"
"ZM42FL","ZMB",2002,"DHS",13278,13278,0,,"Excluded: required covariates unavailable"
"ZM51FL","ZMB",2007,"DHS",34258,34258,34258,9,"Included in primary analysis"
"ZM61FL","ZMB",2013,"DHS",78600,78600,78600,10,"Included in primary analysis"
"ZM71FL","ZMB",2018,"DHS",57564,57564,57564,10,"Included in primary analysis"
"ZM81FL","ZMB",2024,"DHS",51051,51051,50590,10,"Included in primary analysis"
"ZW52FL","ZWE",2005,"DHS",29737,29737,0,,"Excluded: required covariates unavailable"
"ZW62FL","ZWE",2010,"DHS",29334,29334,3063,10,"Included in primary analysis"
"ZW72FL","ZWE",2015,"DHS",34562,30500,30500,9,"Included in primary analysis"
