"age_band","pfpr_from_pct","pfpr_to_pct","hazard_ratio","lower_95","upper_95","percent_change","pfpr_p025","pfpr_p975","contrast_within_central_95pct","draw","estimate","variance"
"1-5",40,20,0.976327527502312,0.941124262336376,1.0128475899584,-2.36724724976884,1.76768905979204,67.3804721618428,TRUE,175,-0.0239571674066213,0.000351044716605523
"6-11",40,20,0.894359191284113,0.845243268792344,0.946329172401708,-10.5640808715887,1.75228032887322,67.0775337306141,TRUE,175,-0.11164780454072,0.000830468786069742
"12-23",40,20,0.895796905119513,0.838194980096453,0.957357314558671,-10.4203094880487,1.74737139843124,66.3280806954508,TRUE,175,-0.11004156009377,0.00114986638124436
"24-35",40,20,0.887844721350042,0.824692918011692,0.955832446251173,-11.2155278649958,1.74574104390516,66.3446960305032,TRUE,175,-0.118958414624891,0.00141720625401881
"36-47",40,20,0.868558240849754,0.795310792348636,0.948551717147225,-13.1441759150246,1.74615801560054,66.4693798324298,TRUE,175,-0.140920636424695,0.00202048738792714
"48-59",40,20,1.07041213535702,0.956991196005964,1.19727552803155,7.04121353570224,1.72053231100745,66.3280806954508,TRUE,175,0.0680437475445104,0.00326558803476118
"<1",40,20,1.02910443179539,1.00027910882933,1.05876042215894,2.91044317953907,1.76782403096607,67.5343293391306,TRUE,184,0.0286889403275485,0.000210100150594047
"1-5",40,20,0.973601138236467,0.93852875079433,1.00998416465461,-2.63988617635331,1.76768905979204,67.3804721618428,TRUE,184,-0.026753568208777,0.000350381485473698
"6-11",40,20,0.883811189912949,0.835367255790326,0.93506444501028,-11.6188810087051,1.75228032887322,67.0775337306141,TRUE,184,-0.123511825228572,0.000827207984394868
"12-23",40,20,0.870636681779832,0.814579091427846,0.930552035569575,-12.9363318220168,1.74737139843124,66.3280806954508,TRUE,184,-0.138530516844091,0.00115299172943104
"24-35",40,20,0.870294157462757,0.808299439690484,0.937043728254767,-12.9705842537243,1.74574104390516,66.3446960305032,TRUE,184,-0.13892401245434,0.00142154710189941
"36-47",40,20,0.86730831148369,0.79421966306913,0.947122996504323,-13.2691688516311,1.74615801560054,66.4693798324298,TRUE,184,-0.142360758167243,0.00201740507762797
"48-59",40,20,1.07274520728809,0.959422331757639,1.19945329774779,7.27452072880941,1.72053231100745,66.3280806954508,TRUE,184,0.0702209771918861,0.0032446328594694
