"iso3","age_band","draw","log_hr_zero_vs_current","variance"
"MRT","24-35",146,-0.124162536096473,0.000176910811689896
"MRT","36-47",146,-0.0879982249626466,0.000230670862863718
"MRT","48-59",146,-0.105050851893963,0.000355432684232479
"MWI","<1",146,0.0338964765253193,0.000196807274281162
"MWI","1-5",146,-0.0228642710807165,0.000315993176885194
"MWI","6-11",146,-0.222899823407314,0.00237428045999365
"MWI","12-23",146,-0.467320539736061,0.00370958852008871
"MWI","24-35",146,-0.722742663401774,0.00484077616026965
"MWI","36-47",146,-0.533445944469889,0.00636411800792515
"MWI","48-59",146,-0.567117253687515,0.00955511941887022
"NAM","<1",146,0.00167255543027454,4.85800004813155e-07
"NAM","1-5",146,-0.00112772142208974,7.70315662408422e-07
"NAM","6-11",146,-0.0121100629612365,9.25093389839776e-06
"NAM","12-23",146,-0.0266935686234517,1.56703392663837e-05
"NAM","24-35",146,-0.0424562721832782,2.07574257884427e-05
"NAM","36-47",146,-0.0300706682228285,2.70626960147212e-05
"NAM","48-59",146,-0.0359620790609467,4.17161102218084e-05
"NER","<1",146,0.0306489998221265,0.000161263485561737
"NER","1-5",146,-0.0206721593652865,0.000258392680845579
"NER","6-11",146,-0.205278668967335,0.00212507090253438
"NER","12-23",146,-0.43475823319604,0.00338156622496489
"NER","24-35",146,-0.67632293721792,0.00442862895981273
"NER","36-47",146,-0.494932320264639,0.00580963672322965
"NER","48-59",146,-0.539587605107567,0.00877220314597827
"NGA","<1",146,0.0436549973371457,0.000324227380193147
"NGA","1-5",146,-0.0294541491256445,0.000523869827907091
"NGA","6-11",146,-0.268788715527943,0.00287260498164304
"NGA","12-23",146,-0.54215046205247,0.0041697007674644
"NGA","24-35",146,-0.819793898808206,0.00535634130573347
"NGA","36-47",146,-0.624636432566129,0.00711466060385051
"NGA","48-59",146,-0.601266971645969,0.0104625634422933
"RWA","<1",146,0.00522226470220288,4.73447400135703e-06
"RWA","1-5",146,-0.0035211459141541,7.50950556300407e-06
"RWA","6-11",146,-0.037738344471106,8.93539106947429e-05
"RWA","12-23",146,-0.0831065883320863,0.00015116332084924
"RWA","24-35",146,-0.132114748056644,0.000200191429108644
"RWA","36-47",146,-0.0936434684748694,0.000261029794749811
"RWA","48-59",146,-0.111759693117357,0.000402188012374015
"SEN","<1",146,0.0119723040259321,2.4844949570199e-05
"SEN","1-5",146,-0.00807274409681321,3.94623776226233e-05
"SEN","6-11",146,-0.0857146209160857,0.000449077755983383
"SEN","12-23",146,-0.187902140624763,0.000754898227382727
"SEN","24-35",146,-0.29797494722306,0.000998641125660412
"SEN","36-47",146,-0.211975972173341,0.00130284128802278
"SEN","48-59",146,-0.250454592510882,0.00200299154616436
"SLE","<1",146,0.0544436125536139,0.000501003671373428
"SLE","1-5",146,-0.0367418508410048,0.00081446471452624
"SLE","6-11",146,-0.309109066872299,0.00316454866110993
"SLE","12-23",146,-0.591349323200445,0.00420774253116736
"SLE","24-35",146,-0.868567728380394,0.00528921559100853
"SLE","36-47",146,-0.685236394552411,0.00713127665403115
"SLE","48-59",146,-0.579196933949981,0.0102890454376849
"SOM","<1",146,0.00531578411528257,4.90549564817114e-06
"SOM","1-5",146,-0.00358420326481227,7.78086146295128e-06
"SOM","6-11",146,-0.0384111412349007,9.25480467558157e-05
"SOM","12-23",146,-0.0845849879600411,0.000156558746108558
"SOM","24-35",146,-0.13446220740778,0.000207334931420631
"SOM","36-47",146,-0.0953102507690093,0.000270345410085465
"SOM","48-59",146,-0.113739423767612,0.000416533722191593
"SSD","<1",146,0.0408630320920209,0.000284617845254954
"SSD","1-5",146,-0.0275684258964596,0.000459062746419383
"SSD","6-11",146,-0.256677584696793,0.00276272611028577
"SSD","12-23",146,-0.524044448523126,0.00410347675686435
"SSD","24-35",146,-0.797998596673807,0.00529838535980048
"SSD","36-47",146,-0.602228690012783,0.007013418375127
"SSD","48-59",146,-0.598074419190231,0.0103767956160472
"SWZ","<1",146,0.00369384718081131,2.3691432034031e-06
"SWZ","1-5",146,-0.00249058820040946,3.75715656583694e-06
"SWZ","6-11",146,-0.0267222636166324,4.49370938903017e-05
"SWZ","12-23",146,-0.0588780920814643,7.6076640252421e-05
"SWZ","24-35",146,-0.0936250904836301,0.000100763716228393
"SWZ","36-47",146,-0.0663340823283015,0.000131377926327775
"SWZ","48-59",146,-0.0792582508465373,0.000202474268980236
"TCD","<1",146,0.0266109891013728,0.000121887770033898
"TCD","1-5",146,-0.0179470835986964,0.000194835021932995
"TCD","6-11",146,-0.181806480902602,0.00176647343293408
"TCD","12-23",146,-0.389163241337323,0.00286247610152837
"TCD","24-35",146,-0.609058698732785,0.00376176249378598
"TCD","36-47",146,-0.441776743637415,0.00492500381435925
"TCD","48-59",146,-0.494147330470539,0.00747972931541134
"TGO","<1",146,0.0370595111836982,0.000234724199349446
"TGO","1-5",146,-0.0249998656421118,0.000377653354860984
"TGO","6-11",146,-0.238896809393354,0.00257391274286797
"TGO","12-23",146,-0.49522619758397,0.00393646297628092
"TGO","24-35",146,-0.760855287948532,0.00511450988904626
"TGO","36-47",146,-0.566998910651846,0.00674247362434192
"TGO","48-59",146,-0.585639355020617,0.0100588279251271
"TZA","<1",146,0.0155997366799078,4.21260224117964e-05
"TZA","1-5",146,-0.0105190501934936,6.69896393779802e-05
"TZA","6-11",146,-0.11078190210108,0.000733143846504273
"TZA","12-23",146,-0.241881011707452,0.00122530069929728
"TZA","24-35",146,-0.38273755700019,0.00161928815324066
"TZA","36-47",146,-0.273156027486548,0.00211363187697754
"TZA","48-59",146,-0.319856662992953,0.00324309848107164
"UGA","<1",146,0.0386995005144746,0.000255661788544124
"UGA","1-5",146,-0.0261073066153296,0.000411782449000186
"UGA","6-11",146,-0.246751665943689,0.00266157001261292
"UGA","12-23",146,-0.508263225954385,0.00402108148598117
"UGA","24-35",146,-0.777980094724799,0.00521106476449187
"UGA","36-47",146,-0.582864601321257,0.00688118047578897
"UGA","48-59",146,-0.592232988398798,0.0102296320586077
"ZMB","<1",146,0.0252359595069517,0.000109708640953998
"ZMB","1-5",146,-0.0170192881150255,0.000175233375490323
"ZMB","6-11",146,-0.173456483876763,0.00163642900898191
"ZMB","12-23",146,-0.372469107698849,0.00266557973991305
"ZMB","24-35",146,-0.583970365191621,0.00350639511240553
"ZMB","36-47",146,-0.422471344269805,0.00458819014016967
"ZMB","48-59",146,-0.476109747642743,0.00698000659539024
"ZWE","<1",146,0.00598577950375408,6.2193571468512e-06
"ZWE","1-5",146,-0.00403596323948317,9.86574942869602e-06
"ZWE","6-11",146,-0.0432263380186318,0.00011700881297688
"ZWE","12-23",146,-0.095160639163497,0.000197857791082673
"ZWE","24-35",146,-0.151250139371428,0.000262010168469043
"ZWE","36-47",146,-0.107235018667146,0.000341648475661129
"ZWE","48-59",146,-0.127887657877656,0.000526320185352966
"AGO","<1",153,0.0360883502408775,0.000221165648174591
"AGO","1-5",153,-0.02376029165578,0.000355230903059384
"AGO","6-11",153,-0.235623327341917,0.0025057036856013
"AGO","12-23",153,-0.488361264264683,0.00385924533139902
