"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","variant","age_band","input_verified","re_sd_survey","re_sd_country","re_sd_region"
"no_smc_age_4",266090,5546,8,27,276,TRUE,13,338,338,TRUE,TRUE,6.33100000000002,0.631875185625811,0.000147511927682586,"openMP not available: single threaded computation only","no_smc","12-23",TRUE,0.119537229034617,0.199942337358119,0.114754731953656
"no_smc_age_5",265598,4950,8,27,276,TRUE,15,338,338,TRUE,TRUE,6.83199999999999,0.000717049768989663,0.00071766506906047,"openMP not available: single threaded computation only","no_smc","24-35",TRUE,0.0966745203101202,0.205114775549434,0.0898880434302402
"no_smc_age_6",254785,2721,8,27,276,TRUE,22,338,338,TRUE,TRUE,8.964,4.74762996309016e-05,6.29464402341919e-05,"openMP not available: single threaded computation only","no_smc","36-47",TRUE,0.000574241309607066,0.113346991444956,0.0534616128349707
"no_smc_age_7",249242,1472,8,27,276,TRUE,18,338,338,TRUE,TRUE,7.745,2.48142566864661e-05,5.31988729127427e-05,"openMP not available: single threaded computation only","no_smc","48-59",TRUE,0.0663590375571866,0.113421462767172,0.000737132449177245
"placebo_age_1",327754,11043,8,27,265,TRUE,13,328,328,TRUE,TRUE,6.78,7.84077106250382e-05,7.84166510851075e-05,"openMP not available: single threaded computation only","placebo","<1",TRUE,0.0178017279707421,0.123387374802441,0.0536408028305756
"placebo_age_2",294922,4430,8,27,265,TRUE,16,328,328,TRUE,TRUE,7.644,0.0146736253013594,3.81035334728885e-07,"openMP not available: single threaded computation only","placebo","1-5",TRUE,0.0654325340991562,0.141349305774699,0.0191546343193809
"placebo_age_3",284656,4587,8,27,265,TRUE,16,328,328,TRUE,TRUE,7.32599999999999,0.000100184155962461,0.000100172203429519,"openMP not available: single threaded computation only","placebo","6-11",TRUE,0.115714925252989,0.150791766996927,0.000722036023317312
"placebo_age_4",245808,5228,8,27,265,TRUE,15,328,328,TRUE,TRUE,6.59200000000001,0.350393062445063,0.00496157176517364,"openMP not available: single threaded computation only","placebo","12-23",TRUE,0.106289865665035,0.229499682919323,0.121667607629335
"placebo_age_5",244385,4670,8,27,265,TRUE,16,328,328,TRUE,TRUE,6.76499999999999,0.000136442895571142,0.000136465041008019,"openMP not available: single threaded computation only","placebo","24-35",TRUE,0.0683935290474193,0.22992639534559,0.09581156773102
"placebo_age_6",234305,2545,8,27,265,TRUE,21,328,328,TRUE,TRUE,8.238,4.48389342280983e-05,9.04225029238951e-05,"openMP not available: single threaded computation only","placebo","36-47",TRUE,0.00104876028413884,0.112693432942186,0.0877798770806355
"placebo_age_7",229179,1391,8,27,265,TRUE,25,328,328,TRUE,TRUE,9.45099999999999,2.34884941292542e-05,2.5293405872367e-05,"openMP not available: single threaded computation only","placebo","48-59",TRUE,0.0536986696302044,0.153572712397066,0.00047902958420662
"national_age_1",404248,13301,8,28,286,TRUE,17,350,350,TRUE,TRUE,9.93099999999998,9.48136409180863e-05,0.000180860251305255,"openMP not available: single threaded computation only","national","<1",TRUE,0.0010202392189927,0.142232721779976,0.084738120753608
"national_age_2",361721,5335,8,28,286,TRUE,21,350,350,TRUE,TRUE,11.164,0.000145125484072113,0.000143715727832852,"openMP not available: single threaded computation only","national","1-5",TRUE,0.0931664854524844,0.206553846414687,0.0385892350894152
"national_age_3",348689,5400,8,28,286,TRUE,18,350,350,TRUE,TRUE,9.66099999999997,0.0808816523439207,1.38937970461939e-06,"openMP not available: single threaded computation only","national","6-11",TRUE,0.124699824567124,0.135815440484288,0.0735805684141707
"national_age_4",301834,5962,8,28,286,TRUE,14,350,350,TRUE,TRUE,7.464,0.768203049168836,8.93930902776674e-05,"openMP not available: single threaded computation only","national","12-23",TRUE,0.122183502517986,0.190336487072811,0.140366619704805
"national_age_5",300764,5439,8,28,286,TRUE,17,350,350,TRUE,TRUE,8.48700000000002,7.34247033409222e-05,7.34311088427313e-05,"openMP not available: single threaded computation only","national","24-35",TRUE,0.0779406832676138,0.268869809340243,0.114506094159436
"national_age_6",288640,2936,8,28,286,TRUE,22,350,350,TRUE,TRUE,10.855,9.70591682398376e-05,9.69763550875947e-05,"openMP not available: single threaded computation only","national","36-47",TRUE,0.00119446854767737,0.0914536625075861,0.0770291152315936
"national_age_7",281774,1615,8,28,286,TRUE,22,350,350,TRUE,TRUE,9.97200000000004,8.00734193193854e-06,6.62886468194082e-05,"openMP not available: single threaded computation only","national","48-59",TRUE,0.0510104003207796,0.116430592088453,0.000772487984688551
"coverage_age_1",355586,11945,8,27,276,TRUE,11,339,339,TRUE,TRUE,6.34799999999996,1.95908079373589e-05,4.04733934702646e-05,"openMP not available: single threaded computation only","coverage","<1",TRUE,0.000529486541140233,0.129577015183192,0.0558309279813152
"coverage_age_2",319496,4698,8,27,276,TRUE,21,339,339,TRUE,TRUE,10.294,0.000130007128858624,0.000107722244406201,"openMP not available: single threaded computation only","coverage","1-5",TRUE,0.0568664868046653,0.136941200056241,0.00363648630841087
"coverage_age_3",308447,4808,8,27,276,TRUE,17,339,339,TRUE,TRUE,8.44,0.000128256413586717,0.000128247560825357,"openMP not available: single threaded computation only","coverage","6-11",TRUE,0.114068314449413,0.142343861311411,0.000710717214318237
"coverage_age_4",266090,5546,8,27,276,TRUE,14,339,339,TRUE,TRUE,6.64600000000002,0.699342352243233,3.95813282949575e-06,"openMP not available: single threaded computation only","coverage","12-23",TRUE,0.117166688836622,0.202927056877196,0.116549588467468
"coverage_age_5",265598,4950,8,27,276,TRUE,16,339,339,TRUE,TRUE,7.22200000000004,0.000113314958800026,0.000113329923481006,"openMP not available: single threaded computation only","coverage","24-35",TRUE,0.0954304166054082,0.20996453147869,0.0909334398370016
"coverage_age_6",254785,2721,8,27,276,TRUE,21,339,339,TRUE,TRUE,8.76999999999998,6.66880509650881e-05,9.56114584293092e-05,"openMP not available: single threaded computation only","coverage","36-47",TRUE,0.000937110770439936,0.105440399707768,0.0549938284718442
"coverage_age_7",249242,1472,8,27,276,TRUE,17,339,339,TRUE,TRUE,7.43799999999999,2.53247889146903e-05,5.81153445420282e-05,"openMP not available: single threaded computation only","coverage","48-59",TRUE,0.0544692757130521,0.136196600117549,0.000787132158109159
