"iso3","regkey","unit_type","clusters","clusters_admin2","clusters_admin1","clusters_national","clusters_none","rounds","first_year_main","first_year_confirmed","earliest_cluster_year","national_start","status_basis"
"CMR","adamawa","analysis_region",112,0,0,112,0,3,2020,,2020,2016,"national"
"CMR","centre","analysis_region",126,0,0,126,0,3,2020,,2020,2016,"national"
"CMR","douala","analysis_region",142,0,0,142,0,3,2020,,2020,2016,"national"
"CMR","east","analysis_region",110,0,0,110,0,3,2020,,2020,2016,"national"
"CMR","farnorth","analysis_region",154,0,154,0,0,3,2016,2016,2016,2016,"confirmed"
"CMR","littoral","analysis_region",103,0,0,103,0,3,2020,,2020,2016,"national"
"CMR","north","analysis_region",131,0,131,0,0,3,2016,2016,2016,2016,"confirmed"
"CMR","northwest","analysis_region",108,0,0,108,0,3,2020,,2020,2016,"national"
"CMR","south","analysis_region",103,0,0,103,0,3,2020,,2020,2016,"national"
"CMR","southwest","analysis_region",89,0,0,89,0,3,2020,,2020,2016,"national"
"CMR","west","analysis_region",136,0,0,136,0,3,2020,,2020,2016,"national"
"CMR","yaounde","analysis_region",138,0,0,138,0,3,2020,,2020,2016,"national"
"MLI","bamako","analysis_region",224,0,0,224,0,5,2015,,2015,2013,"national"
"MLI","gao","analysis_region",76,0,0,76,0,3,2015,,2015,2013,"national"
"MLI","kayes","analysis_region",223,20,0,203,0,5,2015,2013,2013,2013,"national"
"MLI","kidal","analysis_region",50,0,0,50,0,3,2015,,2015,2013,"national"
"MLI","koulikoro","analysis_region",241,0,0,241,0,5,2015,,2015,2013,"national"
"MLI","mopti","analysis_region",180,0,0,180,0,5,2015,,2015,2013,"national"
"MLI","segou","analysis_region",239,0,0,239,0,5,2015,,2015,2013,"national"
"MLI","sikasso","analysis_region",226,0,0,226,0,5,2015,,2015,2013,"national"
"MLI","tombouctou","analysis_region",107,0,0,107,0,3,2015,,2015,2013,"national"
"NER","agadez","analysis_region",53,0,0,53,0,2,2013,,2013,2013,"national"
"NER","diffa","analysis_region",72,0,0,72,0,2,2013,,2013,2013,"national"
"NER","dosso","analysis_region",83,0,0,83,0,2,2013,,2013,2013,"national"
"NER","maradi","analysis_region",108,0,0,108,0,2,2013,,2013,2013,"national"
"NER","niamey","analysis_region",73,0,0,73,0,2,2013,,2013,2013,"national"
"NER","tahoua","analysis_region",100,0,0,100,0,2,2013,,2013,2013,"national"
"NER","tillaberi","analysis_region",86,0,0,86,0,2,2013,,2013,2013,"national"
"NER","zinder","analysis_region",108,0,0,108,0,2,2013,,2013,2013,"national"
"NGA","abia","state",101,0,0,0,101,5,,,,2013,"confirmed"
"NGA","adamawa","state",102,92,0,0,10,5,2021,2021,2018,2013,"confirmed"
"NGA","akwaibom","state",108,0,0,0,108,5,,,,2013,"confirmed"
"NGA","anambra","state",111,0,0,0,111,5,,,,2013,"confirmed"
"NGA","bauchi","state",114,114,0,0,0,5,2021,2021,2020,2013,"confirmed"
"NGA","bayelsa","state",90,0,0,0,90,5,,,,2013,"confirmed"
"NGA","benue","state",108,32,0,0,76,5,,,2022,2013,"confirmed"
"NGA","borno","state",101,101,0,0,0,5,2020,2020,2018,2013,"confirmed"
"NGA","crossriver","state",99,0,0,0,99,5,,,,2013,"confirmed"
"NGA","delta","state",111,0,0,0,111,5,,,,2013,"confirmed"
"NGA","ebonyi","state",97,0,0,0,97,5,,,,2013,"confirmed"
"NGA","edo","state",101,0,0,0,101,5,,,,2013,"confirmed"
"NGA","ekiti","state",93,0,0,0,93,5,,,,2013,"confirmed"
"NGA","enugu","state",104,0,0,0,104,5,,,,2013,"confirmed"
"NGA","federalcapitalterritory","state",94,94,0,0,0,5,2022,2022,2022,2013,"confirmed"
"NGA","gombe","state",94,94,0,0,0,5,2021,2021,2021,2013,"confirmed"
"NGA","imo","state",111,0,0,0,111,5,,,,2013,"confirmed"
"NGA","jigawa","state",104,104,0,0,0,5,2019,2019,2013,2013,"confirmed"
"NGA","kaduna","state",118,118,0,0,0,5,2021,2021,2021,2013,"confirmed"
"NGA","kano","state",134,134,0,0,0,5,2020,2020,2013,2013,"confirmed"
"NGA","katsina","state",111,111,0,0,0,5,2020,2020,2013,2013,"confirmed"
"NGA","kebbi","state",98,98,0,0,0,5,2020,2020,2020,2013,"confirmed"
"NGA","kogi","state",103,103,0,0,0,5,2022,2022,2021,2013,"confirmed"
"NGA","kwara","state",99,77,0,0,22,5,2021,2021,2021,2013,"confirmed"
"NGA","lagos","state",143,0,0,0,143,5,,,,2013,"confirmed"
"NGA","nasarawa","state",97,97,0,0,0,5,2021,2021,2021,2013,"confirmed"
"NGA","niger","state",108,108,0,0,0,5,2021,2021,2021,2013,"confirmed"
"NGA","ogun","state",111,0,0,0,111,5,,,,2013,"confirmed"
"NGA","ondo","state",101,0,0,0,101,5,,,,2013,"confirmed"
"NGA","osun","state",102,0,0,0,102,5,,,,2013,"confirmed"
"NGA","oyo","state",117,18,0,0,99,5,,,2022,2013,"confirmed"
"NGA","plateau","state",102,102,0,0,0,5,2021,2021,2021,2013,"confirmed"
"NGA","rivers","state",126,0,0,0,126,5,,,,2013,"confirmed"
"NGA","sokoto","state",100,100,0,0,0,5,2016,2016,2015,2013,"confirmed"
"NGA","taraba","state",98,61,0,0,37,5,2021,2021,2021,2013,"confirmed"
"NGA","yobe","state",96,96,0,0,0,5,2020,2020,2019,2013,"confirmed"
"NGA","zamfara","state",83,83,0,0,0,5,2016,2016,2015,2013,"confirmed"
"TCD","barhelgazal","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","batha","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","borkoutibesti","analysis_region",30,0,0,30,0,1,2015,,2015,2015,"national"
"TCD","charibaguirmi","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","ennediestennediouest","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","guera","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","hadjerlamis","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","kanem","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","lac","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","logoneoccidental","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","logoneoriental","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","mandoul","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","mayokebbiest","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","mayokebbiouest","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","moyenchari","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","ndjamena","analysis_region",50,0,0,50,0,1,2015,,2015,2015,"national"
"TCD","ouaddai","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","salamat","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"TCD","sila","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","tandjile","analysis_region",28,0,0,28,0,1,2015,,2015,2015,"national"
"TCD","wadifira","analysis_region",29,0,0,29,0,1,2015,,2015,2015,"national"
"UGA","acholi","analysis_region",85,0,0,0,85,3,,,,2021,"confirmed"
"UGA","ankole","analysis_region",86,0,0,0,86,3,,,,2021,"confirmed"
"UGA","bugisuelgonfrom2024","analysis_region",78,0,0,0,78,3,,,,2021,"confirmed"
"UGA","bukedi","analysis_region",78,0,0,0,78,3,,,,2021,"confirmed"
"UGA","bunyoro","analysis_region",91,0,0,0,91,3,,,,2021,"confirmed"
"UGA","central1southbuganda","analysis_region",172,0,0,0,172,5,,,,2021,"confirmed"
"UGA","central2northbuganda","analysis_region",160,0,0,0,160,5,,,,2021,"confirmed"
"UGA","eastcentralbusoga","analysis_region",154,0,0,0,154,5,,,,2021,"confirmed"
"UGA","eastern2011vintage","analysis_region",39,0,0,0,39,1,,,,2021,"confirmed"
"UGA","kampala","analysis_region",151,0,0,0,151,5,,,,2021,"confirmed"
"UGA","karamoja","analysis_region",106,106,0,0,0,4,2022,2022,2021,2021,"confirmed"
"UGA","kigezi","analysis_region",78,0,0,0,78,3,,,,2021,"confirmed"
"UGA","lango","analysis_region",89,0,0,0,89,3,,,,2021,"confirmed"
"UGA","mideastern","analysis_region",24,0,0,0,24,1,,,,2021,"confirmed"
"UGA","midnorth","analysis_region",68,0,0,0,68,2,,,,2021,"confirmed"
"UGA","midwestern","analysis_region",59,0,0,0,59,2,,,,2021,"confirmed"
"UGA","northeast","analysis_region",32,16,0,0,16,1,2023,2023,2021,2021,"confirmed"
"UGA","southwestern","analysis_region",62,0,0,0,62,2,,,,2021,"confirmed"
"UGA","teso","analysis_region",79,0,0,0,79,3,,,,2021,"confirmed"
"UGA","tooro","analysis_region",96,0,0,0,96,3,,,,2021,"confirmed"
"UGA","westnile","analysis_region",144,0,0,0,144,5,,,,2021,"confirmed"
