"source_label","source_key","regkey","match_method","survey"
"Sud-Kivu","sudkivu","sudkivu","exact","CD51FL"
"Katanga","katanga","katanga","exact","CD51FL"
"Kasaï Oriental","kasaioriental","kasaioriental","exact","CD51FL"
"Kasaï Occident","kasaioccident","kasaioccident","exact","CD51FL"
"Kinshasa","kinshasa","kinshasa","exact","CD61FL"
"Bas-Congo","bascongo","bascongo","exact","CD61FL"
"Bandundu","bandundu","bandundu","exact","CD61FL"
"Kwango","kwango",,"unmatched","CD61FL"
"Kwilu","kwilu",,"unmatched","CD61FL"
"Mai-Ndombe","maindombe",,"unmatched","CD61FL"
"Equateur","equateur","equateur","exact","CD61FL"
"Mongala","mongala",,"unmatched","CD61FL"
"Nord-Ubangi","nordubangi",,"unmatched","CD61FL"
"Sud-Ubangi","sudubangi",,"unmatched","CD61FL"
"Tshuapa","tshuapa",,"unmatched","CD61FL"
"Orientale","orientale","orientale","exact","CD61FL"
"Bas-Uele","basuele",,"unmatched","CD61FL"
"Haut-Uele","hautuele",,"unmatched","CD61FL"
"Ituri","ituri",,"unmatched","CD61FL"
"Tshopo","tshopo",,"unmatched","CD61FL"
"Nord-Kivu","nordkivu","nordkivu","exact","CD61FL"
"Maniema","maniema","maniema","exact","CD61FL"
"Sud-Kivu","sudkivu","sudkivu","exact","CD61FL"
"Katanga","katanga","katanga","exact","CD61FL"
"Haut-Katanga","hautkatanga",,"unmatched","CD61FL"
"Haut-Lomani","hautlomani",,"unmatched","CD61FL"
"Lualaba","lualaba",,"unmatched","CD61FL"
"Tanganyka","tanganyka",,"unmatched","CD61FL"
"Kasaï Oriental","kasaioriental","kasaioriental","exact","CD61FL"
"Kasai-Oriental","kasaioriental","kasaioriental","exact","CD61FL"
"Lomani","lomani",,"unmatched","CD61FL"
"Sankuru","sankuru",,"unmatched","CD61FL"
"Kasaï Occident","kasaioccident","kasaioccidental","curated_published_alias","CD61FL"
"Kasai","kasai",,"unmatched","CD61FL"
"Kasai-Central","kasaicentral",,"unmatched","CD61FL"
"Kinshasa","kinshasa","kinshasa","exact","CD81FL"
"Bas-Congo","bascongo","kongocentral","curated_published_alias","CD81FL"
