"survey","IndicatorId","CharacteristicLabel","value"
"GA61FL","CN_NUTS_C_WH2","North",2.7
"GA61FL","CN_NUTS_C_WH2","East",4.5
"GA61FL","CN_NUTS_C_WH2","West",3.2
"GA61FL","CN_NUTS_C_WH2","..Estuaire (excluding Libreville)",2.8
"GA61FL","CN_NUTS_C_WH2","..Ogooué-Maritime (excluding Port-Gentil)",3.3
"GA61FL","CN_NUTS_C_WH2","South",3.9
"GA71FL","CN_NUTS_C_HA2","Libreville,Port-Gentil",9.8
"GA71FL","CN_NUTS_C_HA2","North",21.1
"GA71FL","CN_NUTS_C_HA2","East",24.4
"GA71FL","CN_NUTS_C_HA2","West",12.6
"GA71FL","CN_NUTS_C_HA2","South",24.1
"GA71FL","CN_NUTS_C_WH2","Libreville,Port-Gentil",3.7
"GA71FL","CN_NUTS_C_WH2","North",2.4
"GA71FL","CN_NUTS_C_WH2","East",2.2
"GA71FL","CN_NUTS_C_WH2","West",3.6
"GA71FL","CN_NUTS_C_WH2","South",4.7
"GH5AFL","CN_NUTS_C_HA2","Northern, Upper West, Upper East",32.2
"GH5AFL","CN_NUTS_C_WH2","Northern, Upper West, Upper East",12.6
"GH72FL","CN_NUTS_C_HA2","Northern, Upper West, Upper East",27.6
"GH72FL","CN_NUTS_C_WH2","Northern, Upper West, Upper East",6.7
"GH8CFL","CN_NUTS_C_HA2","Brong-Ahafo",15.4
"GH8CFL","CN_NUTS_C_HA2","Northern, Upper West, Upper East",25.3
"GH8CFL","CN_NUTS_C_WH2","Brong-Ahafo",4.5
"GH8CFL","CN_NUTS_C_WH2","Northern, Upper West, Upper East",6.2
"GN52FL","CN_NUTS_C_HA2","Lower Guinea",34.8
"GN52FL","CN_NUTS_C_HA2","Central Guinea",39.8
"GN52FL","CN_NUTS_C_HA2","Upper Guinea",43.4
"GN52FL","CN_NUTS_C_HA2","Forest Guinea",43.4
"GN52FL","CN_NUTS_C_WH2","Lower Guinea",7.4
"GN52FL","CN_NUTS_C_WH2","Central Guinea",8.7
"GN52FL","CN_NUTS_C_WH2","Upper Guinea",15.6
"GN52FL","CN_NUTS_C_WH2","Forest Guinea",11
"GN62FL","CN_NUTS_C_HA2","Lower Guinea",29.7
"GN62FL","CN_NUTS_C_HA2","Central Guinea",37
"GN62FL","CN_NUTS_C_HA2","Upper Guinea",32
"GN62FL","CN_NUTS_C_HA2","Forest Guinea",36.4
"GN62FL","CN_NUTS_C_WH2","Lower Guinea",6.3
"GN62FL","CN_NUTS_C_WH2","Central Guinea",10.5
"GN62FL","CN_NUTS_C_WH2","Upper Guinea",15
"GN62FL","CN_NUTS_C_WH2","Forest Guinea",7.4
"KE72FL","CN_NUTS_C_HA2","..Mombasa",21.1
"KE72FL","CN_NUTS_C_HA2","..Kwale",29.7
"KE72FL","CN_NUTS_C_HA2","..Kilifi",39.1
"KE72FL","CN_NUTS_C_HA2","..Tana River",28.1
"KE72FL","CN_NUTS_C_HA2","..Lamu",29.2
"KE72FL","CN_NUTS_C_HA2","..Taita Taveta",23.8
"KE72FL","CN_NUTS_C_HA2","..Garissa",15.6
"KE72FL","CN_NUTS_C_HA2","..Wajir",26.4
"KE72FL","CN_NUTS_C_HA2","..Mandera",36.1
"KE72FL","CN_NUTS_C_HA2","..Marsabit",26.5
"KE72FL","CN_NUTS_C_HA2","..Isiolo",19.1
"KE72FL","CN_NUTS_C_HA2","..Meru",25.2
"KE72FL","CN_NUTS_C_HA2","..Tharaka-Nithi",32.9
"KE72FL","CN_NUTS_C_HA2","..Embu",26.8
"KE72FL","CN_NUTS_C_HA2","..Kitui",45.8
"KE72FL","CN_NUTS_C_HA2","..Machakos",26.5
"KE72FL","CN_NUTS_C_HA2","..Makueni",25.1
"KE72FL","CN_NUTS_C_HA2","..Nyandarua",29.4
"KE72FL","CN_NUTS_C_HA2","..Nyeri",15.1
"KE72FL","CN_NUTS_C_HA2","..Kirinyaga",17.2
"KE72FL","CN_NUTS_C_HA2","..Murang'a",19.3
"KE72FL","CN_NUTS_C_HA2","..Kiambu",15.7
"KE72FL","CN_NUTS_C_HA2","..Turkana",23.9
"KE72FL","CN_NUTS_C_HA2","..West Pokot",45.9
