"survey","country","region","records","before_missing","after_missing","variable"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:uige",4707,0,0,"improved_sanitation_pct"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:uige",4707,0,0,"electricity_pct"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:uige",4707,0,0,"wasting_pct"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:huila",4973,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:bie",4535,0,0,"stunting_pct"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,0,0,"stunting_pct"
