"survey","regkey","variable","value","eligible_n","observed_n","missing_n","weighted_n","population","source","small_denominator","low_precision"
"AO71FL","huila","wasting_pct",4.6,,470,,754,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","cunene","wasting_pct",10.5,,477,,321,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","lundasul","wasting_pct",4.3,,441,,145,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO71FL","bengo","wasting_pct",4.7,,421,,115,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","cabinda","stunting_pct",29.5,,294,,141,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","zaire","stunting_pct",41.2,,252,,85,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","uige","stunting_pct",47.6,,392,,352,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","luanda","stunting_pct",23.6,,387,,1443,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","northcuanza","stunting_pct",46.7,,231,,148,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","southcuanza","stunting_pct",53.2,,388,,521,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","malanje","stunting_pct",44.7,,372,,278,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","northlunda","stunting_pct",36.5,,405,,326,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","benguela","stunting_pct",44.2,,315,,362,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","huambo","stunting_pct",47.2,,472,,556,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","bie","stunting_pct",56.5,,364,,396,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","moxico","stunting_pct",34.2,,315,,171,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","cuandocubango","stunting_pct",37.6,,261,,106,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","namibe","stunting_pct",44.1,,368,,99,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","huila","stunting_pct",47.1,,326,,439,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","cunene","stunting_pct",39.7,,295,,161,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","southlunda","stunting_pct",36.4,,314,,186,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","bengo","stunting_pct",43.5,,261,,100,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"AO81FL","cabinda","wasting_pct",4.8,,301,,144,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","zaire","wasting_pct",8.3,,256,,87,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","uige","wasting_pct",6,,395,,356,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","luanda","wasting_pct",6.5,,396,,1477,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","northcuanza","wasting_pct",2.5,,231,,149,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","southcuanza","wasting_pct",1.4,,401,,538,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","malanje","wasting_pct",5.2,,370,,275,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","northlunda","wasting_pct",9.2,,419,,337,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","benguela","wasting_pct",3.3,,329,,377,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","huambo","wasting_pct",4.5,,477,,563,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","bie","wasting_pct",3.7,,373,,403,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","moxico","wasting_pct",11.1,,315,,170,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","cuandocubango","wasting_pct",3.6,,272,,108,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","namibe","wasting_pct",5.6,,413,,110,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","huila","wasting_pct",4.1,,340,,459,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","cunene","wasting_pct",6,,369,,196,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","southlunda","wasting_pct",4.5,,327,,188,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"AO81FL","bengo","wasting_pct",6.2,,265,,101,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","ouagadougou","stunting_pct",19.7,,251,,503,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","boucledumouhoun","stunting_pct",40.2,,669,,701,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","centresud","stunting_pct",38.9,,531,,475,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","plateaucentral","stunting_pct",43.7,,767,,462,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","centreest","stunting_pct",45.7,,575,,710,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","centrenord","stunting_pct",45.9,,720,,823,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","centreouest","stunting_pct",43.6,,796,,571,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","est","stunting_pct",63.1,,578,,681,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","nord","stunting_pct",41.9,,670,,976,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","cascades","stunting_pct",46.4,,532,,253,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","hautsbassins","stunting_pct",36.7,,752,,1165,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","sahel","stunting_pct",53,,556,,653,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","sudouest","stunting_pct",46.7,,791,,452,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF43FL","ouagadougou","wasting_pct",13.8,,251,,503,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","boucledumouhoun","wasting_pct",27.8,,669,,701,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","centresud","wasting_pct",21.9,,531,,475,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","plateaucentral","wasting_pct",35.3,,767,,462,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","centreest","wasting_pct",23.7,,575,,710,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","centrenord","wasting_pct",15.2,,720,,823,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","centreouest","wasting_pct",20,,796,,571,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","est","wasting_pct",14.7,,578,,681,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","nord","wasting_pct",23.6,,670,,976,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","cascades","wasting_pct",29.7,,532,,253,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","hautsbassins","wasting_pct",17,,752,,1165,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","sahel","wasting_pct",20.9,,556,,653,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF43FL","sudouest","wasting_pct",24.8,,791,,452,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","centre","stunting_pct",20.7,,392,,548,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","boucledumouhoun","stunting_pct",29.3,,630,,865,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","centresud","stunting_pct",31.8,,426,,307,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","plateaucentral","stunting_pct",38.5,,466,,310,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","centreest","stunting_pct",35.2,,524,,540,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","centrenord","stunting_pct",28.7,,541,,588,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","centreouest","stunting_pct",34.9,,623,,571,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","est","stunting_pct",42.8,,633,,718,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","nord","stunting_pct",38.3,,580,,559,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","cascades","stunting_pct",37.7,,409,,249,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","hautsbassins","stunting_pct",31.8,,594,,820,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","sahel","stunting_pct",46.1,,533,,614,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","sudouest","stunting_pct",39.3,,480,,306,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF62FL","centre","wasting_pct",16.3,,392,,548,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","boucledumouhoun","wasting_pct",11.4,,630,,865,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","centresud","wasting_pct",17.3,,426,,307,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","plateaucentral","wasting_pct",13.6,,466,,310,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","centreest","wasting_pct",20.6,,524,,540,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","centrenord","wasting_pct",24.7,,541,,588,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","centreouest","wasting_pct",11,,623,,571,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","est","wasting_pct",17.7,,633,,718,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","nord","wasting_pct",16.5,,580,,559,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","cascades","wasting_pct",12.4,,409,,249,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","hautsbassins","wasting_pct",11.1,,594,,820,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","sahel","wasting_pct",17.6,,533,,614,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF62FL","sudouest","wasting_pct",9.3,,480,,306,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","centre","stunting_pct",15.3,,579,,945,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","boucledumouhoun","stunting_pct",25,,525,,614,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","centresud","stunting_pct",18.1,,393,,269,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","plateaucentral","stunting_pct",22.3,,512,,378,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","centreest","stunting_pct",24.9,,597,,670,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","centrenord","stunting_pct",27.1,,452,,587,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","centreouest","stunting_pct",22.4,,605,,712,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","est","stunting_pct",31.7,,385,,478,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","nord","stunting_pct",23.7,,572,,425,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","cascades","stunting_pct",20.5,,332,,192,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","hautsbassins","stunting_pct",16.4,,630,,592,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","sahel","stunting_pct",37,,254,,192,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","sudouest","stunting_pct",19.7,,516,,234,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BF81FL","centre","wasting_pct",12.1,,581,,947,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","boucledumouhoun","wasting_pct",6.4,,529,,618,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","centresud","wasting_pct",7.5,,394,,270,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","plateaucentral","wasting_pct",9.6,,514,,380,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","centreest","wasting_pct",10.9,,603,,678,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","centrenord","wasting_pct",6.8,,455,,591,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","centreouest","wasting_pct",9.1,,609,,717,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","est","wasting_pct",28.5,,384,,476,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","nord","wasting_pct",10.5,,574,,426,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","cascades","wasting_pct",5.3,,336,,194,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","hautsbassins","wasting_pct",8,,636,,597,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","sahel","wasting_pct",13.7,,254,,192,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BF81FL","sudouest","wasting_pct",6.8,,519,,236,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ41FL","atacoradonga","stunting_pct",37.6,,563,,534,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ41FL","atlantique","stunting_pct",39.4,,556,,447,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ41FL","borgoualibori","stunting_pct",39.8,,571,,576,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ41FL","monocouffo","stunting_pct",40.1,,521,,464,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ41FL","zoucollines","stunting_pct",36.9,,780,,936,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ41FL","atacoradonga","wasting_pct",13,,563,,534,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ41FL","atlantique","wasting_pct",7.3,,556,,447,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ41FL","borgoualibori","wasting_pct",14,,571,,576,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ41FL","monocouffo","wasting_pct",6.9,,521,,464,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ41FL","zoucollines","wasting_pct",9.6,,780,,936,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","atacora","stunting_pct",39.1,,1331,,1035,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","donga","stunting_pct",40.8,,686,,524,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","atlantique","stunting_pct",39.9,,1607,,1620,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","littoral","stunting_pct",26.2,,939,,920,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","borgou","stunting_pct",46.8,,1351,,1347,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","alibori","stunting_pct",63.1,,964,,1037,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","mono","stunting_pct",44.7,,851,,784,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","couffo","stunting_pct",37.8,,1024,,1017,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","oueme","stunting_pct",37,,1533,,1755,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","plateau","stunting_pct",45.1,,628,,622,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","zou","stunting_pct",52.5,,1320,,1479,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","collines","stunting_pct",42.6,,917,,960,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ51FL","atacora","wasting_pct",16,,1331,,1035,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","donga","wasting_pct",15.4,,686,,524,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","atlantique","wasting_pct",9.8,,1607,,1620,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","littoral","wasting_pct",5.3,,939,,920,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","borgou","wasting_pct",10.8,,1351,,1347,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","alibori","wasting_pct",11.3,,964,,1037,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","mono","wasting_pct",5.6,,851,,784,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","couffo","wasting_pct",3.9,,1024,,1017,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","oueme","wasting_pct",6.8,,1533,,1755,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","plateau","wasting_pct",10,,628,,622,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","zou","wasting_pct",3.5,,1320,,1479,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ51FL","collines","wasting_pct",6.5,,917,,960,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","atacora","stunting_pct",36.4,,1242,,1149,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","donga","stunting_pct",27.2,,963,,871,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","atlantic","stunting_pct",30.1,,1187,,1426,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","littoral","stunting_pct",19.1,,826,,554,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","borgou","stunting_pct",34.2,,1558,,1618,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","alibori","stunting_pct",35.9,,1488,,1661,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","mono","stunting_pct",28.5,,650,,583,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","couffo","stunting_pct",38,,876,,893,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","oueme","stunting_pct",29.7,,992,,1155,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","plateau","stunting_pct",36.2,,766,,782,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","zou","stunting_pct",35.4,,1183,,1249,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","collines","stunting_pct",23.7,,1012,,835,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BJ71FL","atacora","wasting_pct",4.7,,1294,,1194,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","donga","wasting_pct",6.4,,986,,889,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","atlantic","wasting_pct",4.1,,1227,,1473,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","littoral","wasting_pct",5.6,,831,,558,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","borgou","wasting_pct",5.1,,1765,,1811,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","alibori","wasting_pct",6.9,,1551,,1728,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","mono","wasting_pct",5.3,,658,,592,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","couffo","wasting_pct",3.4,,916,,935,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","oueme","wasting_pct",4.4,,1018,,1184,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","plateau","wasting_pct",6.1,,778,,792,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","zou","wasting_pct",3.8,,1189,,1255,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BJ71FL","collines","wasting_pct",3.6,,1030,,849,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BU61FL","bujumburamairie","stunting_pct",27.6,,312,,176,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BU61FL","north","stunting_pct",62.1,,811,,1106,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BU61FL","centraleast","stunting_pct",61.5,,1014,,904,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BU61FL","west","stunting_pct",55.1,,658,,667,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BU61FL","south","stunting_pct",56,,797,,737,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BU61FL","bujumburamairie","wasting_pct",6.1,,312,,176,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BU61FL","north","wasting_pct",5.5,,811,,1106,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BU61FL","centraleast","wasting_pct",5.4,,1014,,904,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BU61FL","west","wasting_pct",6.2,,658,,667,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BU61FL","south","wasting_pct",6.4,,797,,737,"CN_NUTS_C_WH2","DHS_published_regional",FALSE,FALSE
"BU71FL","bujumburamairie","stunting_pct",23.7,,269,,312,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
"BU71FL","kayanza","stunting_pct",58,,328,,400,"CN_NUTS_C_HA2","DHS_published_regional",FALSE,FALSE
