"survey","country","region","records","retained_records","previous_records","newly_excluded","newly_recovered"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,3937,3937,0,0
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,4573,4573,0,0
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,5118,5118,0,0
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,4197,4197,0,0
"BU71FL","BDI","BDI:BU71FL:makamba",4369,4369,4369,0,0
"BU71FL","BDI","BDI:BU71FL:bururi",3410,3410,3410,0,0
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,4378,4378,0,0
"BJ41FL","BEN","BEN:BJ41FL:atlantique",1588,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:alibori",7822,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:atacora",8947,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:atlantique",9449,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:borgou",9388,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:collines",6110,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:couffo",7620,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:donga",4641,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:littoral",5500,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:mono",5754,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:oueme",10201,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:plateau",4413,0,0,0,0
"BJ51FL","BEN","BEN:BJ51FL:zou",8989,0,0,0,0
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,0,6249,6249,0
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,0,8173,8173,0
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,0,8750,8750,0
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,0,6807,6807,0
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,0,5514,5514,0
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,0,6167,6167,0
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,0,4469,4469,0
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,0,5979,5979,0
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,0,4927,4927,0
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,0,8708,8708,0
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,0,4818,4818,0
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,0,7610,7610,0
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,9028,9028,0,0
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,7214,7214,0,0
"BJ71FL","BEN","BEN:BJ71FL:atlantic",7314,7314,7314,0,0
"BJ71FL","BEN","BEN:BJ71FL:borgou",9664,9664,9664,0,0
"BJ71FL","BEN","BEN:BJ71FL:collines",5781,5781,5781,0,0
"BJ71FL","BEN","BEN:BJ71FL:couffo",4853,4853,4853,0,0
"BJ71FL","BEN","BEN:BJ71FL:donga",5206,5206,5206,0,0
"BJ71FL","BEN","BEN:BJ71FL:littoral",4754,4754,4754,0,0
"BJ71FL","BEN","BEN:BJ71FL:mono",3759,3759,3759,0,0
"BJ71FL","BEN","BEN:BJ71FL:oueme",5764,5764,5764,0,0
"BJ71FL","BEN","BEN:BJ71FL:plateau",4705,4705,4705,0,0
"BJ71FL","BEN","BEN:BJ71FL:zou",6771,6771,6771,0,0
"BF43FL","BFA","BFA:BF43FL:est",3086,2154,2154,0,0
"BF43FL","BFA","BFA:BF43FL:nord",3159,2142,2142,0,0
"BF43FL","BFA","BFA:BF43FL:centreest",2748,1848,1848,0,0
"BF43FL","BFA","BFA:BF43FL:centrenord",3528,2436,2436,0,0
"BF43FL","BFA","BFA:BF43FL:boucledumouhoun",3410,2358,2358,0,0
"BF43FL","BFA","BFA:BF43FL:hautsbassins",3355,2309,2309,0,0
"BF43FL","BFA","BFA:BF43FL:centresud",2724,1828,1828,0,0
"BF43FL","BFA","BFA:BF43FL:cascades",2750,1884,1884,0,0
"BF43FL","BFA","BFA:BF43FL:ouagadougou",1101,704,704,0,0
"BF43FL","BFA","BFA:BF43FL:sudouest",3848,2637,2637,0,0
"BF43FL","BFA","BFA:BF43FL:centreouest",4182,2823,2823,0,0
"BF43FL","BFA","BFA:BF43FL:sahel",2902,2037,2037,0,0
"BF43FL","BFA","BFA:BF43FL:plateaucentral",3985,2733,2733,0,0
"BF62FL","BFA","BFA:BF62FL:boucledumouhoun",7549,7549,7549,0,0
"BF62FL","BFA","BFA:BF62FL:cascades",5275,5275,5275,0,0
"BF62FL","BFA","BFA:BF62FL:centre",5184,5184,5184,0,0
"BF62FL","BFA","BFA:BF62FL:centreest",6432,6432,6432,0,0
"BF62FL","BFA","BFA:BF62FL:centrenord",6230,6230,6230,0,0
"BF62FL","BFA","BFA:BF62FL:centreouest",7572,7572,7572,0,0
"BF62FL","BFA","BFA:BF62FL:centresud",5493,5493,5493,0,0
"BF62FL","BFA","BFA:BF62FL:est",8472,8472,8472,0,0
"BF62FL","BFA","BFA:BF62FL:hautsbassins",6883,6883,6883,0,0
"BF62FL","BFA","BFA:BF62FL:nord",6752,6752,6752,0,0
"BF62FL","BFA","BFA:BF62FL:plateaucentral",5894,5894,5894,0,0
"BF62FL","BFA","BFA:BF62FL:sahel",6841,6841,6841,0,0
"BF62FL","BFA","BFA:BF62FL:sudouest",6166,6166,6166,0,0
"BF81FL","BFA","BFA:BF81FL:boucledumouhoun",6453,6453,6453,0,0
"BF81FL","BFA","BFA:BF81FL:cascades",3857,3857,3857,0,0
"BF81FL","BFA","BFA:BF81FL:centre",6671,6671,6671,0,0
"BF81FL","BFA","BFA:BF81FL:centreest",7162,7162,7162,0,0
"BF81FL","BFA","BFA:BF81FL:centrenord",5657,5657,5657,0,0
"BF81FL","BFA","BFA:BF81FL:centreouest",6399,6399,6399,0,0
"BF81FL","BFA","BFA:BF81FL:centresud",4425,4425,4425,0,0
"BF81FL","BFA","BFA:BF81FL:est",4612,4612,4612,0,0
"BF81FL","BFA","BFA:BF81FL:hautsbassins",7406,7406,7406,0,0
"BF81FL","BFA","BFA:BF81FL:nord",6471,6471,6471,0,0
"BF81FL","BFA","BFA:BF81FL:plateaucentral",6175,6175,6175,0,0
"BF81FL","BFA","BFA:BF81FL:sahel",2850,2850,2850,0,0
"BF81FL","BFA","BFA:BF81FL:sudouest",5989,5989,5989,0,0
"CI62FL","CIV","CIV:CI62FL:west",3992,3992,3992,0,0
"CI62FL","CIV","CIV:CI62FL:northeast",3439,3439,3439,0,0
"CI62FL","CIV","CIV:CI62FL:northcentral",4312,4312,4312,0,0
"CI62FL","CIV","CIV:CI62FL:central",3287,3287,3287,0,0
"CI62FL","CIV","CIV:CI62FL:abidjan",3537,3537,3537,0,0
"CI62FL","CIV","CIV:CI62FL:southwest",3700,3700,3700,0,0
"CI62FL","CIV","CIV:CI62FL:westcentral",3968,3968,3968,0,0
"CI62FL","CIV","CIV:CI62FL:eastcentral",3298,3298,3298,0,0
"CI62FL","CIV","CIV:CI62FL:north",4172,4172,4172,0,0
"CI62FL","CIV","CIV:CI62FL:northwest",6080,6080,6080,0,0
"CI81FL","CIV","CIV:CI81FL:abidjan",3607,3607,3607,0,0
"CI81FL","CIV","CIV:CI81FL:sassandramarahoue",5931,5931,5931,0,0
"CI81FL","CIV","CIV:CI81FL:savanes",4675,4675,4675,0,0
"CI81FL","CIV","CIV:CI81FL:valleedubandama",4076,4076,4076,0,0
"CI81FL","CIV","CIV:CI81FL:comoe",2936,2936,2936,0,0
"CI81FL","CIV","CIV:CI81FL:montagnes",5631,5631,5631,0,0
"CI81FL","CIV","CIV:CI81FL:yamoussoukro",2624,2624,2624,0,0
"CI81FL","CIV","CIV:CI81FL:zanzan",3887,3887,3887,0,0
"CI81FL","CIV","CIV:CI81FL:bassassandra",4719,4719,4719,0,0
"CI81FL","CIV","CIV:CI81FL:denguele",6128,6128,6128,0,0
"CI81FL","CIV","CIV:CI81FL:lacs",3606,3606,3606,0,0
"CI81FL","CIV","CIV:CI81FL:woroba",5263,5263,5263,0,0
"CI81FL","CIV","CIV:CI81FL:gohdjiboua",4105,4105,4105,0,0
"CI81FL","CIV","CIV:CI81FL:lagunes",3977,3977,3977,0,0
"CM44FL","CMR","CMR:CM44FL:douala",2248,1646,1646,0,0
"CM44FL","CMR","CMR:CM44FL:north",4614,3429,3429,0,0
"CM44FL","CMR","CMR:CM44FL:farnorth",5325,4035,4035,0,0
"CM44FL","CMR","CMR:CM44FL:littoral",2448,1824,1824,0,0
"CM44FL","CMR","CMR:CM44FL:yaounde",2057,1503,1503,0,0
"CM44FL","CMR","CMR:CM44FL:west",4335,3229,3229,0,0
"CM44FL","CMR","CMR:CM44FL:east",3001,2220,2220,0,0
"CM44FL","CMR","CMR:CM44FL:south",2560,1943,1943,0,0
"CM44FL","CMR","CMR:CM44FL:adamawa",3142,2352,2352,0,0
"CM44FL","CMR","CMR:CM44FL:northwest",3057,2264,2264,0,0
"CM44FL","CMR","CMR:CM44FL:southwest",2438,1839,1839,0,0
"CM44FL","CMR","CMR:CM44FL:centre",3482,2612,2612,0,0
"CM61FL","CMR","CMR:CM61FL:farnorth",9944,9944,9944,0,0
"CM61FL","CMR","CMR:CM61FL:douala",4201,4201,4201,0,0
"CM61FL","CMR","CMR:CM61FL:northwest",5629,5629,5629,0,0
"CM61FL","CMR","CMR:CM61FL:west",5757,5757,5757,0,0
"CM61FL","CMR","CMR:CM61FL:southwest",3745,3745,3745,0,0
"CM61FL","CMR","CMR:CM61FL:north",8596,8596,8596,0,0
"CM61FL","CMR","CMR:CM61FL:south",3787,3787,3787,0,0
"CM61FL","CMR","CMR:CM61FL:littoral",3205,3205,3205,0,0
"CM61FL","CMR","CMR:CM61FL:centre",5526,5526,5526,0,0
"CM61FL","CMR","CMR:CM61FL:east",4620,4620,4620,0,0
"CM61FL","CMR","CMR:CM61FL:yaounde",3891,3891,3891,0,0
"CM61FL","CMR","CMR:CM61FL:adamawa",5748,5748,5748,0,0
"CM71FL","CMR","CMR:CM71FL:farnorth",7733,7733,7733,0,0
"CM71FL","CMR","CMR:CM71FL:east",5633,5633,5633,0,0
"CM71FL","CMR","CMR:CM71FL:yaounde",3847,3847,3847,0,0
"CM71FL","CMR","CMR:CM71FL:adamawa",4283,4283,4283,0,0
"CM71FL","CMR","CMR:CM71FL:northwest",2658,2658,2658,0,0
"CM71FL","CMR","CMR:CM71FL:douala",3372,3372,3372,0,0
"CM71FL","CMR","CMR:CM71FL:south",5284,5284,5284,0,0
"CM71FL","CMR","CMR:CM71FL:west",5383,5383,5383,0,0
"CM71FL","CMR","CMR:CM71FL:southwest",940,940,940,0,0
"CM71FL","CMR","CMR:CM71FL:north",6841,6841,6841,0,0
"CD51FL","COD","COD:CD51FL:kinshasa",5093,5093,5093,0,0
"CD51FL","COD","COD:CD51FL:nordkivu",4151,4151,4151,0,0
"CD51FL","COD","COD:CD51FL:sudkivu",4150,4150,4150,0,0
"CD51FL","COD","COD:CD51FL:bandundu",4281,4281,4281,0,0
"CD51FL","COD","COD:CD51FL:orientale",3378,3378,3378,0,0
"CD51FL","COD","COD:CD51FL:kasaioccident",4246,4246,4246,0,0
"CD51FL","COD","COD:CD51FL:maniema",4296,4296,4296,0,0
"CD51FL","COD","COD:CD51FL:bascongo",3347,3347,3347,0,0
"CD51FL","COD","COD:CD51FL:equateur",4958,4958,4958,0,0
"CD51FL","COD","COD:CD51FL:katanga",4673,4673,4673,0,0
"CD51FL","COD","COD:CD51FL:kasaioriental",5074,5074,5074,0,0
"CD61FL","COD","COD:CD61FL:equateur",16090,16090,16090,0,0
"CD61FL","COD","COD:CD61FL:kinshasa",5651,5651,5651,0,0
"CD61FL","COD","COD:CD61FL:bandundu",13240,13240,13240,0,0
"CD61FL","COD","COD:CD61FL:sudkivu",5985,5985,5985,0,0
"CD61FL","COD","COD:CD61FL:orientale",11171,11171,11171,0,0
"CD61FL","COD","COD:CD61FL:kasaioccidental",9108,9108,9108,0,0
"CD61FL","COD","COD:CD61FL:katanga",13210,13210,13210,0,0
"CD61FL","COD","COD:CD61FL:nordkivu",5985,5985,5985,0,0
"CD61FL","COD","COD:CD61FL:bascongo",4874,4874,4874,0,0
"CD61FL","COD","COD:CD61FL:kasaioriental",11872,11872,11872,0,0
"CD61FL","COD","COD:CD61FL:maniema",4939,4939,4939,0,0
"CD81FL","COD","COD:CD81FL:maindombe",3333,3333,3333,0,0
"CD81FL","COD","COD:CD81FL:kasai",5904,5904,5904,0,0
"CD81FL","COD","COD:CD81FL:kwilu",5379,5379,5379,0,0
"CD81FL","COD","COD:CD81FL:kongocentral",3265,3265,3265,0,0
"CD81FL","COD","COD:CD81FL:sudkivu",7252,7252,7252,0,0
"CD81FL","COD","COD:CD81FL:lualaba",6047,6047,6047,0,0
"CD81FL","COD","COD:CD81FL:tanganyika",5270,5270,5270,0,0
"CD81FL","COD","COD:CD81FL:tshopo",4976,4976,4976,0,0
"CD81FL","COD","COD:CD81FL:maniema",5999,5999,5999,0,0
"CD81FL","COD","COD:CD81FL:ituri",5884,5884,5884,0,0
"CD81FL","COD","COD:CD81FL:hautlomami",6704,6704,6704,0,0
"CD81FL","COD","COD:CD81FL:kinshasa",3865,3865,3865,0,0
"CD81FL","COD","COD:CD81FL:sudubangi",6950,6950,6950,0,0
"CD81FL","COD","COD:CD81FL:tshuapa",4675,4675,4675,0,0
"CD81FL","COD","COD:CD81FL:sankuru",4310,4310,4310,0,0
"CD81FL","COD","COD:CD81FL:hautuele",3381,3381,3381,0,0
"CD81FL","COD","COD:CD81FL:nordubangi",4880,4880,4880,0,0
"CD81FL","COD","COD:CD81FL:kwango",4973,4973,4973,0,0
"CD81FL","COD","COD:CD81FL:kasaioriental",4821,4821,4821,0,0
"CD81FL","COD","COD:CD81FL:equateur",4900,4900,4900,0,0
"CD81FL","COD","COD:CD81FL:nordkivu",6632,6632,6632,0,0
"CD81FL","COD","COD:CD81FL:kasaicentral",7000,7000,7000,0,0
"CD81FL","COD","COD:CD81FL:mongala",5731,5731,5731,0,0
"CD81FL","COD","COD:CD81FL:basuele",3855,3855,3855,0,0
"CD81FL","COD","COD:CD81FL:hautkatanga",5992,5992,5992,0,0
"CD81FL","COD","COD:CD81FL:lomami",5643,5643,5643,0,0
"CG51FL","COG","COG:CG51FL:brazzaville",6286,4897,4897,0,0
"CG51FL","COG","COG:CG51FL:pointenoire",5096,3980,3980,0,0
"CG51FL","COG","COG:CG51FL:south",8210,6516,6516,0,0
"CG51FL","COG","COG:CG51FL:north",6202,4881,4881,0,0
"CG61FL","COG","COG:CG61FL:kouilou",4847,4847,4847,0,0
"CG61FL","COG","COG:CG61FL:niari",4330,4330,4330,0,0
"CG61FL","COG","COG:CG61FL:lekoumou",3668,3668,3668,0,0
"CG61FL","COG","COG:CG61FL:bouenza",4575,4575,4575,0,0
"CG61FL","COG","COG:CG61FL:pool",5263,5263,5263,0,0
"CG61FL","COG","COG:CG61FL:plateaux",4055,4055,4055,0,0
"CG61FL","COG","COG:CG61FL:cuvette",4002,4002,4002,0,0
"CG61FL","COG","COG:CG61FL:cuvetteouest",3354,3354,3354,0,0
"CG61FL","COG","COG:CG61FL:sangha",3314,3314,3314,0,0
"CG61FL","COG","COG:CG61FL:likouala",5142,5142,5142,0,0
"CG61FL","COG","COG:CG61FL:brazzaville",3945,3945,3945,0,0
"CG61FL","COG","COG:CG61FL:pointenoire",4534,4534,4534,0,0
"KM61FL","COM","COM:KM61FL:mwali",3518,3518,3518,0,0
"KM61FL","COM","COM:KM61FL:ndzuwani",7391,7391,7391,0,0
"KM61FL","COM","COM:KM61FL:ngazidja",7089,7089,7089,0,0
"ET41FL","ETH","ETH:ET41FL:tigray",56,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:affar",25,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:amhara",60,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:oromiya",98,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:somali",20,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:benishangulgumuz",42,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:snnp",61,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:gambela",27,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:harari",26,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:addisababa",26,0,0,0,0
"ET41FL","ETH","ETH:ET41FL:diredawa",27,0,0,0,0
"ET51FL","ETH","ETH:ET51FL:amhara",8272,6285,6285,0,0
"ET51FL","ETH","ETH:ET51FL:addisababa",2357,1804,1804,0,0
"ET51FL","ETH","ETH:ET51FL:harari",2732,2110,2110,0,0
"ET51FL","ETH","ETH:ET51FL:somali",4057,3047,3047,0,0
"ET51FL","ETH","ETH:ET51FL:benishangulgumuz",3950,3045,3045,0,0
"ET51FL","ETH","ETH:ET51FL:oromiya",11052,8518,8518,0,0
"ET51FL","ETH","ETH:ET51FL:snnp",9977,7595,7595,0,0
"ET51FL","ETH","ETH:ET51FL:gambela",3085,2313,2313,0,0
"ET51FL","ETH","ETH:ET51FL:affar",3618,2699,2699,0,0
"ET51FL","ETH","ETH:ET51FL:diredawa",2287,1766,1766,0,0
"ET51FL","ETH","ETH:ET51FL:tigray",5720,4392,4392,0,0
"ET61FL","ETH","ETH:ET61FL:amhara",7685,7685,7685,0,0
"ET61FL","ETH","ETH:ET61FL:addisababa",2350,2350,2350,0,0
"ET61FL","ETH","ETH:ET61FL:harari",3853,3853,3853,0,0
"ET61FL","ETH","ETH:ET61FL:somali",6124,6124,6124,0,0
"ET61FL","ETH","ETH:ET61FL:benishangulgumuz",5829,5829,5829,0,0
"ET61FL","ETH","ETH:ET61FL:oromiya",10024,10024,10024,0,0
"ET61FL","ETH","ETH:ET61FL:snnp",9783,9783,9783,0,0
"ET61FL","ETH","ETH:ET61FL:tigray",7116,7116,7116,0,0
"ET61FL","ETH","ETH:ET61FL:affar",6607,6607,6607,0,0
"ET61FL","ETH","ETH:ET61FL:gambela",4890,4890,4890,0,0
"ET61FL","ETH","ETH:ET61FL:diredawa",4051,4051,4051,0,0
"ET71FL","ETH","ETH:ET71FL:oromiya",9333,9333,9333,0,0
"ET71FL","ETH","ETH:ET71FL:somali",8727,8727,8727,0,0
"ET71FL","ETH","ETH:ET71FL:amhara",5952,5952,5952,0,0
"ET71FL","ETH","ETH:ET71FL:affar",6047,6047,6047,0,0
"ET71FL","ETH","ETH:ET71FL:diredawa",3235,3235,3235,0,0
"ET71FL","ETH","ETH:ET71FL:benishangulgumuz",5286,5286,5286,0,0
"ET71FL","ETH","ETH:ET71FL:addisababa",2519,2519,2519,0,0
"ET71FL","ETH","ETH:ET71FL:snnp",7858,7858,7858,0,0
"ET71FL","ETH","ETH:ET71FL:gambela",4329,4329,4329,0,0
"ET71FL","ETH","ETH:ET71FL:harari",3461,3461,3461,0,0
"ET71FL","ETH","ETH:ET71FL:tigray",5958,5958,5958,0,0
"ET81FL","ETH","ETH:ET81FL:tigray",2605,2605,2605,0,0
"ET81FL","ETH","ETH:ET81FL:afar",3726,3726,3726,0,0
"ET81FL","ETH","ETH:ET81FL:amhara",2872,2872,2872,0,0
"ET81FL","ETH","ETH:ET81FL:oromia",4272,4272,4272,0,0
"ET81FL","ETH","ETH:ET81FL:somali",3840,3840,3840,0,0
"ET81FL","ETH","ETH:ET81FL:benishangulgumuz",2955,2955,2955,0,0
"ET81FL","ETH","ETH:ET81FL:snnpr",4254,4254,4254,0,0
"ET81FL","ETH","ETH:ET81FL:gambela",2700,2700,2700,0,0
"ET81FL","ETH","ETH:ET81FL:harari",2659,2659,2659,0,0
"ET81FL","ETH","ETH:ET81FL:addisababa",1550,1550,1550,0,0
"ET81FL","ETH","ETH:ET81FL:diredawa",2364,2364,2364,0,0
"ET8AFL","ETH","ETH:ET8AFL:sidama",5346,5111,5111,0,0
"ET8AFL","ETH","ETH:ET8AFL:afar",8325,7931,7931,0,0
"ET8AFL","ETH","ETH:ET8AFL:southwestethiopia",5102,4820,4820,0,0
"ET8AFL","ETH","ETH:ET8AFL:harari",3627,3431,3431,0,0
"ET8AFL","ETH","ETH:ET8AFL:benishangulgumuz",4783,4489,4489,0,0
"ET8AFL","ETH","ETH:ET8AFL:oromia",8467,7999,7999,0,0
"ET8AFL","ETH","ETH:ET8AFL:amhara",5647,5216,5216,0,0
"ET8AFL","ETH","ETH:ET8AFL:gambella",4625,4348,4348,0,0
"ET8AFL","ETH","ETH:ET8AFL:centralethiopia",5931,5680,5680,0,0
"ET8AFL","ETH","ETH:ET8AFL:somali",9524,9020,9020,0,0
"ET8AFL","ETH","ETH:ET8AFL:southethiopia",6962,6580,6580,0,0
"ET8AFL","ETH","ETH:ET8AFL:tigray",6163,5728,5728,0,0
"ET8AFL","ETH","ETH:ET8AFL:diredawa",3419,3228,3228,0,0
"ET8AFL","ETH","ETH:ET8AFL:addisababa",3253,3093,3093,0,0
"GA41FL","GAB","GAB:GA41FL:librevilleportgentil",224,0,0,0,0
"GA41FL","GAB","GAB:GA41FL:north",346,0,0,0,0
"GA41FL","GAB","GAB:GA41FL:east",374,0,0,0,0
"GA41FL","GAB","GAB:GA41FL:west",230,0,0,0,0
"GA41FL","GAB","GAB:GA41FL:south",334,0,0,0,0
"GA61FL","GAB","GAB:GA61FL:ogoouelolo",3074,3074,3074,0,0
"GA61FL","GAB","GAB:GA61FL:ngounie",3758,3758,3758,0,0
"GA61FL","GAB","GAB:GA61FL:libervilleportgentil",4583,4583,4583,0,0
"GA61FL","GAB","GAB:GA61FL:moyenogooue",2519,2519,2519,0,0
"GA61FL","GAB","GAB:GA61FL:ogooueivindo",5058,5058,5058,0,0
"GA61FL","GAB","GAB:GA61FL:ogoouemaritime",2289,2289,2289,0,0
"GA61FL","GAB","GAB:GA61FL:estuaire",3057,3057,3057,0,0
"GA61FL","GAB","GAB:GA61FL:woleuntem",2501,2501,2501,0,0
"GA61FL","GAB","GAB:GA61FL:nyanga",3052,3052,3052,0,0
"GA61FL","GAB","GAB:GA61FL:hautogooue",3615,3615,3615,0,0
"GA71FL","GAB","GAB:GA71FL:ngounie",2774,2774,2774,0,0
"GA71FL","GAB","GAB:GA71FL:nyanga",2567,2567,2567,0,0
"GA71FL","GAB","GAB:GA71FL:hautogooue",3447,3447,3447,0,0
"GA71FL","GAB","GAB:GA71FL:portgentil",3446,3446,3446,0,0
"GA71FL","GAB","GAB:GA71FL:ogooueivindo",3951,3951,3951,0,0
"GA71FL","GAB","GAB:GA71FL:liberville",3507,3507,3507,0,0
"GA71FL","GAB","GAB:GA71FL:ogoouelolo",3831,3831,3831,0,0
"GA71FL","GAB","GAB:GA71FL:estuaire",2903,2903,2903,0,0
"GA71FL","GAB","GAB:GA71FL:woleuntem",3809,3809,3809,0,0
"GA71FL","GAB","GAB:GA71FL:ogoouemaritime",3342,3342,3342,0,0
"GA71FL","GAB","GAB:GA71FL:moyenogooue",2858,2858,2858,0,0
"GH4BFL","GHA","GHA:GH4BFL:western",1385,0,942,942,0
"GH4BFL","GHA","GHA:GH4BFL:eastern",1356,0,939,939,0
"GH4BFL","GHA","GHA:GH4BFL:ashanti",2322,0,1550,1550,0
"GH4BFL","GHA","GHA:GH4BFL:central",1008,0,683,683,0
"GH4BFL","GHA","GHA:GH4BFL:northern",2460,0,1684,1684,0
