"iso3","year","allcause_u5","allcause_1mo5y","pfpr_pct","mal_u5","mal_u5_lo","mal_u5_hi","mal_1mo5y","mal_pn_lo","mal_pn_hi"
"GAB",2013,2888.2765994533,1538.7858415692,18.0623737331644,328.871772016931,175.671052053175,473.419833955455,366.970447748441,217.553455747504,499.489752368738
"GAB",2014,2843.7253990928,1502.5797960272,17.5570326994769,315.266874111987,168.257948922135,454.197828787869,350.753591353213,206.928768618019,478.612772375919
"GAB",2015,2816.919952086,1465.5597048015,16.5003041219266,294.528326441039,156.904706238787,425.031586775683,326.19681659146,190.466012288663,447.479385640387
"GAB",2016,2778.6504400746,1425.1157994762,16.5969647299823,292.134508460488,155.655511973704,421.511904965385,318.631812207726,186.226667065837,436.885919860965
"GAB",2017,2747.98464084,1400.54289666,16.7777486913647,291.88303680293,155.569686600827,421.028664158417,315.774955815247,184.883528281792,432.573012559124
"GAB",2018,2695.5464351634,1364.6626062732,16.9557925538629,289.180754433183,154.176580542778,417.012942008692,310.196484644845,181.934211524861,424.549011220126
"GAB",2019,2631.947205426,1326.2279424744,17.7262895685821,294.436502634474,157.186325621803,424.074666213575,311.844062161312,184.27494989192,425.16214989661
"GAB",2020,2524.8525852432,1248.7042677018,18.151876676041,288.829574284162,154.305711596869,415.719149618412,298.894644529012,177.347921786239,406.651477282176
"GAB",2021,2462.2374082488,1224.2409460008,17.7250160851286,275.43239065462,147.040572449605,396.703978026847,287.847561915077,170.092857866014,392.448251697286
"GAB",2022,2387.01786147,1183.19040972,17.6380595851648,265.78421236946,141.868824772366,382.860081310071,277.161125141335,163.641112508727,378.041168005585
"GAB",2023,2323.5530296212,1161.7765148106,18.0990372306038,265.074595141674,141.601914417233,381.559880990431,277.48144122447,164.559149126036,377.616463520568
"GAB",2024,2245.2973194704,1122.6486597352,18.3714864787975,259.768560606735,138.832246002326,373.761382502738,271.142093220079,161.218953852982,368.49715182582
"GHA",2000,70422.7216976874,45609.1100484522,49.9940947380094,20004.6240229924,11240.8216706245,27470.6601795098,19229.1799104284,12458.4534779033,24617.0453197641
"GHA",2001,68818.025587324,44106.751263692,46.9975855819889,18553.7630979259,10379.6868233751,25584.488280806,18137.1012198897,11829.0609519026,23212.3588215623
"GHA",2002,67100.8983608556,42494.8017910968,43.8377709718299,17046.3462482127,9491.51949145801,23610.435506539,16976.1512346001,11123.9488570311,21736.6274857549
"GHA",2003,65327.808701799,40811.3634860445,39.3048028168731,15098.8796909094,8349.44873449718,21048.7949408189,15544.4978262344,10213.1003177541,19946.9579368114
"GHA",2004,63723.56432306,39358.67208189,35.7154899284304,13539.7409825855,7445.70764320104,18973.8800746827,14333.9541456911,9397.46128003088,18457.0951293021
"GHA",2005,63330.897272148,38539.1679741486,33.3535897257309,12663.3648410915,6937.90041674104,17807.5276446378,13565.5144690101,8856.47956642124,17527.4776106981
"GHA",2006,61741.4940568314,37076.118428565,31.3728716875306,11687.6893205379,6383.14321639953,16483.9361573134,12639.1152857748,8205.89466376716,16391.5815392482
"GHA",2007,59852.6185635354,35424.5813282867,31.0244297809941,11217.0595204495,6122.6798603285,15828.41541875,12003.8218459635,7784.18800015475,15579.2775375895
"GHA",2008,58124.1111437014,33793.087874245,32.5500068102537,11371.9843797332,6222.42974286059,16010.6088247825,11746.2516287554,7653.29856240692,15198.3307509141
"GHA",2009,56548.463469512,32324.981266956,36.2303370558711,12168.0444027013,6696.77900128453,17038.8318732148,11853.9165823058,7776.17041766623,15254.3170064381
"GHA",2010,55349.21593656,31211.963874,40.6408892684571,13170.4585306204,7297.97803829024,18325.2404127566,12067.2985208069,7926.55256626948,15471.7105769703
"GHA",2011,53989.706316024,30022.711885056,42.7938061588239,13433.9793705348,7468.37070343875,18634.5919770968,11871.2947903494,7787.13843239576,15205.2853505389
"GHA",2012,52423.1111638476,28863.1391482544,41.8053805271706,12783.5126292976,7096.12854917791,17757.2707687183,11298.2711664285,7416.95998484496,14477.1442566017
"GHA",2013,50735.4557553525,27705.9706211838,38.3521282531978,11477.323634372,6337.47950925762,16022.1353374976,10435.3520476533,6855.2758470854,13400.7248994605
"GHA",2014,48566.0828450376,26273.4546538728,33.2932375206322,9695.39832505258,5311.32519625896,13635.1218361987,9239.52650356428,6031.34400632176,11939.2413127111
"GHA",2015,46874.59663698,25178.3547650064,26.9834320717789,7742.38707512859,4198.35534621856,10992.1046571255,7880.28750166657,5015.45354109018,10338.0726404007
"GHA",2016,44553.3064670872,23826.7185678856,22.2850416689271,6172.3065234192,3320.81445582696,8826.59681637039,6601.03821594595,4064.65402009553,8811.88582894526
"GHA",2017,41838.6434241528,22221.3541837824,20.3037721586031,5315.55346918016,2850.2678600448,7624.95216680669,5771.69151259791,3493.85919763784,7772.46771959163
"GHA",2018,40095.003073378,21134.676240414,19.611040166238,4931.49866209727,2641.21195744761,7081.72987652538,5354.68168682395,3221.06634060473,7234.16720188785
"GHA",2019,38448.2866632795,20139.5787283845,20.3073622999101,4885.61779653232,2619.74696486806,7008.18671573384,5231.63362733306,3167.04079070478,7045.08053220609
"GHA",2020,36911.605756714,19068.080698966,20.9780356387582,4834.53975225093,2595.31636675251,6927.64668971794,5067.90462207119,3086.21548747895,6803.87104907688
"GHA",2021,35428.116461283,18109.657545966,19.5069359497991,4335.86339594854,2321.78633354173,6227.41032264877,4570.68803282385,2746.81424695207,6178.03151931101
"GHA",2022,34031.1050784512,17103.7160238848,18.5570171957538,3974.53570719623,2124.84848368928,5716.98863688104,4161.82446821429,2478.953591298,5651.04497047301
"GHA",2023,33069.312645048,16445.76032079,16.5967311201254,3476.70897311266,1852.46412756213,5016.43840253936,3676.95404750172,2149.01744773184,5041.59126070626
"GHA",2024,32035.672694592,15883.982561664,16.0953150268076,3271.71597206202,1741.73850616072,4724.41867283199,3467.43878206172,2016.60092826023,4766.48236795946
"GIN",2000,58426.3716245792,42171.3581550976,41.0734691515421,14031.056487842,7779.97890189532,19510.5839211033,16380.7571763907,10757.9377695959,20997.1216547648
"GIN",2001,56103.79669752,40542.932330472,40.9417872397336,13435.8046015656,7448.42718627027,18686.3898279087,15725.9996729763,10328.5607951371,20159.2476916176
"GIN",2002,53722.931859792,38735.394877296,41.8198046993437,13104.3865647596,7274.40530063025,18202.6138636077,15164.9647892838,9955.22544036331,19431.6429368847
"GIN",2003,52494.7945910076,37736.2172145024,42.7640254947941,13054.174454049,7256.89758781305,18108.5239553632,14916.8550601431,9785.18210079465,19106.3773380873
"GIN",2004,51644.4008723904,36946.1709630872,43.5044245298676,13033.9762958956,7253.76403010387,18061.5327597316,14711.9088692832,9643.79476789839,18839.2335492694
"GIN",2005,51187.830858108,36504.0224440668,43.0078399444599,12791.6993797558,7113.60402821382,17738.2834216552,14464.9374880472,9486.61516501808,18525.9362742767
"GIN",2006,50650.5767010507,36075.6924963156,40.3329375693804,11972.981187475,6631.31511997368,16666.4399240323,13900.7674770936,9131.80523437981,17825.6394245607
"GIN",2007,50387.3257820599,35818.9008257974,37.4184296651716,11154.7592327737,6150.47370474228,15592.9310204456,13337.5785052813,8758.09924791397,17142.0733181898
"GIN",2008,50347.15744824,35707.203864,36.5965229760264,10930.1421793404,6018.92878788195,15297.2270836847,13157.2636722472,8634.26815844704,16924.6129063959
"GIN",2009,50383.3715786688,35600.4691460208,38.4907382910474,11433.7477297203,6314.76609222961,15958.1108780299,13431.0685586163,8823.60491112327,17245.7309145553
"GIN",2010,50352.371744142,35518.612474182,42.067661633052,12345.1525697154,6855.52172643141,17141.9463730158,13941.2750327467,9150.34558258676,17861.7237347755
"GIN",2011,50210.087827095,35351.574721155,44.2041403911139,12846.8707130055,7157.15969120994,17784.6480873493,14172.199512706,9282.62048135655,18144.6711003388
"GIN",2012,50043.55786848,35208.00988551,44.103742447826,12779.2965176394,7118.44152933725,17693.6073539026,14101.1247508046,9237.17630297925,18054.1254230415
"GIN",2013,50083.5354248922,35221.697297094,41.458860839243,12125.3072369539,6727.2166290918,16851.304141192,13737.3789764792,9020.09193131171,17605.3730059274
"GIN",2014,50371.9691945616,35487.3578467752,38.8962180933803,11536.4215979087,6375.45749531548,16091.9789687392,13452.6744720436,8838.47217887898,17267.9338145268
"GIN",2015,50529.068246853,35552.5546152,37.0960141294297,11101.3511811518,6117.96239606341,15525.5465393482,13184.6788841857,8655.81697546206,16950.9700831645
"GIN",2016,50319.418368388,35322.966933644,34.989126690622,10498.9996153388,5766.98125125491,14728.4183143152,12735.6916946467,8341.0684271514,16414.5489306627
"GIN",2017,50032.6684055055,35000.0219165454,34.1749450633024,10223.2910217758,5608.34011248487,14358.820285163,12472.4203427367,8157.02335338123,16094.0530228459
"GIN",2018,49616.811474445,34570.2249249854,33.1499499333377,9867.12989558872,5404.17445355423,13879.5758264083,12130.3659621208,7915.70889577078,15678.5916914071
"GIN",2019,49391.5790991168,34302.3111010944,29.4234617249449,8824.95503709105,4804.53231205569,12482.8504480782,11288.9761848615,7274.53550410923,14707.1488012415
"GIN",2020,48869.0290450026,33766.6468911534,26.3259031267735,7892.13250958866,4274.91329413048,11215.9385373209,10411.9988572686,6600.86183167255,13688.4618858718
"GIN",2021,48107.3780907837,33094.806463251,22.9836994192169,6857.81208055458,3693.97968638304,9796.26424520308,9360.1794583949,5796.11282946413,12458.9271619691
"GIN",2022,47163.2153232272,32279.7416351596,21.43512911537,6302.32956007216,3385.89500185645,9024.46724782973,8708.56603217694,5324.30166982815,11667.9312059168
"GIN",2023,46321.64668208,31547.4793719008,21.4731510792431,6200.07944727443,3331.17499582551,8877.52957246062,8521.4558116955,5211.59654212473,11415.3345056252
"GIN",2024,45285.8656525125,30633.1099907875,21.4175935803199,6046.86074939352,3248.54946434727,8658.89077381381,8259.65425286931,5049.08543197758,11067.3210609766
"GMB",2000,6738.499824336,4337.013184812,7.6661761343056,337.092633924731,176.894334955353,493.378868587439,499.45358599193,268.857493004366,716.976153534959
"GMB",2001,6547.9802902647,4155.3325431282,11.1704410544337,471.759466091239,249.035068487945,686.60772882538,670.248727931447,371.678377459311,945.256926798546
