"svkey","regkey","u5mr","m1mo5y","exposure","pfpr2_10","pct_urban","iso3","year","pfpr10","log_gdp","dtp3","year_c","dtp3_reg","facility","educ_yrs","wealth_q"
"SN7IFL","west",24.55,15.94,1918,2.94281268507951,76.4430158858444,"SEN",2016,0.294281268507951,7.14396475532741,93,2,96.7894143566296,92.4712641178526,4.09118107298381,4.01233057985268
"SN7ZFL","dakar",35.92,11.92,2070,3.62409235747731,93.5440065138046,"SEN",2017,0.362409235747731,7.21138703030537,93,3,98.563592301535,95.6871104229726,5.19324936987997,4.49004022900608
"SN7ZFL","diourbel",61.02,33.93,1492,1.98506490225831,13.1353361717815,"SEN",2017,0.198506490225832,7.21138703030537,93,3,89.3676524429305,78.1875829798359,1.30830506070016,3.02261291943771
"SN7ZFL","fatick",43.67,16.88,577,2.20352666455857,15.3696007864622,"SEN",2017,0.220352666455857,7.21138703030537,93,3,93.6000301312668,81.2032721733948,2.55973908826333,2.49272099145281
"SN7ZFL","kaffrine",49.2,23.76,621,1.79798629062198,14.1175838931897,"SEN",2017,0.179798629062198,7.21138703030537,93,3,94.0457378002624,65.7505235364674,0.78252994193194,1.58113862176971
"SN7ZFL","kaolack",48.46,20.22,764,2.18001797687808,31.3690288232302,"SEN",2017,0.218001797687808,7.21138703030537,93,3,91.7604527902074,78.0676063610393,2.02726005093712,2.59868480572983
"SN7ZFL","kedougou",61.1,35.61,136,4.68571662023675,26.4301276518466,"SEN",2017,0.468571662023675,7.21138703030537,93,3,60.0659294052916,48.240441252743,2.00214495486691,1.93126056895287
"SN7ZFL","kolda",86.83,61.98,618,3.43871509352211,19.3804681343854,"SEN",2017,0.343871509352211,7.21138703030537,93,3,88.4717366498119,64.1268876364025,1.75918800436491,1.63288619562424
"SN7ZFL","louga",72.83,35.06,738,2.25898815475967,19.2774668425191,"SEN",2017,0.225898815475967,7.21138703030537,93,3,87.2803383951803,72.0021683126023,1.38815528657928,2.47092313347271
"SN7ZFL","matam",74.29,30.99,478,2.85919990010763,20.5761911207308,"SEN",2017,0.285919990010763,7.21138703030537,93,3,89.7776923419213,68.8388459015747,1.36766416540524,2.35675649487983
"SN7ZFL","saintlouis",58.93,21.62,696,2.58768738801668,40.4287295387608,"SEN",2017,0.258768738801668,7.21138703030537,93,3,96.3770457028958,76.4016425786757,2.65893390656442,2.81462781018932
"SN7ZFL","sedhiou",61.24,31.37,391,2.02617751896147,14.4746060821884,"SEN",2017,0.202617751896147,7.21138703030537,93,3,90.6228585759872,59.3826832135072,1.90409474498136,1.78950630664751
"SN7ZFL","tambacounda",67.15,44.76,696,3.13704391181796,17.9899788904376,"SEN",2017,0.313704391181796,7.21138703030537,93,3,76.0980614988079,52.1105706400656,1.42237360662125,1.88464133070134
"SN7ZFL","thies",53.78,26.03,1395,2.22865903484842,43.4503560545143,"SEN",2017,0.222865903484842,7.21138703030537,93,3,98.8317605659204,88.425401319376,2.98223309174238,3.19758112851533
"SN7ZFL","ziguinchor",53.46,26.74,379,3.48043246121732,38.3113238885217,"SEN",2017,0.348043246121732,7.21138703030537,93,3,96.7296414345582,87.9035078193663,4.80702116624611,2.67234379918215
"SN8SFL","dakar",26.96,7.32,1801,4.28637951137837,94.3507911011412,"SEN",2023,0.428637951137837,7.43722631544053,92,9,85.2819874892915,98.0372705196346,5.31631823367073,4.42334032934234
"SN8SFL","diourbel",53.16,25.16,1079,8.6062250634256,14.4405156609645,"SEN",2023,0.86062250634256,7.43722631544053,92,9,77.1448927161125,87.0034289672116,1.61986922432395,3.21496662248762
"SN8SFL","fatick",39.42,15.15,621,4.91607122105745,14.2043011202599,"SEN",2023,0.491607122105745,7.43722631544053,92,9,93.4334846163147,87.5420599416119,3.16115966612367,2.33903265271234
"SN8SFL","kaffrine",41.96,16.86,537,4.70913032832047,13.3451746835524,"SEN",2023,0.470913032832047,7.43722631544053,92,9,90.7375110113346,83.3619006003128,1.09697583943988,1.72984563907141
"SN8SFL","kaolack",19.55,13.95,743,4.73458138939439,29.6716979397775,"SEN",2023,0.473458138939439,7.43722631544053,92,9,86.1786770400435,91.3261553839565,2.52309139317024,2.56290216672988
"SN8SFL","kedougou",44.99,22.12,122,8.1143447620188,27.1426811765073,"SEN",2023,0.81143447620188,7.43722631544053,92,9,76.596298383877,80.0236527257117,3.17846140814541,1.80351666969735
"SN8SFL","kolda",64.56,33.5,479,6.6463543761933,17.4764215821019,"SEN",2023,0.66463543761933,7.43722631544053,92,9,86.6553316287203,83.8294538320137,2.94449858132588,1.66915898328376
"SN8SFL","louga",55.68,22.12,559,9.04643109196248,18.6276828693716,"SEN",2023,0.904643109196248,7.43722631544053,92,9,83.7675744556483,90.2966410308034,2.1961058504607,2.7890727563616
"SN8SFL","matam",41.37,20.9,448,4.88831002323235,21.0241277709201,"SEN",2023,0.488831002323235,7.43722631544053,92,9,72.4533320306195,75.8920615953033,1.92270336011809,2.04063603826718
"SN8SFL","saintlouis",30.05,10.35,736,7.26028090164775,38.6116327215012,"SEN",2023,0.726028090164775,7.43722631544053,92,9,88.9294337144578,82.0403721925462,2.95357136196165,2.53887551991407
"SN8SFL","sedhiou",74.11,31.37,350,6.03754163421499,18.1832675410191,"SEN",2023,0.603754163421499,7.43722631544053,92,9,78.1804123355952,77.4829506976919,2.56402192871229,1.84379741918602
"SN8SFL","tambacounda",55.81,26.46,537,5.39513787719049,23.825753298431,"SEN",2023,0.539513787719049,7.43722631544053,92,9,63.9622480337873,78.3617351425677,1.90268471963924,1.85153401389442
"SN8SFL","thies",35.96,11.94,1273,6.53871121539247,43.4715261820842,"SEN",2023,0.653871121539247,7.43722631544053,92,9,87.0596776929145,94.9581434202336,3.49723903521731,3.42108303592911
"SN8SFL","ziguinchor",15.8,4,290,5.15942628948336,44.9363317732626,"SEN",2023,0.515942628948336,7.43722631544053,92,9,94.2669312873043,93.8000804423028,5.84592973973692,2.67797357267538
"SZ51FL","hhohho",112.45,91.47,735,2.23067133738375,25.5058554280566,"SWZ",2006,0.223067133738375,7.99461836597433,87,-8,93.0937436361032,78.0313713955731,8.13000582507606,3.37006955943537
"SZ51FL","lubombo",133.51,117.16,551,1.4929918551595,17.3582523908732,"SWZ",2006,0.14929918551595,7.99461836597433,87,-8,86.376481131127,69.1464368247681,6.33820369210309,2.79353172368126
"TD41FL","zone1",166.15,137.51,412,19.1454874155435,100,"TCD",2004,1.91454874155435,6.09998429324126,22,-10,46.335250714884,53.0365013142762,3.57998531533,4.9861116156568
"TD41FL","zone2",152.99,112.58,768,13.5501514016306,9.63843577022075,"TCD",2004,1.35501514016306,6.09998429324126,22,-10,20.8874516420745,2.6086053336942,0.168996115416117,3.07573968879419
"TD41FL","zone3",148.91,117.23,765,17.8609502883165,12.5830111782681,"TCD",2004,1.78609502883165,6.09998429324126,22,-10,13.2100962856347,4.9444275822065,0.241337744712212,1.99334857260273
"TD41FL","zone4",116.03,96.37,444,14.1724318069768,16.0024009631972,"TCD",2004,1.41724318069768,6.09998429324126,22,-10,4.17089487510242,6.80603976999197,0.200714536682305,1.76108401184752
"TD41FL","zone5",246.22,194.94,760,16.7596916266225,9.94489228041205,"TCD",2004,1.67596916266225,6.09998429324126,22,-10,1.9967731811111,2.32184705931553,0.17653071495664,2.90364610367542
"TD41FL","zone6",180.88,140.22,602,17.4965851614251,10.7655469325521,"TCD",2004,1.74965851614251,6.09998429324126,22,-10,44.7271724626764,9.78236835456117,1.21534055499971,3.39976979454226
"TD41FL","zone7",234.3,189.04,1464,16.1860544185815,13.3477358329464,"TCD",2004,1.61860544185815,6.09998429324126,22,-10,15.4313296239355,16.968538329413,1.26732437588087,3.1540678114581
"TD41FL","zone8",196.97,160.97,794,22.4369674253727,13.4694970052709,"TCD",2004,2.24369674253727,6.09998429324126,22,-10,28.1696881371406,14.124074626261,1.27146893257937,2.80721602746539
"TD71FL","barhelgazal",67,45.54,250,9.42529858468283,24.5155757766258,"TCD",2014,0.942529858468283,7.15366945204991,36,0,20.4566408935393,6.46053954272961,0.287734616559777,3.19586407490055
