"svkey","regkey","region","iso3","year","pfpr2_10","exposure","map_pfpr"
"MD81FL","anosy","anosy","MDG",2021,25.1361375658853,481,23.8001153242546
"MD81FL","atsimoandrefana","atsimo andrefana","MDG",2021,3.22158617675159,1093,7.8105485588213
"MD81FL","atsimoatsinanana","atsimo atsinanana","MDG",2021,21.1244253193159,498,26.4558471009005
"MD81FL","atsinanana","atsinanana","MDG",2021,10.6638468106232,569,10.7793613097942
"MD81FL","betsiboka","betsiboka","MDG",2021,6.06938614500856,192,8.30408487682998
"MD81FL","boeny","boeny","MDG",2021,0.85159784514463,384,6.82988885723422
"MD81FL","bongolava","bongolava","MDG",2021,3.45358848089942,337,6.57557144927352
"MD81FL","diana","diana","MDG",2021,0.00659713801119401,333,7.66537403410322
"MD81FL","hautematsiatra","haute matsiatra","MDG",2021,4.50723183664705,584,8.11241113712081
"MD81FL","ihorombe","ihorombe","MDG",2021,16.1420134076005,224,17.2522373880862
"MD81FL","itasy","itasy","MDG",2021,0.00659713801119401,382,6.02182520251574
"MD81FL","melaky","melaky","MDG",2021,11.0588286532977,129,10.6330722792763
"MD81FL","menabe","menabe","MDG",2021,7.42227602206953,375,7.31005700621172
"MD81FL","sava","sava","MDG",2021,1.39575686482978,535,8.60869018271501
"MD81FL","sofia","sofia","MDG",2021,3.25189706949237,727,7.91349377967754
"MD81FL","vakinankaratra","vakinankaratra","MDG",2021,0.662764164838461,890,6.9861348903213
"MD81FL","vatovavyfitovinany","vatovavy fitovinany","MDG",2021,12.1087810589247,583,12.9175557889589
"ML6AFL","bamako","bamako","MLI",2012,10.1886897737082,957,10.4333478248808
"ML6AFL","kayes","kayes","MLI",2012,41.2078568694455,1337,28.5944699685134
"ML6AFL","koulikoro","koulikoro","MLI",2012,53.1103990674509,2111,35.1307763915664
"ML6AFL","mopti","mopti","MLI",2012,74.1329078327746,1277,65.3323147811116
"ML6AFL","segou","segou","MLI",2012,60.4583050478894,1956,51.654779759712
"ML6AFL","sikasso","sikasso","MLI",2012,66.20956907597,2404,58.0851998843594
"ML7AFL","bamako","bamako","MLI",2018,0.673665882286961,1242,4.93650966148588
"ML7AFL","gao","gao","MLI",2018,11.9082498081881,251,11.9911739741907
"ML7AFL","kayes","kayes","MLI",2018,9.75060908494877,1640,12.3466705885497
"ML7AFL","kidal","kidal","MLI",2018,1.22871295585271,5,6.92102980010419
"ML7AFL","koulikoro","koulikoro","MLI",2018,16.8531568671684,1890,14.501563472995
"ML7AFL","mopti","mopti","MLI",2018,19.3299585728564,1127,16.7176623758271
"ML7AFL","segou","segou","MLI",2018,20.1587760011043,1616,17.6677288383662
"ML7AFL","sikasso","sikasso","MLI",2018,23.022330321924,1739,22.2493643344429
"MR71FL","assaba","assaba","MRT",2020,0.0647142292035389,980,2.29518685438786
"MR71FL","brakna","brakna","MRT",2020,0.48598450862012,968,2.39009785213818
"MR71FL","gorgol","gorgol","MRT",2020,0.00659713801119401,1098,2.00088982316489
"MR71FL","guidimagha","guidimagha","MRT",2020,0.525479728611719,1099,1.36957294717427
"MR71FL","tagant","tagant","MRT",2020,2.23930678917183,261,2.63664162177217
"MR71FL","trarza","trarza","MRT",2020,0.829505851722683,579,3.20577013854516
"MW81FL","central","central","MWI",2024,13.9363709467758,4956,17.2592565226162
"MW81FL","northern","northern","MWI",2024,9.19029298580227,1468,12.6212709004839
"MW81FL","southern","southern","MWI",2024,10.8991062453844,5421,23.2342835630954
"MZ62FL","cabodelgado","cabo delgado","MOZ",2011,45.8744850087539,906,38.0837476804268
"MZ62FL","gaza","gaza","MOZ",2011,12.9993536415644,582,12.3371615686395
"MZ62FL","inhambane","inhambane","MOZ",2011,29.3771960296298,602,28.7022303427615
"MZ62FL","manica","manica","MOZ",2011,25.3260792535461,786,29.968105584608
"MZ62FL","nampula","nampula","MOZ",2011,44.0968251419102,1527,47.0013340160215
"MZ62FL","niassa","niassa","MOZ",2011,37.9120421591648,656,34.3728840859906
"MZ62FL","sofala","sofala","MOZ",2011,32.7614808339656,1035,30.5205672988257
"MZ62FL","tete","tete","MOZ",2011,31.3588530519466,1423,34.0075834537766
"MZ62FL","zambezia","zambezia","MOZ",2011,57.6445606231565,2297,56.222411732802
"MZ71FL","cabodelgado","cabo delgado","MOZ",2015,24.1410031579225,315,32.7518377212245
"MZ71FL","gaza","gaza","MOZ",2015,12.9419682680673,272,11.9912009188229
"MZ71FL","inhambane","inhambane","MOZ",2015,17.7143695594953,175,16.3972724405477
"MZ71FL","manica","manica","MOZ",2015,20.1236814008969,278,19.114235440838
"MZ71FL","nampula","nampula","MOZ",2015,51.3148628394246,716,58.7748189979797
"MZ71FL","niassa","niassa","MOZ",2015,28.0946821572126,231,28.3314423738994
"MZ71FL","sofala","sofala","MOZ",2015,24.3985807970691,317,24.4471533726806
"MZ71FL","tete","tete","MOZ",2015,23.5315970435116,296,24.915028908005
"MZ71FL","zambezia","zambézia","MOZ",2015,52.4078599470753,450,56.358047342568
"MZ81FL","cabodelgado","cabo delgado","MOZ",2022,29.8472325381379,605,24.7267088927642
"MZ81FL","gaza","gaza","MOZ",2022,4.5800472181964,363,9.0269660327946
"MZ81FL","inhambane","inhambane","MOZ",2022,12.110675553671,306,13.8167072008696
"MZ81FL","manica","manica","MOZ",2022,7.78223414152278,719,12.1162547293718
"MZ81FL","maputo","maputo","MOZ",2022,0.211158403022723,541,9.30056614990983
"MZ81FL","nampula","nampula","MOZ",2022,42.6466674905763,2571,41.6357122079665
"MZ81FL","niassa","niassa","MOZ",2022,26.4793407103299,732,25.3286416176744
"MZ81FL","sofala","sofala","MOZ",2022,25.7288042929889,644,21.5429837624628
"MZ81FL","tete","tete","MOZ",2022,15.0474651191531,959,17.8493532709414
"MZ81FL","zambezia","zambézia","MOZ",2022,27.0507052711921,1699,26.4507996628634
"RW61FL","east","east","RWA",2010,2.6429815286673,2322,5.87789657141916
"RW61FL","north","north","RWA",2010,0.262938730568063,1457,5.2230186501201
"RW61FL","south","south","RWA",2010,1.16506397888988,2132,5.24423251281783
"RW61FL","west","west","RWA",2010,0.360983595113122,2189,4.4057121121482
"RW81FL","east","east","RWA",2020,0.424345255552416,2137,2.27929604991951
"RW81FL","kigali","kigali","RWA",2020,0.451144751731114,1058,2.71245315469294
"RW81FL","north","north","RWA",2020,0.499756391924547,1162,2.62185540900904
"RW81FL","south","south","RWA",2020,0.866484080593124,1609,2.67428121291593
"RW81FL","west","west","RWA",2020,0.905958861520716,1862,2.94988938134311
"SN61FL","dakar","dakar","SEN",2011,1.90732861668585,2070,2.7376245328103
"SN61FL","diourbel","diourbel","SEN",2011,3.25928379062516,1302,2.80422811419994
"SN61FL","fatick","fatick","SEN",2011,2.50124749000485,613,2.53361807836148
"SN61FL","kaffrine","kaffrine","SEN",2011,5.4936460082569,499,2.97743578436223
"SN61FL","kaolack","kaolack","SEN",2011,5.12357457179613,932,2.26209160072351
