"regkey","u5mr","m1mo5y","exposure","pfpr2_10","pct_urban","svkey","iso3","year","pfpr10","log_gdp","dtp3","year_c"
"borgou",61.91,46.08,1039,39.6222836717817,48.4177883228574,"BJ61FL","BEN",2012,3.96222836717817,6.97683892720184,80,-2
"collines",83.31,56.75,854,30.7828220728235,22.0887940038576,"BJ61FL","BEN",2012,3.07828220728235,6.97683892720184,80,-2
"couffo",86,56.04,1001,33.4858323913592,19.8512961582937,"BJ61FL","BEN",2012,3.34858323913592,6.97683892720184,80,-2
"donga",73.4,49.88,555,51.8786421269879,30.8513479097824,"BJ61FL","BEN",2012,5.18786421269879,6.97683892720184,80,-2
"littoral",54.48,28.06,1349,17.44013058463,100,"BJ61FL","BEN",2012,1.744013058463,6.97683892720184,80,-2
"mono",56.89,46.32,710,23.9078318698499,23.2964004704221,"BJ61FL","BEN",2012,2.39078318698499,6.97683892720184,80,-2
"oueme",54.26,33.22,1582,18.4437444156701,40.3232848885695,"BJ61FL","BEN",2012,1.84437444156701,6.97683892720184,80,-2
"plateau",43.37,24.94,867,24.275987981264,27.7411345390119,"BJ61FL","BEN",2012,2.4275987981264,6.97683892720184,80,-2
"zou",91.24,65.19,1150,31.2510095264015,31.2603649148571,"BJ61FL","BEN",2012,3.12510095264015,6.97683892720184,80,-2
"alibori",90.9,62.98,1687,39.7891265116426,21.0620625567878,"BJ71FL","BEN",2017,3.97891265116426,6.9612714775213,76,3
"atacora",113.61,92.98,1126,50.7261000401382,33.1512815019504,"BJ71FL","BEN",2017,5.07261000401382,6.9612714775213,76,3
"atlantic",105.79,68.98,1511,33.2886210865307,36.4687661117681,"BJ71FL","BEN",2017,3.32886210865307,6.9612714775213,76,3
"borgou",79.27,52.51,1627,43.3308044176112,39.205798286917,"BJ71FL","BEN",2017,4.33308044176112,6.9612714775213,76,3
"collines",87.84,54.11,800,47.531725964916,22.7913954418732,"BJ71FL","BEN",2017,4.7531725964916,6.9612714775213,76,3
"couffo",89.74,70.61,853,55.7785260789463,26.3300548913295,"BJ71FL","BEN",2017,5.57785260789463,6.9612714775213,76,3
"donga",132.58,88.38,805,51.2162068466502,42.0862715963817,"BJ71FL","BEN",2017,5.12162068466502,6.9612714775213,76,3
"littoral",44.35,29.68,548,19.2965042659496,100,"BJ71FL","BEN",2017,1.92965042659496,6.9612714775213,76,3
"mono",106.21,70.42,574,49.1732100578486,39.6128340426338,"BJ71FL","BEN",2017,4.91732100578486,6.9612714775213,76,3
"oueme",77.61,58.56,1119,26.3059626181534,60.7665466391783,"BJ71FL","BEN",2017,2.63059626181534,6.9612714775213,76,3
"plateau",129.57,75.91,802,35.8413411207569,39.8006387377087,"BJ71FL","BEN",2017,3.58413411207569,6.9612714775213,76,3
"zou",96.66,64.68,1196,41.6876551641187,25.9057392880914,"BJ71FL","BEN",2017,4.16876551641187,6.9612714775213,76,3
"cascades",127.71,99.33,587,66.2628469278618,23.4159106612637,"BF62FL","BFA",2010,6.62628469278618,6.43768325095688,91,-4
"centre",79.08,60.58,1265,36.0325061227408,77.7704541725577,"BF62FL","BFA",2010,3.60325061227408,6.43768325095688,91,-4
"centreest",74.81,53.76,1121,69.4405443637524,14.4309020168162,"BF62FL","BFA",2010,6.94405443637524,6.43768325095688,91,-4
"centrenord",101.24,84.62,1169,69.320832714056,6.19449373640913,"BF62FL","BFA",2010,6.9320832714056,6.43768325095688,91,-4
"centreouest",119.81,87.53,1212,76.4856020978722,10.5804932834558,"BF62FL","BFA",2010,7.64856020978722,6.43768325095688,91,-4
"centresud",112.68,82.19,683,73.8797090591851,8.65969844913252,"BF62FL","BFA",2010,7.38797090591851,6.43768325095688,91,-4
"est",159.63,116.27,1687,75.5750602771903,4.99788475187764,"BF62FL","BFA",2010,7.55750602771903,6.43768325095688,91,-4
"nord",132.5,108.54,1151,64.3212842577497,8.73055604449096,"BF62FL","BFA",2010,6.43212842577497,6.43768325095688,91,-4
"plateaucentral",123.65,95.77,709,62.8038568181943,6.41693984568872,"BF62FL","BFA",2010,6.28038568181943,6.43768325095688,91,-4
"sahel",207.58,172.84,1412,75.1773424882967,4.07558296742974,"BF62FL","BFA",2010,7.51773424882967,6.43768325095688,91,-4
"sudouest",193.02,149.41,710,80.744019608043,7.15591675827944,"BF62FL","BFA",2010,8.0744019608043,6.43768325095688,91,-4
"boucledumouhoun",47.15,28.64,1282,18.244281302319,7.34581408275699,"BF81FL","BFA",2021,1.8244281302319,6.79742162713752,91,7
"cascades",76.4,37.73,388,21.6001038076989,20.2085750694819,"BF81FL","BFA",2021,2.16001038076989,6.79742162713752,91,7
"centre",27.15,14.73,1746,20.1443449594937,72.7834653619537,"BF81FL","BFA",2021,2.01443449594937,6.79742162713752,91,7
"centreest",54.04,35.8,1319,21.1633945751918,18.174046558603,"BF81FL","BFA",2021,2.11633945751918,6.79742162713752,91,7
"centrenord",53.44,32.12,1227,25.6305307975309,9.62512364465508,"BF81FL","BFA",2021,2.56305307975309,6.79742162713752,91,7
"centreouest",37.2,28.62,1264,31.1164040837524,10.8229417538028,"BF81FL","BFA",2021,3.11164040837524,6.79742162713752,91,7
"centresud",47.26,29.06,495,27.9012264532273,7.97635017079443,"BF81FL","BFA",2021,2.79012264532274,6.79742162713752,91,7
"est",48.02,34.61,972,34.2431980590806,9.12525740445631,"BF81FL","BFA",2021,3.42431980590806,6.79742162713752,91,7
"hautsbassins",50.7,30,1188,19.9922641211867,37.7970132107678,"BF81FL","BFA",2021,1.99922641211867,6.79742162713752,91,7
"nord",38.59,25.42,792,21.3821379512942,15.731338543788,"BF81FL","BFA",2021,2.13821379512942,6.79742162713752,91,7
"plateaucentral",37.92,14.31,776,25.4280278093875,8.05931852867085,"BF81FL","BFA",2021,2.54280278093875,6.79742162713752,91,7
"sahel",92.92,68.91,386,25.0606543640013,17.6998672299326,"BF81FL","BFA",2021,2.50606543640013,6.79742162713752,91,7
"sudouest",94.34,65.3,474,27.981303673041,9.42592204530959,"BF81FL","BFA",2021,2.7981303673041,6.79742162713752,91,7
"north",124.66,86.49,2180,17.4012802156784,2.70303129306493,"BU61FL","BDI",2010,1.74012802156784,5.3786417513252,96,-4
"south",80.78,52.8,1503,9.82463143430436,3.82028150458364,"BU61FL","BDI",2010,0.982463143430436,5.3786417513252,96,-4
"west",92.37,57.24,1438,11.5732641329051,4.43924783186743,"BU61FL","BDI",2010,1.15732641329051,5.3786417513252,96,-4
"bubanza",58.19,34.52,725,13.7442630402431,5.28447413192026,"BU71FL","BDI",2016,1.37442630402431,5.45077151708362,94,2
"bujumburamairie",77.05,37.36,621,6.07892076655891,100,"BU71FL","BDI",2016,0.607892076655891,5.45077151708362,94,2
"bujumburarural",40.62,22.42,747,7.6308426543042,4.37095436384376,"BU71FL","BDI",2016,0.76308426543042,5.45077151708362,94,2
"bururi",45.58,23.63,373,8.35534698349855,2.40636572649189,"BU71FL","BDI",2016,0.835534698349855,5.45077151708362,94,2
"cankuzo",94.48,52.55,417,33.9248387431639,1.0784608894884,"BU71FL","BDI",2016,3.39248387431639,5.45077151708362,94,2
"cibitoke",90.86,66.27,806,18.3066193005808,4.91745238342021,"BU71FL","BDI",2016,1.83066193005808,5.45077151708362,94,2
"gitega",107.78,82.35,1064,15.157244109509,6.62289776763314,"BU71FL","BDI",2016,1.5157244109509,5.45077151708362,94,2
"karusi",58.27,42.35,722,24.3532340105804,2.07245391124667,"BU71FL","BDI",2016,2.43532340105804,5.45077151708362,94,2
"kayanza",56.63,38.18,833,15.6099640829441,5.39836082438288,"BU71FL","BDI",2016,1.56099640829441,5.45077151708362,94,2
"kirundo",132.9,100.88,1052,38.8208648834389,2.56714878744745,"BU71FL","BDI",2016,3.88208648834389,5.45077151708362,94,2
"makamba",42.04,33.6,777,13.5866246126256,3.78859261180136,"BU71FL","BDI",2016,1.35866246126256,5.45077151708362,94,2
"muramvya",71.68,46.74,452,12.2190392548577,2.52158574172169,"BU71FL","BDI",2016,1.22190392548577,5.45077151708362,94,2
"muyinga",104.66,72.24,1130,35.2323892482486,1.30287791331308,"BU71FL","BDI",2016,3.52323892482486,5.45077151708362,94,2
"mwaro",43.43,23.11,375,12.2407435905905,1.13123915720104,"BU71FL","BDI",2016,1.22407435905905,5.45077151708362,94,2
"ngozi",105.92,85.3,1018,21.8809199566621,6.08553672298392,"BU71FL","BDI",2016,2.18809199566621,5.45077151708362,94,2
"rumonge",49.19,40.04,766,8.1029604142987,12.3314471406427,"BU71FL","BDI",2016,0.81029604142987,5.45077151708362,94,2
"rutana",68,48.41,553,21.2035466483529,3.11703904652404,"BU71FL","BDI",2016,2.12035466483529,5.45077151708362,94,2
"ruyigi",67.56,51.96,712,31.7660873074495,4.10054307494781,"BU71FL","BDI",2016,3.17660873074495,5.45077151708362,94,2
"centre",119.35,95.12,612,52.6028992484223,32.484175293548,"CM44FL","CMR",2004,5.26028992484223,7.03297130362323,73,-10
"douala",72.77,39.85,503,69.929653191678,100,"CM44FL","CMR",2004,6.9929653191678,7.03297130362323,73,-10
"littoral",119.07,79.46,270,69.7911776643352,68.9231393926984,"CM44FL","CMR",2004,6.97911776643352,7.03297130362323,73,-10
"yaounde",135.24,106.42,491,46.3803006168582,100,"CM44FL","CMR",2004,4.63803006168582,7.03297130362323,73,-10
"centre",104.69,75.46,811,32.039661095933,28.8712979870147,"CM61FL","CMR",2011,3.2039661095933,7.32248439003129,81,-3
"douala",64.85,32.9,801,22.6211630319856,100,"CM61FL","CMR",2011,2.26211630319856,7.32248439003129,81,-3
"littoral",108.45,74.95,383,23.5059260127639,63.7929323238732,"CM61FL","CMR",2011,2.35059260127638,7.32248439003129,81,-3
"yaounde",69.84,37.99,853,19.0832955970759,100,"CM61FL","CMR",2011,1.90832955970759,7.32248439003129,81,-3
"adamawa",92.97,57.49,462,33.8519167713662,36.9948982771671,"CM71FL","CMR",2018,3.38519167713662,7.38442192091887,68,4
"douala",47.26,22.91,835,18.8526335098172,100,"CM71FL","CMR",2018,1.88526335098172,7.38442192091887,68,4
"east",124.6,80.59,657,44.5416289496159,36.8054165273141,"CM71FL","CMR",2018,4.45416289496159,7.38442192091887,68,4
"farnorth",76.6,52.03,1901,16.8277312514797,28.4897129721495,"CM71FL","CMR",2018,1.68277312514797,7.38442192091887,68,4
"north",107.13,77.02,1544,23.3543765274648,20.4557580348211,"CM71FL","CMR",2018,2.33543765274648,7.38442192091887,68,4
"northwest",44.56,26.72,563,13.1579270147973,35.0267269303671,"CM71FL","CMR",2018,1.31579270147973,7.38442192091887,68,4
"south",92.45,51.7,432,36.1155637663572,34.9968531187749,"CM71FL","CMR",2018,3.61155637663572,7.38442192091887,68,4
"southwest",48.81,35.72,119,24.3724601602138,100,"CM71FL","CMR",2018,2.43724601602138,7.38442192091887,68,4
"west",73.66,41.3,1008,14.5367182878728,45.2740219838299,"CM71FL","CMR",2018,1.45367182878728,7.38442192091887,68,4
"yaounde",60.13,26.93,790,19.4471941268339,100,"CM71FL","CMR",2018,1.94471941268339,7.38442192091887,68,4
"zone1",166.15,137.51,412,19.1454874155435,100,"TD41FL","TCD",2004,1.91454874155435,6.09998429324126,22,-10
"zone2",152.99,112.58,768,13.5501514016306,9.63843577022075,"TD41FL","TCD",2004,1.35501514016306,6.09998429324126,22,-10
"zone3",148.91,117.23,765,17.8609502883165,12.5830111782681,"TD41FL","TCD",2004,1.78609502883165,6.09998429324126,22,-10
"zone4",116.03,96.37,444,14.1724318069768,16.0024009631972,"TD41FL","TCD",2004,1.41724318069768,6.09998429324126,22,-10
"zone5",246.22,194.94,760,16.7596916266225,9.94489228041205,"TD41FL","TCD",2004,1.67596916266225,6.09998429324126,22,-10
"zone6",180.88,140.22,602,17.4965851614251,10.7655469325521,"TD41FL","TCD",2004,1.74965851614251,6.09998429324126,22,-10
"zone7",234.3,189.04,1464,16.1860544185815,13.3477358329464,"TD41FL","TCD",2004,1.61860544185815,6.09998429324126,22,-10
"zone8",196.97,160.97,794,22.4369674253727,13.4694970052709,"TD41FL","TCD",2004,2.24369674253727,6.09998429324126,22,-10
"barhelgazal",67,45.54,250,9.42529858468283,24.5155757766258,"TD71FL","TCD",2014,0.942529858468283,7.15366945204991,36,0
"batha",121.15,99.81,861,7.50837209250393,9.26202033934975,"TD71FL","TCD",2014,0.750837209250393,7.15366945204991,36,0
"borkoutibesti",98.98,75.8,75,6.43449158932316,42.9267227851959,"TD71FL","TCD",2014,0.643449158932316,7.15366945204991,36,0
"charibaguirmi",171.27,128,883,16.1553796998501,1.72473758230763,"TD71FL","TCD",2014,1.61553796998501,7.15366945204991,36,0
"guera",112.64,88.36,1225,14.9246532914141,28.7900804384506,"TD71FL","TCD",2014,1.49246532914141,7.15366945204991,36,0
"hadjerlamis",112.68,75.81,1311,13.1998914682209,13.2153501791515,"TD71FL","TCD",2014,1.31998914682209,7.15366945204991,36,0
"kanem",85.66,64.1,700,7.75895383718743,10.6488140394495,"TD71FL","TCD",2014,0.775895383718743,7.15366945204991,36,0
"lac",100.99,74.08,954,9.08027154757598,5.86918583863292,"TD71FL","TCD",2014,0.908027154757598,7.15366945204991,36,0
"logoneoccidental",178.58,136.45,1139,20.7203855750087,27.6618665423128,"TD71FL","TCD",2014,2.07203855750087,7.15366945204991,36,0
"logoneoriental",187.1,140.67,2004,25.8957570470045,10.2543578680322,"TD71FL","TCD",2014,2.58957570470045,7.15366945204991,36,0
"mandoul",130.97,93.21,1437,27.0002397330842,8.46558105359241,"TD71FL","TCD",2014,2.70002397330842,7.15366945204991,36,0
"mayokebbiest",143.26,95.58,1405,15.0116320119865,8.37890999326776,"TD71FL","TCD",2014,1.50116320119865,7.15366945204991,36,0
"mayokebbiouest",123.25,94.85,1025,20.2553701557036,13.7547632240113,"TD71FL","TCD",2014,2.02553701557036,7.15366945204991,36,0
"moyenchari",139.39,113.18,954,26.873062446346,28.3854742499952,"TD71FL","TCD",2014,2.6873062446346,7.15366945204991,36,0
"ndjamena",133.42,95.66,1214,13.488977883555,100,"TD71FL","TCD",2014,1.3488977883555,7.15366945204991,36,0
"ouaddai",101.44,60.65,1033,6.90971805808065,18.7404383975478,"TD71FL","TCD",2014,0.690971805808065,7.15366945204991,36,0
"salamat",132.62,105.02,438,17.0241116715101,30.6470014848449,"TD71FL","TCD",2014,1.70241116715101,7.15366945204991,36,0
"sila",84.4,66.07,416,11.3967171261881,10.3859358839912,"TD71FL","TCD",2014,1.13967171261881,7.15366945204991,36,0
"tandjile",171.63,150.79,1121,15.1733611117366,12.3013873548313,"TD71FL","TCD",2014,1.51733611117366,7.15366945204991,36,0
"wadifira",52.99,33.91,450,5.85928716382178,5.29225862879079,"TD71FL","TCD",2014,0.585928716382178,7.15366945204991,36,0
"ngazidja",52.92,22.33,1223,8.00175815820694,23.8638532417582,"KM61FL","COM",2012,0.800175815820694,7.30674228710956,86,-2
"brazzaville",89.19,53.1,1201,37.2405274745809,100,"CG51FL","COG",2005,3.72405274745809,7.49501490705893,63,-9
"pointenoire",90.53,64.77,613,28.9862535875195,100,"CG51FL","COG",2005,2.89862535875195,7.49501490705893,63,-9
"bouenza",71.7,51.28,832,21.8762660506649,29.9133593644418,"CG61FL","COG",2011,2.18762660506649,8.13040214995433,83,-3
"brazzaville",71.31,43.51,2207,9.09519987415582,100,"CG61FL","COG",2011,0.909519987415582,8.13040214995433,83,-3
"cuvette",87.91,64.28,299,30.9103485525131,0,"CG61FL","COG",2011,3.09103485525131,8.13040214995433,83,-3
"cuvetteouest",88.17,69.51,122,26.7903102380494,0,"CG61FL","COG",2011,2.67903102380494,8.13040214995433,83,-3
"kouilou",67.06,47.63,237,22.4378550272762,0,"CG61FL","COG",2011,2.24378550272762,8.13040214995433,83,-3
"lekoumou",84.16,63.07,162,24.8482999586795,0,"CG61FL","COG",2011,2.48482999586794,8.13040214995433,83,-3
"likouala",64.37,42.68,405,38.7208678056659,0,"CG61FL","COG",2011,3.87208678056659,8.13040214995433,83,-3
"niari",55.98,42.7,460,28.7586741155929,46.7646752434073,"CG61FL","COG",2011,2.87586741155929,8.13040214995433,83,-3
"plateaux",66.39,45.32,309,18.3114741698935,0,"CG61FL","COG",2011,1.83114741698935,8.13040214995433,83,-3
"pointenoire",62.34,42.91,1673,14.7926279641726,100,"CG61FL","COG",2011,1.47926279641726,8.13040214995433,83,-3
"pool",50.43,37.76,541,11.2735492892514,0,"CG61FL","COG",2011,1.12735492892514,8.13040214995433,83,-3
"sangha",93.38,78.33,146,35.4379455345944,32.9527586466657,"CG61FL","COG",2011,3.54379455345944,8.13040214995433,83,-3
"bandundu",77.6,50.93,2721,15.3278580068544,19.6394975174264,"CD61FL","COD",2013,1.53278580068544,6.13203124151836,71,-1
"bascongo",123.39,72.7,749,35.712663774185,21.7195497650252,"CD61FL","COD",2013,3.5712663774185,6.13203124151836,71,-1
"equateur",129.37,103.03,2395,33.3429676154131,17.4361073873621,"CD61FL","COD",2013,3.33429676154131,6.13203124151836,71,-1
"kasaioccidental",113.14,90.95,1277,35.5115125130537,29.5156339438501,"CD61FL","COD",2013,3.55115125130537,6.13203124151836,71,-1
"kasaioriental",126.35,101.74,1774,35.5133366048563,37.1604974003805,"CD61FL","COD",2013,3.55133366048563,6.13203124151836,71,-1
"katanga",112.87,82.24,1819,40.3303078725577,40.4160590077204,"CD61FL","COD",2013,4.03303078725577,6.13203124151836,71,-1
"kinshasa",79.17,66.59,1208,18.8761992330767,100,"CD61FL","COD",2013,1.88761992330767,6.13203124151836,71,-1
"maniema",114.36,75.36,563,44.2612283117679,31.2233571328358,"CD61FL","COD",2013,4.42612283117679,6.13203124151836,71,-1
"nordkivu",45.46,23.6,1312,14.8204554412333,35.7610064155772,"CD61FL","COD",2013,1.48204554412333,6.13203124151836,71,-1
"orientale",109.01,79.74,1499,44.2260330734669,19.3403229178922,"CD61FL","COD",2013,4.42260330734669,6.13203124151836,71,-1
"sudkivu",122.64,82.96,1398,19.5838162794464,11.1157578788755,"CD61FL","COD",2013,1.95838162794464,6.13203124151836,71,-1
"basuele",58.21,44.43,281,48.9866275125482,39.5445371901352,"CD81FL","COD",2023,4.89866275125482,6.49256107491737,60,9
"equateur",61.01,36.02,638,41.2524800617955,33.0444426271417,"CD81FL","COD",2023,4.12524800617955,6.49256107491737,60,9
"hautkatanga",108.31,85.95,1369,25.1805901192018,57.472688020403,"CD81FL","COD",2023,2.51805901192018,6.49256107491737,60,9
"hautlomami",121.24,87.09,721,34.6565233704194,14.9521304734924,"CD81FL","COD",2023,3.46565233704194,6.49256107491737,60,9
"hautuele",49.3,31.31,398,47.6798264277977,32.5925136252164,"CD81FL","COD",2023,4.76798264277977,6.49256107491737,60,9
"ituri",101.15,73.38,935,40.4016845953057,10.7736553949076,"CD81FL","COD",2023,4.04016845953057,6.49256107491737,60,9
"kasai",94.25,76.08,846,39.8518626512811,16.3449659412907,"CD81FL","COD",2023,3.98518626512811,6.49256107491737,60,9
"kasaicentral",143.81,120.3,927,38.7244380351428,16.4882840998652,"CD81FL","COD",2023,3.87244380351428,6.49256107491737,60,9
"kasaioriental",103.83,85.84,670,21.4060308564105,65.4272321511909,"CD81FL","COD",2023,2.14060308564105,6.49256107491737,60,9
"kinshasa",64.14,40.06,1900,42.4992786071567,100,"CD81FL","COD",2023,4.24992786071567,6.49256107491737,60,9
"kongocentral",68.09,62.77,1016,36.9694583574078,22.8704951350324,"CD81FL","COD",2023,3.69694583574078,6.49256107491737,60,9
"kwango",71.18,49.91,685,42.2059800972142,15.7866541628215,"CD81FL","COD",2023,4.22059800972142,6.49256107491737,60,9
"kwilu",69.93,50.39,1280,45.9633450306007,16.3456524308646,"CD81FL","COD",2023,4.59633450306007,6.49256107491737,60,9
"lomami",100.63,79.22,687,41.0374990634748,38.2994075380178,"CD81FL","COD",2023,4.10374990634748,6.49256107491737,60,9
"lualaba",144.93,112.39,1029,39.5899821106873,19.9796753563895,"CD81FL","COD",2023,3.95899821106873,6.49256107491737,60,9
"maindombe",54.77,44.92,325,39.5738024510783,31.376045385874,"CD81FL","COD",2023,3.95738024510783,6.49256107491737,60,9
"maniema",130.46,95.03,788,29.0136126507798,20.1098126149258,"CD81FL","COD",2023,2.90136126507798,6.49256107491737,60,9
"mongala",158.31,101.89,482,47.7909604523418,8.86972825352926,"CD81FL","COD",2023,4.77909604523418,6.49256107491737,60,9
"nordkivu",46.1,22.64,1705,20.0535302586674,18.9139483135258,"CD81FL","COD",2023,2.00535302586674,6.49256107491737,60,9
"nordubangi",75.24,53.1,297,51.9139524846358,21.2291904730345,"CD81FL","COD",2023,5.19139524846358,6.49256107491737,60,9
"sankuru",135.34,120.24,379,30.0827047940721,3.29917644561127,"CD81FL","COD",2023,3.00827047940721,6.49256107491737,60,9
"sudkivu",82.38,57.42,1573,21.7992252130413,18.9279473046733,"CD81FL","COD",2023,2.17992252130413,6.49256107491737,60,9
"sudubangi",135.69,107.96,683,46.4839051895132,8.60815007692776,"CD81FL","COD",2023,4.64839051895132,6.49256107491737,60,9
"tanganyika",69.34,47.44,544,34.9994554672926,9.81195858004926,"CD81FL","COD",2023,3.49994554672926,6.49256107491737,60,9
"tshopo",75.88,55.66,350,52.0043797456289,26.6634660488711,"CD81FL","COD",2023,5.20043797456289,6.49256107491737,60,9
"tshuapa",136.59,113.76,458,63.0571140133599,4.80893640785703,"CD81FL","COD",2023,6.30571140133599,6.49256107491737,60,9
