"programme","survey","country","records","regional_any_model_imputed","political_stability_imputed","gdp_imputed","health_expenditure_imputed","hiv_no_adolescent_series"
"MICS","MC_MRT2015","MRT",59459,0,0,0,0,0
"MICS","MC_MWI2006","MWI",132667,0,8229,0,0,0
"MICS","MC_MWI2013","MWI",112356,0,0,0,0,0
"MICS","MC_MWI2019","MWI",89340,0,0,0,0,0
"MICS","MC_NGA2016","NGA",166743,0,0,0,0,0
"MICS","MC_NGA2021","NGA",162146,162146,0,0,0,0
"MICS","MC_SEN2015DKR","SEN",27045,0,0,0,0,0
"MICS","MC_SLE2017","SLE",68115,0,0,0,0,0
"MICS","MC_SOM2006","SOM",35871,0,2187,0,35871,0
"MICS","MC_SOM2011NE","SOM",29796,29796,0,0,29796,0
"MICS","MC_SOM2011SL","SOM",28324,28324,0,0,28324,0
"MICS","MC_SSD2010","SSD",57509,0,57509,33840,57509,0
"MICS","MC_STP2014","STP",11856,0,0,0,0,11856
"MICS","MC_STP2019","STP",10970,0,0,0,0,10970
"MICS","MC_SWZ2010","SWZ",9964,0,0,0,0,0
"MICS","MC_SWZ2014","SWZ",9905,0,0,0,0,0
"MICS","MC_SWZ2021","SWZ",8609,0,0,0,0,0
"MICS","MC_TCD2019","TCD",135006,0,0,0,0,0
"MICS","MC_TGO2017","TGO",29313,0,0,0,0,0
"MICS","MC_ZWE2009","ZWE",37260,0,0,0,37260,0
"MICS","MC_ZWE2014","ZWE",51703,0,0,0,8370,0
"MICS","MC_ZWE2019","ZWE",34266,0,0,0,0,0
