"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"GAB","Gabon",2015,"map_full",16.5336880312919,"MAP","estimated",2235.68864689905,393.24630816237,1842.44233873668,0.175894934524005,307.793775942293,0.999284909726468,FALSE,TRUE,FALSE
"GHA","Ghana",2015,"map_full",27.1359006682193,"MAP","estimated",45615.0682451127,10650.7311481852,34964.3370969275,0.233491509668548,9488.9556894683,0.999730304961018,FALSE,TRUE,FALSE
"GIN","Guinea",2015,"map_full",37.0047253732389,"MAP","estimated",45918.3793797175,14656.4615389959,31261.9178407216,0.31918507876325,8411.25835546664,0.996935005435981,FALSE,TRUE,FALSE
"GMB","The Gambia",2015,"map_full",16.1615436677223,"MAP","estimated",4466.05170786417,752.27657323347,3713.7751346307,0.168443319164622,380.221418593574,0.99989435444155,FALSE,TRUE,FALSE
"GNB","Guinea-Bissau",2015,"map_full",5.43390998716656,"MAP","estimated",5858.71311364054,432.772445582926,5425.94066805761,0.0738681750050748,240.020921747807,0.996068689009789,FALSE,TRUE,FALSE
"GNQ","Equatorial Guinea",2015,"map_full",34.4631748290858,"MAP","estimated",2397.90491647383,643.073905915208,1754.83101055863,0.268181570293813,720.251418626558,0.967788791016353,FALSE,TRUE,FALSE
"KEN","Kenya",2015,"map_full",5.61238811543549,"MAP","estimated",58800.8181651058,3866.11085150332,54934.7073136025,0.065749269689543,2218.91481903351,0.822215895130027,FALSE,TRUE,FALSE
"LBR","Liberia",2015,"map_full",33.370745219075,"MAP","estimated",16738.7379224384,4612.62542918194,12126.1124932565,0.275565902910678,2549.96903104348,0.999979141849584,FALSE,TRUE,FALSE
"LSO","Lesotho",2015,"map_full",,"MAP","missing_MAP_no_estimate",3209.90050536875,,,,,0,,TRUE,FALSE
"MDG","Madagascar",2015,"map_full",6.1292538325627,"MAP","estimated",64918.4040198667,5693.1320142018,59225.2720056649,0.0876967340795925,3397.67118195632,0.965066759112986,FALSE,TRUE,FALSE
