"survey","country","regions","year","type","mothers"
"MW4EFL","MWI",3,2004,"DHS",8229
"MW61FL","MWI",3,2010,"DHS",16056
"MW7AFL","MWI",3,2015,"DHS",16633
"MW81FL","MWI",3,2024,"DHS",13035
"NM51FL","NAM",11,2006,"DHS",4778
"NM61FL","NAM",11,2013,"DHS",4377
"NI51FL","NER",8,2006,"DHS",6533
"NI61FL","NER",8,2012,"DHS",8633
"NG4BFL","NGA",6,2003,"DHS",4117
"NG53FL","NGA",6,2008,"DHS",20777
"NG6AFL","NGA",6,2013,"DHS",23621
"NG7BFL","NGA",6,2018,"DHS",25885
"NG8BFL","NGA",6,2024,"DHS",22331
"RW53FL","RWA",5,2005,"DHS",6113
"RW61FL","RWA",5,2010,"DHS",7585
"RW70FL","RWA",5,2015,"DHS",7648
"RW81FL","RWA",5,2019,"DHS",7784
"SN4AFL","SEN",11,2005,"DHS",8336
"SN61FL","SEN",14,2010,"DHS",9417
"SN6DFL","SEN",4,2012,"DHS",5145
"SN71FL","SEN",4,2014,"DHS",5172
"SN7AFL","SEN",4,2015,"DHS",5420
"SN7IFL","SEN",4,2016,"DHS",5346
"SN7ZFL","SEN",14,2017,"DHS",10067
"SN81FL","SEN",4,2018,"DHS",5605
"SN8BFL","SEN",4,2019,"DHS",5194
"SN8SFL","SEN",14,2023,"DHS",9373
"SL51FL","SLE",4,2008,"DHS",4955
"SL61FL","SLE",4,2013,"DHS",10583
"SL7AFL","SLE",5,2019,"DHS",9407
"SZ51FL","SWZ",3,2006,"DHS",1952
"TD71FL","TCD",20,2014,"DHS",12366
"TG61FL","TGO",5,2013,"DHS",5406
"TZ4IFL","TZA",8,2004,"DHS",6521
"TZ63FL","TZA",8,2010,"DHS",6314
"TZ7BFL","TZA",9,2015,"DHS",8380
"TZ82FL","TZA",9,2022,"DHS",9445
"UG52FL","UGA",9,2006,"DHS",5640
"UG61FL","UGA",10,2011,"DHS",5676
"UG7BFL","UGA",13,2016,"DHS",10166
"ZA71FL","ZAF",6,2016,"DHS",3179
"ZM51FL","ZMB",9,2007,"DHS",4736
"ZM61FL","ZMB",10,2013,"DHS",10999
"ZM71FL","ZMB",10,2018,"DHS",9026
"ZM81FL","ZMB",10,2024,"DHS",8629
"ZW62FL","ZWE",10,2010,"DHS",2090
"ZW72FL","ZWE",9,2015,"DHS",5323
"MC_BEN2014","BEN",12,2014,"MICS",9994
"MC_BEN2021","BEN",12,2021,"MICS",11331
"MC_CAF2018","CAF",6,2019,"MICS",6332
"MC_CIV2016","CIV",11,2016,"MICS",7844
"MC_CMR2014","CMR",12,2014,"MICS",5980
"MC_COD2017","COD",26,2018,"MICS",14427
"MC_COG2014","COG",12,2015,"MICS",7715
"MC_COM2022","COM",3,2022,"MICS",3466
"MC_GHA2011","GHA",10,2011,"MICS",6568
"MC_GHA2017","GHA",10,2017,"MICS",7936
"MC_GIN2016","GIN",8,2016,"MICS",6460
"MC_GMB2018","GMB",8,2018,"MICS",8241
"MC_GNB2014","GNB",8,2014,"MICS",6533
"MC_GNB2018","GNB",8,2019,"MICS",6763
"MC_KEN2013BUN","KEN",1,2013,"MICS",724
"MC_KEN2013KAK","KEN",1,2013,"MICS",631
"MC_KEN2009MOM","KEN",1,2009,"MICS",474
"MC_KEN2011NYA","KEN",6,2011,"MICS",4085
"MC_KEN2013TUR","KEN",1,2013,"MICS",748
"MC_MDG2018","MDG",22,2018,"MICS",11224
"MC_MLI2015","MLI",8,2015,"MICS",12798
"MC_MOZ2008","MOZ",11,2008,"MICS",9515
"MC_MRT2011","MRT",11,2011,"MICS",6688
"MC_MRT2015","MRT",11,2015,"MICS",7456
"MC_MWI2006","MWI",3,2006,"MICS",19011
"MC_MWI2013","MWI",3,2014,"MICS",16911
"MC_MWI2019","MWI",3,2020,"MICS",16027
"MC_NGA2016","NGA",6,2016,"MICS",21524
"MC_SEN2015DKR","SEN",1,2015,"MICS",4352
"MC_SLE2017","SLE",4,2017,"MICS",10994
