"iso3","regkey","year","coverage","coverage_confirmed"
"NGA","zamfara",2014,0,0
"NGA","zamfara",2015,0.481927710843373,0.481927710843373
"NGA","zamfara",2016,1,1
"NGA","zamfara",2017,1,1
"NGA","zamfara",2018,1,1
"NGA","zamfara",2019,1,1
"NGA","zamfara",2020,1,1
"NGA","zamfara",2021,1,1
"NGA","zamfara",2022,1,1
"NGA","zamfara",2023,1,1
"NGA","zamfara",2024,1,1
"NGA","zamfara",2025,1,1
"NGA","abia",2000,0,0
"NGA","abia",2001,0,0
"NGA","abia",2002,0,0
"NGA","abia",2003,0,0
"NGA","abia",2004,0,0
"NGA","abia",2005,0,0
"NGA","abia",2006,0,0
"NGA","abia",2007,0,0
"NGA","abia",2008,0,0
"NGA","abia",2009,0,0
"NGA","abia",2010,0,0
"NGA","abia",2011,0,0
"NGA","abia",2012,0,0
"NGA","abia",2013,0,0
"NGA","abia",2014,0,0
"NGA","abia",2015,0,0
"NGA","abia",2016,0,0
"NGA","abia",2017,0,0
"NGA","abia",2018,0,0
"NGA","abia",2019,0,0
"NGA","abia",2020,0,0
"NGA","abia",2021,0,0
"NGA","abia",2022,0,0
"NGA","abia",2023,0,0
"NGA","abia",2024,0,0
"NGA","abia",2025,0,0
"NGA","anambra",2000,0,0
"NGA","anambra",2001,0,0
"NGA","anambra",2002,0,0
"NGA","anambra",2003,0,0
"NGA","anambra",2004,0,0
"NGA","anambra",2005,0,0
"NGA","anambra",2006,0,0
"NGA","anambra",2007,0,0
"NGA","anambra",2008,0,0
"NGA","anambra",2009,0,0
"NGA","anambra",2010,0,0
"NGA","anambra",2011,0,0
"NGA","anambra",2012,0,0
"NGA","anambra",2013,0,0
"NGA","anambra",2014,0,0
"NGA","anambra",2015,0,0
"NGA","anambra",2016,0,0
"NGA","anambra",2017,0,0
"NGA","anambra",2018,0,0
"NGA","anambra",2019,0,0
"NGA","anambra",2020,0,0
"NGA","anambra",2021,0,0
"NGA","anambra",2022,0,0
"NGA","anambra",2023,0,0
"NGA","anambra",2024,0,0
"NGA","anambra",2025,0,0
"NGA","ebonyi",2000,0,0
"NGA","ebonyi",2001,0,0
"NGA","ebonyi",2002,0,0
"NGA","ebonyi",2003,0,0
"NGA","ebonyi",2004,0,0
"NGA","ebonyi",2005,0,0
"NGA","ebonyi",2006,0,0
"NGA","ebonyi",2007,0,0
"NGA","ebonyi",2008,0,0
"NGA","ebonyi",2009,0,0
"NGA","ebonyi",2010,0,0
"NGA","ebonyi",2011,0,0
"NGA","ebonyi",2012,0,0
"NGA","ebonyi",2013,0,0
"NGA","ebonyi",2014,0,0
"NGA","ebonyi",2015,0,0
"NGA","ebonyi",2016,0,0
"NGA","ebonyi",2017,0,0
"NGA","ebonyi",2018,0,0
"NGA","ebonyi",2019,0,0
"NGA","ebonyi",2020,0,0
"NGA","ebonyi",2021,0,0
"NGA","ebonyi",2022,0,0
"NGA","ebonyi",2023,0,0
"NGA","ebonyi",2024,0,0
"NGA","ebonyi",2025,0,0
"NGA","enugu",2000,0,0
"NGA","enugu",2001,0,0
"NGA","enugu",2002,0,0
"NGA","enugu",2003,0,0
"NGA","enugu",2004,0,0
"NGA","enugu",2005,0,0
"NGA","enugu",2006,0,0
"NGA","enugu",2007,0,0
"NGA","enugu",2008,0,0
"NGA","enugu",2009,0,0
"NGA","enugu",2010,0,0
"NGA","enugu",2011,0,0
"NGA","enugu",2012,0,0
"NGA","enugu",2013,0,0
"NGA","enugu",2014,0,0
"NGA","enugu",2015,0,0
"NGA","enugu",2016,0,0
"NGA","enugu",2017,0,0
"NGA","enugu",2018,0,0
"NGA","enugu",2019,0,0
"NGA","enugu",2020,0,0
"NGA","enugu",2021,0,0
"NGA","enugu",2022,0,0
"NGA","enugu",2023,0,0
"NGA","enugu",2024,0,0
"NGA","enugu",2025,0,0
"NGA","imo",2000,0,0
"NGA","imo",2001,0,0
"NGA","imo",2002,0,0
"NGA","imo",2003,0,0
"NGA","imo",2004,0,0
"NGA","imo",2005,0,0
"NGA","imo",2006,0,0
"NGA","imo",2007,0,0
"NGA","imo",2008,0,0
"NGA","imo",2009,0,0
"NGA","imo",2010,0,0
"NGA","imo",2011,0,0
"NGA","imo",2012,0,0
"NGA","imo",2013,0,0
"NGA","imo",2014,0,0
"NGA","imo",2015,0,0
"NGA","imo",2016,0,0
"NGA","imo",2017,0,0
"NGA","imo",2018,0,0
"NGA","imo",2019,0,0
"NGA","imo",2020,0,0
"NGA","imo",2021,0,0
"NGA","imo",2022,0,0
"NGA","imo",2023,0,0
"NGA","imo",2024,0,0
"NGA","imo",2025,0,0
"NGA","akwaibom",2000,0,0
"NGA","akwaibom",2001,0,0
"NGA","akwaibom",2002,0,0
"NGA","akwaibom",2003,0,0
"NGA","akwaibom",2004,0,0
"NGA","akwaibom",2005,0,0
"NGA","akwaibom",2006,0,0
"NGA","akwaibom",2007,0,0
"NGA","akwaibom",2008,0,0
"NGA","akwaibom",2009,0,0
"NGA","akwaibom",2010,0,0
"NGA","akwaibom",2011,0,0
"NGA","akwaibom",2012,0,0
"NGA","akwaibom",2013,0,0
