"year","iso3","country","previous_deaths","rerun_deaths","difference_deaths"
2015,"RWA","Rwanda",1232.07098101909,1388.30931419793,156.238333178845
2015,"SEN","Senegal",1176.74185614619,1305.60470002722,128.862843881034
2015,"SLE","Sierra Leone",9651.57181034209,10277.4980439636,625.926233621543
2015,"SOM","Somalia",3744.35232476497,4240.74363955932,496.391314794355
2015,"SSD","South Sudan",10040.853129524,11037.0970530209,996.243923496882
2015,"STP","Sao Tome and Principe",,,
2015,"SWZ","Swaziland",42.7405215005166,50.5048129027471,7.76429140223049
2015,"TCD","Chad",16074.742242959,17853.0166182923,1778.27437533332
2015,"TGO","Togo",5938.16323628241,6224.35736014488,286.194123862472
2015,"TZA","Tanzania",12006.260146048,13347.1614461596,1340.90130011158
2015,"UGA","Uganda",24181.2514250768,26338.9076270922,2157.65620201541
2015,"ZMB","Zambia",8812.88836460403,9694.7559119366,881.867547332566
2015,"ZWE","Zimbabwe",2402.71529575348,2712.31735774876,309.602061995283
2024,"AGO","Angola",18700.1244449298,20519.6328823547,1819.50843742493
2024,"BDI","Burundi",11100.9768239631,12066.5527276993,965.575903736248
2024,"BEN","Benin",11082.0404772244,11640.2722412834,558.231764058981
2024,"BFA","Burkina Faso",12353.1854022255,13395.057116997,1041.87171477146
2024,"BWA","Botswana",1.15232683342562,1.36575519886711,0.213428365441493
2024,"CAF","Central African Republic",8543.54579109856,9138.0505769255,594.504785826935
2024,"CIV","Cote d'Ivoire",16387.9673348508,17904.2195734807,1516.25223862987
2024,"CMR","Cameroon",20776.6795551297,22344.7450728704,1568.06551774068
2024,"COD","Democratic Republic of the Congo",64941.1958796703,69079.5298008251,4138.33392115484
2024,"COG","Congo",1859.25147657911,2026.30590910657,167.054432527455
2024,"COM","Comoros",22.9255685957999,26.2789913709413,3.35342277514139
2024,"CPV","Cape Verde",,,
2024,"DJI","Djibouti",69.562098581619,80.480730227469,10.9186316458501
2024,"ERI","Eritrea",203.104618800169,227.168250631951,24.0636318317825
2024,"ETH","Ethiopia",7986.02660822875,8983.75808181142,997.731473582669
2024,"GAB","Gabon",329.437019124626,362.160427489253,32.7234083646271
2024,"GHA","Ghana",6649.84126781666,7235.48403047143,585.642762654775
2024,"GIN","Guinea",10214.0445546355,11103.1831642228,889.13860958731
2024,"GMB","The Gambia",348.988140095415,385.881911328435,36.8937712330195
2024,"GNB","Guinea-Bissau",420.401370330922,464.789032447023,44.3876621161012
2024,"GNQ","Equatorial Guinea",499.052016564141,556.271885847898,57.2198692837566
2024,"KEN","Kenya",2143.41801255401,2434.58397290752,291.165960353514
2024,"LBR","Liberia",2516.03932037752,2815.86084770131,299.821527323792
2024,"LSO","Lesotho",,,
2024,"MDG","Madagascar",7074.83720645816,7900.37971197485,825.54250551669
2024,"MLI","Mali",18716.5711371619,20253.880107835,1537.30897067314
2024,"MOZ","Mozambique",17303.2695563689,18975.4618878162,1672.19233144727
2024,"MRT","Mauritania",160.740689805048,179.658841963102,18.9181521580535
2024,"MWI","Malawi",7187.4749066904,7850.99656319293,663.521656502534
2024,"NAM","Namibia",31.2292183072656,35.5923708322278,4.3631525249622
2024,"NER","Niger",34098.798824817,36989.9053450327,2891.10652021565
2024,"NGA","Nigeria",200987.6756104,214937.789234529,13950.113624129
2024,"RWA","Rwanda",817.941159523702,922.275020305978,104.333860782276
2024,"SEN","Senegal",1698.81322214434,1873.6094035881,174.796181443759
2024,"SLE","Sierra Leone",7877.3780052954,8565.86849109587,688.490485800466
2024,"SOM","Somalia",3649.79147349118,4141.11088835744,491.319414866261
2024,"SSD","South Sudan",9956.68151440203,11085.6323598254,1128.95084542342
2024,"STP","Sao Tome and Principe",,,
2024,"SWZ","Swaziland",33.6007909824071,38.9919090696968,5.39111808728968
2024,"TCD","Chad",17472.2420278212,19406.6311264079,1934.38909858672
2024,"TGO","Togo",3493.40134579216,3763.30773355157,269.90638775941
2024,"TZA","Tanzania",8709.43729652974,9715.33130880029,1005.89401227054
2024,"UGA","Uganda",21899.4198763822,23900.9292752156,2001.50939883342
2024,"ZMB","Zambia",6282.66610883988,6959.15831114175,676.492202301873
2024,"ZWE","Zimbabwe",1015.4547575948,1151.4273959159,135.9726383211
