"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"GMB","The Gambia",2015,"map_full",16.1615436677223,"MAP","estimated",4466.05170786417,783.279896674774,3682.77181118939,0.175385317481997,380.221418593574,0.99989435444155,FALSE,TRUE,FALSE
"GNB","Guinea-Bissau",2015,"map_full",5.43390998716656,"MAP","estimated",5858.71311364054,478.733409070948,5379.97970456959,0.0817130656144159,240.020921747807,0.996068689009789,FALSE,TRUE,FALSE
"GNQ","Equatorial Guinea",2015,"map_full",34.4631748290858,"MAP","estimated",2397.90491647383,634.76446315885,1763.14045331498,0.264716277446182,720.251418626558,0.967788791016353,FALSE,TRUE,FALSE
"KEN","Kenya",2015,"map_full",5.61238811543549,"MAP","estimated",58800.8181651058,4174.42133024668,54626.3968348592,0.0709925722211107,2218.91481903351,0.822215895130027,FALSE,TRUE,FALSE
"LBR","Liberia",2015,"map_full",33.370745219075,"MAP","estimated",16738.7379224384,4573.18768555443,12165.550236884,0.273209826615664,2549.96903104348,0.999979141849584,FALSE,TRUE,FALSE
"LSO","Lesotho",2015,"map_full",,"MAP","missing_MAP_no_estimate",3209.90050536875,,,,,0,,TRUE,FALSE
"MDG","Madagascar",2015,"map_full",6.1292538325627,"MAP","estimated",64918.4040198667,6329.94871050366,58588.4553093631,0.0975062281039215,3397.67118195632,0.965066759112986,FALSE,TRUE,FALSE
"MLI","Mali",2015,"map_full",29.3609132094117,"MAP","estimated",87968.261234185,26188.8750265543,61779.3862076308,0.297708226343538,17514.868481058,0.97767054940682,FALSE,TRUE,FALSE
"MOZ","Mozambique",2015,"map_full",34.6327854633793,"MAP","estimated",74024.3876125815,19955.2471777865,54069.140434795,0.269576660089719,6527.55341006905,0.999790945132115,FALSE,TRUE,FALSE
"MRT","Mauritania",2015,"map_full",6.4035707842887,"MAP","estimated",6687.89899376322,483.097532605981,6204.80146115723,0.0722345736765003,382.678216987015,0.840119682930452,FALSE,TRUE,FALSE
"MWI","Malawi",2015,"map_full",18.220052663991,"MAP","estimated",39889.0024103965,8780.76029325301,31108.2421171435,0.220129854412314,4821.92982126994,0.999764978481837,FALSE,TRUE,FALSE
"NAM","Namibia",2015,"map_full",0.747527078008077,"MAP","estimated",2917.63286683462,34.6119293945113,2883.02093744011,0.0118630173754734,8.80805539286492,0.611389973186959,FALSE,TRUE,FALSE
"NER","Niger",2015,"map_full",24.4675094266675,"MAP","estimated",130781.033490802,43726.584897295,87054.4485935071,0.334349589769608,23833.605476099,0.952363358910006,FALSE,TRUE,FALSE
"NGA","Nigeria",2015,"map_full",24.7148386742744,"MAP","estimated",864459.156359802,256388.667556157,608070.488803644,0.296588526675799,131749.412498181,0.999968748812492,FALSE,TRUE,FALSE
"RWA","Rwanda",2015,"map_full",3.51517020020461,"MAP","estimated",24192.851240852,1379.29344795812,22813.5577928938,0.0570124386839137,2258.86330735559,0.814603360177058,FALSE,TRUE,FALSE
"SEN","Senegal",2015,"map_full",3.7940130969993,"MAP","estimated",25792.154911383,1280.6270797667,24511.5278316163,0.0496518063018269,1477.05079283071,0.99558981120801,FALSE,TRUE,FALSE
"SLE","Sierra Leone",2015,"map_full",39.4884460983626,"MAP","estimated",30658.3071959905,9562.93405349014,21095.3731425003,0.311919832766918,5877.6609699097,0.99816935916103,FALSE,TRUE,FALSE
"SOM","Somalia",2015,"map_full",3.06207942936047,"MAP","estimated",74992.4241087959,4256.09209856939,70736.3320102265,0.0567536274383508,1156.96102925527,0.983183349547194,FALSE,TRUE,FALSE
"SSD","South Sudan",2015,"map_full",26.9542365045867,"MAP","estimated",37596.1477230602,10487.2657041681,27108.882018892,0.278945220170406,4239.80271119919,0.998944588913762,FALSE,TRUE,FALSE
"STP","Sao Tome and Principe",2015,"map_full",,"MAP","missing_MAP_no_estimate",246.668713665251,,,,1.97586382035857,,,TRUE,FALSE
"SWZ","Swaziland",2015,"map_full",1.50976317944939,"MAP","estimated",2182.78050307361,47.5983160013976,2135.18218707221,0.0218062768722616,1.1775372350791,0.0264825648638429,FALSE,TRUE,FALSE
"TCD","Chad",2015,"map_full",15.4351335502291,"MAP","estimated",80419.5352387475,17404.1833435069,63015.3518952406,0.216417357944656,3813.80248648943,0.941951498070144,FALSE,TRUE,FALSE
"TGO","Togo",2015,"map_full",35.5367930048613,"MAP","estimated",19215.9012241169,5953.87757429165,13262.0236498252,0.309841183343472,2690.54017770444,1,FALSE,TRUE,FALSE
"TZA","Tanzania",2015,"map_full",10.3871042581125,"MAP","estimated",105515.469734238,12701.4581424038,92814.0115918339,0.120375317234478,9239.79602778234,0.982661834291151,FALSE,TRUE,FALSE
"UGA","Uganda",2015,"map_full",22.5283221289013,"MAP","estimated",102980.329081345,25085.824518618,77894.5045627274,0.243598216692456,20152.3749939553,0.972005626882908,FALSE,TRUE,FALSE
"ZMB","Zambia",2015,"map_full",18.7741653137543,"MAP","estimated",40792.1955819214,9330.48702529323,31461.7085566282,0.228732160458369,3116.41915303928,0.999994981989078,FALSE,TRUE,FALSE
"ZWE","Zimbabwe",2015,"map_full",6.83446267073993,"MAP","estimated",28833.3741163462,2609.89517477088,26223.4789415753,0.0905164676267034,786.280022691115,0.993374399109765,FALSE,TRUE,FALSE
"AGO","Angola",2024,"map_full",20.3401829769949,"MAP","estimated",78496.5769564462,19892.3734859602,58604.203470486,0.253417082084961,14651.9398492798,0.997135198338393,FALSE,TRUE,FALSE
"BDI","Burundi",2024,"map_full",23.4246685162394,"MAP","estimated",43783.7562317264,11645.5909175121,32138.1653142143,0.265979713021367,14430.2985954673,0.903118502531811,FALSE,TRUE,FALSE
"BEN","Benin",2024,"map_full",36.4070797441475,"MAP","estimated",33993.4310312077,11184.9627345763,22808.4682966314,0.329033063014674,7361.29305522589,1,FALSE,TRUE,FALSE
"BFA","Burkina Faso",2024,"map_full",20.8912355688325,"MAP","estimated",54484.0205521836,12920.7417228665,41563.2788293171,0.23714736159185,10708.7756030255,1,FALSE,TRUE,FALSE
"BWA","Botswana",2024,"map_full",0.0785030798269115,"MAP","estimated",1172.25308563155,1.28835985605279,1170.96472577549,0.00109904582196829,0.695282142301979,0.500006041684288,FALSE,TRUE,FALSE
"CAF","Central African Republic",2024,"map_full",33.7356038277751,"MAP","estimated",30131.6302473718,8596.50927857181,21535.1209688,0.285298512161373,3864.81190981826,1,FALSE,TRUE,FALSE
"CIV","Cote d'Ivoire",2024,"map_full",21.6015841554766,"MAP","estimated",76149.5103506282,16930.6516900349,59218.8586605933,0.222334347418364,12847.9944570404,0.999044906250652,FALSE,TRUE,FALSE
"CMR","Cameroon",2024,"map_full",25.1740174516115,"MAP","estimated",76158.9596642578,21671.2753328685,54487.6843313893,0.284553195427104,16295.439261067,0.994188327616715,FALSE,TRUE,FALSE
"COD","Democratic Republic of the Congo",2024,"map_full",36.0589155594133,"MAP","estimated",207594.492222304,65442.4084363058,142152.083785998,0.315241544877917,61774.2754897226,0.967916469947541,FALSE,TRUE,FALSE
"COG","Congo",2024,"map_full",23.0367800311056,"MAP","estimated",7790.75347139419,1934.47066427054,5856.28280712365,0.248303411393193,1414.45241393579,0.999607704919486,FALSE,TRUE,FALSE
"COM","Comoros",2024,"map_full",2.05693091322994,"MAP","estimated",991.364747730024,24.8073593318549,966.557388398169,0.025023443075475,3.33028598949748,0.977875023773357,FALSE,TRUE,FALSE
"CPV","Cape Verde",2024,"map_full",,"MAP","missing_MAP_no_estimate",171.633171400474,,,,3.47634329775336e-24,,,TRUE,FALSE
"DJI","Djibouti",2024,"map_full",4.3967566637446,"MAP","estimated",1619.05851447361,74.0709803923049,1544.9875340813,0.0457494153115194,19.4005119570286,0.900244405140964,FALSE,TRUE,FALSE
"ERI","Eritrea",2024,"map_full",1.01244593723427,"MAP","estimated",11415.5571326635,233.98151131937,11181.5756213441,0.0204967229019314,43.3765641194195,0.941587510523092,FALSE,TRUE,FALSE
"ETH","Ethiopia",2024,"map_full",3.96841512486915,"MAP","estimated",191455.600459436,8519.14268709993,182936.457772336,0.0444967014109619,8908.38144328392,0.827585277262,FALSE,TRUE,FALSE
"GAB","Gabon",2024,"map_full",18.3938632660677,"MAP","estimated",1762.17544190006,340.823421878036,1421.35202002203,0.193410607011152,264.514045573738,0.999284909726468,FALSE,TRUE,FALSE
"GHA","Ghana",2024,"map_full",16.1544407206884,"MAP","estimated",39450.0929558237,6948.00740968245,32502.0855461413,0.176121445834433,6745.25942954957,0.999730304961018,FALSE,TRUE,FALSE
"GIN","Guinea",2024,"map_full",21.3998882059171,"MAP","estimated",41823.6813861269,10787.5204895062,31036.1608966206,0.257928525944742,7062.92867541533,0.996935005435981,FALSE,TRUE,FALSE
"GMB","The Gambia",2024,"map_full",7.44118125415429,"MAP","estimated",4149.15874769844,373.083936291466,3776.07481140697,0.089917971082311,125.250703961608,0.99989435444155,FALSE,TRUE,FALSE
"GNB","Guinea-Bissau",2024,"map_full",6.4586512545087,"MAP","estimated",5124.05416089457,459.726766975312,4664.32739391926,0.0897193418609478,243.753822660091,0.996068689009789,FALSE,TRUE,FALSE
"GNQ","Equatorial Guinea",2024,"map_full",22.7935103595535,"MAP","estimated",2267.52069426983,516.926536419562,1750.59415785027,0.227969931090758,718.459783286752,0.967788791016353,FALSE,TRUE,FALSE
"KEN","Kenya",2024,"map_full",4.56636270936913,"MAP","estimated",40835.6314958744,2311.80718170996,38523.8243141644,0.0566124998444929,2762.50881132626,0.822215895130027,FALSE,TRUE,FALSE
"LBR","Liberia",2024,"map_full",15.076632247439,"MAP","estimated",14929.2413209443,2669.44645302479,12259.7948679195,0.178806571321197,2689.78371276534,0.999979141849584,FALSE,TRUE,FALSE
"LSO","Lesotho",2024,"map_full",,"MAP","missing_MAP_no_estimate",2500.22260683638,,,,,0,,TRUE,FALSE
"MDG","Madagascar",2024,"map_full",9.56229188686996,"MAP","estimated",56616.2699064944,7728.04935214124,48888.2205543531,0.136498737287084,4898.31220543322,0.965066759112986,FALSE,TRUE,FALSE
"MLI","Mali",2024,"map_full",17.8255590399717,"MAP","estimated",87756.7145398564,19907.9857492133,67848.7287906431,0.226854273813678,12944.5842730324,0.97767054940682,FALSE,TRUE,FALSE
"MOZ","Mozambique",2024,"map_full",24.0344454120773,"MAP","estimated",75208.0645451155,17755.4406237386,57452.6239213769,0.23608426478104,10284.9934524545,0.999790945132115,FALSE,TRUE,FALSE
"MRT","Mauritania",2024,"map_full",2.77377496776398,"MAP","estimated",5487.39520476196,172.010945607453,5315.38425915451,0.0313465568250273,192.831907593039,0.840119682930452,FALSE,TRUE,FALSE
"MWI","Malawi",2024,"map_full",19.1757235989892,"MAP","estimated",34215.8271722914,7547.09193144657,26668.7352408449,0.220573125221954,5556.77907078908,0.999764978481837,FALSE,TRUE,FALSE
"NAM","Namibia",2024,"map_full",0.94567686375632,"MAP","estimated",2453.1860336331,34.994538961454,2418.19149467165,0.014264934856827,11.0131110529254,0.611389973186959,FALSE,TRUE,FALSE
"NER","Niger",2024,"map_full",17.3368601964551,"MAP","estimated",137095.733919724,37159.2378384164,99936.4960813076,0.27104590913219,20343.4978323923,0.952363358910006,FALSE,TRUE,FALSE
"NGA","Nigeria",2024,"map_full",24.7045606738025,"MAP","estimated",733038.165705799,210621.698572602,522416.467133198,0.28732705666124,138110.850542117,0.999968748812492,FALSE,TRUE,FALSE
"RWA","Rwanda",2024,"map_full",2.95274596542956,"MAP","estimated",19235.6005186113,916.233137136729,18319.3673814745,0.0476321566488259,2147.105688144,0.814603360177058,FALSE,TRUE,FALSE
"SEN","Senegal",2024,"map_full",6.76968783303698,"MAP","estimated",23309.1314317423,1804.28844018566,21504.8429915566,0.0774069357954962,766.297572416344,0.99558981120801,FALSE,TRUE,FALSE
"SLE","Sierra Leone",2024,"map_full",30.8209909320081,"MAP","estimated",27722.5042039334,8019.32327761211,19703.1809263213,0.289271243990804,6200.18547588636,0.99816935916103,FALSE,TRUE,FALSE
"SOM","Somalia",2024,"map_full",3.00562461766305,"MAP","estimated",77963.2725942302,4129.1914803935,73834.0811138367,0.0529632908290601,1200.23039386064,0.983183349547194,FALSE,TRUE,FALSE
"SSD","South Sudan",2024,"map_full",23.1223019010464,"MAP","estimated",40850.8188016772,10539.1751864332,30311.643615244,0.25799177337421,4779.0227833698,0.998944588913762,FALSE,TRUE,FALSE
"STP","Sao Tome and Principe",2024,"map_full",,"MAP","missing_MAP_no_estimate",150.390666476629,,,,2.34744035019355,,,TRUE,FALSE
"SWZ","Swaziland",2024,"map_full",2.08854269781645,"MAP","estimated",1332.35134395888,36.9255200726478,1295.42582388624,0.0277145516008781,0.481067001536171,0.0264825648638429,FALSE,TRUE,FALSE
"TCD","Chad",2024,"map_full",15.0510808013007,"MAP","estimated",92505.5931263154,18832.1584761611,73673.4346501543,0.20357859281488,4884.19831764987,0.941951498070144,FALSE,TRUE,FALSE
"TGO","Togo",2024,"map_full",20.9673047922131,"MAP","estimated",14559.6237615014,3683.45824965022,10876.1655118512,0.25299130732966,1863.65613692523,1,FALSE,TRUE,FALSE
"TZA","Tanzania",2024,"map_full",8.82121978993696,"MAP","estimated",89484.4613544148,9251.65540575739,80232.8059486574,0.10338840135736,9939.76533484766,0.982661834291151,FALSE,TRUE,FALSE
"UGA","Uganda",2024,"map_full",21.8964090477387,"MAP","estimated",93423.0026856156,22843.4563955438,70579.5462900717,0.244516401088242,26093.0901265167,0.972005626882908,FALSE,TRUE,FALSE
"ZMB","Zambia",2024,"map_full",14.2728881701827,"MAP","estimated",34784.1651348346,6778.89305479741,28005.2720800372,0.194884454708637,4717.79275413367,0.999994981989078,FALSE,TRUE,FALSE
"ZWE","Zimbabwe",2024,"map_full",3.38446214555114,"MAP","estimated",24202.7039972532,1112.29010486455,23090.4138923887,0.045957265972876,275.192339219123,0.993374399109765,FALSE,TRUE,FALSE
