"fit_id","age_band","pfpr_pct","log_hazard_ratio","standard_error","lower_95","upper_95","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max","within_observed_support","within_central_support","reference_within_observed_support"
"original","24-35",6.5,-0.415782353570389,0.0591713343195051,-0.531758168836619,-0.299806538304159,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",7,-0.396071193671248,0.0560272869615152,-0.505884676115818,-0.286257711226679,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",7.5,-0.376568259866226,0.0529454590892309,-0.480341359681118,-0.272795160051333,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",8,-0.357288460560451,0.0499294457642349,-0.455150174258352,-0.259426746862551,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",8.5,-0.338246704159055,0.0469826969570459,-0.430332790194865,-0.246160618123245,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",9,-0.319457899067167,0.0441084905656088,-0.405910540575761,-0.233005257558574,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",9.5,-0.300936953689918,0.0413099005553116,-0.381904358778328,-0.219969548601507,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",10,-0.282698776432436,0.038589759402523,-0.358334704861381,-0.207062848003491,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",10.5,-0.264758275699853,0.0359506139455831,-0.335221479033196,-0.19429507236651,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",11,-0.247130359897298,0.0333946736949781,-0.312583920339455,-0.181676799455141,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",11.5,-0.229829937429902,0.0309237506498226,-0.290440488703554,-0.16921938615625,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",12,-0.212871916702794,0.0285391897412977,-0.268808728595737,-0.15693510480985,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",12.5,-0.196271206121104,0.0262417892159224,-0.247705112984312,-0.144837299257896,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",13,-0.180042714089962,0.0240317106331522,-0.22714486693094,-0.132940561248984,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",13.5,-0.164201349014499,0.0219083787409297,-0.207141771346721,-0.121260926682277,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",14,-0.148762019299844,0.0198703723679391,-0.187707949141005,-0.109816089458683,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",14.5,-0.133739633351128,0.0179153086775945,-0.168853638359213,-0.0986256283430425,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",15,-0.11914909957348,0.0160397246763622,-0.15058695993915,-0.0877112392078097,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",15.5,-0.10500532637203,0.0142389617042951,-0.132913691312448,-0.0770969614316117,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",16,-0.091323222151909,0.012507060611674,-0.11583706095079,-0.0668093833530278,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",16.5,-0.0781176953182463,0.010836677188152,-0.0993575826070242,-0.0568778080294684,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",17,-0.0654036542761721,0.00921902883669344,-0.0834729507960912,-0.0473343577562529,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",17.5,-0.0531960074308164,0.00764388427028082,-0.0681780206005668,-0.038213994261066,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",18,-0.0415096631873092,0.00609960878270065,-0.0534648964014025,-0.0295544299732159,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",18.5,-0.0303558892646302,0.00457360515499138,-0.0393201553684133,-0.0213916231608471,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",19,-0.0197279169677789,0.00305451081039573,-0.0257147581561545,-0.0137410757794032,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",19.5,-0.00961340239204328,0.00153268665623849,-0.0126174682382707,-0.00660933654581583,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",20,0,0,0,0,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",20.5,0.0091246357457744,0.00155019593016297,0.00608625172265497,0.0121630197688938,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",21,0.0177728503827038,0.00312311615456924,0.0116515427197481,0.0238941580456595,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",21.5,0.0259569894482115,0.00472262337319222,0.0167006476367548,0.0352133312596683,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",22,0.0336893984797213,0.00635132441434954,0.0212408026275961,0.0461379943318464,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",22.5,0.0409824230146565,0.0080106764091675,0.0252814972526882,0.0566833487766248,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",23,0.047848408590441,0.00970109670002947,0.0288342590583832,0.0668625581224987,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",23.5,0.0542997007444982,0.0114220718855425,0.0319124398488349,0.0766869616401614,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",24,0.0603486450142515,0.0131722627200247,0.034531010083003,0.0861662799454999,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",24.5,0.0660075869371248,0.0149496027236136,0.0367063655988421,0.0953088082754075,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",25,0.0712888720505414,0.0167513892799069,0.038456149061924,0.104121595039159,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",25.5,0.0762048458919251,0.0185743667013627,0.0397990871572542,0.112610604626596,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",26,0.0807678539986993,0.0204148012512044,0.0407548435463387,0.12078086445106,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",26.5,0.0849902419082876,0.0222685484573556,0.0413438869318707,0.128636596884705,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",27,0.0888843551581136,0.0241311132740655,0.0415873731409452,0.136181337175282,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",27.5,0.0924625392856009,0.0259977037727909,0.0415070398909308,0.143418038680271,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",28,0.095737139828173,0.027863279103117,0.0411251127860637,0.150349166870282,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",28.5,0.0987205023232535,0.0297225924791286,0.0404642210641615,0.156976783582345,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",29,0.101424972308266,0.0315702299336469,0.039547321638318,0.163302622978214,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
