"age_band","pfpr_pct","reference_pfpr_pct","log_hazard_ratio","standard_error","lower_95","upper_95","central_95_support","pfpr_p025","pfpr_p975","fit_signature"
"36-47",66.099270059262,20,0.0134002259772909,0.0672387231317415,-0.118387671360923,0.145188123315504,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",66.3361259139694,20,0.0128158527310136,0.0674766636954957,-0.119438408112158,0.145070113574185,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",66.5729817686767,20,0.0122363693184991,0.0677246562409295,-0.120503956913723,0.144976695550721,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",66.8098376233841,20,0.0116617349911324,0.067983260015112,-0.121585454638487,0.144908924620752,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",67.0466934780915,20,0.011091909000299,0.0682530297910632,-0.122684029390185,0.144867847390783,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",67.2835493327988,20,0.0105268505973842,0.0685345146258534,-0.123800798069289,0.144854499264057,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",67.5204051875062,20,0.00996651903377317,0.0688282566207724,-0.124936863942941,0.144869902010487,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",67.7572610422135,20,0.00941087356085142,0.0691347896895783,-0.126093314230722,0.144915061352425,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",67.9040488141987,20,0.00906885493006881,0.0693314090308835,-0.126820706770463,0.144958416630601,TRUE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",67.9941168969209,20,0.00885987343000413,0.0694546383411245,-0.1272712177186,0.144990964578608,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",68.2309727516283,20,0.00831347789261679,0.0697883164828792,-0.128471622413826,0.14509857819906,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",68.4678286063356,20,0.00777164620007438,0.0701363262519845,-0.129695553253815,0.145238845653964,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",68.704684461043,20,0.00723433760376246,0.0704991568805537,-0.130944009882123,0.145412685089648,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",68.9415403157504,20,0.00670151135506616,0.070877283601862,-0.132217964504583,0.145620987214716,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",69.1783961704577,20,0.00617312670537114,0.0712711666039525,-0.133518359838376,0.145864613249118,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"36-47",69.4152520251651,20,0.00564914290606234,0.0716812500369541,-0.134846107166368,0.146144392978492,FALSE,1.71186420675262,67.9040488141987,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
