"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction"
"GIN","Guinea",42.9604000479577,"estimated",0.996935005435981,FALSE,47244.174690902,36406.2023727827,10837.9723181194,0.229403357959526
"GMB","The Gambia",6.80021050223797,"estimated",0.99989435444155,FALSE,5244.84227075379,4855.83107112183,389.011199631958,0.0741702380262523
"GNB","Guinea-Bissau",5.47134440577292,"estimated",0.996068689009789,FALSE,7767.2498258756,7229.13012266303,538.119703212563,0.0692805967718312
"GNQ","Equatorial Guinea",33.9046533846217,"estimated",0.967788791016353,FALSE,2828.61147410932,2297.60650589956,531.004968209761,0.187726371426449
"KEN","Kenya",12.1603957572431,"estimated",0.822215895130027,TRUE,82551.3260242614,72808.4563982141,9742.86962604728,0.118021963974072
"LBR","Liberia",42.3245620053839,"estimated",0.999979141849584,FALSE,18341.6145030929,14595.39719598,3746.21730711296,0.204246867498019
"LSO","Lesotho",,"missing_MAP_no_estimate",0,TRUE,4720.58173459788,,,
"MDG","Madagascar",16.612555436176,"estimated",0.965066759112986,FALSE,62155.6370120645,52126.1072387925,10029.529773272,0.161361547486437
"MLI","Mali",38.5111391906618,"estimated",0.977670801796849,FALSE,87830.0017542328,66783.7597623656,21046.2419918672,0.239624747483885
"MOZ","Mozambique",44.2928156950409,"estimated",0.999790945132115,FALSE,99135.6037445078,79275.1452910246,19860.4584534832,0.200336283871005
"MRT","Mauritania",4.08661106779518,"estimated",0.840119682930452,TRUE,7861.39012005786,7566.84814406513,294.541975992732,0.0374669074418818
"MWI","Malawi",32.2108258478265,"estimated",0.999764978481837,FALSE,61511.0868799982,47519.6691758905,13991.4177041077,0.227461721354453
"NAM","Namibia",4.5353951282014,"estimated",0.611389973186959,TRUE,3618.4787922097,3440.87168445152,177.607107758173,0.0490833629149762
"NER","Niger",26.7916282649868,"estimated",0.952363358910006,FALSE,124960.908948674,89536.6635985218,35424.2453501521,0.283482615869112
"NGA","Nigeria",44.911076588637,"estimated",0.999968748812492,FALSE,913193.381854744,685768.163898826,227425.217955917,0.249043874468302
"RWA","Rwanda",4.897431879853,"estimated",0.814603360177058,TRUE,38267.9806795348,35637.6152290502,2630.36545048459,0.0687354128380042
"SEN","Senegal",5.44994687087531,"estimated",0.99558981120801,FALSE,38522.3642175266,35846.952395963,2675.41182156364,0.0694508729125821
"SLE","Sierra Leone",40.7926668056115,"estimated",0.99816935916103,FALSE,37841.2524673904,29179.3097490561,8661.94271833422,0.22890211484936
"SOM","Somalia",9.00565355096317,"estimated",0.983183349547194,FALSE,91196.349563142,79758.9194598662,11437.4301032758,0.12541543776768
"SSD","South Sudan",35.4180105817913,"estimated",0.998944588913762,FALSE,37611.7230423069,29602.7661044969,8008.95693781006,0.212937783488444
"STP","Sao Tome and Principe",,"missing_MAP_no_estimate",,,413.742464346307,,,
"SWZ","Swaziland",2.77619052188256,"estimated",0.0274046526925583,TRUE,3247.7077903365,3150.63008495226,97.0777053842447,0.0298911452788634
"TCD","Chad",17.2544300153994,"estimated",0.941951498070144,TRUE,77646.949864827,61832.4447201678,15814.5051446591,0.203671942969944
"TGO","Togo",54.7789048030301,"estimated",1,FALSE,22148.2394810415,17205.1291217999,4943.11035924155,0.223182992195509
