"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"COD","7 to 27 days (late neonatal)",11234.4423920029,7990.80738030247,140592.081091781,10108.6117469111,12561.9894342643,7190.02924518346,8935.06187312466
"COD","1 to 5 months",50833.2594687616,5008.55241195403,1014929.17090049,46157.1256065271,56013.0124604199,4547.81741720699,5518.90851759858
"COD","6-11 months",52482.2778692812,4564.63549836031,1149758.35174865,46974.6896870205,58005.7578349715,4085.6141306195,5045.03905074938
"COD","12 to 23 months",39176.20064138,1774.44508400306,2207800.11703718,35366.2279063807,43370.6216932335,1601.87634892607,1964.42700399147
"COD","2 to 4",74888.1002616575,1245.57720558475,6012321.02882779,67869.8315720971,83251.9446004467,1128.84576932396,1384.68894460678
"COG","0 to 6 days (early neonatal)",2661.33928794226,102094.123171745,2606.7507171449,2477.89412353659,2846.18829889942,95056.8118093992,109185.288803403
"COG","7 to 27 days (late neonatal)",523.312698933881,6783.6059908985,7714.3734414411,464.179014774363,579.943009683514,6017.06695038671,7517.69426364684
"COG","1 to 5 months",1842.46203709811,3292.53396163846,55958.7861071369,1640.75997295515,2009.58217212352,2932.08642841859,3591.18256832098
"COG","6-11 months",1711.64989913142,2677.83083205016,63919.269232589,1529.2716290736,1893.6443456378,2392.50486971133,2962.5563126312
"COG","12 to 23 months",1353.48734598973,1103.01298604722,122708.196830947,1203.71985323353,1497.26649035695,980.96124327528,1220.18457529754
"COG","2 to 4",2279.07490037602,690.8657060713,329886.818863289,2065.81119478794,2547.02921300816,626.21816837248,772.09184100917
"COM","0 to 6 days (early neonatal)",419.7094721521,107226.964132279,391.421575299224,386.362301957349,456.239289357575,98707.461810707,116559.565989381
"COM","7 to 27 days (late neonatal)",121.096270788109,10471.884240282,1156.39428406103,109.884207382303,135.749392038639,9502.31325914303,11739.0230918398
"COM","1 to 5 months",243.24983486093,2871.77284855546,8470.37170726395,217.469320221184,273.498191978648,2567.41177054471,3228.88063748258
"COM","6-11 months",191.91199328096,1946.73204419856,9858.16172558904,170.52509610622,209.976367599703,1729.78594643649,2129.97487203586
"COM","12 to 23 months",141.710819690998,738.36564440042,19192.4991047047,127.3274301139,158.952475345627,663.42287900739,828.20103040496
"COM","2 to 4",176.435767771023,322.55398172013,54699.6092964406,158.807959558318,196.262531912792,290.32741111123,358.8006101637
"CPV","0 to 6 days (early neonatal)",171.264139362594,74669.9183603488,229.36162664072,155.125301304921,187.210556398915,67633.5024201386,81622.4401356239
"CPV","7 to 27 days (late neonatal)",36.6089082655428,5365.42213103118,682.311798988069,32.8562718632997,40.6024446139276,4815.43363489076,5950.71705841005
"CPV","1 to 5 months",89.9081244004216,1795.00764145204,5008.78783600564,80.6750652190131,99.5519299705128,1610.6704428381,1987.54535488376
"CPV","6-11 months",79.5499390412222,1363.13579532569,5835.80442344818,71.0516598208796,88.8203779341015,1217.51269688537,1521.99031169076
"CPV","12 to 23 months",51.9002724018005,451.36339037301,11498.5560434819,46.1014441006189,57.787442348196,400.93246427018,502.56260116203
"CPV","2 to 4",58.6514074582603,170.73135844666,34353.0374219943,52.975587166575,65.740038857975,154.2093251197,191.36601532616
"DJI","0 to 6 days (early neonatal)",589.880539437707,118270.567608333,498.755143706731,540.310913262917,641.877831977103,108331.897942414,128695.982402646
