"iso3","year","status","base","extended","log_ratio"
"ARG",2005,"imputed_child_series",0.155567686144271,0.15948304213895,0.0248566801118965
"ARG",2006,"imputed_child_series",0.149868809242204,0.142450567746097,-0.050765259836569
"ARG",2007,"imputed_child_series",0.14244639559715,0.13975855738462,-0.0190494140085358
"ARG",2008,"imputed_child_series",0.137044237324197,0.134327473684032,-0.0200231217746438
"ARG",2009,"imputed_child_series",0.12550115447727,0.128543783258142,0.0239546144941378
"ARG",2010,"imputed_child_series",0.12040336686124,0.112164613921811,-0.0708799370439847
"ARG",2011,"imputed_child_series",0.117165385836343,0.111571592162707,-0.0489200237969989
"ARG",2012,"imputed_child_series",0.106951026903631,0.101178328706348,-0.0554864464957754
"ARG",2013,"imputed_child_series",0.0983083747637448,0.0977936201415612,-0.00524987830647878
"ARG",2014,"imputed_child_series",0.0900683972856221,0.0899246369970798,-0.00159739869583736
"ARG",2015,"imputed_child_series",0.0850969829138803,0.0871801762449943,0.0241853869001416
"ARG",2016,"imputed_child_series",0.0813424609530811,0.0835256495642311,0.0264856099351994
"ARG",2017,"imputed_child_series",0.0730322241062401,0.0732427921780521,0.00287907289449517
"ARG",2018,"imputed_child_series",0.0650157947684091,0.0653714790684646,0.00545582665952929
"ARG",2019,"imputed_child_series",0.0651172311312738,0.0643951940098272,-0.0111501981584451
"ARG",2020,"imputed_child_series",0.0609522356821199,0.0624884656344318,0.0248914540146659
"ARG",2021,"imputed_child_series",0.0573432157847116,0.059484542309506,0.0366619440523393
"ARG",2022,"imputed_child_series",0.0575138891653924,0.0597869069391718,0.0387602201414866
"ARG",2023,"imputed_child_series",0.0547542651802851,0.0580490244701601,0.05843263451116
"ARG",2024,"imputed_child_series",0.0497056267297189,0.0524705231989875,0.0541334084698256
"ARM",2000,"censored_posterior",0.00757003610578789,0.00766736813857452,0.0127755823844407
"ARM",2001,"censored_posterior",0.00756700921945348,0.00749612708880214,-0.00941140707967769
"ARM",2002,"reported_numeric",0.01,0.01,4.44089209850063e-16
"ARM",2003,"reported_numeric",0.02,0.02,0
"ARM",2004,"reported_numeric",0.02,0.02,0
"ARM",2005,"reported_numeric",0.02,0.02,0
"ARM",2006,"reported_numeric",0.02,0.02,0
"ARM",2007,"reported_numeric",0.03,0.03,-1.11022302462516e-16
"ARM",2008,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2009,"reported_numeric",0.03,0.03,-1.11022302462516e-16
"ARM",2010,"reported_numeric",0.03,0.03,-1.11022302462516e-16
"ARM",2011,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2012,"reported_numeric",0.05,0.05,2.22044604925031e-16
"ARM",2013,"reported_numeric",0.05,0.05,2.22044604925031e-16
"ARM",2014,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2015,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2016,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2017,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2018,"reported_numeric",0.03,0.03,-1.11022302462516e-16
"ARM",2019,"reported_numeric",0.03,0.03,-1.11022302462516e-16
"ARM",2020,"reported_numeric",0.05,0.05,2.22044604925031e-16
"ARM",2021,"reported_numeric",0.05,0.05,2.22044604925031e-16
"ARM",2022,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2023,"reported_numeric",0.04,0.04,2.22044604925031e-16
"ARM",2024,"reported_numeric",0.05,0.05,2.22044604925031e-16
"ATG",2000,"imputed_child_series",0.16612482679829,0.179273043610675,0.0761705524910837
"ATG",2001,"imputed_child_series",0.176284685060752,0.194435177039503,0.097998610504045
"ATG",2002,"imputed_child_series",0.180484290463578,0.182402660373431,0.0105729223719957
"ATG",2003,"imputed_child_series",0.189222935808118,0.194012097313699,0.0249946399342357
"ATG",2004,"imputed_child_series",0.189162078768688,0.207989813887354,0.0948848996185916
"ATG",2005,"imputed_child_series",0.182149929281454,0.192607051064581,0.0558219733716519
"ATG",2006,"imputed_child_series",0.186880157225245,0.19048557095075,0.0191089077013241
"ATG",2007,"imputed_child_series",0.182484828018238,0.184740838911328,0.01228693677191
"ATG",2008,"imputed_child_series",0.185331529749242,0.182169991385351,-0.0172060042126125
"ATG",2009,"imputed_child_series",0.175183554860829,0.167573631402274,-0.0444114640122154
"ATG",2010,"imputed_child_series",0.152785423208077,0.160809330290351,0.0511849049263952
"ATG",2011,"imputed_child_series",0.142822174168785,0.144850029134946,0.0140986062094714
"ATG",2012,"imputed_child_series",0.136549746301282,0.131693992486325,-0.0362079974290504
"ATG",2013,"imputed_child_series",0.121768817161094,0.126157283535408,0.0354051047641371
"ATG",2014,"imputed_child_series",0.119200579185618,0.123547685452697,0.0358195850107255
"ATG",2015,"imputed_child_series",0.112331884885432,0.125937593517982,0.114328747309119
"ATG",2016,"imputed_child_series",0.107145649200225,0.121160421485979,0.122926348570569
"ATG",2017,"imputed_child_series",0.0998462460993724,0.108065523601141,0.079106279411015
"ATG",2018,"imputed_child_series",0.10413115509936,0.110230657027454,0.0569238411325988
"ATG",2019,"imputed_child_series",0.0929616762161787,0.0955437486513356,0.0273969191251003
