"survey","country","region","records","deaths","distinct_children","lat","lon","survey_year","sahel","east_africa","early","late"
"BF81FL","BFA","BFA:BF81FL:centre",6671,28,1943,12.3225449030978,-1.50225972117308,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:centreest",7162,54,2104,11.6034993861784,-0.181709976495725,2021,FALSE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:centrenord",5657,41,1629,13.2685074972795,-0.974384932422449,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:centreouest",6399,32,1873,11.7993637668096,-2.22008548726617,2021,FALSE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:centresud",4425,33,1294,11.5865392966111,-1.21654367403864,2021,FALSE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:est",4612,34,1354,12.2283825490974,0.920098233673592,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:hautsbassins",7406,55,2208,11.3686838990998,-4.32866514799334,2021,FALSE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:nord",6471,34,1898,13.4565926624788,-2.28301186916294,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:plateaucentral",6175,38,1863,12.4495264684502,-1.14173970417544,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:sahel",2850,32,864,14.1479483170986,-0.442209231185252,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:sudouest",5989,85,1817,10.4790458522412,-3.23017347374625,2021,FALSE,FALSE,FALSE,TRUE
"CI62FL","CIV","CIV:CI62FL:west",3992,68,1207,6.93910908993038,-7.65374227695257,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:northeast",3439,60,1034,8.66794877591308,-3.34345982077578,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:northcentral",4312,51,1330,8.26990753728874,-4.94530729720774,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:central",3287,63,1045,7.03983439024734,-4.49918421732424,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:abidjan",3537,56,1078,5.34535422777325,-4.01103823788522,2012,FALSE,FALSE,TRUE,FALSE
