"subgroup","series","age_band","contrast","hazard_ratio","lower_95","upper_95","both_values_within_observed_support","both_values_within_central_support"
"east_africa","Eastern Africa","1-5","40% to 20%",0.89780475569554,0.842936753337118,0.956244197632181,TRUE,TRUE
"east_africa","Eastern Africa","6-11","40% to 20%",0.854430831202017,0.800405299904043,0.912102962581697,TRUE,TRUE
"east_africa","Eastern Africa","12-23","40% to 20%",0.81378025574432,0.742728873170557,0.891628599023399,TRUE,TRUE
"east_africa","Eastern Africa","24-35","40% to 20%",0.844900449466144,0.76575789254733,0.932222542471504,TRUE,TRUE
"east_africa","Eastern Africa","36-47","40% to 20%",0.954044698105378,0.859933218642401,1.05845578034529,TRUE,TRUE
"east_africa","Eastern Africa","48-59","40% to 20%",0.877704272895293,0.76311484707028,1.00950046197661,TRUE,TRUE
"early","Surveys up to median year","<1","40% to 20%",0.939183865375832,0.906674403160466,0.972858977718573,TRUE,TRUE
"early","Surveys up to median year","1-5","40% to 20%",0.901994695392794,0.860515789616259,0.945472982987977,TRUE,TRUE
"early","Surveys up to median year","6-11","40% to 20%",0.820548792700328,0.77928722054699,0.863995075819887,TRUE,TRUE
"early","Surveys up to median year","12-23","40% to 20%",0.795310365893555,0.743799074293906,0.850389036445353,TRUE,TRUE
"early","Surveys up to median year","24-35","40% to 20%",0.837174743934471,0.7784853215706,0.900288717670044,TRUE,TRUE
"early","Surveys up to median year","36-47","40% to 20%",0.87006663407459,0.800800246269308,0.945324319337562,TRUE,TRUE
"early","Surveys up to median year","48-59","40% to 20%",0.869757694272673,0.791989929366411,0.955161699280315,TRUE,TRUE
"late","Surveys after median year","<1","40% to 20%",0.940775417601407,0.899337593333385,0.984122528540858,TRUE,TRUE
"late","Surveys after median year","1-5","40% to 20%",0.923452126722844,0.868744961579736,0.981604346571712,TRUE,TRUE
"late","Surveys after median year","6-11","40% to 20%",0.866211803964902,0.806930300523625,0.929848450158877,TRUE,TRUE
"late","Surveys after median year","12-23","40% to 20%",0.827379805513872,0.758024009655557,0.903081345514679,TRUE,TRUE
"late","Surveys after median year","24-35","40% to 20%",0.79808768998954,0.728326636707272,0.874530641625894,TRUE,TRUE
"late","Surveys after median year","36-47","40% to 20%",0.809386831195971,0.723342159635452,0.905666887774956,TRUE,TRUE
"late","Surveys after median year","48-59","40% to 20%",0.926265173658299,0.813133718924811,1.05513663000805,TRUE,TRUE
