"subgroup","age_band","variable","index","value"
"early","<1","pfpr_pct",5,94.7588284788529
"early","<1","calendar_year",1,2000
"early","<1","calendar_year",2,2003.83333333333
"early","<1","calendar_year",3,2006.66666666667
"early","<1","calendar_year",4,2009.5
"early","<1","calendar_year",5,2012.33333333333
"early","<1","calendar_year",6,2015.16666666667
"early","1-5","pfpr_pct",1,0.0164865959077473
"early","1-5","pfpr_pct",2,8.25692963667056
"early","1-5","pfpr_pct",3,24.1632289636042
"early","1-5","pfpr_pct",4,43.4646370095506
"early","1-5","pfpr_pct",5,94.7588284788529
"early","1-5","calendar_year",1,2000
"early","1-5","calendar_year",2,2003.76666666667
"early","1-5","calendar_year",3,2006.53333333333
"early","1-5","calendar_year",4,2009.3
"early","1-5","calendar_year",5,2012.06666666667
"early","1-5","calendar_year",6,2014.83333333333
"early","6-11","pfpr_pct",1,0.0164865959077473
"early","6-11","pfpr_pct",2,8.15091380219681
"early","6-11","pfpr_pct",3,24.0346328403032
"early","6-11","pfpr_pct",4,43.3568423641981
"early","6-11","pfpr_pct",5,94.7588284788529
"early","6-11","calendar_year",1,2000
"early","6-11","calendar_year",2,2003.75
"early","6-11","calendar_year",3,2006.5
"early","6-11","calendar_year",4,2009.25
"early","6-11","calendar_year",5,2012
"early","6-11","calendar_year",6,2014.75
"early","12-23","pfpr_pct",1,0.0164865959077473
"early","12-23","pfpr_pct",2,7.88526457034265
"early","12-23","pfpr_pct",3,23.2274159373291
"early","12-23","pfpr_pct",4,42.9561026233594
"early","12-23","pfpr_pct",5,94.7588284788529
"early","12-23","calendar_year",1,2000
"early","12-23","calendar_year",2,2003.65
"early","12-23","calendar_year",3,2006.3
"early","12-23","calendar_year",4,2008.95
"early","12-23","calendar_year",5,2011.6
"early","12-23","calendar_year",6,2014.25
"early","24-35","pfpr_pct",1,0.0164865959077473
"early","24-35","pfpr_pct",2,7.8901952453889
"early","24-35","pfpr_pct",3,23.2550253011287
"early","24-35","pfpr_pct",4,42.9980629327599
"early","24-35","pfpr_pct",5,94.7588284788529
"early","24-35","calendar_year",1,2000
"early","24-35","calendar_year",2,2003.65
"early","24-35","calendar_year",3,2006.3
"early","24-35","calendar_year",4,2008.95
"early","24-35","calendar_year",5,2011.6
"early","24-35","calendar_year",6,2014.25
"early","36-47","pfpr_pct",1,0.0164865959077473
"early","36-47","pfpr_pct",2,7.88526457034265
"early","36-47","pfpr_pct",3,23.2285746860666
"early","36-47","pfpr_pct",4,42.9912330869316
"early","36-47","pfpr_pct",5,94.7588284788529
"early","36-47","calendar_year",1,2000
"early","36-47","calendar_year",2,2003.65
"early","36-47","calendar_year",3,2006.3
"early","36-47","calendar_year",4,2008.95
"early","36-47","calendar_year",5,2011.6
"early","36-47","calendar_year",6,2014.25
"early","48-59","pfpr_pct",1,0.0164865959077473
"early","48-59","pfpr_pct",2,7.9118843419059
"early","48-59","pfpr_pct",3,23.2550253011287
"early","48-59","pfpr_pct",4,42.973771022086
"early","48-59","pfpr_pct",5,94.7588284788529
"early","48-59","calendar_year",1,2000
"early","48-59","calendar_year",2,2003.65
"early","48-59","calendar_year",3,2006.3
"early","48-59","calendar_year",4,2008.95
"early","48-59","calendar_year",5,2011.6
"early","48-59","calendar_year",6,2014.25
"late","<1","pfpr_pct",1,0.0356479674097833
"late","<1","pfpr_pct",2,5.01409702671497
"late","<1","pfpr_pct",3,14.5512465400554
"late","<1","pfpr_pct",4,28.319175853026
"late","<1","pfpr_pct",5,87.6830665543666
"late","<1","calendar_year",1,2010
"late","<1","calendar_year",2,2012.78333333333
"late","<1","calendar_year",3,2015.56666666667
"late","<1","calendar_year",4,2018.35
"late","<1","calendar_year",5,2021.13333333333
"late","<1","calendar_year",6,2023.91666666667
"late","1-5","pfpr_pct",1,0.058423548480561
"late","1-5","pfpr_pct",2,5.12728307067377
"late","1-5","pfpr_pct",3,14.8941482202567
"late","1-5","pfpr_pct",4,28.466093944777
"late","1-5","pfpr_pct",5,87.6830665543666
"late","1-5","calendar_year",1,2010
"late","1-5","calendar_year",2,2012.78333333333
"late","1-5","calendar_year",3,2015.56666666667
"late","1-5","calendar_year",4,2018.35
"late","1-5","calendar_year",5,2021.13333333333
"late","1-5","calendar_year",6,2023.91666666667
"late","6-11","pfpr_pct",1,0.058423548480561
"late","6-11","pfpr_pct",2,5.15057213416833
"late","6-11","pfpr_pct",3,15.0289679143227
"late","6-11","pfpr_pct",4,28.420801769233
"late","6-11","pfpr_pct",5,87.6830665543666
"late","6-11","calendar_year",1,2010
"late","6-11","calendar_year",2,2012.78333333333
"late","6-11","calendar_year",3,2015.56666666667
"late","6-11","calendar_year",4,2018.35
"late","6-11","calendar_year",5,2021.13333333333
"late","6-11","calendar_year",6,2023.91666666667
"late","12-23","pfpr_pct",1,0.058423548480561
"late","12-23","pfpr_pct",2,5.02706768046417
"late","12-23","pfpr_pct",3,14.8060989387157
"late","12-23","pfpr_pct",4,28.5228511583726
"late","12-23","pfpr_pct",5,87.6830665543666
"late","12-23","calendar_year",1,2010
"late","12-23","calendar_year",2,2012.78333333333
"late","12-23","calendar_year",3,2015.56666666667
"late","12-23","calendar_year",4,2018.35
"late","12-23","calendar_year",5,2021.13333333333
"late","12-23","calendar_year",6,2023.91666666667
"late","24-35","pfpr_pct",1,0.058423548480561
"late","24-35","pfpr_pct",2,5.02692740040398
"late","24-35","pfpr_pct",3,14.7771257799234
"late","24-35","pfpr_pct",4,28.5798824876338
"late","24-35","pfpr_pct",5,87.6830665543666
"late","24-35","calendar_year",1,2010
"late","24-35","calendar_year",2,2012.78333333333
"late","24-35","calendar_year",3,2015.56666666667
"late","24-35","calendar_year",4,2018.35
"late","24-35","calendar_year",5,2021.13333333333
"late","24-35","calendar_year",6,2023.91666666667
"late","36-47","pfpr_pct",1,0.058423548480561
"late","36-47","pfpr_pct",2,5.02664684028361
"late","36-47","pfpr_pct",3,14.8018702101258
"late","36-47","pfpr_pct",4,28.5805130590864
"late","36-47","pfpr_pct",5,87.6830665543666
"late","36-47","calendar_year",1,2010
"late","36-47","calendar_year",2,2012.78333333333
"late","36-47","calendar_year",3,2015.56666666667
"late","36-47","calendar_year",4,2018.35
"late","36-47","calendar_year",5,2021.13333333333
"late","36-47","calendar_year",6,2023.91666666667
"late","48-59","pfpr_pct",1,0.058423548480561
"late","48-59","pfpr_pct",2,5.0267871203438
"late","48-59","pfpr_pct",3,14.8060989387157
"late","48-59","pfpr_pct",4,28.5605615737819
"late","48-59","pfpr_pct",5,87.6830665543666
"late","48-59","calendar_year",1,2010
"late","48-59","calendar_year",2,2012.78333333333
"late","48-59","calendar_year",3,2015.56666666667
"late","48-59","calendar_year",4,2018.35
"late","48-59","calendar_year",5,2021.13333333333
"late","48-59","calendar_year",6,2023.91666666667
