"survey","country","records","deaths"
"MC_MRT2011","MRT",51041,555
"MC_MRT2015","MRT",59459,502
"MC_MWI2006","MWI",124438,2184
"MC_MWI2013","MWI",112356,1436
"MC_MWI2019","MWI",89340,741
"MC_NGA2016","NGA",166743,3028
"MC_NGA2021","NGA",0,0
"MC_SEN2015DKR","SEN",27045,171
"MC_SLE2017","SLE",68115,885
"MC_SOM2006","SOM",0,0
"MC_SOM2011NE","SOM",0,0
"MC_SOM2011SL","SOM",0,0
"MC_SSD2010","SSD",0,0
"MC_STP2014","STP",0,0
"MC_STP2019","STP",0,0
"MC_SWZ2010","SWZ",9964,162
"MC_SWZ2014","SWZ",9905,100
"MC_SWZ2021","SWZ",8609,51
"MC_TCD2019","TCD",135006,2111
"MC_TGO2017","TGO",29313,318
"MC_ZWE2009","ZWE",0,0
"MC_ZWE2014","ZWE",43333,529
"MC_ZWE2019","ZWE",34266,324
