"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"MLI","36-47",8077.40763046145,705169.274070472,1145.45654887031,"IHME 2-4 rate shared; deaths and person-time divided equally","Mali",29.3609132094117,23241898,23772730,0.97767054940682,29.3558735923611,"estimated",FALSE,2015,2020,-0.680104035961124,0.0845365809273681,0.506564288721452,0.429216915191555,0.597850106847139,0.00133576168010231,10,0.493435711278548,0.402149893152861,0.570783084808445,580.247381939817,565.209166930492,460.64522873944,653.807222478231,4091.72625103793,3985.68137942352,3248.32861554218,4610.44764457006,TRUE,FALSE,FALSE
"MLI","48-59",8077.40763046145,705169.274070472,1145.45654887031,"IHME 2-4 rate shared; deaths and person-time divided equally","Mali",29.3609132094117,23241898,23772730,0.97767054940682,29.3558735923611,"estimated",FALSE,2015,2020,-0.589256961251388,0.101682148773506,0.554739324448257,0.454503139667497,0.677081611173115,0.00148293590069173,10,0.445260675551743,0.322918388826885,0.545496860332503,635.429792105147,510.026756765163,369.888983232404,624.842951056059,4480.85565221538,3596.55197824607,2608.3434579266,4406.20050204253,TRUE,FALSE,FALSE
"MOZ","<1",27184.4952567035,81530.2810502244,33342.8204913918,"0-27 days mapped to model <1 completed month","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,0.0589635101310975,0.0264630880456423,1.0607365338969,1.00705366299422,1.11728107020455,0.00250550225585503,10,-0.0607365338968975,-0.117281070204555,-0.00705366299422439,35367.9478383854,-2025.12734699359,-3910.48167086878,-235.189019023197,28835.5872743324,-1651.09201762882,-3188.22669667683,-191.750268208878,TRUE,FALSE,TRUE
"MOZ","1-5",13732.9527296918,443383.845929445,3097.30560907198,"direct age match","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,-0.0393611892299197,0.0323533421171553,0.961403397874677,0.902330084395962,1.0243440947264,0.00125064203487285,10,0.0385966021253235,-0.024344094726396,0.0976699156040385,2977.7601368181,119.545472253884,-75.4011011438459,302.513577437975,13202.907417178,530.045312513788,-334.316302124734,1341.29633410324,TRUE,FALSE,FALSE
"MOZ","6-11",11037.6458965482,508782.52084926,2169.42317085189,"direct age match","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,-0.335103921165537,0.0576612306500281,0.715263751447425,0.638828497362836,0.800844414810237,0.00170208357871118,10,0.284736248552575,0.199155585189763,0.361171502637164,1551.70975566049,617.713415191399,432.052741115239,783.533826472457,7894.82801111335,3142.81788543486,2198.20882764444,3986.48315403324,TRUE,FALSE,FALSE
"MOZ","12-23",8751.72445474373,1000897.29674079,874.38786009732,"direct age match","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,-0.616432078192398,0.0651898321393938,0.539867209394815,0.4751113236859,0.61344907866778,0.002477205188148,10,0.460132790605185,0.38655092133222,0.5248886763141,472.053333959444,402.334526137876,337.995432922327,458.956286471601,4724.76905877485,4026.95539596888,3382.98715122691,4593.68106451618,TRUE,FALSE,FALSE
"MOZ","24-35",4439.1897582981,957939.840785258,463.41007746991,"IHME 2-4 rate shared; deaths and person-time divided equally","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,-0.885069964585398,0.0726735319753439,0.412685298913132,0.35789606225067,0.475862055782376,0.00281171904878561,10,0.587314701086868,0.524137944217624,0.64210393774933,191.242526340027,272.167551129883,242.890805334809,297.557435536151,1831.98835233536,2607.20140596273,2326.7477939063,2850.42122421971,TRUE,FALSE,FALSE
"MOZ","36-47",4439.1897582981,957939.840785258,463.41007746991,"IHME 2-4 rate shared; deaths and person-time divided equally","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,-0.70864655199758,0.0840751302993127,0.492310062823347,0.417516656725211,0.580501865142696,0.001027248646157,10,0.507689937176653,0.419498134857304,0.582483343274789,228.141444352183,235.268633117727,194.399663172706,269.928651231902,2185.45778879249,2253.7319695056,1862.2318238837,2585.75409184468,TRUE,FALSE,FALSE
"MOZ","48-59",4439.1897582981,957939.840785258,463.41007746991,"IHME 2-4 rate shared; deaths and person-time divided equally","Mozambique",34.6327854633793,31152770,31159284,0.999790945132115,34.3918779894189,"estimated",FALSE,2015,2020,-0.550657810879671,0.100668568792086,0.576570411318291,0.47332890953027,0.70233073136743,0.00155560822894445,10,0.423429588681709,0.29766926863257,0.52667109046973,267.188538975867,196.221538494043,137.942938837431,244.064690835739,2559.50546486188,1879.68429343622,1321.41036867379,2337.99291080491,TRUE,FALSE,FALSE
"MRT","<1",3359.20244054122,10400.615885177,32298.1107813891,"0-27 days mapped to model <1 completed month","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,0.0109242373671143,0.00496011084231531,1.01098412472404,1.00119156700158,1.02087246250489,0.000460246208054888,10,-0.010984124724039,-0.0208724625048935,-0.00119156700157519,32652.8772585627,-354.766477173606,-674.141106263441,-38.4853630203231,3396.10033912142,-36.8978985802009,-70.1148269865433,-4.00271477975975,TRUE,FALSE,TRUE
