"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"BDI","Burundi",2015,"12 to 23 months","Rate (per 100,000)",1272.56332607049,1171.4036307104,1368.28699010626
"BDI","Burundi",2015,"1 to 5 months","Number",7215.70472469568,6716.23084208004,7735.06872668653
"BDI","Burundi",2015,"1 to 5 months","Rate (per 100,000)",3894.66119689104,3625.07123669964,4174.98680648715
"BDI","Burundi",2015,"6-11 months","Number",5342.98961105673,4941.89366251121,5787.78719115245
"BDI","Burundi",2015,"6-11 months","Rate (per 100,000)",2513.33722647417,2324.66207412477,2722.56958470051
"COD","Democratic Republic of the Congo",2015,"Under 5","Number",248211.14235586,240485.459260524,256271.450369756
"COD","Democratic Republic of the Congo",2015,"Under 5","Rate (per 100,000)",1854.17630232548,1796.46423356544,1914.38807189778
"COD","Democratic Republic of the Congo",2015,"0 to 6 days (early neonatal)","Number",54777.7651766356,51912.143451911,57828.23895335
"COD","Democratic Republic of the Congo",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",96315.1988275883,91276.604695617,101678.816481123
"COD","Democratic Republic of the Congo",2015,"7 to 27 days (late neonatal)","Number",10665.0028501862,9908.20877514484,11493.523361912
"COD","Democratic Republic of the Congo",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",6345.50454530244,5895.22428654478,6838.46087610552
"COD","Democratic Republic of the Congo",2015,"Under 1","Number",151525.925099099,145788.854339141,157996.742496989
"COD","Democratic Republic of the Congo",2015,"Under 1","Rate (per 100,000)",5309.90909302378,5108.8654486725,5536.66535349791
"COD","Democratic Republic of the Congo",2015,"2 to 4","Number",65640.4535416074,60948.5780464369,70796.7776705014
"COD","Democratic Republic of the Congo",2015,"2 to 4","Rate (per 100,000)",843.62241945785,783.32162713438,909.89238565132
"COM","Comoros",2015,"Under 5","Number",1091.49777195399,1056.72598199277,1125.1553242504
"COM","Comoros",2015,"Under 5","Rate (per 100,000)",1077.22232346431,1042.90530575204,1110.43967637008
"COM","Comoros",2015,"0 to 6 days (early neonatal)","Number",369.442434034081,349.244945488006,388.77899109289
