"svkey","iso3","survey_year","band","month","age_months","person_months_w","person_months_n","deaths_w","deaths_n"
"NG4BFL","NGA",2003,"<1 month",4,0,204.366391,167,14.021406,12
"CM44FL","CMR",2004,"<1 month",4,0,164.27666,101,1.57786,1
"TD41FL","TCD",2004,"<1 month",4,0,219.454424,277,8.31623,7
"GN52FL","GIN",2005,"<1 month",4,0,88.847355,94,0.875676,1
"SN4AFL","SEN",2005,"<1 month",4,0,764.794148,796,28.285103,26
"BJ51FL","BEN",2006,"<1 month",4,0,142.662416,128,3.114266,3
"ML53FL","MLI",2006,"<1 month",4,0,1370.880171,1311,45.593853,54
"NI51FL","NER",2006,"<1 month",4,0,841.587102,753,35.773949,31
"NG53FL","NGA",2008,"<1 month",4,0,867.150173000008,773,27.93147,25
"SN5AFL","SEN",2008,"<1 month",4,0,927.9624,1053,23.85558,32
"BF62FL","BFA",2010,"<1 month",4,0,1361.230984,1239,41.338018,37
"NG61FL","NGA",2010,"<1 month",4,0,170.352872,120,8.692969,7
"SN61FL","SEN",2010,"<1 month",4,0,739.281956,824,23.092637,24
"CM61FL","CMR",2011,"<1 month",4,0,207.408094,139,3.943774,3
"BJ61FL","BEN",2012,"<1 month",4,0,40.166412,47,0,0
"GN62FL","GIN",2012,"<1 month",4,0,119.445705,147,3.344931,4
"ML6AFL","MLI",2012,"<1 month",4,0,949.541108,952,25.721877,28
"NI61FL","NER",2012,"<1 month",4,0,1357.38414,1271,47.041083,39
"SN6DFL","SEN",2012,"<1 month",4,0,446.750346,480,11.92234,12
"GM61FL","GMB",2013,"<1 month",4,0,580.296594,593,16.964089,17
"NG6AFL","NGA",2013,"<1 month",4,0,1109.654456,950,35.473631,32
"SN71FL","SEN",2014,"<1 month",4,0,410.641159,474,4.158614,8
"TD71FL","TCD",2014,"<1 month",4,0,601.806655,711,20.111527,23
"SN7AFL","SEN",2015,"<1 month",4,0,399.236655,460,8.639275,13
"SN7IFL","SEN",2016,"<1 month",4,0,387.553573,448,7.976012,10
"BJ71FL","BEN",2017,"<1 month",4,0,170.064224,150,9.11774,8
"SN7ZFL","SEN",2017,"<1 month",4,0,820.074084,902,22.85233,23
"CM71FL","CMR",2018,"<1 month",4,0,173.036095,119,5.372908,6
"GN71FL","GIN",2018,"<1 month",4,0,229.754078,290,7.291865,9
"ML7AFL","MLI",2018,"<1 month",4,0,1021.639226,957,26.695063,30
"NG7BFL","NGA",2018,"<1 month",4,0,1097.253996,898,53.035247,40
