"svkey","iso3","survey_year","regkey","band","month","person_months_w","person_months_n","deaths_w","deaths_n"
"GM81FL","GMB",2019,"mansakonko","<1 month",1,31.57502,71,0,0
"NI51FL","NER",2006,"maradi","<1 month",1,176.935364,120,3.125653,2
"NI61FL","NER",2012,"maradi","<1 month",1,272.126896,240,4.236762,4
"SN4AFL","SEN",2005,"matam","<1 month",1,34.386293,81,0.57806,1
"SN5AFL","SEN",2008,"matam","<1 month",1,38.717337,58,2.884726,5
"SN61FL","SEN",2010,"matam","<1 month",1,21.611617,39,0,0
"SN7ZFL","SEN",2017,"matam","<1 month",1,40.738811,82,0.347444,1
"SN8SFL","SEN",2023,"matam","<1 month",1,41.013209,71,0,0
"ML41FL","MLI",2001,"mopti","<1 month",1,167.617465,155,8.64284,8
"ML53FL","MLI",2006,"mopti","<1 month",1,169.502544,201,4.188438,6
"ML6AFL","MLI",2012,"mopti","<1 month",1,106.834567,121,5.707948,8
"ML7AFL","MLI",2018,"mopti","<1 month",1,89.624925,63,1.39205,1
"ML8AFL","MLI",2023,"mopti","<1 month",1,110.824704,127,5.762195,7
"TD71FL","TCD",2014,"ndjamena","<1 month",1,81.270563,82,1.616082,1
"NI51FL","NER",2006,"niamey","<1 month",1,48.730161,80,3.251164,4
"NI61FL","NER",2012,"niamey","<1 month",1,73.601327,97,1.820496,3
"BF43FL","BFA",2003,"nord","<1 month",1,88.3720349999999,59,3.068849,3
"BF62FL","BFA",2010,"nord","<1 month",1,61.371502,65,0.562182,1
"BF81FL","BFA",2021,"nord","<1 month",1,76.0644079999999,101,0.915018,1
"SN6DFL","SEN",2012,"north","<1 month",1,91.203657,97,0,0
"SN71FL","SEN",2014,"north","<1 month",1,108.404718,128,3.500135,4
"SN7AFL","SEN",2015,"north","<1 month",1,89.093897,102,2.022375,2
"SN7IFL","SEN",2016,"north","<1 month",1,98.527301,116,8.444106,8
"SN81FL","SEN",2018,"north","<1 month",1,68.5007899999999,90,0.524175,1
"SN8BFL","SEN",2019,"north","<1 month",1,75.4274769999999,98,2.259038,3
"MR71FL","MRT",2020,"northnouakchott","<1 month",1,137.873748,55,0,0
"NG4BFL","NGA",2003,"northwest","<1 month",1,255.732678,209,9.697705,7
"NG53FL","NGA",2008,"northwest","<1 month",1,877.046171000008,788,52.998706,42
"NG61FL","NGA",2010,"northwest","<1 month",1,162.015846,121,20.354165,13
"NG6AFL","NGA",2013,"northwest","<1 month",1,1325.927928,1106,56.558978,45
"NG7BFL","NGA",2018,"northwest","<1 month",1,975.223870999998,778,63.98137,46
"NG8BFL","NGA",2024,"northwest","<1 month",1,848.557346999998,607,47.595325,33
"TD71FL","TCD",2014,"ouaddai","<1 month",1,61.11951,48,0.892745,1
"BF43FL","BFA",2003,"ouagadougou","<1 month",1,39.417684,21,0,0
"BF43FL","BFA",2003,"plateaucentral","<1 month",1,30.924038,53,0,0
"BF62FL","BFA",2010,"plateaucentral","<1 month",1,49.926584,75,1.814453,2
"BF81FL","BFA",2021,"plateaucentral","<1 month",1,50.332902,72,1.00937,1
"BF43FL","BFA",2003,"sahel","<1 month",1,44.09562,38,3.314892,4
"BF62FL","BFA",2010,"sahel","<1 month",1,86.169634,77,0.302848,1
"BF81FL","BFA",2021,"sahel","<1 month",1,41.492566,53,0,0
"SN4AFL","SEN",2005,"saintlouis","<1 month",1,74.927179,89,1.572239,2
