"svkey","iso3","month","births_w","births_n"
"NG53FL","NGA",8,742.711419000005,681
"NG53FL","NGA",9,588.614923000001,536
"NG53FL","NGA",10,469.138928,410
"NG53FL","NGA",11,356.420897,320
"NG53FL","NGA",12,468.752556,397
"NG61FL","NGA",1,162.015846,121
"NG61FL","NGA",2,152.805532,109
"NG61FL","NGA",3,167.144699,122
"NG61FL","NGA",4,170.352872,120
"NG61FL","NGA",5,89.726989,71
"NG61FL","NGA",6,140.088536,108
"NG61FL","NGA",7,153.535308,117
"NG61FL","NGA",8,201.028193,153
"NG61FL","NGA",9,258.698863,196
"NG61FL","NGA",10,256.141106,194
"NG61FL","NGA",11,150.328876,114
"NG61FL","NGA",12,101.068384,74
"NG6AFL","NGA",1,1325.927928,1106
"NG6AFL","NGA",2,1334.697414,1125
"NG6AFL","NGA",3,1260.93685800001,1091
"NG6AFL","NGA",4,1109.654456,950
"NG6AFL","NGA",5,871.009314000001,753
"NG6AFL","NGA",6,799.936232,674
"NG6AFL","NGA",7,984.957001000001,842
"NG6AFL","NGA",8,922.696667000001,791
"NG6AFL","NGA",9,861.172759,721
"NG6AFL","NGA",10,920.882014000003,754
"NG6AFL","NGA",11,633.33968,523
"NG6AFL","NGA",12,887.563783000003,703
"NG7BFL","NGA",1,975.223870999998,778
"NG7BFL","NGA",2,1075.651076,902
"NG7BFL","NGA",3,1108.1264,936
"NG7BFL","NGA",4,1097.253996,898
"NG7BFL","NGA",5,1174.828644,974
"NG7BFL","NGA",6,1238.460166,1008
"NG7BFL","NGA",7,1112.335654,930
"NG7BFL","NGA",8,1237.268798,1042
"NG7BFL","NGA",9,1120.259463,916
"NG7BFL","NGA",10,886.510695999998,710
"NG7BFL","NGA",11,826.388169999999,649
"NG7BFL","NGA",12,658.894298000001,551
"NG8BFL","NGA",1,848.557346999998,607
"NG8BFL","NGA",2,832.471576999998,600
"NG8BFL","NGA",3,944.936197999999,715
"NG8BFL","NGA",4,1048.61589,785
"NG8BFL","NGA",5,938.455560999998,740
"NG8BFL","NGA",6,972.474800999998,756
"NG8BFL","NGA",7,929.736974999999,735
"NG8BFL","NGA",8,928.352880999998,739
"NG8BFL","NGA",9,908.837767999998,696
"NG8BFL","NGA",10,976.227151999998,753
"NG8BFL","NGA",11,1017.092633,725
"NG8BFL","NGA",12,1000.068488,737
"NI51FL","NER",1,821.155784000001,785
"NI51FL","NER",2,984.988628000002,896
"NI51FL","NER",3,978.697301000004,846
"NI51FL","NER",4,841.587102000002,753
"NI51FL","NER",5,772.686615000001,705
"NI51FL","NER",6,670.112098,612
"NI51FL","NER",7,700.787303000001,646
"NI51FL","NER",8,1047.636962,944
"NI51FL","NER",9,873.967247000002,823
"NI51FL","NER",10,934.013519000003,856
"NI51FL","NER",11,593.307234,585
"NI51FL","NER",12,700.869327,694
"NI61FL","NER",1,1513.930618,1484
"NI61FL","NER",2,1406.38963,1298
"NI61FL","NER",3,1573.58433,1495
"NI61FL","NER",4,1357.38414,1271
"NI61FL","NER",5,1121.595657,1111
"NI61FL","NER",6,983.365292,873
"NI61FL","NER",7,848.411747999999,808
"NI61FL","NER",8,1033.12657,986
"NI61FL","NER",9,1066.481391,994
"NI61FL","NER",10,874.40405,816
"NI61FL","NER",11,731.875368,692
"NI61FL","NER",12,847.441108,769
"SN4AFL","SEN",1,1104.595571,1103
"SN4AFL","SEN",2,957.673069000002,987
"SN4AFL","SEN",3,838.634198000002,879
"SN4AFL","SEN",4,764.794148000002,796
"SN4AFL","SEN",5,672.550858,719
"SN4AFL","SEN",6,622.503118,647
"SN4AFL","SEN",7,560.391431999999,567
"SN4AFL","SEN",8,864.594631000002,914
"SN4AFL","SEN",9,896.168913000003,933
"SN4AFL","SEN",10,1022.030708,1031
"SN4AFL","SEN",11,1027.376999,1082
"SN4AFL","SEN",12,1025.24671,1059
"SN5AFL","SEN",1,1041.923823,1003
"SN5AFL","SEN",2,948.754842999999,1000
"SN5AFL","SEN",3,1114.707382,1115
"SN5AFL","SEN",4,927.962399999999,1053
"SN5AFL","SEN",5,834.880534999999,956
"SN5AFL","SEN",6,858.2785,938
"SN5AFL","SEN",7,905.495006999999,1003
"SN5AFL","SEN",8,1020.659832,1166
"SN5AFL","SEN",9,1403.35595,1520
"SN5AFL","SEN",10,1540.419733,1616
"SN5AFL","SEN",11,1275.083783,1377
"SN5AFL","SEN",12,991.200784999999,1085
"SN61FL","SEN",1,853.852300999999,914
"SN61FL","SEN",2,826.36274,896
"SN61FL","SEN",3,844.356054999999,941
"SN61FL","SEN",4,739.281955999999,824
"SN61FL","SEN",5,720.640937999998,810
"SN61FL","SEN",6,613.376026999998,732
"SN61FL","SEN",7,659.656229999998,755
"SN61FL","SEN",8,971.296882999999,1098
"SN61FL","SEN",9,1240.779573,1283
"SN61FL","SEN",10,1115.558814,1190
"SN61FL","SEN",11,988.813745999998,1052
"SN61FL","SEN",12,1022.513361,1038
"SN6DFL","SEN",1,495.396188,536
"SN6DFL","SEN",2,506.586788,547
"SN6DFL","SEN",3,488.115573,544
"SN6DFL","SEN",4,446.750346,480
"SN6DFL","SEN",5,366.546176,439
"SN6DFL","SEN",6,408.069483,464
"SN6DFL","SEN",7,422.945146,471
"SN6DFL","SEN",8,647.446047000001,698
"SN6DFL","SEN",9,701.581609000001,724
"SN6DFL","SEN",10,721.115436000002,736
"SN6DFL","SEN",11,592.720963000001,632
"SN6DFL","SEN",12,606.501573,618
"SN71FL","SEN",1,568.187108,605
"SN71FL","SEN",2,557.019699,592
"SN71FL","SEN",3,497.909675,540
"SN71FL","SEN",4,410.641159000001,474
"SN71FL","SEN",5,442.970527,488
"SN71FL","SEN",6,376.319425,454
"SN71FL","SEN",7,403.981736,456
"SN71FL","SEN",8,599.015318999999,653
"SN71FL","SEN",9,561.555869,639
"SN71FL","SEN",10,681.427589999998,748
"SN71FL","SEN",11,574.910854,640
"SN71FL","SEN",12,544.644484999999,571
"SN7AFL","SEN",1,585.267101999999,592
"SN7AFL","SEN",2,540.147203,606
"SN7AFL","SEN",3,505.985307,530
"SN7AFL","SEN",4,399.236654999999,460
"SN7AFL","SEN",5,409.675839999999,515
"SN7AFL","SEN",6,414.947345,486
"SN7AFL","SEN",7,419.918661999999,481
"SN7AFL","SEN",8,574.454210999999,677
"SN7AFL","SEN",9,622.481056000001,674
"SN7AFL","SEN",10,704.510632000001,745
"SN7AFL","SEN",11,579.936199999999,611
"SN7AFL","SEN",12,618.501555000002,626
"SN7IFL","SEN",1,554.825625999999,598
"SN7IFL","SEN",2,510.698825,536
"SN7IFL","SEN",3,466.114751,528
"SN7IFL","SEN",4,387.553573000001,448
"SN7IFL","SEN",5,444.36681,505
"SN7IFL","SEN",6,343.972777000001,448
"SN7IFL","SEN",7,427.338953,496
"SN7IFL","SEN",8,548.973726,604
"SN7IFL","SEN",9,601.904151999999,658
"SN7IFL","SEN",10,650.884786,705
"SN7IFL","SEN",11,562.458764000001,598
"SN7IFL","SEN",12,542.941575999999,585
"SN7ZFL","SEN",1,1046.57476,1086
"SN7ZFL","SEN",2,864.889429000003,930
"SN7ZFL","SEN",3,892.67348,976
"SN7ZFL","SEN",4,820.074084000003,902
"SN7ZFL","SEN",5,818.377105000001,938
"SN7ZFL","SEN",6,735.949177000003,862
"SN7ZFL","SEN",7,800.635721000003,878
"SN7ZFL","SEN",8,900.505875000002,949
"SN7ZFL","SEN",9,1125.566175,1182
"SN7ZFL","SEN",10,1131.975577,1222
"SN7ZFL","SEN",11,1013.144739,1087
"SN7ZFL","SEN",12,1093.06326,1135
"SN81FL","SEN",1,472.898055,547
"SN81FL","SEN",2,440.732605,473
"SN81FL","SEN",3,507.497483,544
"SN81FL","SEN",4,428.654199,510
"SN81FL","SEN",5,453.385427,479
"SN81FL","SEN",6,410.738774,509
"SN81FL","SEN",7,401.551541,460
"SN81FL","SEN",8,488.298826,553
"SN81FL","SEN",9,627.252949,695
"SN81FL","SEN",10,636.920382999999,677
"SN81FL","SEN",11,596.185920999999,648
"SN81FL","SEN",12,576.177766999999,603
"SN8BFL","SEN",1,508.486303999999,550
"SN8BFL","SEN",2,413.250957999999,444
"SN8BFL","SEN",3,447.080193999999,471
"SN8BFL","SEN",4,428.628041999999,489
"SN8BFL","SEN",5,405.973786,475
"SN8BFL","SEN",6,372.197575,463
"SN8BFL","SEN",7,373.325891999999,404
"SN8BFL","SEN",8,445.966866,475
"SN8BFL","SEN",9,598.660639,620
"SN8BFL","SEN",10,558.212014999999,613
"SN8BFL","SEN",11,479.873088,507
"SN8BFL","SEN",12,545.044703,583
"SN8SFL","SEN",1,961.176593,958
"SN8SFL","SEN",2,759.888537999999,839
"SN8SFL","SEN",3,845.779062000002,929
"SN8SFL","SEN",4,747.502781000001,820
"SN8SFL","SEN",5,754.508641000001,838
"SN8SFL","SEN",6,632.150896000001,777
"SN8SFL","SEN",7,623.621587000001,653
"SN8SFL","SEN",8,775.141804000002,809
"SN8SFL","SEN",9,932.245530000001,989
"SN8SFL","SEN",10,982.608203999999,1023
"SN8SFL","SEN",11,896.570908999999,902
"SN8SFL","SEN",12,964.337063000002,986
"TD41FL","TCD",1,122.614045,176
"TD41FL","TCD",2,212.721688,242
"TD41FL","TCD",3,208.583543,264
"TD41FL","TCD",4,219.454424,277
"TD41FL","TCD",5,289.734952,312
"TD41FL","TCD",6,310.643721999999,346
"TD41FL","TCD",7,302.50881,324
"TD41FL","TCD",8,363.643788999999,398
"TD41FL","TCD",9,367.705790999999,375
"TD41FL","TCD",10,276.630035,310
"TD41FL","TCD",11,226.549367,258
"TD41FL","TCD",12,178.291901,230
"TD71FL","TCD",1,635.626399,717
"TD71FL","TCD",2,648.561321,722
"TD71FL","TCD",3,681.898842000001,778
"TD71FL","TCD",4,601.806655,711
"TD71FL","TCD",5,738.384773000001,868
"TD71FL","TCD",6,766.659614,901
"TD71FL","TCD",7,842.843880999999,970
"TD71FL","TCD",8,952.608206,1060
"TD71FL","TCD",9,872.433201999999,996
"TD71FL","TCD",10,787.582028000001,902
"TD71FL","TCD",11,618.73057,712
"TD71FL","TCD",12,600.523700000001,656
