"iso3","country","year","map_matched","snow_matched","map_full","snow_full","pfpr_pct","previous_map_gamma1","ihme_malaria","matched_snow_minus_map","matched_snow_vs_map_percent","full_snow_minus_map","full_snow_vs_map_percent","map_gamma2_minus_previous","map_gamma2_vs_previous_percent"
"ZMB","Zambia",2005,13248.9290416827,10358.6716278201,14110.1790334468,10346.9167255457,20.8670520447216,13032.6397945098,3742.04847209806,-2890.25741386264,-21.8150267449508,-3763.26230790109,-26.6705496718407,1077.53923893703,8.26800445594269
"ZWE","Zimbabwe",2005,1712.19110439218,1250.76516369615,1842.73443142731,1248.81073365534,4.09485353977597,1706.28449341475,363.485138105732,-461.425940696028,-26.9494415379428,-593.923697771961,-32.2305638643726,136.449938012555,7.99690429932238
"AGO","Angola",2015,12697.429087393,9541.62003479581,13787.7805136142,9530.9077476889,12.001303326479,12839.0388844565,6832.55631081913,-3155.8090525972,-24.8539214582464,-4256.87276592528,-30.8742423171155,948.741629157681,7.38950662659235
"BDI","Burundi",2015,8088.71320626229,6223.31819083067,8659.81537307346,6216.02055949408,16.717817650048,8034.40932554586,7621.7837339771,-1865.39501543162,-23.0617029911189,-2443.79481357938,-28.2199412839451,625.406047527596,7.78409491210612
"BEN","Benin",2015,12270.6648423177,10261.534231337,13049.3879411623,10252.2515322819,36.3793100261877,11828.6272004272,7298.77480376705,-2009.13061098062,-16.3734454228736,-2797.13640888041,-21.435000794614,1220.76074073512,10.3203923840886
"BFA","Burkina Faso",2015,15862.2866927277,13607.262929477,16685.0999689366,13593.0016137719,39.2003452509794,14934.344384126,13545.8717646912,-2255.02376325063,-14.2162590232623,-3092.0983551647,-18.5320936699295,1750.75558481057,11.7230160211886
"BWA","Botswana",2015,1.76597900025582,1.26725903378472,1.89470049488242,1.26505771696071,0.0668556239324968,1.70026200689591,0.518384167820944,-0.498719966471102,-28.2404245123446,-0.629642777921708,-33.2317841063731,0.19443848798651,11.4357956125531
"CAF","Central African Republic",2015,7779.14297148622,6575.70042470525,8333.93032449785,6569.33327440604,36.7348327663838,7484.69883671562,2950.93257259004,-1203.44254678097,-15.4701173534422,-1764.5970500918,-21.1736477434268,849.231487782225,11.3462345821636
"CIV","Cote d'Ivoire",2015,17267.5347684826,13552.6156057305,18226.5269114979,13534.6496026266,21.3567298975211,16746.1663912467,12113.9747572197,-3714.91916275214,-21.5138942099179,-4691.87730887125,-25.7420260681231,1480.36052025115,8.83999648435923
"CMR","Cameroon",2015,23241.7311868448,18504.341037288,24701.6804531127,18483.6823550607,25.339889009207,22692.2599158856,12490.1867607554,-4737.39014955687,-20.3831208246583,-6217.99809805197,-25.1723687781267,2009.42053722711,8.8550921974079
"COD","Democratic Republic of the Congo",2015,73090.4714858054,59543.9216967715,78164.6209948458,59488.8686556829,31.2906693790223,71147.3987223138,72887.450903449,-13546.549789034,-18.5339477412795,-18675.7523391629,-23.8928457676452,7017.22227253203,9.8629358185252
"COG","Congo",2015,1912.4566380204,1482.09261153444,2034.65529279008,1480.20587600811,19.1216915715156,1877.30067356812,1162.69867040741,-430.364026485965,-22.5032044089343,-554.449416781972,-27.2502874932523,157.354619221965,8.38196147465746
"COM","Comoros",2015,3.31482493491524,2.37040839930464,3.52344076079359,2.3658154330203,0.242446595277091,3.23778208902262,0.566885759376502,-0.944416535610598,-28.4906911874291,-1.15762532777329,-32.8549678102878,0.285658671770972,8.82266514289118
"CPV","Cape Verde",2015,,,,,,,0.0236627273474872,,,,,,
"DJI","Djibouti",2015,9.4976701418142,6.80240356568581,10.0503901452325,6.78970137996948,0.446388006068223,9.15241597180649,15.5983083618225,-2.69526657612839,-28.3781868172309,-3.26068876526304,-32.4434048643353,0.897974173426032,9.81133480156706
"ERI","Eritrea",2015,105.723768934395,75.8740676717519,118.829923004931,75.7938746923911,0.437883754324056,110.921587008119,22.6752348843585,-29.8497012626427,-28.2336711635446,-43.0360483125402,-36.2165077820965,7.90833599681231,7.12966358499132
