"survey","country","region","records","deaths","distinct_children","regkey","survey_year","lat","lon","selected","exclusion"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,31,1199,"kayanza",2016,-3.00500449047215,29.6583175606337,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,37,1347,"bubanza",2016,-3.12451520144509,29.3994747323108,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,85,1523,"muyinga",2016,-2.76807039755833,30.3509267049507,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,25,1245,"bujumburarural",2016,-3.45138939304194,29.4267937490691,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,28,1305,"makamba",2016,-4.24571964053361,29.7394552292319,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,22,995,"bururi",2016,-3.86741934599765,29.6794559462753,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,31,1303,"rumonge",2016,-3.86493006200232,29.4070143482867,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7372,162,2293,"alibori",2006,11.3252083911183,2.89907656539624,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8252,202,2609,"atacora",2006,10.684826490648,1.57616349508486,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",8992,157,2829,"atlantique",2006,6.61354975895641,2.2144990878329,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:borgou",8942,152,2764,"borgou",2006,9.79697751339986,2.77906106289394,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:collines",5772,112,1815,"collines",2006,8.13663272926828,2.20852008399075,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7166,121,2287,"couffo",2006,6.99671106497258,1.78229627253177,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:donga",4333,119,1408,"donga",2006,9.32307245190123,1.8080920478087,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5193,60,1601,"littoral",2006,6.37071977056844,2.4163339413197,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:mono",5383,57,1691,"mono",2006,6.55403177815679,1.83131578396962,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:oueme",9601,212,3008,"oueme",2006,6.61153523532374,2.5423801195754,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4168,76,1333,"plateau",2006,7.19467946495702,2.63127105998026,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:zou",8545,161,2715,"zou",2006,7.27836664083206,2.10739232676024,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,97,1871,"alibori",2012,11.3252083868267,2.89907656874522,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,86,2490,"atacora",2012,10.6848264905077,1.57616349517508,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,107,2630,"atlantique",2012,6.6135497582565,2.21449908813266,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,57,2088,"borgou",2012,9.79697750824083,2.77906105753465,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,68,1686,"collines",2012,8.13663272929773,2.2085200838922,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,86,1852,"couffo",2012,6.99671106449571,1.78229627249244,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,47,1371,"donga",2012,9.3230724518757,1.80809204770979,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,54,1792,"littoral",2012,6.37071976621451,2.41633394135191,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,41,1460,"mono",2012,6.5540317766821,1.83131578443869,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,74,2606,"oueme",2012,6.61153523532374,2.5423801195754,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,33,1454,"plateau",2012,7.19467946496536,2.63127106033152,FALSE,"centroid_south_of_12N"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,104,2311,"zou",2012,7.27836664086792,2.1073923263512,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,123,2739,"alibori",2017,11.3252083868267,2.89907656874522,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,119,2154,"atacora",2017,10.6848264905077,1.57616349517508,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:atlantic",7314,119,2181,"atlantic",2017,6.6135497582565,2.21449908813266,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:borgou",9664,125,2895,"borgou",2017,9.79697750824083,2.77906105753465,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:collines",5781,79,1736,"collines",2017,8.13663272929773,2.2085200838922,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:couffo",4853,65,1484,"couffo",2017,6.99671106449571,1.78229627249244,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:donga",5206,114,1590,"donga",2017,9.3230724518757,1.80809204770979,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:littoral",4754,36,1411,"littoral",2017,6.37071976621451,2.41633394135191,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:mono",3759,61,1109,"mono",2017,6.5540317766821,1.83131578443869,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:oueme",5764,64,1694,"oueme",2017,6.61153523532374,2.5423801195754,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:plateau",4705,90,1397,"plateau",2017,7.19467946496536,2.63127106033152,FALSE,"centroid_south_of_12N"
"BJ71FL","BEN","BEN:BJ71FL:zou",6771,90,2010,"zou",2017,7.27836664086792,2.1073923263512,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:est",2154,52,1129,"est",2003,12.2282387138743,0.920215008871161,TRUE,"included"
"BF43FL","BFA","BFA:BF43FL:nord",2142,63,1168,"nord",2003,13.4565926624718,-2.28301186955895,TRUE,"included"
