"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"BDI",2003,40290.332021792,1236961.94478561,40290.332021792,1236961.94478561,6,-2.22044604925031e-16,4.44089209850063e-16,11873.0101819366,959.85250249509,1236961.94478561,3.77475828372553e-15
"BDI",2004,39917.2178432977,1286594.6465811,39917.2178432977,1286594.6465811,6,2.22044604925031e-16,3.33066907387547e-15,10413.3682689786,809.3744441305,1286594.6465811,3.10862446895044e-15
"BDI",2005,39965.5290915807,1348569.62391126,39965.5290915807,1348569.62391127,6,-2.22044604925031e-16,1.99840144432528e-15,9544.83585622456,707.7747924161,1348569.62391127,4.88498130835069e-15
"BDI",2006,39027.7648044048,1414394.53689797,39027.7648044048,1414394.53689797,6,4.44089209850063e-16,-1.77635683940025e-15,9205.6083017342,650.85151713918,1414394.53689798,1.02140518265514e-14
"BDI",2007,38502.1655843279,1480143.28491459,38502.1655843279,1480143.28491459,6,-5.55111512312578e-16,1.99840144432528e-15,8336.95992020717,563.25357181134,1480143.2849146,7.7715611723761e-15
"BDI",2008,38589.1052420703,1548570.79985916,38589.1052420703,1548570.79985916,6,-2.22044604925031e-16,-4.44089209850063e-16,7492.81082953826,483.85329429043,1548570.79985917,8.88178419700125e-15
"BDI",2009,38767.797746218,1626789.30237373,38767.797746218,1626789.30237373,6,4.44089209850063e-16,1.55431223447522e-15,7055.31797907276,433.69586760731,1626789.30237375,1.46549439250521e-14
"BDI",2010,39448.0413100294,1726723.24393437,39448.0413100294,1726723.24393439,6,0,7.32747196252603e-15,7321.71824105396,424.02384208202,1726723.24393441,1.86517468137026e-14
"BDI",2011,40246.9582240383,1819528.59458416,40246.9582240383,1819528.59458416,6,0,3.77475828372553e-15,7098.30337800836,390.11771505743,1819528.59458418,1.02140518265514e-14
"BDI",2012,39540.1450020691,1864536.31652681,39540.1450020691,1864536.31652681,6,-7.7715611723761e-16,6.66133814775094e-16,6848.41947835859,367.29879797222,1864536.31652684,1.68753899743024e-14
"BDI",2013,38885.9712264922,1905428.03584368,38885.9712264922,1905428.03584368,6,-1.11022302462516e-15,-1.11022302462516e-16,7184.09579710481,377.03317375215,1905428.03584371,1.79856129989275e-14
"BDI",2014,39238.6503185008,1964366.01245004,39238.6503185008,1964366.01245004,6,-3.33066907387547e-16,-5.55111512312578e-16,7167.86265565524,364.89445501631,1964366.01245005,8.43769498715119e-15
"BDI",2015,39468.6283250787,2015992.8016155,39468.6283250787,2015992.80161551,6,8.88178419700125e-16,3.10862446895044e-15,7621.7837339771,378.06601927692,2015992.80161553,1.55431223447522e-14
