"svkey","SurveyId","iso3","year","success","regions","regions_low_coverage","reason"
"KE42FL","KE2003DHS","KEN",2003,TRUE,8,0,""
"KE52FL","KE2008DHS","KEN",2008,TRUE,8,0,""
"KE72FL","KE2014DHS","KEN",2014,TRUE,8,0,""
"KE8CFL","KE2022DHS","KEN",2022,TRUE,47,0,""
"LB51FL","LB2007DHS","LBR",2007,TRUE,6,0,""
"LB5AFL","LB2009MIS","LBR",2009,TRUE,6,0,""
"LB6AFL","LB2013DHS","LBR",2013,TRUE,5,0,""
"LB7AFL","LB2019DHS","LBR",2019,TRUE,5,0,""
"LS41FL","LS2004DHS","LSO",2004,FALSE,0,NA,"no overlap with the Snow polygons"
"LS61FL","LS2009DHS","LSO",2009,FALSE,0,NA,"no overlap with the Snow polygons"
"LS71FL","LS2014DHS","LSO",2014,FALSE,0,NA,"no overlap with the Snow polygons"
"LS81FL","LS2023DHS","LSO",2023,FALSE,0,NA,"no overlap with the Snow polygons"
"MD42FL","MD2004DHS","MDG",2004,TRUE,6,0,""
"MD51FL","MD2008DHS","MDG",2008,TRUE,22,0,""
"MD81FL","MD2021DHS","MDG",2021,TRUE,23,0,""
"ML41FL","ML2001DHS","MLI",2001,TRUE,7,0,""
"ML53FL","ML2006DHS","MLI",2006,TRUE,9,0,""
"ML6AFL","ML2012DHS","MLI",2012,TRUE,10,0,""
"ML7AFL","ML2018DHS","MLI",2018,TRUE,9,0,""
"ML8AFL","ML2023DHS","MLI",2023,TRUE,9,0,""
"MZ41FL","MZ2003DHS","MOZ",2003,TRUE,11,0,""
"MZ62FL","MZ2011DHS","MOZ",2011,TRUE,11,0,""
"MZ81FL","MZ2022DHS","MOZ",2022,TRUE,11,0,""
"MR71FL","MR2020DHS","MRT",2020,TRUE,14,3,""
"MW41FL","MW2000DHS","MWI",2000,TRUE,3,0,""
"MW4EFL","MW2004DHS","MWI",2004,TRUE,3,0,""
"MW61FL","MW2010DHS","MWI",2010,TRUE,3,0,""
"MW7AFL","MW2015DHS","MWI",2015,TRUE,3,0,""
"MW81FL","MW2024DHS","MWI",2024,TRUE,3,0,""
"NM41FL","NM2000DHS","NAM",2000,TRUE,12,2,""
"NM51FL","NM2006DHS","NAM",2006,TRUE,12,2,""
"NM61FL","NM2013DHS","NAM",2013,TRUE,12,2,""
"NI51FL","NI2006DHS","NER",2006,TRUE,8,0,""
"NI61FL","NI2012DHS","NER",2012,TRUE,8,0,""
"NG4BFL","NG2003DHS","NGA",2003,TRUE,6,0,""
"NG53FL","NG2008DHS","NGA",2008,TRUE,6,0,""
"NG61FL","NG2010MIS","NGA",2010,TRUE,6,0,""
"NG6AFL","NG2013DHS","NGA",2013,TRUE,6,0,""
"NG7BFL","NG2018DHS","NGA",2018,TRUE,6,0,""
"NG8BFL","NG2024DHS","NGA",2024,TRUE,6,0,""
"RW41FL","RW2000DHS","RWA",2000,TRUE,12,0,""
"RW53FL","RW2005DHS","RWA",2005,TRUE,5,0,""
"RW5AFL","RW2008DHS","RWA",2008,TRUE,5,0,""
"RW61FL","RW2010DHS","RWA",2010,TRUE,5,0,""
"RW70FL","RW2015DHS","RWA",2015,TRUE,5,0,""
"RW81FL","RW2019DHS","RWA",2019,TRUE,5,0,""
"SN4AFL","SN2005DHS","SEN",2005,TRUE,11,0,""
"SN5AFL","SN2008MIS","SEN",2008,TRUE,11,0,""
"SN61FL","SN2010DHS","SEN",2010,TRUE,14,0,""
"SN6DFL","SN2012DHS","SEN",2012,TRUE,4,0,""
"SN71FL","SN2014DHS","SEN",2014,TRUE,4,0,""
"SN7AFL","SN2015DHS","SEN",2015,TRUE,4,0,""
"SN7IFL","SN2016DHS","SEN",2016,TRUE,4,0,""
"SN7ZFL","SN2017DHS","SEN",2017,TRUE,14,0,""
"SN81FL","SN2018DHS","SEN",2018,TRUE,4,0,""
"SN8BFL","SN2019DHS","SEN",2019,TRUE,4,0,""
"SN8SFL","SN2023DHS","SEN",2023,TRUE,14,0,""
"SL51FL","SL2008DHS","SLE",2008,TRUE,4,0,""
"SL61FL","SL2013DHS","SLE",2013,TRUE,4,0,""
"SL7AFL","SL2019DHS","SLE",2019,TRUE,5,0,""
"ST51FL","ST2008DHS","STP",2008,FALSE,0,NA,"no overlap with the Snow polygons"
"SZ51FL","SZ2006DHS","SWZ",2006,TRUE,4,0,""
"TD41FL","TD2004DHS","TCD",2004,TRUE,8,0,""
"TD71FL","TD2014DHS","TCD",2014,TRUE,21,0,""
"TG61FL","TG2013DHS","TGO",2013,TRUE,6,0,""
"TZ4IFL","TZ2004DHS","TZA",2004,TRUE,7,0,""
"TZ63FL","TZ2010DHS","TZA",2010,TRUE,7,0,""
"TZ7BFL","TZ2015DHS","TZA",2015,TRUE,8,0,""
"TZ82FL","TZ2022DHS","TZA",2022,TRUE,8,0,""
"UG41FL","UG2000DHS","UGA",2000,TRUE,4,0,""
"UG52FL","UG2006DHS","UGA",2006,TRUE,9,0,""
"UG5AFL","UG2009MIS","UGA",2009,TRUE,10,0,""
"UG61FL","UG2011DHS","UGA",2011,TRUE,10,0,""
"UG7BFL","UG2016DHS","UGA",2016,TRUE,15,0,""
"ZA71FL","ZA2016DHS","ZAF",2016,TRUE,6,2,""
"ZM42FL","ZM2002DHS","ZMB",2002,TRUE,9,0,""
"ZM51FL","ZM2007DHS","ZMB",2007,TRUE,9,0,""
"ZM61FL","ZM2013DHS","ZMB",2013,TRUE,10,0,""
"ZM71FL","ZM2018DHS","ZMB",2018,TRUE,10,0,""
"ZM81FL","ZM2024DHS","ZMB",2024,TRUE,10,0,""
"ZW52FL","ZW2005DHS","ZWE",2005,TRUE,10,2,""
"ZW62FL","ZW2010DHS","ZWE",2010,TRUE,10,2,""
"ZW72FL","ZW2015DHS","ZWE",2015,TRUE,10,2,""
