"prevalence","outcome","relative_change","lo","hi"
1.65973818227146,"Post-neonatal (1 month–5 years)",0.572619430497556,0.409465413300891,0.73603855450679
1.69025878143562,"Post-neonatal (1 month–5 years)",0.599188978566456,0.428448495772549,0.77021974078717
1.72134061789811,"Post-neonatal (1 month–5 years)",0.626254322858144,0.44778434289896,0.805041398251105
1.75299401214127,"Post-neonatal (1 month–5 years)",0.65382485023906,0.467479579237384,0.840515751092008
1.78522947442877,"Post-neonatal (1 month–5 years)",0.6819101303152,0.487540956312915,0.876655265112669
1.81805770829547,"Post-neonatal (1 month–5 years)",0.710519919174746,0.507975355146573,0.91347265280608
1.8514896141014,"Post-neonatal (1 month–5 years)",0.739664163214027,0.528789788837547,0.950980878554342
1.88553629265118,"Post-neonatal (1 month–5 years)",0.769353003049122,0.549991405200267,0.989193163948432
1.92020904887996,"Post-neonatal (1 month–5 years)",0.799596777514866,0.571587489457959,1.02812299323232
1.95551939560709,"Post-neonatal (1 month–5 years)",0.830406027753816,0.593585466993862,1.06778411887456
1.99147905735892,"Post-neonatal (1 month–5 years)",0.86179150139738,0.615992906161655,1.10819056727078
2.02809997426179,"Post-neonatal (1 month–5 years)",0.893764156841304,0.638817521156221,1.1493566445808
2.06539430600668,"Post-neonatal (1 month–5 years)",0.926335167618153,0.662067174946457,1.19129694270372
2.10337443588675,"Post-neonatal (1 month–5 years)",0.959515926869026,0.685749882271525,1.23402634539493
2.14205297490909,"Post-neonatal (1 month–5 years)",0.993318051917491,0.709873812702067,1.2775600345289
2.18144276598212,"Post-neonatal (1 month–5 years)",1.02775338894772,0.734447293767859,1.32191349651143
2.22155688817999,"Post-neonatal (1 month–5 years)",1.06283401779022,0.759478814153813,1.367102528846
2.26240866108536,"Post-neonatal (1 month–5 years)",1.09857225681753,0.784977026965672,1.41314324685795
2.30401164921209,"Post-neonatal (1 month–5 years)",1.13498066795297,0.81095075306723,1.46005209058124
2.34637966650921,"Post-neonatal (1 month–5 years)",1.17207206179519,0.837408984490939,1.50784583181198
2.38952678094774,"Post-neonatal (1 month–5 years)",1.20985950286185,0.864360887923477,1.55654158133356
2.43346731919187,"Post-neonatal (1 month–5 years)",1.2483563149555,0.891815808268337,1.60615679631839
2.47821587135599,"Post-neonatal (1 month–5 years)",1.28757608665468,0.9197832722873,1.65670928791068
2.52378729584923,"Post-neonatal (1 month–5 years)",1.32753267693404,0.94827299232263,1.70821722899595
2.57019672430909,"Post-neonatal (1 month–5 years)",1.36824022091637,0.97729487010223,1.7606991621621
2.61745956662578,"Post-neonatal (1 month–5 years)",1.40971313576068,1.00685900062956,1.81417400785795
2.66559151605895,"Post-neonatal (1 month–5 years)",1.45196612668952,1.03697567616081,1.86866107275443
2.71460855444852,"Post-neonatal (1 month–5 years)",1.49501419315965,1.06765539027112,1.92418005831454
2.76452695752131,"Post-neonatal (1 month–5 years)",1.53887263517971,1.09890884201251,1.98075106957809
2.8153633002953,"Post-neonatal (1 month–5 years)",1.58355705977919,1.13074694016553,2.03839462416735
2.86713446258321,"Post-neonatal (1 month–5 years)",1.62908338763261,1.16318080758711,2.09713166152008
2.91985763459731,"Post-neonatal (1 month–5 years)",1.67546785984325,1.19622178565737,2.1569835523565
2.97355032265731,"Post-neonatal (1 month–5 years)",1.72272704489103,1.22988143882736,2.21797210838723
3.02823035500319,"Post-neonatal (1 month–5 years)",1.77087784574872,1.26417155927101,2.28011959226924
3.08391588771493,"Post-neonatal (1 month–5 years)",1.8199375071718,1.29910417164332,2.34344872781698
3.14062541074111,"Post-neonatal (1 month–5 years)",1.86992362316603,1.33469153794816,2.40798271047666
3.19837775403831,"Post-neonatal (1 month–5 years)",1.9208541446385,1.37094616251812,2.473745218071
3.25719209382351,"Post-neonatal (1 month–5 years)",1.97274738723681,1.40788079710956,2.54076042182314
3.31708795894136,"Post-neonatal (1 month–5 years)",2.0256220393821,1.44550844611591,2.60905299766767
3.37808523734859,"Post-neonatal (1 month–5 years)",2.07949717050109,1.48384237190207,2.67864813785765
3.44020418271767,"Post-neonatal (1 month–5 years)",2.13439223946328,1.52289610026366,2.74957156287667
3.50346542116187,"Post-neonatal (1 month–5 years)",2.19032710322862,1.56268342601382,2.82184953366518
3.56788995808398,"Post-neonatal (1 month–5 years)",2.24732202571249,1.60321841870146,2.89550886417054
3.63349918515105,"Post-neonatal (1 month–5 years)",2.30539768687348,1.64451542846429,2.97057693423124
3.70031488739726,"Post-neonatal (1 month–5 years)",2.36457519203102,1.68658909202026,3.04708170280503
3.76835925045751,"Post-neonatal (1 month–5 years)",2.42487608141955,1.72945433880118,3.12505172155215
3.83765486793398,"Post-neonatal (1 month–5 years)",2.48632233998574,1.77312639723255,3.20451614878439
3.90822474889817,"Post-neonatal (1 month–5 years)",2.54893640743652,1.81762080116314,3.28550476379157
3.98009232553086,"Post-neonatal (1 month–5 years)",2.61274118854489,1.86295339644915,3.36804798155736
4.05328146090259,"Post-neonatal (1 month–5 years)",2.67776006372147,1.90914034769643,3.45217686787667
