"iso3","who_region","who_all_age_2024","who_all_age_lo_2024","who_all_age_hi_2024","source_url"
"HND","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"STP","AFR",1,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TGO","AFR",3486,2900,4290,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"UGA","AFR",16204,14000,19500,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ARE","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SUR","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"COM","AFR",139,64,210,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GNQ","AFR",769,650,980,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"AGO","AFR",16385,11400,25500,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BEN","AFR",9946,7860,12700,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MWI","AFR",7501,6480,9320,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TZA","AFR",26062,24500,28000,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BDI","AFR",6389,5200,8440,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BGD","SEAR",24,11,38,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"CAF","AFR",5062,3920,6580,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PRK","SEAR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"NER","AFR",35478,28500,44500,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"CRI","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"CMR","AFR",11702,9800,14400,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PAN","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"ETH","AFR",22360,8410,43400,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TUR","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BTN","SEAR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MDG","AFR",20903,8080,38900,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"CHN","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MYS","WPR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BFA","AFR",16184,11300,24100,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GMB","AFR",643,600,700,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"MEX","AMR",1,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"BRA","AMR",54,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"NGA","AFR",184933,135000,264000,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PAK","EMR",3037,1550,5020,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"CIV","AFR",10817,9260,12800,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"CPV","AFR",2,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"COG","AFR",2283,2010,2850,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"DJI","EMR",72,35,110,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"LKA","SEAR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"IRQ","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"SWZ","AFR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"GTM","AMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"TKM","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"KGZ","EUR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"PHL","WPR",49,21,89,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
"EGY","EMR",0,NA,NA,"https://ghoapi.azureedge.net/api/MALARIA_EST_DEATHS?$filter=TimeDim%20eq%202024&$format=json"
