"grouping","age_group","sensitivity","cells","af10","af10_lo","af10_hi","af30","af30_lo","af30_hi","af50","af50_lo","af50_hi"
"neonatal split","24-59 months","no survey intercept",15696,0.272024746702457,0.223507781889312,0.317510263395738,0.477941493040942,0.416162632838905,0.533183211596117,0.464312515261237,0.400123382632176,0.521633160890837
"six bands","<1 month","primary (NB, windows 1-5, lag 0)",5232,0.0230439632807476,-0.0149325008553529,0.0595994345655353,0.0752020346937482,0.00236948134907844,0.142717408253383,0.0853144394385703,0.00684122359757167,0.157587190911994
"six bands","<1 month","windows 1-4 only",4296,0.0217171992290877,-0.0166813097282132,0.0586654548218037,0.0635339087997844,-0.0132051461842182,0.134460831283261,0.0652351123940175,-0.0202375921287894,0.143547148387448
"six bands","<1 month","window 1 only (12 months before interview)",1117,0.035849243573815,-0.0309792888284162,0.0983459210188907,0.0990919574203251,-0.0228818142705256,0.206520939309529,0.0752789487839857,-0.0650676391695089,0.197131720921663
"six bands","<1 month","prevalence lagged one year",4349,0.0230919452396253,-0.0173278033960054,0.0619057650150461,0.0670309769749269,-0.0109535297333274,0.138999793438612,0.0641700838677625,-0.0208944424325384,0.142146733758968
"six bands","<1 month","Poisson likelihood",5232,0.0219839076857397,-0.0136111252018143,0.0563289480122767,0.0762845156887909,0.0104786247839281,0.137714133997383,0.0841268184835988,0.0150330754394562,0.148373753773278
"six bands","<1 month","no survey intercept",5232,0.0180573635128349,-0.0096774881787558,0.0450303659928106,0.0533858747776763,-0.0075672865342864,0.110651651709881,0.0708158488503499,-0.0015354254844504,0.137940441467589
"six bands","1-2 months","primary (NB, windows 1-5, lag 0)",5232,0.0449613833886321,0.0216319596032093,0.0677345113920105,0.128910053332447,0.0635172691318797,0.189736585444694,0.205475274397368,0.103618932757701,0.29575761619327
"six bands","1-2 months","windows 1-4 only",4296,0.045340348007642,0.0198711312701251,0.0701477323862536,0.129946997061748,0.0584565377492237,0.196009256851228,0.207050062480096,0.0955350080081755,0.304815986268153
"six bands","1-2 months","window 1 only (12 months before interview)",1117,0.0275738838019681,-0.00842242483408495,0.0622852802786796,0.0804623015541086,-0.0254758156702923,0.175456343345863,0.13047507767009,-0.0428134927412629,0.274967579710412
"six bands","1-2 months","prevalence lagged one year",4349,0.0445888198302158,0.0197479852955714,0.0688001559796273,0.127877413575694,0.0581629364722679,0.192431647462953,0.203863945789534,0.0951136037927626,0.299544540098657
"six bands","1-2 months","Poisson likelihood",5232,0.0446437763941243,0.023860203871738,0.0649848335221925,0.1280422374993,0.0699264736898755,0.182526630338998,0.20415232294324,0.113846445026482,0.285255335802868
"six bands","1-2 months","no survey intercept",5232,0.0527528953183969,0.0117562350503779,0.0920488353666257,0.14930791217648,0.0586188135465001,0.231260366470807,0.223970573257104,0.114703449909379,0.319751476373353
"six bands","3-11 months","primary (NB, windows 1-5, lag 0)",15696,0.0912190347906277,0.0438222559447708,0.136266402495167,0.238905491622657,0.15738945708695,0.312535482075111,0.31588008047698,0.2367850138584,0.386778204324527
"six bands","3-11 months","windows 1-4 only",12888,0.0969754344673183,0.0450308926555656,0.146094507472508,0.251815612549543,0.163471581373994,0.330829813834596,0.325990271059499,0.240050351908564,0.402211559874571
"six bands","3-11 months","window 1 only (12 months before interview)",3351,0.115230980862247,0.0256006628277531,0.196616636154791,0.315367722023878,0.182643487448521,0.426539889449706,0.39016084531403,0.262323755925541,0.495844149007786
"six bands","3-11 months","prevalence lagged one year",13047,0.0889466112997138,0.0355131014213297,0.139419852892307,0.23923454028396,0.14970659751371,0.319336028005592,0.310083234057554,0.223809676445251,0.386767485391217
